input,kind,src_s,dst_s,mappings,actions,prepare_topdown_t,topdown_t,prepare_bottomup_t,bottomup_t,prepare_gen_t,gen_t
a46b20d25f12dfb6af1d89c6bd8e39220cc8c928/0a7dfcc33217a2b3936ae129e7becfbbc0d944f8,java_gumtree,25038643,25038167,19794775,-1,0,24.806501312,0,38.588465378,0,0.000010796
a46b20d25f12dfb6af1d89c6bd8e39220cc8c928/0a7dfcc33217a2b3936ae129e7becfbbc0d944f8,gumtree_lazy,25038643,25038167,19794775,509,0.479913026,0.78261483,0,2.112946393,28.817757103,11.202260806
a46b20d25f12dfb6af1d89c6bd8e39220cc8c928/0a7dfcc33217a2b3936ae129e7becfbbc0d944f8,gumtree_not_lazy,25038643,25038167,19794775,509,9.61902796,13.540880605,0,1.379945021,3.9385937699999998,27.855961254
a46b20d25f12dfb6af1d89c6bd8e39220cc8c928/0a7dfcc33217a2b3936ae129e7becfbbc0d944f8,gumtree_partial_lazy,25038643,25038167,19794775,509,0.462930637,0.674253929,6.666133941,1.339249912,3.780502694,28.282662757
0a7dfcc33217a2b3936ae129e7becfbbc0d944f8/e76616f690a2e2a552a84ce48ec8fd18f56d1b98,java_gumtree,25038167,25038299,19794812,-1,0,28.602395123,0,18.216390178,0,0.000012326
0a7dfcc33217a2b3936ae129e7becfbbc0d944f8/e76616f690a2e2a552a84ce48ec8fd18f56d1b98,gumtree_lazy,25038167,25038299,19794812,199,0.500702284,0.756507795,0,3.7161179,30.737574006,11.060820523
0a7dfcc33217a2b3936ae129e7becfbbc0d944f8/e76616f690a2e2a552a84ce48ec8fd18f56d1b98,gumtree_not_lazy,25038167,25038299,19794812,199,9.778968299,10.470477418,0,3.088359886,3.6958227580000003,28.371775833
0a7dfcc33217a2b3936ae129e7becfbbc0d944f8/e76616f690a2e2a552a84ce48ec8fd18f56d1b98,gumtree_partial_lazy,25038167,25038299,19794812,199,0.639558742,0.760088353,7.417657857,3.411915066,4.446011316,28.643274525
e76616f690a2e2a552a84ce48ec8fd18f56d1b98/2fa540dca1104d999772b5b26f58406c40dec3a5,java_gumtree,25038299,25038299,19794970,-1,0,22.580801666,0,4.251376366,0,0.000013272
e76616f690a2e2a552a84ce48ec8fd18f56d1b98/2fa540dca1104d999772b5b26f58406c40dec3a5,gumtree_lazy,25038299,25038299,19794970,0,0.469251978,0.704899477,0,0.023822776,27.970564099,10.967673278
e76616f690a2e2a552a84ce48ec8fd18f56d1b98/2fa540dca1104d999772b5b26f58406c40dec3a5,gumtree_not_lazy,25038299,25038299,19794970,0,9.413300713,5.263986038,0,0.026679526,4.036980585,28.632521385
e76616f690a2e2a552a84ce48ec8fd18f56d1b98/2fa540dca1104d999772b5b26f58406c40dec3a5,gumtree_partial_lazy,25038299,25038299,19794970,0,0.474767316,0.682887188,6.991142244,0.026775956,4.01676693,28.428040234
2fa540dca1104d999772b5b26f58406c40dec3a5/ee7d1787cd2cdfea936425dcf88e750827ff5c1b,java_gumtree,25038299,25037986,19794510,-1,0,25.892158262,0,133.561658658,0,0.000021883
2fa540dca1104d999772b5b26f58406c40dec3a5/ee7d1787cd2cdfea936425dcf88e750827ff5c1b,gumtree_lazy,25038299,25037986,19794510,670,0.47763568,0.719175935,0,13.508106577,30.361544493,11.419794415
2fa540dca1104d999772b5b26f58406c40dec3a5/ee7d1787cd2cdfea936425dcf88e750827ff5c1b,gumtree_not_lazy,25038299,25037986,19794510,670,9.525414493,20.555695867,0,11.905854594000001,3.92002819,29.263174253
2fa540dca1104d999772b5b26f58406c40dec3a5/ee7d1787cd2cdfea936425dcf88e750827ff5c1b,gumtree_partial_lazy,25038299,25037986,19794510,670,0.481251446,0.740136017,7.292856705,11.512763756,3.906198188,28.610412
ee7d1787cd2cdfea936425dcf88e750827ff5c1b/0a4528cd7f999f71e4586861c8761d159eb42545,java_gumtree,25037986,25037851,19794412,-1,0,26.282417223,0,101.827720796,0,0.000009407
ee7d1787cd2cdfea936425dcf88e750827ff5c1b/0a4528cd7f999f71e4586861c8761d159eb42545,gumtree_lazy,25037986,25037851,19794412,561,0.485495232,0.688039938,0,4.052008369,30.14671675,10.388652032
ee7d1787cd2cdfea936425dcf88e750827ff5c1b/0a4528cd7f999f71e4586861c8761d159eb42545,gumtree_not_lazy,25037986,25037851,19794412,561,9.550780299,18.514829516,0,2.705290674,4.159936296,29.401414421
ee7d1787cd2cdfea936425dcf88e750827ff5c1b/0a4528cd7f999f71e4586861c8761d159eb42545,gumtree_partial_lazy,25037986,25037851,19794412,561,0.493344002,0.713511399,7.304604505,2.987442145,4.932243943,33.04676828
0a4528cd7f999f71e4586861c8761d159eb42545/c67c2b756907af2d7167a32bdb2756ca18fd3960,java_gumtree,25037851,25037851,19794441,-1,0,28.361069431,0,16.401475925,0,0.000031006
0a4528cd7f999f71e4586861c8761d159eb42545/c67c2b756907af2d7167a32bdb2756ca18fd3960,gumtree_lazy,25037851,25037851,19794441,360,0.472058566,0.667537295,0,0.763609489,29.93858305,11.541059198
0a4528cd7f999f71e4586861c8761d159eb42545/c67c2b756907af2d7167a32bdb2756ca18fd3960,gumtree_not_lazy,25037851,25037851,19794441,360,9.545206685,12.388140495,0,0.402815721,4.716553982,29.648237378
0a4528cd7f999f71e4586861c8761d159eb42545/c67c2b756907af2d7167a32bdb2756ca18fd3960,gumtree_partial_lazy,25037851,25037851,19794441,360,0.466407631,0.697660492,7.0697251229999996,0.393929776,4.004196181,32.091995771
c67c2b756907af2d7167a32bdb2756ca18fd3960/2e88096266419662b76d4ddd7073a1dce234d79c,java_gumtree,25037851,25037255,19794003,-1,0,29.281901617,0,21.431848522,0,0.000010648
