input,kind,src_s,dst_s,mappings,actions,prepare_topdown_t,topdown_t,prepare_bottomup_t,bottomup_t,prepare_gen_t,gen_t
5ac8332061fbbd4f11d5f280ff12b65fe7308540/fa82421cbe3933609253180368235f4a84930780,gumtree_lazy,10080434,10058666,8148882,20444,0.195517277,3.289283176,0,77.40198591,12.073890055,3.084021965
5ac8332061fbbd4f11d5f280ff12b65fe7308540/fa82421cbe3933609253180368235f4a84930780,gumtree_not_lazy,10080434,10058666,8148882,20444,3.7602986229999997,14.608141548999999,0,75.786138893,2.013728923,12.383050241
5ac8332061fbbd4f11d5f280ff12b65fe7308540/fa82421cbe3933609253180368235f4a84930780,gumtree_partial_lazy,10080434,10058666,8148882,20444,0.204993943,3.3535053980000002,2.973491841,75.392020322,1.630788605,11.253310498
fa82421cbe3933609253180368235f4a84930780/c0896f980fc42ef2adb519ffe9668b29dfd8941c,gumtree_lazy,10058666,10080392,8148828,20493,0.225253633,3.867706906,0,85.10580335,11.718439216,3.173592041
fa82421cbe3933609253180368235f4a84930780/c0896f980fc42ef2adb519ffe9668b29dfd8941c,gumtree_not_lazy,10058666,10080392,8148828,20493,3.945098269,15.6475519,0,80.166113659,1.65920853,12.187432262
fa82421cbe3933609253180368235f4a84930780/c0896f980fc42ef2adb519ffe9668b29dfd8941c,gumtree_partial_lazy,10058666,10080392,8148828,20493,0.194335706,3.528695204,2.844935166,79.391625322,1.89617843,12.187318039
c0896f980fc42ef2adb519ffe9668b29dfd8941c/241376f4c6687bc4205a7f0b0727e15a0e67e652,gumtree_lazy,10080392,10078293,8165807,2082,0.196870249,0.35740037,0,6.102624844,11.688807602,3.16785752
c0896f980fc42ef2adb519ffe9668b29dfd8941c/241376f4c6687bc4205a7f0b0727e15a0e67e652,gumtree_not_lazy,10080392,10078293,8165807,2082,3.706262615,7.067596113,0,4.728790179,1.4644212300000001,11.246909506
c0896f980fc42ef2adb519ffe9668b29dfd8941c/241376f4c6687bc4205a7f0b0727e15a0e67e652,gumtree_partial_lazy,10080392,10078293,8165807,2082,0.19692645,0.354574304,2.767968634,4.87623848,1.488238053,10.647688677
241376f4c6687bc4205a7f0b0727e15a0e67e652/eeef694798417998ad912d4cbb2113fd9b59e4ee,gumtree_lazy,10078293,10080388,8165801,2092,0.195759412,0.372615802,0,12.594641485,13.65144071,3.515947533
241376f4c6687bc4205a7f0b0727e15a0e67e652/eeef694798417998ad912d4cbb2113fd9b59e4ee,gumtree_not_lazy,10078293,10080388,8165801,2092,3.816264091,7.369934247,0,10.27393945,1.595832843,11.154939507
241376f4c6687bc4205a7f0b0727e15a0e67e652/eeef694798417998ad912d4cbb2113fd9b59e4ee,gumtree_partial_lazy,10078293,10080388,8165801,2092,0.196905025,0.36018815,2.755895474,10.336441425,1.504513866,11.547204254
eeef694798417998ad912d4cbb2113fd9b59e4ee/383bd0a367efcef5b224549937927a28b30bcca0,gumtree_lazy,10080388,10075546,8163492,4494,0.194552477,0.475936431,0,11.421097252,11.288291971,3.659359024
eeef694798417998ad912d4cbb2113fd9b59e4ee/383bd0a367efcef5b224549937927a28b30bcca0,gumtree_not_lazy,10080388,10075546,8163492,4494,3.738102272,7.679508938,0,10.673809422,1.866777056,12.070275768
eeef694798417998ad912d4cbb2113fd9b59e4ee/383bd0a367efcef5b224549937927a28b30bcca0,gumtree_partial_lazy,10080388,10075546,8163492,4494,0.193924445,0.551124189,3.407109523,10.316834013,1.6571786099999999,12.164720479
383bd0a367efcef5b224549937927a28b30bcca0/efe06cb8a9dfd06208a08ce71c957a813dac7665,gumtree_lazy,10075546,10080388,8163492,4495,0.197724049,0.474708075,0,11.825950328,12.976056023,3.254437542
