input,kind,src_s,dst_s,mappings,actions,prepare_topdown_t,topdown_t,prepare_bottomup_t,bottomup_t,prepare_gen_t,gen_t
885f4733c413bdbb110946361247fbbd19f6bba9/33091980ab325bcd001fad93129d74f0189c08e9,java_gumtree,1294823,1294823,1023586,0,0,1.275248517,0,0.276529249,0,10.552952749
885f4733c413bdbb110946361247fbbd19f6bba9/33091980ab325bcd001fad93129d74f0189c08e9,gumtree_lazy,1294823,1294823,1023586,0,0.023579336,0.037065707,0,0.00123837,1.208708398,0.511131171
885f4733c413bdbb110946361247fbbd19f6bba9/33091980ab325bcd001fad93129d74f0189c08e9,gumtree_not_lazy,1294823,1294823,1023586,0,0.450935864,0.254962503,0,0.001525112,0.186070939,1.19627221
885f4733c413bdbb110946361247fbbd19f6bba9/33091980ab325bcd001fad93129d74f0189c08e9,gumtree_partial_lazy,1294823,1294823,1023586,0,0.022167315,0.036488559,0.363408982,0.001607204,0.183901197,1.37287272
33091980ab325bcd001fad93129d74f0189c08e9/31d31608c3fee7ef84c515e3d152ec58c48ad6d9,java_gumtree,1294823,1294823,1023586,0,0,1.316391437,0,0.16281233,0,11.059595568
33091980ab325bcd001fad93129d74f0189c08e9/31d31608c3fee7ef84c515e3d152ec58c48ad6d9,gumtree_lazy,1294823,1294823,1023586,0,0.022207144,0.036576688,0,0.00123716,1.145997514,0.47995524
33091980ab325bcd001fad93129d74f0189c08e9/31d31608c3fee7ef84c515e3d152ec58c48ad6d9,gumtree_not_lazy,1294823,1294823,1023586,0,0.432874499,0.233281712,0,0.001400583,0.152803719,1.156431985
33091980ab325bcd001fad93129d74f0189c08e9/31d31608c3fee7ef84c515e3d152ec58c48ad6d9,gumtree_partial_lazy,1294823,1294823,1023586,0,0.022785285,0.035778149,0.338342896,0.001402574,0.149737228,1.1488987
31d31608c3fee7ef84c515e3d152ec58c48ad6d9/22cd0c2f4b2c2b48027454cf99391ab976623375,java_gumtree,1294823,1294823,1023586,0,0,1.207923846,0,0.186485079,0,9.590376188
31d31608c3fee7ef84c515e3d152ec58c48ad6d9/22cd0c2f4b2c2b48027454cf99391ab976623375,gumtree_lazy,1294823,1294823,1023586,0,0.019431238,0.036344885,0,0.00123717,1.142382016,0.473466844
31d31608c3fee7ef84c515e3d152ec58c48ad6d9/22cd0c2f4b2c2b48027454cf99391ab976623375,gumtree_not_lazy,1294823,1294823,1023586,0,0.438481007,0.234248208,0,0.001383745,0.1656402,1.262583134
31d31608c3fee7ef84c515e3d152ec58c48ad6d9/22cd0c2f4b2c2b48027454cf99391ab976623375,gumtree_partial_lazy,1294823,1294823,1023586,0,0.021234895,0.038220661,0.333576418,0.001406305,0.146152136,1.191552035
22cd0c2f4b2c2b48027454cf99391ab976623375/04586a9a3bb80c1601244a291a5fe0a8fa24b97b,java_gumtree,1294823,1294823,1023586,0,0,1.098200658,0,0.138031815,0,10.409042758
22cd0c2f4b2c2b48027454cf99391ab976623375/04586a9a3bb80c1601244a291a5fe0a8fa24b97b,gumtree_lazy,1294823,1294823,1023586,0,0.023265525,0.035450439,0,0.001237894,1.1352653990000001,0.463282398
22cd0c2f4b2c2b48027454cf99391ab976623375/04586a9a3bb80c1601244a291a5fe0a8fa24b97b,gumtree_not_lazy,1294823,1294823,1023586,0,0.431626745,0.229707792,0,0.001396886,0.149167188,1.130267471
22cd0c2f4b2c2b48027454cf99391ab976623375/04586a9a3bb80c1601244a291a5fe0a8fa24b97b,gumtree_partial_lazy,1294823,1294823,1023586,0,0.019399039,0.034223959,0.312943863,0.001416711,0.148565178,1.125910846
04586a9a3bb80c1601244a291a5fe0a8fa24b97b/4274fb8806c25519cac829d00b01132fe08c0cac,java_gumtree,1294823,1294823,1023586,0,0,1.4417945890000001,0,0.206710012,0,10.852340188
04586a9a3bb80c1601244a291a5fe0a8fa24b97b/4274fb8806c25519cac829d00b01132fe08c0cac,gumtree_lazy,1294823,1294823,1023586,0,0.025176324,0.036850695,0,0.001241368,1.1434386,0.489731144
04586a9a3bb80c1601244a291a5fe0a8fa24b97b/4274fb8806c25519cac829d00b01132fe08c0cac,gumtree_not_lazy,1294823,1294823,1023586,0,0.436395038,0.231373884,0,0.001383334,0.151241096,1.226245195
04586a9a3bb80c1601244a291a5fe0a8fa24b97b/4274fb8806c25519cac829d00b01132fe08c0cac,gumtree_partial_lazy,1294823,1294823,1023586,0,0.020904889,0.03672234,0.332674811,0.001538262,0.158352341,1.199390837
4274fb8806c25519cac829d00b01132fe08c0cac/320f88d54440e05228a90ef5663991e28ae07c95,java_gumtree,1294823,1294822,1023575,21,0,1.354265398,0,1.923173035,0,10.65688642
4274fb8806c25519cac829d00b01132fe08c0cac/320f88d54440e05228a90ef5663991e28ae07c95,gumtree_lazy,1294823,1294822,1023575,21,0.024255741,0.034363855,0,0.13264026,1.266772106,0.446835726
4274fb8806c25519cac829d00b01132fe08c0cac/320f88d54440e05228a90ef5663991e28ae07c95,gumtree_not_lazy,1294823,1294822,1023575,21,0.454773094,0.547583406,0,0.070519297,0.157727115,1.208277772
4274fb8806c25519cac829d00b01132fe08c0cac/320f88d54440e05228a90ef5663991e28ae07c95,gumtree_partial_lazy,1294823,1294822,1023575,21,0.029225886,0.049610575,0.375883821,0.070392633,0.165670091,1.295639652
320f88d54440e05228a90ef5663991e28ae07c95/5d763eb63b67d4fee5972559ddfe0ff3e0e8e210,java_gumtree,1294822,1294822,1023585,0,0,1.205087786,0,0.167252399,0,10.258325272
320f88d54440e05228a90ef5663991e28ae07c95/5d763eb63b67d4fee5972559ddfe0ff3e0e8e210,gumtree_lazy,1294822,1294822,1023585,0,0.023434121,0.035257637,0,0.001253346,1.219924333,0.528594407
320f88d54440e05228a90ef5663991e28ae07c95/5d763eb63b67d4fee5972559ddfe0ff3e0e8e210,gumtree_not_lazy,1294822,1294822,1023585,0,0.505632376,0.288321732,0,0.001382947,0.176246009,1.265829066
320f88d54440e05228a90ef5663991e28ae07c95/5d763eb63b67d4fee5972559ddfe0ff3e0e8e210,gumtree_partial_lazy,1294822,1294822,1023585,0,0.023315436,0.037786917,0.36262466,0.001377832,0.182232968,1.335031591
5d763eb63b67d4fee5972559ddfe0ff3e0e8e210/78700d939c42404ce6bd420094e13a258875949b,java_gumtree,1294822,1294822,1023585,0,0,1.232243633,0,0.184282071,0,11.54681661
5d763eb63b67d4fee5972559ddfe0ff3e0e8e210/78700d939c42404ce6bd420094e13a258875949b,gumtree_lazy,1294822,1294822,1023585,0,0.023030839,0.035391167,0,0.00123827,1.293472575,0.471596577
5d763eb63b67d4fee5972559ddfe0ff3e0e8e210/78700d939c42404ce6bd420094e13a258875949b,gumtree_not_lazy,1294822,1294822,1023585,0,0.479585375,0.239066926,0,0.00134291,0.165548228,1.262604304
5d763eb63b67d4fee5972559ddfe0ff3e0e8e210/78700d939c42404ce6bd420094e13a258875949b,gumtree_partial_lazy,1294822,1294822,1023585,0,0.019613291,0.033524382,0.320334162,0.001386275,0.163110156,1.162361877
78700d939c42404ce6bd420094e13a258875949b/e549c6fd22ac0d5a6df0d817212637c532b9a681,java_gumtree,1294822,1294822,1023585,0,0,1.341108028,0,0.170222478,0,10.739974088
78700d939c42404ce6bd420094e13a258875949b/e549c6fd22ac0d5a6df0d817212637c532b9a681,gumtree_lazy,1294822,1294822,1023585,0,0.020743666,0.035910731,0,0.001248123,1.309994266,0.584770933
78700d939c42404ce6bd420094e13a258875949b/e549c6fd22ac0d5a6df0d817212637c532b9a681,gumtree_not_lazy,1294822,1294822,1023585,0,0.447852316,0.255277124,0,0.001339398,0.157069541,1.348130016
78700d939c42404ce6bd420094e13a258875949b/e549c6fd22ac0d5a6df0d817212637c532b9a681,gumtree_partial_lazy,1294822,1294822,1023585,0,0.019490357,0.034014526,0.372146307,0.00243909,0.202624984,1.277327194
e549c6fd22ac0d5a6df0d817212637c532b9a681/0085bfc8aca11de872f129804269973d4a33cd39,java_gumtree,1294822,1294822,1023585,0,0,1.247878536,0,0.179912762,0,10.203381085
e549c6fd22ac0d5a6df0d817212637c532b9a681/0085bfc8aca11de872f129804269973d4a33cd39,gumtree_lazy,1294822,1294822,1023585,0,0.020405137,0.03414216,0,0.001245106,1.413887756,0.58116759
e549c6fd22ac0d5a6df0d817212637c532b9a681/0085bfc8aca11de872f129804269973d4a33cd39,gumtree_not_lazy,1294822,1294822,1023585,0,0.430052174,0.223002295,0,0.001372715,0.143947103,1.120845715
