input,kind,src_s,dst_s,mappings,actions,prepare_topdown_t,topdown_t,prepare_bottomup_t,bottomup_t,prepare_gen_t,gen_t
ee73f4376aa929d8dce950202fabb8992a77c9fb/61a97da5efdd8a8e028cee7977bbbf42f525c4d8,java_gumtree,2041920,2041920,1657509,0,0,1.855633801,0,0.235331592,0,22.418430819
ee73f4376aa929d8dce950202fabb8992a77c9fb/61a97da5efdd8a8e028cee7977bbbf42f525c4d8,gumtree_lazy,2041920,2041920,1657509,0,0.036912312,0.055938741,0,0.001874528,1.715685975,0.735847567
ee73f4376aa929d8dce950202fabb8992a77c9fb/61a97da5efdd8a8e028cee7977bbbf42f525c4d8,gumtree_not_lazy,2041920,2041920,1657509,0,0.762705131,0.438541325,0,0.002084827,0.274660931,1.876405248
ee73f4376aa929d8dce950202fabb8992a77c9fb/61a97da5efdd8a8e028cee7977bbbf42f525c4d8,gumtree_partial_lazy,2041920,2041920,1657509,0,0.036927016,0.055974904,0.515441528,0.002096296,0.239225858,1.6977073169999999
61a97da5efdd8a8e028cee7977bbbf42f525c4d8/c07e6804a5fcea43b489870944c8948f5e699c49,java_gumtree,2041920,2041920,1657509,0,0,1.995692725,0,0.348504083,0,22.863865145
61a97da5efdd8a8e028cee7977bbbf42f525c4d8/c07e6804a5fcea43b489870944c8948f5e699c49,gumtree_lazy,2041920,2041920,1657509,0,0.036790184,0.055270787,0,0.001852967,1.783887019,0.733490231
61a97da5efdd8a8e028cee7977bbbf42f525c4d8/c07e6804a5fcea43b489870944c8948f5e699c49,gumtree_not_lazy,2041920,2041920,1657509,0,0.692936478,0.357422262,0,0.002060268,0.239401566,1.6851334489999998
61a97da5efdd8a8e028cee7977bbbf42f525c4d8/c07e6804a5fcea43b489870944c8948f5e699c49,gumtree_partial_lazy,2041920,2041920,1657509,0,0.032560553,0.055616866,0.487356879,0.002101192,0.229482057,1.6926602910000002
c07e6804a5fcea43b489870944c8948f5e699c49/72e73bb13d23b3fd21da7f257d20a698c7eeb10e,java_gumtree,2041920,2041920,1657509,0,0,1.814632525,0,0.208171889,0,21.740810444
c07e6804a5fcea43b489870944c8948f5e699c49/72e73bb13d23b3fd21da7f257d20a698c7eeb10e,gumtree_lazy,2041920,2041920,1657509,0,0.03389667,0.059188607,0,0.001974393,1.845298338,0.83368254
c07e6804a5fcea43b489870944c8948f5e699c49/72e73bb13d23b3fd21da7f257d20a698c7eeb10e,gumtree_not_lazy,2041920,2041920,1657509,0,0.818240954,0.438977115,0,0.002294577,0.287146596,1.9069099600000001
c07e6804a5fcea43b489870944c8948f5e699c49/72e73bb13d23b3fd21da7f257d20a698c7eeb10e,gumtree_partial_lazy,2041920,2041920,1657509,0,0.039576868,0.059333531,0.574253738,0.002266656,0.266590609,1.83311854
72e73bb13d23b3fd21da7f257d20a698c7eeb10e/c7a226484703ea7ccc385590ea433fe6c2e79cd2,java_gumtree,2041920,2041920,1657509,0,0,2.36533013,0,0.392243021,0,24.95821644
72e73bb13d23b3fd21da7f257d20a698c7eeb10e/c7a226484703ea7ccc385590ea433fe6c2e79cd2,gumtree_lazy,2041920,2041920,1657509,0,0.035507957,0.058010544,0,0.002019545,1.871887352,0.807084924
72e73bb13d23b3fd21da7f257d20a698c7eeb10e/c7a226484703ea7ccc385590ea433fe6c2e79cd2,gumtree_not_lazy,2041920,2041920,1657509,0,0.82191852,0.416316593,0,0.002273016,0.300075935,2.123213766
72e73bb13d23b3fd21da7f257d20a698c7eeb10e/c7a226484703ea7ccc385590ea433fe6c2e79cd2,gumtree_partial_lazy,2041920,2041920,1657509,0,0.03603656,0.066367604,0.569366121,0.002285262,0.275312842,1.959530495
c7a226484703ea7ccc385590ea433fe6c2e79cd2/b57e4991649a8382d8cd8bfe55fbbf63a832627d,java_gumtree,2041920,2041920,1657506,7,0,2.118353764,0,0.726351864,0,23.679291777
