input,gt_tool,hast_tool,src_s,dst_s,gt_m,hast_m,missing_mappings,additional_mappings,gt_c,hast_c,gt_src_heap,gt_dst_heap,hast_src_heap,hast_dst_heap,not_lazy_m,not_lazy_c,partial_lazy_m,partial_lazy_c
d67338a140bf1b744d95a514b82824bba5b16105/995132de7af5fb539f63e0de3bfc1d22aeeead95,java_gumtree,gumtree_lazy,19707929,19707161,15679195,15679195,0,0,-1,831,18446744072274693432,18446744070866108808,2256133344,140696,15679195,831,15679195,831
995132de7af5fb539f63e0de3bfc1d22aeeead95/8d006224d209c981c563ef6625bc6f617d40684a,java_gumtree,gumtree_lazy,19707161,19707188,15679195,15679195,0,0,-1,269,18446744072274748344,18446744070866163336,140696,42176,15679195,269,15679195,269
8d006224d209c981c563ef6625bc6f617d40684a/ad2e3afd9df1a2fa140caca5752d782e904eb0c5,java_gumtree,gumtree_lazy,19707188,19706974,15679103,15679103,0,0,-1,275,18446744072274747616,18446744070866178296,42176,37984,15679103,275,15679103,275
ad2e3afd9df1a2fa140caca5752d782e904eb0c5/2560af03f913ae11bee936067404774f78fb5f13,java_gumtree,gumtree_lazy,19706974,19706954,15679104,15679104,0,0,-1,58,18446744072274763544,18446744070866195984,37984,27896,15679104,58,15679104,58
2560af03f913ae11bee936067404774f78fb5f13/ccf4d24ee71264eb32d1bf2fcc61c2a8aef7b617,java_gumtree,gumtree_lazy,19706954,19707008,15679092,15679092,0,0,-1,97,18446744072274765120,18446744070866193840,27896,24416,15679092,97,15679092,97
ccf4d24ee71264eb32d1bf2fcc61c2a8aef7b617/eed14ef1913155330a53ab170d71f59df8422033,java_gumtree,gumtree_lazy,19707008,19707081,15679104,15679104,0,0,-1,178,18446744072274761696,18446744070866184808,24416,67976,15679104,178,15679104,178
eed14ef1913155330a53ab170d71f59df8422033/eee8804bb8db97864ecff6b27853570e75b15807,java_gumtree,gumtree_lazy,19707081,19707081,15679218,15679218,0,0,-1,0,18446744072274756008,18446744070866179416,67976,12032,15679218,0,15679218,0
eee8804bb8db97864ecff6b27853570e75b15807/6155b3a1e4efcac28288ba67401fb77b27a32a66,java_gumtree,gumtree_lazy,19707081,19707081,15679218,15679218,0,0,-1,0,18446744072274756008,18446744070866179416,12032,64,15679218,0,15679218,0
6155b3a1e4efcac28288ba67401fb77b27a32a66/55d9f43f0bf32cbe948ddeb271486846fa18b363,java_gumtree,gumtree_lazy,19707081,19707081,15679218,15679218,0,0,-1,0,18446744072274756304,18446744070866179416,64,4096,15679218,0,15679218,0
55d9f43f0bf32cbe948ddeb271486846fa18b363/48f6dcd87d40c73450038fae1dc803510d9a9a2d,java_gumtree,gumtree_lazy,19707081,19707107,15679209,15679209,0,0,-1,40,18446744072274756304,18446744070866176992,4096,3240,15679209,40,15679209,40
48f6dcd87d40c73450038fae1dc803510d9a9a2d/c569953189da29a930ef4b16fecfcf53a46a62ac,java_gumtree,gumtree_lazy,19707107,19707107,15679240,15679240,0,0,-1,0,18446744072274753880,18446744070866175072,3240,2912,15679240,0,15679240,0
c569953189da29a930ef4b16fecfcf53a46a62ac/c13672bd88e788befbac06005b92ab650874805d,java_gumtree,gumtree_lazy,19707107,19707107,15679240,15679240,0,0,-1,0,18446744072274753584,18446744070866175072,2912,0,15679240,0,15679240,0
c13672bd88e788befbac06005b92ab650874805d/ff7a0f6f25748933729bc94038444b3d4e233315,java_gumtree,gumtree_lazy,19707107,19707107,15679240,15679240,0,0,-1,0,18446744072274753584,18446744070866175072,0,1536,15679240,0,15679240,0
ff7a0f6f25748933729bc94038444b3d4e233315/8aebfb16d028d48ca950709352799b23dbb8ab00,java_gumtree,gumtree_lazy,19707107,19701520,15673777,15673779,0,2,-1,6522,18446744072274753880,18446744070866590016,1536,343712,15673777,6526,15673777,6526
8aebfb16d028d48ca950709352799b23dbb8ab00/ffc34752c29e92c9dbf1360fbacae6ea3c618496,java_gumtree,gumtree_lazy,19701520,19701529,15674517,15674517,0,0,-1,104,18446744072275175984,18446744070867013440,343712,16104,15674517,104,15674517,104
ffc34752c29e92c9dbf1360fbacae6ea3c618496/8212230414f0c49a9f5b636bfc5101417e921a66,java_gumtree,gumtree_lazy,19701529,19701529,15674569,15674569,0,0,-1,0,18446744072275175848,18446744070867013008,16104,5544,15674569,0,15674569,0
8212230414f0c49a9f5b636bfc5101417e921a66/f8d2bdb19eb954ef384a78b5e21991a4327c23db,java_gumtree,gumtree_lazy,19701529,19705758,15674529,15674529,0,0,-1,3392,18446744072275175848,18446744070866710448,5544,186312,15674529,3392,15674529,3392
f8d2bdb19eb954ef384a78b5e21991a4327c23db/31579621e16c6cdad3d965a91bb048282bf7942b,java_gumtree,gumtree_lazy,19705758,19705069,15677291,15677291,0,0,-1,622,18446744072274873288,18446744070866463984,186312,51248,15677291,622,15677291,622
31579621e16c6cdad3d965a91bb048282bf7942b/3b7a64e3cddcdbe7aa61b7bd8804ad5635ef96f7,java_gumtree,gumtree_lazy,19705069,19705323,15677300,15677300,0,0,-1,243,18446744072274922856,18446744070866496504,51248,26496,15677300,243,15677300,243
3b7a64e3cddcdbe7aa61b7bd8804ad5635ef96f7/7715392e5eeee11b75e1bb21ac1831bb278b4c66,java_gumtree,gumtree_lazy,19705323,19709271,15677515,15677515,0,0,-1,3190,18446744072274905680,18446744070866188840,26496,134360,15677515,3190,15677515,3190
7715392e5eeee11b75e1bb21ac1831bb278b4c66/ba027b6b1a956b425ff14ed8b55c6aeef3e565c8,java_gumtree,gumtree_lazy,19709271,19706088,15677812,15677812,0,0,-1,3054,18446744072274614992,18446744070866143016,134360,69144,15677812,3054,15677812,3054
ba027b6b1a956b425ff14ed8b55c6aeef3e565c8/bf342d2f67a46e5266c3595734574db270f1b48c,java_gumtree,gumtree_lazy,19706088,19712142,15677869,15677869,0,0,-1,4970,18446744072274862528,18446744070865950496,69144,285320,15677869,4970,15677869,4970
bf342d2f67a46e5266c3595734574db270f1b48c/91d81c427aa6312841ca868d54e8ce6ea721cd60,java_gumtree,gumtree_lazy,19712142,19712142,15682755,15682755,0,0,-1,0,18446744072274422808,18446744070865519312,285320,10320,15682755,0,15682755,0
91d81c427aa6312841ca868d54e8ce6ea721cd60/3ea3fee5ac996f6ae8836c3cba252f974d20bd2e,java_gumtree,gumtree_lazy,19712142,19712142,15682755,15682755,0,0,-1,0,18446744072274422736,18446744070865519312,10320,86736,15682755,0,15682755,0
3ea3fee5ac996f6ae8836c3cba252f974d20bd2e/36660cce32e7dbacf9b2408c6d65d8fc9c7c2c93,java_gumtree,gumtree_lazy,19712142,19713194,15682627,15682627,0,0,-1,1170,18446744072274422512,18446744070865436544,86736,101400,15682627,1170,15682627,1170
36660cce32e7dbacf9b2408c6d65d8fc9c7c2c93/f089a99ce73ad15531a4d1b72899d8367fab662a,java_gumtree,gumtree_lazy,19713194,19713194,15683666,15683666,0,0,-1,0,18446744072274341576,18446744070865356352,101400,17840,15683666,0,15683666,0
f089a99ce73ad15531a4d1b72899d8367fab662a/3e8de30e42716b91b85d401fb7a3f9fe85d43fd9,java_gumtree,gumtree_lazy,19713194,19713212,15683660,15683660,0,0,-1,25,18446744072274341576,18446744070865355192,17840,-26104,15683660,25,15683660,25
3e8de30e42716b91b85d401fb7a3f9fe85d43fd9/4034d3cd6d13e88e2e5ca101510bf333e94a53fa,java_gumtree,gumtree_lazy,19713212,19712699,15683185,15683185,0,0,-1,591,18446744072274340416,18446744070865390656,-26104,48136,15683185,591,15683185,591
4034d3cd6d13e88e2e5ca101510bf333e94a53fa/87dd6fb2a167545872277489f97b31f0e246e3c4,java_gumtree,gumtree_lazy,19712699,19712503,15682961,15682961,0,0,-1,480,18446744072274377928,18446744070865441728,48136,49904,15682961,480,15682961,480
87dd6fb2a167545872277489f97b31f0e246e3c4/b36e32fed6c790cd24361c0e149ad010d44e25f5,java_gumtree,gumtree_lazy,19712503,19712503,15683122,15683122,0,0,-1,0,18446744072274391928,18446744070865456104,49904,7664,15683122,0,15683122,0
b36e32fed6c790cd24361c0e149ad010d44e25f5/c15b191033df3b14cfeed1e4515b94aaaff7a378,java_gumtree,gumtree_lazy,19712503,19712503,15683122,15683122,0,0,-1,0,18446744072274391928,18446744070865455808,7664,1536,15683122,0,15683122,0
c15b191033df3b14cfeed1e4515b94aaaff7a378/a6fcc5b0aa581cda5c043fea31cd89924bfdd6a2,java_gumtree,gumtree_lazy,19712503,19712503,15683122,15683122,0,0,-1,0,18446744072274391928,18446744070865456104,1536,1824,15683122,0,15683122,0
a6fcc5b0aa581cda5c043fea31cd89924bfdd6a2/976f4c36cfe741ec67d0d8a7237e0dc0410e1d78,java_gumtree,gumtree_lazy,19712503,19712503,15683122,15683122,0,0,-1,0,18446744072274391928,18446744070865455808,1824,528,15683122,0,15683122,0
976f4c36cfe741ec67d0d8a7237e0dc0410e1d78/fecd0fbdf4349aba2e0487cd1527e4a061a0ffa8,java_gumtree,gumtree_lazy,19712503,19712473,15683076,15683076,0,0,-1,85,18446744072274391856,18446744070865457456,528,37672,15683076,85,15683076,85
fecd0fbdf4349aba2e0487cd1527e4a061a0ffa8/ce37fc902b6d26de74c6a6fcbbf042f7887bacf6,java_gumtree,gumtree_lazy,19712473,19711630,15682227,15682227,0,0,-1,1157,18446744072274393736,18446744070865518032,37672,81792,15682227,1157,15682227,1157
ce37fc902b6d26de74c6a6fcbbf042f7887bacf6/90a5fef8b9975c39c3f52046f8cadf91b51d88e1,java_gumtree,gumtree_lazy,19711630,19711630,15682449,15682449,0,0,-1,0,18446744072274456608,18446744070865581920,81792,19408,15682449,0,15682449,0
90a5fef8b9975c39c3f52046f8cadf91b51d88e1/c0936deaf99390fc727acc8633e3be22e62f4bf5,java_gumtree,gumtree_lazy,19711630,19711560,15682351,15682351,0,0,-1,147,18446744072274456312,18446744070865587408,19408,28360,15682351,147,15682351,147
c0936deaf99390fc727acc8633e3be22e62f4bf5/a5037cc7954d401783671cbb2d347eedd84d8e92,java_gumtree,gumtree_lazy,19711560,19709887,15680461,15680461,0,0,-1,2602,18446744072274462464,18446744070865709248,28360,432520,15680461,2602,15680461,2602
a5037cc7954d401783671cbb2d347eedd84d8e92/b1a1874f6638eccda86d27069f10cdde55826955,java_gumtree,gumtree_lazy,19709887,19709867,15681014,15681014,0,0,-1,40,18446744072274584976,18446744070865836320,432520,55744,15681014,40,15681014,40
b1a1874f6638eccda86d27069f10cdde55826955/fee8217a65bdbcf2eed8b2c8a31852f84f1022ad,java_gumtree,gumtree_lazy,19709867,19710102,15681013,15681013,0,0,-1,241,18446744072274586488,18446744070865820040,55744,30096,15681013,241,15681013,241
fee8217a65bdbcf2eed8b2c8a31852f84f1022ad/d7812b4af7fa0e1c324104b05629d139dac1912d,java_gumtree,gumtree_lazy,19710102,19710227,15681210,15681210,0,0,-1,126,18446744072274568504,18446744070865792688,30096,15448,15681210,126,15681210,126
d7812b4af7fa0e1c324104b05629d139dac1912d/ebed442e4b1dbe3df5948dcf5cee6c3d38b7e8f5,java_gumtree,gumtree_lazy,19710227,19709740,15680613,15680613,0,0,-1,1027,18446744072274558616,18446744070865821584,15448,124424,15680613,1027,15680613,1027
ebed442e4b1dbe3df5948dcf5cee6c3d38b7e8f5/118294385161c9b76511ab6bf1ee999fb843cb77,java_gumtree,gumtree_lazy,19709740,19709632,15680698,15680698,0,0,-1,282,18446744072274597720,18446744070865870792,124424,51072,15680698,282,15680698,282
