input,kind,src_s,dst_s,mappings,actions,prepare_topdown_t,topdown_t,prepare_bottomup_t,bottomup_t,prepare_gen_t,gen_t
d67338a140bf1b744d95a514b82824bba5b16105/995132de7af5fb539f63e0de3bfc1d22aeeead95,java_gumtree,19707929,19707161,15679195,-1,0,25.171821172,0,77.464007228,0,0.000012299
d67338a140bf1b744d95a514b82824bba5b16105/995132de7af5fb539f63e0de3bfc1d22aeeead95,gumtree_lazy,19707929,19707161,15679195,831,0.391284166,0.558537136,0,4.583143047,8.234424009,22.952271433
d67338a140bf1b744d95a514b82824bba5b16105/995132de7af5fb539f63e0de3bfc1d22aeeead95,gumtree_not_lazy,19707929,19707161,15679195,831,7.6281553429999995,15.855345765,0,3.7790677280000002,3.184548097,26.164037851
d67338a140bf1b744d95a514b82824bba5b16105/995132de7af5fb539f63e0de3bfc1d22aeeead95,gumtree_partial_lazy,19707929,19707161,15679195,831,0.398305986,0.586532969,6.148110983,3.6566855240000002,3.349565897,23.073750443
995132de7af5fb539f63e0de3bfc1d22aeeead95/8d006224d209c981c563ef6625bc6f617d40684a,java_gumtree,19707161,19707188,15679195,-1,0,21.11459956,0,53.411381912,0,0.000012688
995132de7af5fb539f63e0de3bfc1d22aeeead95/8d006224d209c981c563ef6625bc6f617d40684a,gumtree_lazy,19707161,19707188,15679195,269,0.3805567,0.542524661,0,2.8955932620000002,8.970726127,22.907570674
995132de7af5fb539f63e0de3bfc1d22aeeead95/8d006224d209c981c563ef6625bc6f617d40684a,gumtree_not_lazy,19707161,19707188,15679195,269,7.961730907,13.234149153,0,1.8714583569999999,3.157069796,22.886511097
995132de7af5fb539f63e0de3bfc1d22aeeead95/8d006224d209c981c563ef6625bc6f617d40684a,gumtree_partial_lazy,19707161,19707188,15679195,269,0.380957692,0.530267766,5.807953597,2.01928498,3.418331167,25.348541621
8d006224d209c981c563ef6625bc6f617d40684a/ad2e3afd9df1a2fa140caca5752d782e904eb0c5,java_gumtree,19707188,19706974,15679103,-1,0,22.184639087,0,42.385872155,0,0.000023742
8d006224d209c981c563ef6625bc6f617d40684a/ad2e3afd9df1a2fa140caca5752d782e904eb0c5,gumtree_lazy,19707188,19706974,15679103,275,0.415887757,0.557903055,0,5.0772831,8.333888436,22.329493121
8d006224d209c981c563ef6625bc6f617d40684a/ad2e3afd9df1a2fa140caca5752d782e904eb0c5,gumtree_not_lazy,19707188,19706974,15679103,275,7.600556644,14.290611225,0,4.408204196,3.492255423,22.907537152
8d006224d209c981c563ef6625bc6f617d40684a/ad2e3afd9df1a2fa140caca5752d782e904eb0c5,gumtree_partial_lazy,19707188,19706974,15679103,275,0.387136535,0.570449324,5.996960344,4.35833517,3.473032805,24.070248049
ad2e3afd9df1a2fa140caca5752d782e904eb0c5/2560af03f913ae11bee936067404774f78fb5f13,java_gumtree,19706974,19706954,15679104,-1,0,20.359270506,0,46.274245177,0,0.000019318
ad2e3afd9df1a2fa140caca5752d782e904eb0c5/2560af03f913ae11bee936067404774f78fb5f13,gumtree_lazy,19706974,19706954,15679104,58,0.383966377,0.547413242,0,2.601945795,8.085361534,23.495580969
ad2e3afd9df1a2fa140caca5752d782e904eb0c5/2560af03f913ae11bee936067404774f78fb5f13,gumtree_not_lazy,19706974,19706954,15679104,58,7.773861601,12.976786847,0,1.985973722,3.173036155,23.273607436
ad2e3afd9df1a2fa140caca5752d782e904eb0c5/2560af03f913ae11bee936067404774f78fb5f13,gumtree_partial_lazy,19706974,19706954,15679104,58,0.408456232,0.562753334,5.945313564,1.9765841659999999,3.105579849,22.914658938
2560af03f913ae11bee936067404774f78fb5f13/ccf4d24ee71264eb32d1bf2fcc61c2a8aef7b617,java_gumtree,19706954,19707008,15679092,-1,0,20.121707992,0,36.259511055,0,0.000008762
2560af03f913ae11bee936067404774f78fb5f13/ccf4d24ee71264eb32d1bf2fcc61c2a8aef7b617,gumtree_lazy,19706954,19707008,15679092,97,0.377125911,0.536252624,0,1.9883104010000001,8.416453201,23.150871236
2560af03f913ae11bee936067404774f78fb5f13/ccf4d24ee71264eb32d1bf2fcc61c2a8aef7b617,gumtree_not_lazy,19706954,19707008,15679092,97,7.462780578,12.128150471,0,1.379474582,3.270996565,23.360932648
2560af03f913ae11bee936067404774f78fb5f13/ccf4d24ee71264eb32d1bf2fcc61c2a8aef7b617,gumtree_partial_lazy,19706954,19707008,15679092,97,0.381489675,0.597280674,6.18018174,1.374559101,3.36145312,23.999893061
ccf4d24ee71264eb32d1bf2fcc61c2a8aef7b617/eed14ef1913155330a53ab170d71f59df8422033,java_gumtree,19707008,19707081,15679104,-1,0,22.661779596,0,64.412273128,0,0.000012411
ccf4d24ee71264eb32d1bf2fcc61c2a8aef7b617/eed14ef1913155330a53ab170d71f59df8422033,gumtree_lazy,19707008,19707081,15679104,178,0.381597049,0.597305366,0,5.069474996,8.210172439,23.389644408
ccf4d24ee71264eb32d1bf2fcc61c2a8aef7b617/eed14ef1913155330a53ab170d71f59df8422033,gumtree_not_lazy,19707008,19707081,15679104,178,7.4466507889999995,12.651861849,0,4.471735348,3.280760475,22.439438495
ccf4d24ee71264eb32d1bf2fcc61c2a8aef7b617/eed14ef1913155330a53ab170d71f59df8422033,gumtree_partial_lazy,19707008,19707081,15679104,178,0.390152962,0.59656415,5.97752386,4.407300329,3.053643697,22.121455742
eed14ef1913155330a53ab170d71f59df8422033/eee8804bb8db97864ecff6b27853570e75b15807,java_gumtree,19707081,19707081,15679218,-1,0,22.147306398,0,3.781335268,0,0.000021134
