input,kind,src_s,dst_s,mappings,actions,prepare_topdown_t,topdown_t,prepare_bottomup_t,bottomup_t,prepare_gen_t,gen_t
be2b7f890d98af20eb0753650b6605a68a97ac05/c99028b9fb67158edc9f202ff8a178c9465430ba,java_gumtree,1239972,1239585,931472,506,0,1.179780111,0,5.435147489,0,8.967825845
be2b7f890d98af20eb0753650b6605a68a97ac05/c99028b9fb67158edc9f202ff8a178c9465430ba,gumtree_lazy,1239972,1239585,931472,506,0.019999978,0.037289837,0,1.958703362,0.339258843,0.948565298
be2b7f890d98af20eb0753650b6605a68a97ac05/c99028b9fb67158edc9f202ff8a178c9465430ba,gumtree_not_lazy,1239972,1239585,931472,506,0.375934751,0.69331994,0,1.917214747,0.126668184,0.950167295
be2b7f890d98af20eb0753650b6605a68a97ac05/c99028b9fb67158edc9f202ff8a178c9465430ba,gumtree_partial_lazy,1239972,1239585,931472,506,0.018839738,0.03802015,0.294414873,1.9001589810000001,0.122263533,0.937511985
c99028b9fb67158edc9f202ff8a178c9465430ba/bdb35f2deb01148eb56edc49f1c21ee0ffd6d694,java_gumtree,1239585,1238409,930711,888,0,1.135102518,0,4.795371939,0,8.609009858
c99028b9fb67158edc9f202ff8a178c9465430ba/bdb35f2deb01148eb56edc49f1c21ee0ffd6d694,gumtree_lazy,1239585,1238409,930711,888,0.022433999,0.034301317,0,2.409045484,0.357953372,1.031835083
c99028b9fb67158edc9f202ff8a178c9465430ba/bdb35f2deb01148eb56edc49f1c21ee0ffd6d694,gumtree_not_lazy,1239585,1238409,930711,888,0.429719079,0.756771918,0,2.385842459,0.15320315,1.104687464
c99028b9fb67158edc9f202ff8a178c9465430ba/bdb35f2deb01148eb56edc49f1c21ee0ffd6d694,gumtree_partial_lazy,1239585,1238409,930711,888,0.020525462,0.034349917,0.348726867,2.367711961,0.143901954,1.06382993
bdb35f2deb01148eb56edc49f1c21ee0ffd6d694/d14bb3b8d34723cadd139bc4e5c3e3efdfbf68b8,java_gumtree,1238409,1237227,929776,989,0,1.296224723,0,5.853051541,0,10.171139371
bdb35f2deb01148eb56edc49f1c21ee0ffd6d694/d14bb3b8d34723cadd139bc4e5c3e3efdfbf68b8,gumtree_lazy,1238409,1237227,929776,989,0.021839996,0.032491699,0,1.169574956,0.368265386,1.020147628
bdb35f2deb01148eb56edc49f1c21ee0ffd6d694/d14bb3b8d34723cadd139bc4e5c3e3efdfbf68b8,gumtree_not_lazy,1238409,1237227,929776,989,0.414636593,0.89833184,0,1.157278837,0.130815923,1.066617719
bdb35f2deb01148eb56edc49f1c21ee0ffd6d694/d14bb3b8d34723cadd139bc4e5c3e3efdfbf68b8,gumtree_partial_lazy,1238409,1237227,929776,989,0.021275836,0.033294505,0.309147992,1.119479287,0.129522715,1.018503665
d14bb3b8d34723cadd139bc4e5c3e3efdfbf68b8/896c707d324330d7d4ad92674187923945efcda9,java_gumtree,1237227,1237227,929800,33,0,1.140328207,0,0.224055569,0,9.078103682
d14bb3b8d34723cadd139bc4e5c3e3efdfbf68b8/896c707d324330d7d4ad92674187923945efcda9,gumtree_lazy,1237227,1237227,929800,33,0.022574526,0.031302336,0,0.003279918,0.464457192,1.046184222
d14bb3b8d34723cadd139bc4e5c3e3efdfbf68b8/896c707d324330d7d4ad92674187923945efcda9,gumtree_not_lazy,1237227,1237227,929800,33,0.408340692,0.396267952,0,0.002655697,0.135139353,1.060875144
d14bb3b8d34723cadd139bc4e5c3e3efdfbf68b8/896c707d324330d7d4ad92674187923945efcda9,gumtree_partial_lazy,1237227,1237227,929800,33,0.021640001,0.032850426,0.325950921,0.002864939,0.15044697,1.082656232
