input,kind,src_s,dst_s,mappings,actions,prepare_topdown_t,topdown_t,prepare_bottomup_t,bottomup_t,prepare_gen_t,gen_t
c2b846750dd2131d65aa25c8cf66bf3649b248f9/701263610a72725c9d32b4022f1d51b1344890d1,java_gumtree,4350188,4350210,3378655,99,0,6.156215601,0,14.557732868,0,134.321646153
c2b846750dd2131d65aa25c8cf66bf3649b248f9/701263610a72725c9d32b4022f1d51b1344890d1,gumtree_lazy,4350188,4350210,3378655,99,0.08156123,0.312440074,0,13.602755968,1.180453612,4.859818305
c2b846750dd2131d65aa25c8cf66bf3649b248f9/701263610a72725c9d32b4022f1d51b1344890d1,gumtree_not_lazy,4350188,4350210,3378655,99,1.5162432,2.292999598,0,12.460229678,0.529525447,4.521938861
c2b846750dd2131d65aa25c8cf66bf3649b248f9/701263610a72725c9d32b4022f1d51b1344890d1,gumtree_partial_lazy,4350188,4350210,3378655,99,0.080718399,0.302494588,1.063232918,12.919511521,0.606980884,4.5819199170000005
701263610a72725c9d32b4022f1d51b1344890d1/1ecc053e70d57a8da70bf23bf5293b2072337b09,java_gumtree,4350210,4350188,3378655,99,0,6.093507098,0,14.778790789,0,134.391169531
701263610a72725c9d32b4022f1d51b1344890d1/1ecc053e70d57a8da70bf23bf5293b2072337b09,gumtree_lazy,4350210,4350188,3378655,99,0.090738186,0.34860907,0,14.759751932,1.275101654,4.896590912
701263610a72725c9d32b4022f1d51b1344890d1/1ecc053e70d57a8da70bf23bf5293b2072337b09,gumtree_not_lazy,4350210,4350188,3378655,99,1.71416886,3.26826128,0,14.41177754,0.627995983,5.126862324
701263610a72725c9d32b4022f1d51b1344890d1/1ecc053e70d57a8da70bf23bf5293b2072337b09,gumtree_partial_lazy,4350210,4350188,3378655,99,0.085328668,0.359544133,1.182915934,14.277471589,0.641111624,5.438514754
1ecc053e70d57a8da70bf23bf5293b2072337b09/cf8b7170505c2329b34ff1f8c0b76977a4d7c2c2,java_gumtree,4350188,4350097,3378586,93,0,4.7861856320000005,0,3.591691146,0,139.041961174
1ecc053e70d57a8da70bf23bf5293b2072337b09/cf8b7170505c2329b34ff1f8c0b76977a4d7c2c2,gumtree_lazy,4350188,4350097,3378586,93,0.080617135,0.112945654,0,0.909236237,1.780875853,5.27777081
1ecc053e70d57a8da70bf23bf5293b2072337b09/cf8b7170505c2329b34ff1f8c0b76977a4d7c2c2,gumtree_not_lazy,4350188,4350097,3378586,93,1.656354915,1.937921716,0,0.745289259,0.539025788,4.923980395
1ecc053e70d57a8da70bf23bf5293b2072337b09/cf8b7170505c2329b34ff1f8c0b76977a4d7c2c2,gumtree_partial_lazy,4350188,4350097,3378586,93,0.081541603,0.110153203,1.1444846929999999,0.756257084,0.596237635,5.315143795
cf8b7170505c2329b34ff1f8c0b76977a4d7c2c2/a9cac5ee0b921deaa51758f038f9316ca821616a,java_gumtree,4350097,4349494,3378084,544,0,5.362774719,0,8.097487527,0,137.135469123
cf8b7170505c2329b34ff1f8c0b76977a4d7c2c2/a9cac5ee0b921deaa51758f038f9316ca821616a,gumtree_lazy,4350097,4349494,3378084,544,0.080271114,0.121785482,0,0.687751204,1.810023613,5.3436966550000005
cf8b7170505c2329b34ff1f8c0b76977a4d7c2c2/a9cac5ee0b921deaa51758f038f9316ca821616a,gumtree_not_lazy,4350097,4349494,3378084,544,1.574148906,2.524469829,0,0.582318995,0.59266763,5.02654943
cf8b7170505c2329b34ff1f8c0b76977a4d7c2c2/a9cac5ee0b921deaa51758f038f9316ca821616a,gumtree_partial_lazy,4350097,4349494,3378084,544,0.081509345,0.110291467,1.147440316,0.636844466,0.647434744,4.923768042
a9cac5ee0b921deaa51758f038f9316ca821616a/005a6a4e7b3632d6719640eac621690d3268fd1f,java_gumtree,4349494,4349366,3377651,830,0,4.297570547,0,2.539528905,0,142.441194132
a9cac5ee0b921deaa51758f038f9316ca821616a/005a6a4e7b3632d6719640eac621690d3268fd1f,gumtree_lazy,4349494,4349366,3377651,830,0.080653648,0.116917488,0,0.183221489,1.625787768,4.907938515
a9cac5ee0b921deaa51758f038f9316ca821616a/005a6a4e7b3632d6719640eac621690d3268fd1f,gumtree_not_lazy,4349494,4349366,3377651,830,1.491078625,1.941728562,0,0.141866788,0.717850691,5.733513369
a9cac5ee0b921deaa51758f038f9316ca821616a/005a6a4e7b3632d6719640eac621690d3268fd1f,gumtree_partial_lazy,4349494,4349366,3377651,830,0.084135498,0.119400844,1.158928269,0.136389223,0.58080821,4.696291374
