input,kind,src_s,dst_s,mappings,actions,prepare_topdown_t,topdown_t,prepare_bottomup_t,bottomup_t,prepare_gen_t,gen_t
c2b846750dd2131d65aa25c8cf66bf3649b248f9/701263610a72725c9d32b4022f1d51b1344890d1,java_gumtree,4350188,4350210,3378655,99,0,6.414063787,0,15.931277599,0,129.903631504
c2b846750dd2131d65aa25c8cf66bf3649b248f9/701263610a72725c9d32b4022f1d51b1344890d1,gumtree_lazy,4350188,4350210,3378655,99,0.087689179,0.338259349,0,14.761849552,1.181704191,4.911996963
c2b846750dd2131d65aa25c8cf66bf3649b248f9/701263610a72725c9d32b4022f1d51b1344890d1,gumtree_not_lazy,4350188,4350210,3378655,99,1.5096020270000001,2.522851737,0,12.867256189999999,0.592683032,4.750412428
c2b846750dd2131d65aa25c8cf66bf3649b248f9/701263610a72725c9d32b4022f1d51b1344890d1,gumtree_partial_lazy,4350188,4350210,3378655,99,0.089712967,0.346267103,1.3006774380000001,13.535008407,0.651182262,5.058087015
701263610a72725c9d32b4022f1d51b1344890d1/1ecc053e70d57a8da70bf23bf5293b2072337b09,java_gumtree,4350210,4350188,3378655,99,0,6.253345995,0,14.651586847,0,138.055935593
701263610a72725c9d32b4022f1d51b1344890d1/1ecc053e70d57a8da70bf23bf5293b2072337b09,gumtree_lazy,4350210,4350188,3378655,99,0.090311724,0.304040833,0,13.111125361,1.220604743,4.962300391
701263610a72725c9d32b4022f1d51b1344890d1/1ecc053e70d57a8da70bf23bf5293b2072337b09,gumtree_not_lazy,4350210,4350188,3378655,99,1.473944308,2.431040578,0,12.827819963,0.616234207,4.967327294
701263610a72725c9d32b4022f1d51b1344890d1/1ecc053e70d57a8da70bf23bf5293b2072337b09,gumtree_partial_lazy,4350210,4350188,3378655,99,0.08085339,0.319784934,1.176761881,12.634373236,0.589134038,4.993383024
1ecc053e70d57a8da70bf23bf5293b2072337b09/cf8b7170505c2329b34ff1f8c0b76977a4d7c2c2,java_gumtree,4350188,4350097,3378586,93,0,4.510668174,0,3.584218884,0,134.79872522
1ecc053e70d57a8da70bf23bf5293b2072337b09/cf8b7170505c2329b34ff1f8c0b76977a4d7c2c2,gumtree_lazy,4350188,4350097,3378586,93,0.092375524,0.120856452,0,0.943330488,1.808799813,4.916914128
1ecc053e70d57a8da70bf23bf5293b2072337b09/cf8b7170505c2329b34ff1f8c0b76977a4d7c2c2,gumtree_not_lazy,4350188,4350097,3378586,93,1.634725751,2.023102852,0,0.80131733,0.660371398,5.320981753
1ecc053e70d57a8da70bf23bf5293b2072337b09/cf8b7170505c2329b34ff1f8c0b76977a4d7c2c2,gumtree_partial_lazy,4350188,4350097,3378586,93,0.096038099,0.110031989,1.178326783,0.780336099,0.605734668,5.31931559
cf8b7170505c2329b34ff1f8c0b76977a4d7c2c2/a9cac5ee0b921deaa51758f038f9316ca821616a,java_gumtree,4350097,4349494,3378084,544,0,4.723707741,0,7.477135955,0,139.913796917
cf8b7170505c2329b34ff1f8c0b76977a4d7c2c2/a9cac5ee0b921deaa51758f038f9316ca821616a,gumtree_lazy,4350097,4349494,3378084,544,0.081362383,0.115126746,0,0.641413598,1.713637677,5.382213694
cf8b7170505c2329b34ff1f8c0b76977a4d7c2c2/a9cac5ee0b921deaa51758f038f9316ca821616a,gumtree_not_lazy,4350097,4349494,3378084,544,1.5864381330000001,2.512121398,0,0.596874464,0.668088739,4.970127528
cf8b7170505c2329b34ff1f8c0b76977a4d7c2c2/a9cac5ee0b921deaa51758f038f9316ca821616a,gumtree_partial_lazy,4350097,4349494,3378084,544,0.091567337,0.112323123,1.217642295,0.636140582,0.712433869,4.975903116
a9cac5ee0b921deaa51758f038f9316ca821616a/005a6a4e7b3632d6719640eac621690d3268fd1f,java_gumtree,4349494,4349366,3377651,830,0,5.517429335,0,2.903354895,0,141.52773711
a9cac5ee0b921deaa51758f038f9316ca821616a/005a6a4e7b3632d6719640eac621690d3268fd1f,gumtree_lazy,4349494,4349366,3377651,830,0.081959927,0.118321154,0,0.19702095,1.785587443,5.116646842
a9cac5ee0b921deaa51758f038f9316ca821616a/005a6a4e7b3632d6719640eac621690d3268fd1f,gumtree_not_lazy,4349494,4349366,3377651,830,1.70306237,2.160552463,0,0.149851035,0.657141374,5.592366785
a9cac5ee0b921deaa51758f038f9316ca821616a/005a6a4e7b3632d6719640eac621690d3268fd1f,gumtree_partial_lazy,4349494,4349366,3377651,830,0.080883143,0.116922398,1.197678319,0.158816122,0.649321185,5.360639655
005a6a4e7b3632d6719640eac621690d3268fd1f/5e23212172a761c416ec682c55f462852c381e92,java_gumtree,4349366,4348808,3377536,477,0,4.812528748,0,5.077827494,0,141.23401478
005a6a4e7b3632d6719640eac621690d3268fd1f/5e23212172a761c416ec682c55f462852c381e92,gumtree_lazy,4349366,4348808,3377536,477,0.092526483,0.111054149,0,4.272247631,1.9107073350000001,5.068857402
005a6a4e7b3632d6719640eac621690d3268fd1f/5e23212172a761c416ec682c55f462852c381e92,gumtree_not_lazy,4349366,4348808,3377536,477,1.536839024,1.715475514,0,4.144590701,0.629139803,5.119711047
005a6a4e7b3632d6719640eac621690d3268fd1f/5e23212172a761c416ec682c55f462852c381e92,gumtree_partial_lazy,4349366,4348808,3377536,477,0.080702856,0.111967854,1.180847141,4.21300337,0.765508203,5.138383072
5e23212172a761c416ec682c55f462852c381e92/960121db545f2d8aec7a87da8c54a9645fde266c,java_gumtree,4348808,4348804,3377526,59,0,4.53664302,0,2.803569827,0,137.071551954
5e23212172a761c416ec682c55f462852c381e92/960121db545f2d8aec7a87da8c54a9645fde266c,gumtree_lazy,4348808,4348804,3377526,59,0.088170151,0.117930082,0,0.243453929,1.854613361,5.109943209
5e23212172a761c416ec682c55f462852c381e92/960121db545f2d8aec7a87da8c54a9645fde266c,gumtree_not_lazy,4348808,4348804,3377526,59,1.714339067,2.113665216,0,0.214246606,0.655529931,5.415279894
5e23212172a761c416ec682c55f462852c381e92/960121db545f2d8aec7a87da8c54a9645fde266c,gumtree_partial_lazy,4348808,4348804,3377526,59,0.089375989,0.123856262,1.338333303,0.205077822,0.642316456,4.9403236459999995
960121db545f2d8aec7a87da8c54a9645fde266c/afbf8d26b17548896b55d4edbcdcc4f8bb625a7d,java_gumtree,4348804,4347480,3376391,1337,0,4.703566181,0,7.231014582,0,131.466475633
