input,gt_tool,hast_tool,src_s,dst_s,gt_m,hast_m,missing_mappings,additional_mappings,gt_c,hast_c,gt_src_heap,gt_dst_heap,hast_src_heap,hast_dst_heap,not_lazy_m,not_lazy_c,partial_lazy_m,partial_lazy_c
a46b20d25f12dfb6af1d89c6bd8e39220cc8c928/0a7dfcc33217a2b3936ae129e7becfbbc0d944f8,java_gumtree,gumtree_lazy,25038643,25038167,19794775,19794775,0,0,-1,509,18446744071898965272,18446744070125241128,2654917672,59224,19794775,509,19794775,509
0a7dfcc33217a2b3936ae129e7becfbbc0d944f8/e76616f690a2e2a552a84ce48ec8fd18f56d1b98,java_gumtree,gumtree_lazy,25038167,25038299,19794812,19794812,0,0,-1,199,18446744071898998704,18446744070125263648,59224,47848,19794812,199,19794812,199
e76616f690a2e2a552a84ce48ec8fd18f56d1b98/2fa540dca1104d999772b5b26f58406c40dec3a5,java_gumtree,gumtree_lazy,25038299,25038299,19794970,19794970,0,0,-1,0,18446744071898988048,18446744070125253520,47848,-9000,19794970,0,19794970,0
2fa540dca1104d999772b5b26f58406c40dec3a5/ee7d1787cd2cdfea936425dcf88e750827ff5c1b,java_gumtree,gumtree_lazy,25038299,25037986,19794510,19794510,0,0,-1,670,18446744071898988048,18446744070125276608,-9000,82776,19794510,670,19794510,670
ee7d1787cd2cdfea936425dcf88e750827ff5c1b/0a4528cd7f999f71e4586861c8761d159eb42545,java_gumtree,gumtree_lazy,25037986,25037851,19794412,19794412,0,0,-1,561,18446744071899010968,18446744070125308280,82776,36168,19794412,561,19794412,561
0a4528cd7f999f71e4586861c8761d159eb42545/c67c2b756907af2d7167a32bdb2756ca18fd3960,java_gumtree,gumtree_lazy,25037851,25037851,19794441,19794441,0,0,-1,360,18446744071899020464,18446744070125317344,36168,27040,19794441,360,19794441,360
c67c2b756907af2d7167a32bdb2756ca18fd3960/2e88096266419662b76d4ddd7073a1dce234d79c,java_gumtree,gumtree_lazy,25037851,25037255,19794003,19794003,0,0,-1,749,18446744071899020464,18446744070125361368,27040,57768,19794003,749,19794003,749
2e88096266419662b76d4ddd7073a1dce234d79c/f71fd885be48bfa1f5bd0686519bed90a2fda561,java_gumtree,gumtree_lazy,25037255,25037255,19794105,19794105,0,0,-1,59,18446744071899065544,18446744070125406672,57768,12504,19794105,59,19794105,59
f71fd885be48bfa1f5bd0686519bed90a2fda561/86ac1ad9e573f8f42737a9260f4bc9878e20448d,java_gumtree,gumtree_lazy,25037255,25035040,19792360,19792360,0,0,-1,1891,18446744071899065768,18446744070125558088,12504,106032,19792360,1891,19792360,1891
86ac1ad9e573f8f42737a9260f4bc9878e20448d/dadd3d9138d2e90a1bb0463e4053d76afc4c8854,java_gumtree,gumtree_lazy,25035040,25035032,19792416,19792416,0,0,-1,38,18446744071899223104,18446744070125716184,106032,48368,19792416,38,19792416,38
