input,gt_tool,hast_tool,src_s,dst_s,gt_m,hast_m,missing_mappings,additional_mappings,gt_c,hast_c,gt_src_heap,gt_dst_heap,hast_src_heap,hast_dst_heap,not_lazy_m,not_lazy_c,partial_lazy_m,partial_lazy_c
be2b7f890d98af20eb0753650b6605a68a97ac05/c99028b9fb67158edc9f202ff8a178c9465430ba,java_gumtree,gumtree_lazy,1239972,1239585,931472,931472,0,0,506,506,18446744073624108800,18446744073540565656,149232552,5120,931472,506,931472,506
c99028b9fb67158edc9f202ff8a178c9465430ba/bdb35f2deb01148eb56edc49f1c21ee0ffd6d694,java_gumtree,gumtree_lazy,1239585,1238409,930711,930711,0,0,888,888,18446744073624133128,18446744073540668056,5120,-3568,930711,888,930711,888
bdb35f2deb01148eb56edc49f1c21ee0ffd6d694/d14bb3b8d34723cadd139bc4e5c3e3efdfbf68b8,java_gumtree,gumtree_lazy,1238409,1237227,929776,929776,0,0,989,989,18446744073624211728,18446744073540828088,-3568,34376,929776,989,929776,989
d14bb3b8d34723cadd139bc4e5c3e3efdfbf68b8/896c707d324330d7d4ad92674187923945efcda9,java_gumtree,gumtree_lazy,1237227,1237227,929800,929800,0,0,33,33,18446744073624294760,18446744073540911224,34376,-6528,929800,33,929800,33
896c707d324330d7d4ad92674187923945efcda9/d92538b80f302fc40530468efe7ca7bf63b7ba52,java_gumtree,gumtree_lazy,1237227,1237412,928910,928910,0,0,2064,2064,18446744073624294760,18446744073540905640,-6528,141384,928910,2064,928910,2064
d92538b80f302fc40530468efe7ca7bf63b7ba52/e85ff889b333b82da20b988fbb42bdbfdb814545,java_gumtree,gumtree_lazy,1237412,1237440,929867,929867,0,0,28,28,18446744073624290520,18446744073540900392,141384,12136,929867,28,929867,28
e85ff889b333b82da20b988fbb42bdbfdb814545/31193cbf0c93205a63c8c7b372b09200f60e69f4,java_gumtree,gumtree_lazy,1237440,1237440,929883,929883,0,0,15,15,18446744073624288744,18446744073540898568,12136,17312,929883,15,929883,15
31193cbf0c93205a63c8c7b372b09200f60e69f4/7c79e634ce2f11b2601d463655fae82c13b8e677,java_gumtree,gumtree_lazy,1237440,1237395,929839,929839,0,0,66,66,18446744073624288696,18446744073540902504,17312,32224,929839,66,929839,66
7c79e634ce2f11b2601d463655fae82c13b8e677/97c1e4b4aa73f5851801fdf5e17f013dd46a6b3e,java_gumtree,gumtree_lazy,1237395,1237395,929849,929849,0,0,0,0,18446744073624292480,18446744073540906288,32224,4352,929849,0,929849,0
97c1e4b4aa73f5851801fdf5e17f013dd46a6b3e/b3d5c12c7ac4301aef5a1b768e8b65c7cb54b0bb,java_gumtree,gumtree_lazy,1237395,1237491,929827,929827,0,0,113,113,18446744073624292480,18446744073540899224,4352,5704,929827,113,929827,113
