input,gt_tool,hast_tool,src_s,dst_s,gt_m,hast_m,missing_mappings,additional_mappings,gt_c,hast_c,gt_src_heap,gt_dst_heap,hast_src_heap,hast_dst_heap,not_lazy_m,not_lazy_c,partial_lazy_m,partial_lazy_c
5ac8332061fbbd4f11d5f280ff12b65fe7308540/fa82421cbe3933609253180368235f4a84930780,java_gumtree,gumtree_lazy,10080434,10058666,-1,8148882,-1,-1,20444,-1,-1,-1,1151039264,932800,8148882,20444,8148882,20444
fa82421cbe3933609253180368235f4a84930780/c0896f980fc42ef2adb519ffe9668b29dfd8941c,java_gumtree,gumtree_lazy,10058666,10080392,-1,8148828,-1,-1,20493,-1,-1,-1,932800,52504,8148828,20493,8148828,20493
c0896f980fc42ef2adb519ffe9668b29dfd8941c/241376f4c6687bc4205a7f0b0727e15a0e67e652,java_gumtree,gumtree_lazy,10080392,10078293,-1,8165807,-1,-1,2082,-1,-1,-1,52504,38264,8165807,2082,8165807,2082
241376f4c6687bc4205a7f0b0727e15a0e67e652/eeef694798417998ad912d4cbb2113fd9b59e4ee,java_gumtree,gumtree_lazy,10078293,10080388,-1,8165801,-1,-1,2092,-1,-1,-1,38264,384,8165801,2092,8165801,2092
eeef694798417998ad912d4cbb2113fd9b59e4ee/383bd0a367efcef5b224549937927a28b30bcca0,java_gumtree,gumtree_lazy,10080388,10075546,-1,8163492,-1,-1,4494,-1,-1,-1,384,31128,8163492,4494,8163492,4494
383bd0a367efcef5b224549937927a28b30bcca0/efe06cb8a9dfd06208a08ce71c957a813dac7665,java_gumtree,gumtree_lazy,10075546,10080388,-1,8163492,-1,-1,4495,-1,-1,-1,31128,-7888,8163492,4495,8163492,4495
efe06cb8a9dfd06208a08ce71c957a813dac7665/b0fe5489f13ea16248aef0849e53f2844aab0eb5,java_gumtree,gumtree_lazy,10080388,10050944,-1,8141754,-1,-1,28220,-1,-1,-1,-7888,1329384,8141754,28220,8141754,28220
b0fe5489f13ea16248aef0849e53f2844aab0eb5/ff4e5b7392e8e4cca74270f767fe3e99e6c95a6e,java_gumtree,gumtree_lazy,10050944,10080448,-1,8141750,-1,-1,28233,-1,-1,-1,1329384,8088,8141750,28233,8141750,28233
ff4e5b7392e8e4cca74270f767fe3e99e6c95a6e/b4e37fea2e18885fc38c43140675b0c880da19e2,java_gumtree,gumtree_lazy,10080448,10059307,-1,8149431,-1,-1,19842,-1,-1,-1,8088,1408,8149431,19842,8149431,19842
b4e37fea2e18885fc38c43140675b0c880da19e2/381cad1d788d63ea439a501259a06858fbb92ba4,java_gumtree,gumtree_lazy,10059307,10079765,-1,8149123,-1,-1,19934,-1,-1,-1,1408,14440,8149123,19934,8149123,19934
