input,gt_tool,hast_tool,src_s,dst_s,gt_m,hast_m,missing_mappings,additional_mappings,gt_c,hast_c,gt_src_heap,gt_dst_heap,hast_src_heap,hast_dst_heap,not_lazy_m,not_lazy_c,partial_lazy_m,partial_lazy_c
ee73f4376aa929d8dce950202fabb8992a77c9fb/61a97da5efdd8a8e028cee7977bbbf42f525c4d8,java_gumtree,gumtree_lazy,2041920,2041920,1657509,1657509,0,0,0,0,18446744073556783656,18446744073407257648,283311824,4464,1657509,0,1657509,0
61a97da5efdd8a8e028cee7977bbbf42f525c4d8/c07e6804a5fcea43b489870944c8948f5e699c49,java_gumtree,gumtree_lazy,2041920,2041920,1657509,1657509,0,0,0,0,18446744073556783840,18446744073407257832,4464,0,1657509,0,1657509,0
c07e6804a5fcea43b489870944c8948f5e699c49/72e73bb13d23b3fd21da7f257d20a698c7eeb10e,java_gumtree,gumtree_lazy,2041920,2041920,1657509,1657509,0,0,0,0,18446744073556783840,18446744073407257832,0,0,1657509,0,1657509,0
72e73bb13d23b3fd21da7f257d20a698c7eeb10e/c7a226484703ea7ccc385590ea433fe6c2e79cd2,java_gumtree,gumtree_lazy,2041920,2041920,1657509,1657509,0,0,0,0,18446744073556784136,18446744073407258128,0,3072,1657509,0,1657509,0
c7a226484703ea7ccc385590ea433fe6c2e79cd2/b57e4991649a8382d8cd8bfe55fbbf63a832627d,java_gumtree,gumtree_lazy,2041920,2041920,1657506,1657506,0,0,7,7,18446744073556784136,18446744073407258080,3072,9552,1657506,7,1657506,7
b57e4991649a8382d8cd8bfe55fbbf63a832627d/fbb0aadbc53899f05b548430bba60cd681a8bb42,java_gumtree,gumtree_lazy,2041920,2041920,1657509,1657509,0,0,0,0,18446744073556784160,18446744073407257352,9552,3072,1657509,0,1657509,0
fbb0aadbc53899f05b548430bba60cd681a8bb42/3f8c1b4b992f01fabd3decbdc51b454fa04962eb,java_gumtree,gumtree_lazy,2041920,2041920,1657506,1657506,0,0,7,7,18446744073556784136,18446744073407258128,3072,15872,1657506,7,1657506,7
3f8c1b4b992f01fabd3decbdc51b454fa04962eb/4d3e52f866742be51669e5e347d6d303138acc8b,java_gumtree,gumtree_lazy,2041920,2041704,1657317,1657317,0,0,209,209,18446744073556783704,18446744073407273736,15872,19808,1657317,209,1657317,209
4d3e52f866742be51669e5e347d6d303138acc8b/85415910d1c80c0034ca96c840ab2e8dc6ca9f13,java_gumtree,gumtree_lazy,2041704,2041704,1657328,1657328,0,0,7,7,18446744073556800616,18446744073407290696,19808,-2008,1657328,7,1657328,7
85415910d1c80c0034ca96c840ab2e8dc6ca9f13/c17c755b2dc17471df291b8028c650718681bd9a,java_gumtree,gumtree_lazy,2041704,2041704,1657328,1657328,0,0,7,7,18446744073556800496,18446744073407290696,-2008,10272,1657328,7,1657328,7
c17c755b2dc17471df291b8028c650718681bd9a/2dcc1e82148d884936c03607d0fe84c9eeddcbf0,java_gumtree,gumtree_lazy,2041704,2041774,1657299,1657299,0,0,155,155,18446744073556800616,18446744073407286000,10272,41320,1657299,155,1657299,155
2dcc1e82148d884936c03607d0fe84c9eeddcbf0/0da6e330a1e6c71f60c94ecb8ce2c29947aa9c02,java_gumtree,gumtree_lazy,2041774,2041781,1657350,1657350,0,0,85,85,18446744073556795808,18446744073407280536,41320,26176,1657350,85,1657350,85
0da6e330a1e6c71f60c94ecb8ce2c29947aa9c02/74ee133f4fe25d8606e0775ade577cd8e8b5cbfd,java_gumtree,gumtree_lazy,2041781,2041605,1657188,1657188,0,0,270,270,18446744073556795208,18446744073407292624,26176,20632,1657188,270,1657188,270
74ee133f4fe25d8606e0775ade577cd8e8b5cbfd/76ffd3353a535b0ce6edf0bf961a05236a40d3a1,java_gumtree,gumtree_lazy,2041605,2041308,1656958,1656958,0,0,343,343,18446744073556807872,18446744073407327752,20632,13008,1656958,343,1656958,343
76ffd3353a535b0ce6edf0bf961a05236a40d3a1/49632515bce3e13a827bba377cdd81bc05f752ad,java_gumtree,gumtree_lazy,2041308,2041308,1656993,1656993,0,0,0,0,18446744073556831160,18446744073407351736,13008,4224,1656993,0,1656993,0
49632515bce3e13a827bba377cdd81bc05f752ad/999e4dd48dcbfd38049d777a9ddf34a517503549,java_gumtree,gumtree_lazy,2041308,2041620,1656946,1656946,0,0,375,375,18446744073556831160,18446744073407329224,4224,51560,1656946,375,1656946,375
999e4dd48dcbfd38049d777a9ddf34a517503549/539322b8bf628721ce2638459da20dbfb4230083,java_gumtree,gumtree_lazy,2041620,2041620,1657235,1657235,0,0,0,0,18446744073556808840,18446744073407308056,51560,0,1657235,0,1657235,0
539322b8bf628721ce2638459da20dbfb4230083/410e0f3804fa71bf09d57aa1cadabe1339ac3c56,java_gumtree,gumtree_lazy,2041620,2041636,1657178,1657178,0,0,128,128,18446744073556809136,18446744073407307208,0,71352,1657178,128,1657178,128
410e0f3804fa71bf09d57aa1cadabe1339ac3c56/fac5c6da1904af0756933e5be5aeb9480f12c97a,java_gumtree,gumtree_lazy,2041636,2041659,1657230,1657230,0,0,60,60,18446744073556807144,18446744073407303384,71352,-19912,1657230,60,1657230,60
