input,kind,src_s,dst_s,mappings,actions,prepare_topdown_t,topdown_t,prepare_bottomup_t,bottomup_t,prepare_gen_t,gen_t
c661d2d24892ce8a09a783ca3ba82eda90a66a85/989728d5ea93c8a278104fd9722ba536ed1d93cf,gumtree_lazy,615730,615720,481332,36,0.009709104,0.017765333,0,0.243997729,0.168086072,0.585761022
c661d2d24892ce8a09a783ca3ba82eda90a66a85/989728d5ea93c8a278104fd9722ba536ed1d93cf,gumtree_not_lazy,615730,615720,481332,36,0.212025685,0.775876676,0,0.188047386,0.078341042,0.61060555
c661d2d24892ce8a09a783ca3ba82eda90a66a85/989728d5ea93c8a278104fd9722ba536ed1d93cf,gumtree_partial_lazy,615730,615720,481332,36,0.008103841,0.017256984,0.157088765,0.17623023,0.070507868,0.602920924
989728d5ea93c8a278104fd9722ba536ed1d93cf/cb36bdfe21cb6819033c5ca7cae231b26fc3d1f7,java_gumtree,615720,615720,481342,0,0,0.629848684,0,0.070954121,0,3.713779032
989728d5ea93c8a278104fd9722ba536ed1d93cf/cb36bdfe21cb6819033c5ca7cae231b26fc3d1f7,gumtree_lazy,615720,615720,481342,0,0.010296226,0.016573891,0,0.000589285,0.229985798,0.583128957
989728d5ea93c8a278104fd9722ba536ed1d93cf/cb36bdfe21cb6819033c5ca7cae231b26fc3d1f7,gumtree_not_lazy,615720,615720,481342,0,0.215666873,0.11559317,0,0.001383508,0.091191882,0.594873946
989728d5ea93c8a278104fd9722ba536ed1d93cf/cb36bdfe21cb6819033c5ca7cae231b26fc3d1f7,gumtree_partial_lazy,615720,615720,481342,0,0.009596608,0.016997246,0.155354112,0.000670934,0.070408472,0.564892257
cb36bdfe21cb6819033c5ca7cae231b26fc3d1f7/2157ca3c0d34c7b131e9ce60b7d00145900e8d72,java_gumtree,615720,615720,481342,0,0,0.582769741,0,0.069144957,0,3.8844767989999998
cb36bdfe21cb6819033c5ca7cae231b26fc3d1f7/2157ca3c0d34c7b131e9ce60b7d00145900e8d72,gumtree_lazy,615720,615720,481342,0,0.007788412,0.017160887,0,0.000589453,0.239807253,0.616234505
cb36bdfe21cb6819033c5ca7cae231b26fc3d1f7/2157ca3c0d34c7b131e9ce60b7d00145900e8d72,gumtree_not_lazy,615720,615720,481342,0,0.214807632,0.119975682,0,0.00066163,0.072266798,0.589481476
cb36bdfe21cb6819033c5ca7cae231b26fc3d1f7/2157ca3c0d34c7b131e9ce60b7d00145900e8d72,gumtree_partial_lazy,615720,615720,481342,0,0.009610084,0.016650474,0.160400921,0.000668896,0.07330409,0.590079015
2157ca3c0d34c7b131e9ce60b7d00145900e8d72/ff1fd1c95551c86e61ab9e193d048d90a87e1886,java_gumtree,615720,615945,481286,332,0,0.870731687,0,12.103342869,0,4.081227756
2157ca3c0d34c7b131e9ce60b7d00145900e8d72/ff1fd1c95551c86e61ab9e193d048d90a87e1886,gumtree_lazy,615720,615945,481286,332,0.00872775,0.034573886,0,6.464867329,0.181121705,0.627223839
2157ca3c0d34c7b131e9ce60b7d00145900e8d72/ff1fd1c95551c86e61ab9e193d048d90a87e1886,gumtree_not_lazy,615720,615945,481286,332,0.228169988,0.957401246,0,6.209091136,0.078096674,0.632959946
2157ca3c0d34c7b131e9ce60b7d00145900e8d72/ff1fd1c95551c86e61ab9e193d048d90a87e1886,gumtree_partial_lazy,615720,615945,481286,332,0.008232797,0.034673893,0.16367181,6.217698031,0.0794625,0.663284445
ff1fd1c95551c86e61ab9e193d048d90a87e1886/923201270aac262f7bb420f82590f0c7f6f1f353,java_gumtree,615945,615945,481543,0,0,0.631001868,0,0.086013839,0,4.003199424
ff1fd1c95551c86e61ab9e193d048d90a87e1886/923201270aac262f7bb420f82590f0c7f6f1f353,gumtree_lazy,615945,615945,481543,0,0.00978317,0.017286334,0,0.000589454,0.233371891,0.604373209
ff1fd1c95551c86e61ab9e193d048d90a87e1886/923201270aac262f7bb420f82590f0c7f6f1f353,gumtree_not_lazy,615945,615945,481543,0,0.218219794,0.12018159,0,0.000661932,0.076928948,0.597278157
ff1fd1c95551c86e61ab9e193d048d90a87e1886/923201270aac262f7bb420f82590f0c7f6f1f353,gumtree_partial_lazy,615945,615945,481543,0,0.007327384,0.0155528,0.16084822,0.00067126,0.077875164,0.624569701
923201270aac262f7bb420f82590f0c7f6f1f353/9cee219896ae9a66bfce78cd520aad3461ec407b,java_gumtree,615945,615945,481536,16,0,0.661109418,0,0.564428137,0,4.220146871
923201270aac262f7bb420f82590f0c7f6f1f353/9cee219896ae9a66bfce78cd520aad3461ec407b,gumtree_lazy,615945,615945,481536,16,0.011352684,0.017294087,0,0.033335578,0.228624906,0.595019209
