input,kind,src_s,dst_s,mappings,actions,prepare_topdown_t,topdown_t,prepare_bottomup_t,bottomup_t,prepare_gen_t,gen_t
85417f68e1eb6d90d46e145229e390cf55a4a554/f481dae03021bca4667a6c038451aa1482dca9b2,java_gumtree,9389,9389,8319,11,0,0.082414529,0,0.796080381,0,0.052667654
85417f68e1eb6d90d46e145229e390cf55a4a554/f481dae03021bca4667a6c038451aa1482dca9b2,gumtree_lazy,9389,9389,8319,11,0.00012022,0.000565026,0,0.699017686,0.0025077,0.006389708
85417f68e1eb6d90d46e145229e390cf55a4a554/f481dae03021bca4667a6c038451aa1482dca9b2,gumtree_not_lazy,9389,9389,8319,11,0.003388228,0.004233919,0,0.705162196,0.000956792,0.006230355
85417f68e1eb6d90d46e145229e390cf55a4a554/f481dae03021bca4667a6c038451aa1482dca9b2,gumtree_partial_lazy,9389,9389,8319,11,0.000115942,0.000665452,0.002112931,0.699002803,0.000919949,0.006444327
f481dae03021bca4667a6c038451aa1482dca9b2/4622dbfb0d17551b1fc2765a0bb638ee59fb65bb,java_gumtree,9389,9176,8130,197,0,0.107443648,0,1.98852615,0,0.057870988
f481dae03021bca4667a6c038451aa1482dca9b2/4622dbfb0d17551b1fc2765a0bb638ee59fb65bb,gumtree_lazy,9389,9176,8130,197,0.000100822,0.00085583,0,1.5877274049999999,0.002233817,0.005643206
f481dae03021bca4667a6c038451aa1482dca9b2/4622dbfb0d17551b1fc2765a0bb638ee59fb65bb,gumtree_not_lazy,9389,9176,8130,197,0.0088504,0.012591665,0,1.843827119,0.000884671,0.005892757
f481dae03021bca4667a6c038451aa1482dca9b2/4622dbfb0d17551b1fc2765a0bb638ee59fb65bb,gumtree_partial_lazy,9389,9176,8130,197,0.000106403,0.000990397,0.001973448,1.736638865,0.000834254,0.00536659
4622dbfb0d17551b1fc2765a0bb638ee59fb65bb/ba4357a0863ae42a77c514758c917870a5d2d74b,java_gumtree,9176,9308,8130,128,0,0.134477251,0,1.374745326,0,0.06044256
4622dbfb0d17551b1fc2765a0bb638ee59fb65bb/ba4357a0863ae42a77c514758c917870a5d2d74b,gumtree_lazy,9176,9308,8130,128,0.000121472,0.005982208,0,1.148145474,0.002187971,0.006357997
4622dbfb0d17551b1fc2765a0bb638ee59fb65bb/ba4357a0863ae42a77c514758c917870a5d2d74b,gumtree_not_lazy,9176,9308,8130,128,0.00427966,0.012480733,0,1.33788565,0.000990611,0.006279534
4622dbfb0d17551b1fc2765a0bb638ee59fb65bb/ba4357a0863ae42a77c514758c917870a5d2d74b,gumtree_partial_lazy,9176,9308,8130,128,0.000126041,0.006397663,0.002116796,1.189084691,0.000959226,0.006015518
ba4357a0863ae42a77c514758c917870a5d2d74b/0922bde84dfa8cc4d90f8223dfa7cb631dd06059,java_gumtree,9308,9308,8254,0,0,0.082476269,0,0.007252878,0,0.097435358
ba4357a0863ae42a77c514758c917870a5d2d74b/0922bde84dfa8cc4d90f8223dfa7cb631dd06059,gumtree_lazy,9308,9308,8254,0,0.000127519,0.000115009,0,0.000027851,0.00422136,0.012088986
ba4357a0863ae42a77c514758c917870a5d2d74b/0922bde84dfa8cc4d90f8223dfa7cb631dd06059,gumtree_not_lazy,9308,9308,8254,0,0.003497734,0.001490925,0,0.000029079,0.000864532,0.006831953
ba4357a0863ae42a77c514758c917870a5d2d74b/0922bde84dfa8cc4d90f8223dfa7cb631dd06059,gumtree_partial_lazy,9308,9308,8254,0,0.000135793,0.000128433,0.002236797,0.000029498,0.000857499,0.00638248
0922bde84dfa8cc4d90f8223dfa7cb631dd06059/9514be9723d7b4471b28391a5bbc9729f170926a,java_gumtree,9308,9308,8254,0,0,0.0903271,0,0.007327565,0,0.08594861
0922bde84dfa8cc4d90f8223dfa7cb631dd06059/9514be9723d7b4471b28391a5bbc9729f170926a,gumtree_lazy,9308,9308,8254,0,0.000284376,0.000260426,0,0.000037166,0.005043419,0.011101978
0922bde84dfa8cc4d90f8223dfa7cb631dd06059/9514be9723d7b4471b28391a5bbc9729f170926a,gumtree_not_lazy,9308,9308,8254,0,0.005555292,0.002094395,0,0.000043466,0.001303128,0.011055521
0922bde84dfa8cc4d90f8223dfa7cb631dd06059/9514be9723d7b4471b28391a5bbc9729f170926a,gumtree_partial_lazy,9308,9308,8254,0,0.000211395,0.000163831,0.003577524,0.000044734,0.001332921,0.010162358
9514be9723d7b4471b28391a5bbc9729f170926a/ad540a86ec169b58213a81f46fddee5d2cdc50ff,java_gumtree,9308,9308,8254,0,0,0.078945025,0,0.006747618,0,0.076150912
9514be9723d7b4471b28391a5bbc9729f170926a/ad540a86ec169b58213a81f46fddee5d2cdc50ff,gumtree_lazy,9308,9308,8254,0,0.000121079,0.000088621,0,0.000026459,0.002906495,0.006001205
9514be9723d7b4471b28391a5bbc9729f170926a/ad540a86ec169b58213a81f46fddee5d2cdc50ff,gumtree_not_lazy,9308,9308,8254,0,0.0035419,0.001327719,0,0.000027856,0.000819557,0.006424403
9514be9723d7b4471b28391a5bbc9729f170926a/ad540a86ec169b58213a81f46fddee5d2cdc50ff,gumtree_partial_lazy,9308,9308,8254,0,0.000130063,0.000112362,0.002168619,0.000028685,0.000803864,0.005949243
ad540a86ec169b58213a81f46fddee5d2cdc50ff/9cc3607cedc912d585e56c6ab04a1b2189a33c95,java_gumtree,9308,9308,8254,0,0,0.064238452,0,0.004546249,0,0.124472272
ad540a86ec169b58213a81f46fddee5d2cdc50ff/9cc3607cedc912d585e56c6ab04a1b2189a33c95,gumtree_lazy,9308,9308,8254,0,0.00012588,0.000102474,0,0.000026108,0.002907932,0.005947738
ad540a86ec169b58213a81f46fddee5d2cdc50ff/9cc3607cedc912d585e56c6ab04a1b2189a33c95,gumtree_not_lazy,9308,9308,8254,0,0.003315912,0.001345456,0,0.00002799,0.000810808,0.006019548
ad540a86ec169b58213a81f46fddee5d2cdc50ff/9cc3607cedc912d585e56c6ab04a1b2189a33c95,gumtree_partial_lazy,9308,9308,8254,0,0.000124896,0.000102728,0.002867724,0.000028231,0.000798782,0.005878035
9cc3607cedc912d585e56c6ab04a1b2189a33c95/32ad3ed3e9ea0a04f1edbc5ca0154891f891c1c5,java_gumtree,9308,9307,8251,5,0,0.101368649,0,0.007961779,0,0.107401433
9cc3607cedc912d585e56c6ab04a1b2189a33c95/32ad3ed3e9ea0a04f1edbc5ca0154891f891c1c5,gumtree_lazy,9308,9307,8251,5,0.000189221,0.000154949,0,0.000028269,0.002922584,0.008623696
9cc3607cedc912d585e56c6ab04a1b2189a33c95/32ad3ed3e9ea0a04f1edbc5ca0154891f891c1c5,gumtree_not_lazy,9308,9307,8251,5,0.003977169,0.003040263,0,0.000030132,0.00087964,0.006366847
9cc3607cedc912d585e56c6ab04a1b2189a33c95/32ad3ed3e9ea0a04f1edbc5ca0154891f891c1c5,gumtree_partial_lazy,9308,9307,8251,5,0.000119917,0.000099421,0.002631904,0.000048255,0.001311022,0.008572275
32ad3ed3e9ea0a04f1edbc5ca0154891f891c1c5/c6267330a9e9c5b0d152a5950ba547fad5ab3ab2,java_gumtree,9307,9307,8253,0,0,0.065247451,0,0.004114188,0,0.064373206
32ad3ed3e9ea0a04f1edbc5ca0154891f891c1c5/c6267330a9e9c5b0d152a5950ba547fad5ab3ab2,gumtree_lazy,9307,9307,8253,0,0.000117785,0.000117892,0,0.000028619,0.002890472,0.006193983
32ad3ed3e9ea0a04f1edbc5ca0154891f891c1c5/c6267330a9e9c5b0d152a5950ba547fad5ab3ab2,gumtree_not_lazy,9307,9307,8253,0,0.003327246,0.001319248,0,0.00002785,0.000818709,0.006354855
32ad3ed3e9ea0a04f1edbc5ca0154891f891c1c5/c6267330a9e9c5b0d152a5950ba547fad5ab3ab2,gumtree_partial_lazy,9307,9307,8253,0,0.000115668,0.000099178,0.002123368,0.000028123,0.000802779,0.005911826
c6267330a9e9c5b0d152a5950ba547fad5ab3ab2/75650533156812c8063d4271b06eea0d2f4d9d10,java_gumtree,9307,9318,8250,16,0,0.06061046,0,0.249864826,0,0.045865857
c6267330a9e9c5b0d152a5950ba547fad5ab3ab2/75650533156812c8063d4271b06eea0d2f4d9d10,gumtree_lazy,9307,9318,8250,16,0.00014184,0.000190767,0,0.230922479,0.003895948,0.008153693
c6267330a9e9c5b0d152a5950ba547fad5ab3ab2/75650533156812c8063d4271b06eea0d2f4d9d10,gumtree_not_lazy,9307,9318,8250,16,0.00550704,0.004433401,0,0.323472585,0.001052685,0.007135498
c6267330a9e9c5b0d152a5950ba547fad5ab3ab2/75650533156812c8063d4271b06eea0d2f4d9d10,gumtree_partial_lazy,9307,9318,8250,16,0.000168052,0.000272573,0.002344328,0.261967684,0.001022999,0.007043733
