input,kind,src_s,dst_s,mappings,actions,prepare_topdown_t,topdown_t,prepare_bottomup_t,bottomup_t,prepare_gen_t,gen_t
e831b464837ae5d2afac9841559420aeaef6c52b/1874ed2e3e931345f7a00f8261b3d4de9137ce12,gumtree_lazy,2952493,2952493,2363475,5,0.057501089,0.081425857,0,0.236703651,1.248285596,2.749754399
e831b464837ae5d2afac9841559420aeaef6c52b/1874ed2e3e931345f7a00f8261b3d4de9137ce12,gumtree_not_lazy,2952493,2952493,2363475,5,1.221202938,1.413638066,0,0.257106933,0.405309356,2.955696765
e831b464837ae5d2afac9841559420aeaef6c52b/1874ed2e3e931345f7a00f8261b3d4de9137ce12,gumtree_partial_lazy,2952493,2952493,2363475,5,0.057578808,0.079481957,0.774654554,0.239091482,0.488919406,3.105280831
1874ed2e3e931345f7a00f8261b3d4de9137ce12/7c72487c5bd986b290ff6c5bff05843b6f490674,gumtree_lazy,2952493,2952493,2363475,5,0.056782199,0.079194979,0,0.229875327,1.171944621,2.913058581
1874ed2e3e931345f7a00f8261b3d4de9137ce12/7c72487c5bd986b290ff6c5bff05843b6f490674,gumtree_not_lazy,2952493,2952493,2363475,5,1.053362886,1.03360845,0,0.229905559,0.388656949,2.798612288
1874ed2e3e931345f7a00f8261b3d4de9137ce12/7c72487c5bd986b290ff6c5bff05843b6f490674,gumtree_partial_lazy,2952493,2952493,2363475,5,0.056894049,0.078929044,0.754468591,0.227526087,0.383644636,2.84669505
7c72487c5bd986b290ff6c5bff05843b6f490674/091168afcac1b532df12a063cc8bbcd0819665bb,gumtree_lazy,2952493,2952318,2363271,260,0.057407079,0.09421973,0,1.692284823,1.230629102,3.2790637719999998
7c72487c5bd986b290ff6c5bff05843b6f490674/091168afcac1b532df12a063cc8bbcd0819665bb,gumtree_not_lazy,2952493,2952318,2363271,260,1.191865253,1.99902929,0,1.556845402,0.447941822,3.234599037
7c72487c5bd986b290ff6c5bff05843b6f490674/091168afcac1b532df12a063cc8bbcd0819665bb,gumtree_partial_lazy,2952493,2952318,2363271,260,0.057956063,0.096814829,0.826675624,1.580821647,0.464818839,3.06673516
091168afcac1b532df12a063cc8bbcd0819665bb/2f6bc17d31eb72f080c56fed0adb998480ef7e86,gumtree_lazy,2952318,2952317,2363313,21,0.062470641,0.084377028,0,0.153634532,1.3781522800000001,3.523445914
091168afcac1b532df12a063cc8bbcd0819665bb/2f6bc17d31eb72f080c56fed0adb998480ef7e86,gumtree_not_lazy,2952318,2952317,2363313,21,1.173269895,1.398178741,0,0.088191236,0.514561684,3.709753365
091168afcac1b532df12a063cc8bbcd0819665bb/2f6bc17d31eb72f080c56fed0adb998480ef7e86,gumtree_partial_lazy,2952318,2952317,2363313,21,0.058982486,0.102000658,0.923114178,0.092468962,0.502303832,3.481153802
2f6bc17d31eb72f080c56fed0adb998480ef7e86/a0ec9f3b5f5101738c6c688a68641081e5c06202,java_gumtree,2952317,2952301,2363286,67,0,3.488137634,0,3.472792135,0,60.363886313
2f6bc17d31eb72f080c56fed0adb998480ef7e86/a0ec9f3b5f5101738c6c688a68641081e5c06202,gumtree_lazy,2952317,2952301,2363286,67,0.064109794,0.090004871,0,2.16484312,1.3639347050000001,4.648508658
2f6bc17d31eb72f080c56fed0adb998480ef7e86/a0ec9f3b5f5101738c6c688a68641081e5c06202,gumtree_not_lazy,2952317,2952301,2363286,67,1.225301263,1.372272556,0,2.062764349,0.501393956,3.599276274
2f6bc17d31eb72f080c56fed0adb998480ef7e86/a0ec9f3b5f5101738c6c688a68641081e5c06202,gumtree_partial_lazy,2952317,2952301,2363286,67,0.061917383,0.085703657,0.904965463,1.795743941,0.442697971,3.589670719
a0ec9f3b5f5101738c6c688a68641081e5c06202/3d7266f13aa0cce7bf8ab0cef5e5e501ee355d33,java_gumtree,2952301,2952356,2363300,71,0,3.102793037,0,3.353640616,0,53.624148523
a0ec9f3b5f5101738c6c688a68641081e5c06202/3d7266f13aa0cce7bf8ab0cef5e5e501ee355d33,gumtree_lazy,2952301,2952356,2363300,71,0.063229642,0.08771298,0,2.250124272,1.43111948,3.463124697
a0ec9f3b5f5101738c6c688a68641081e5c06202/3d7266f13aa0cce7bf8ab0cef5e5e501ee355d33,gumtree_not_lazy,2952301,2952356,2363300,71,1.312963211,1.465473492,0,1.940013048,0.522048233,4.322064929
