input,kind,src_s,dst_s,mappings,actions,prepare_topdown_t,topdown_t,prepare_bottomup_t,bottomup_t,prepare_gen_t,gen_t
b30a7120f901b4a367b8a9839a8b8ba62457fbdf/6ec853ce614e1184876be90d195e1180ca3ab6c8,java_gumtree,19320,19320,16916,0,0,0.075016846,0,0.005978293,0,0.10029619
b30a7120f901b4a367b8a9839a8b8ba62457fbdf/6ec853ce614e1184876be90d195e1180ca3ab6c8,gumtree_lazy,19320,19320,16916,0,0.000213176,0.000276183,0,0.000033187,0.005181018,0.01180779
b30a7120f901b4a367b8a9839a8b8ba62457fbdf/6ec853ce614e1184876be90d195e1180ca3ab6c8,gumtree_not_lazy,19320,19320,16916,0,0.007660214,0.00402408,0,0.000066058,0.002335003,0.017497104
b30a7120f901b4a367b8a9839a8b8ba62457fbdf/6ec853ce614e1184876be90d195e1180ca3ab6c8,gumtree_partial_lazy,19320,19320,16916,0,0.0002657,0.000195156,0.003797278,0.000036353,0.001410905,0.011009002
6ec853ce614e1184876be90d195e1180ca3ab6c8/2a268346329c3ce17ad1269c5c0206ddd2747a17,java_gumtree,19320,19320,16916,0,0,0.073849014,0,0.005949124,0,0.112075425
6ec853ce614e1184876be90d195e1180ca3ab6c8/2a268346329c3ce17ad1269c5c0206ddd2747a17,gumtree_lazy,19320,19320,16916,0,0.000210837,0.000166751,0,0.000032834,0.005135739,0.010642074
6ec853ce614e1184876be90d195e1180ca3ab6c8/2a268346329c3ce17ad1269c5c0206ddd2747a17,gumtree_not_lazy,19320,19320,16916,0,0.005676507,0.002327954,0,0.000035688,0.001486823,0.010852572
6ec853ce614e1184876be90d195e1180ca3ab6c8/2a268346329c3ce17ad1269c5c0206ddd2747a17,gumtree_partial_lazy,19320,19320,16916,0,0.000247616,0.000164957,0.003828412,0.00003571,0.001391196,0.010419494
2a268346329c3ce17ad1269c5c0206ddd2747a17/4d323b2b117a5906ab16074c8c88b4ff162b1b82,java_gumtree,19320,19320,16916,0,0,0.073558182,0,0.005875473,0,0.113314077
2a268346329c3ce17ad1269c5c0206ddd2747a17/4d323b2b117a5906ab16074c8c88b4ff162b1b82,gumtree_lazy,19320,19320,16916,0,0.000201827,0.000158452,0,0.000032917,0.004984479,0.010557581
2a268346329c3ce17ad1269c5c0206ddd2747a17/4d323b2b117a5906ab16074c8c88b4ff162b1b82,gumtree_not_lazy,19320,19320,16916,0,0.005567279,0.002297644,0,0.000035544,0.001493783,0.010352121
2a268346329c3ce17ad1269c5c0206ddd2747a17/4d323b2b117a5906ab16074c8c88b4ff162b1b82,gumtree_partial_lazy,19320,19320,16916,0,0.00021133,0.000154085,0.003577951,0.000035803,0.001398704,0.010283593
4d323b2b117a5906ab16074c8c88b4ff162b1b82/fd8f5615ab66fd7adb1b882d6ab4ade708e4c5be,java_gumtree,19320,19320,16916,0,0,0.073558244,0,0.006069859,0,0.106540882
4d323b2b117a5906ab16074c8c88b4ff162b1b82/fd8f5615ab66fd7adb1b882d6ab4ade708e4c5be,gumtree_lazy,19320,19320,16916,0,0.000204129,0.000168966,0,0.000032939,0.005099827,0.017625898
4d323b2b117a5906ab16074c8c88b4ff162b1b82/fd8f5615ab66fd7adb1b882d6ab4ade708e4c5be,gumtree_not_lazy,19320,19320,16916,0,0.005604304,0.002434724,0,0.000038929,0.001643836,0.011407076
4d323b2b117a5906ab16074c8c88b4ff162b1b82/fd8f5615ab66fd7adb1b882d6ab4ade708e4c5be,gumtree_partial_lazy,19320,19320,16916,0,0.000244939,0.000171757,0.003727133,0.000035932,0.001758093,0.011068786
fd8f5615ab66fd7adb1b882d6ab4ade708e4c5be/0d4eb3bc01252001344d3578007e823210b36243,java_gumtree,19320,19320,16916,0,0,0.073134896,0,0.006828096,0,0.112403367
fd8f5615ab66fd7adb1b882d6ab4ade708e4c5be/0d4eb3bc01252001344d3578007e823210b36243,gumtree_lazy,19320,19320,16916,0,0.000219888,0.000166991,0,0.000036262,0.005481218,0.012138814
fd8f5615ab66fd7adb1b882d6ab4ade708e4c5be/0d4eb3bc01252001344d3578007e823210b36243,gumtree_not_lazy,19320,19320,16916,0,0.00568863,0.002390749,0,0.000035319,0.001499088,0.010890676
fd8f5615ab66fd7adb1b882d6ab4ade708e4c5be/0d4eb3bc01252001344d3578007e823210b36243,gumtree_partial_lazy,19320,19320,16916,0,0.000211496,0.000154445,0.003647867,0.000035922,0.001467853,0.010948231
0d4eb3bc01252001344d3578007e823210b36243/efcba8a60aec69fbc2fe9d1427d80cf9aab4bd0d,java_gumtree,19320,19320,16916,0,0,0.075317472,0,0.006269343,0,0.142044229
