input,kind,src_s,dst_s,mappings,actions,prepare_topdown_t,topdown_t,prepare_bottomup_t,bottomup_t,prepare_gen_t,gen_t
3cb5ce818e476d5b0b504b1833c7d33be80e9ca4/fdf25c4b112ff0e78d4b2ca0c7ce8fba91aaa61d,java_gumtree,647563,642289,491018,4641,0,1.68161677,0,37.733519764,0,5.060777929
3cb5ce818e476d5b0b504b1833c7d33be80e9ca4/fdf25c4b112ff0e78d4b2ca0c7ce8fba91aaa61d,gumtree_lazy,647563,642289,491018,4641,0.007303269,0.715686613,0,24.440292714,0.188460564,0.612083557
3cb5ce818e476d5b0b504b1833c7d33be80e9ca4/fdf25c4b112ff0e78d4b2ca0c7ce8fba91aaa61d,gumtree_not_lazy,647563,642289,491018,4641,0.214108413,1.618042727,0,21.679986439,0.068201389,0.55239646
3cb5ce818e476d5b0b504b1833c7d33be80e9ca4/fdf25c4b112ff0e78d4b2ca0c7ce8fba91aaa61d,gumtree_partial_lazy,647563,642289,491018,4641,0.006736797,0.61740929,0.17698362,22.06950367,0.093311685,0.591326523
fdf25c4b112ff0e78d4b2ca0c7ce8fba91aaa61d/e037d5dca014b369ac9fa6f3ad89691a0f3170f5,java_gumtree,642289,642289,491202,3,0,0.797437011,0,1.336883255,0,4.441986055
fdf25c4b112ff0e78d4b2ca0c7ce8fba91aaa61d/e037d5dca014b369ac9fa6f3ad89691a0f3170f5,gumtree_lazy,642289,642289,491202,3,0.008134448,0.021102248,0,1.307682572,0.284402415,0.72225667
fdf25c4b112ff0e78d4b2ca0c7ce8fba91aaa61d/e037d5dca014b369ac9fa6f3ad89691a0f3170f5,gumtree_not_lazy,642289,642289,491202,3,0.228101165,0.218052395,0,1.181636508,0.066767751,0.575361865
fdf25c4b112ff0e78d4b2ca0c7ce8fba91aaa61d/e037d5dca014b369ac9fa6f3ad89691a0f3170f5,gumtree_partial_lazy,642289,642289,491202,3,0.00715382,0.019897227,0.197735156,1.171625675,0.083233309,0.63010801
e037d5dca014b369ac9fa6f3ad89691a0f3170f5/c5b123b88961eaef9326eb084fbb10aca65b52ad,java_gumtree,642289,642289,491202,4,0,0.735615604,0,1.631027811,0,5.297588672
e037d5dca014b369ac9fa6f3ad89691a0f3170f5/c5b123b88961eaef9326eb084fbb10aca65b52ad,gumtree_lazy,642289,642289,491202,4,0.006649618,0.015228916,0,1.042632997,0.298291512,0.604178763
