input,kind,src_s,dst_s,mappings,actions,prepare_topdown_t,topdown_t,prepare_bottomup_t,bottomup_t,prepare_gen_t,gen_t
046bf8be251189452ad6b25bf9107a1a2167ce6f/07cd8bcd938662e7de6e4cc324914328f10eaf0e,gumtree_lazy,1706409,1706409,1378386,0,0.037495188,0.054609222,0,0.001965898,0.72303528,1.794383217
046bf8be251189452ad6b25bf9107a1a2167ce6f/07cd8bcd938662e7de6e4cc324914328f10eaf0e,gumtree_not_lazy,1706409,1706409,1378386,0,0.589839868,0.315835214,0,0.001880196,0.232922392,1.785443854
046bf8be251189452ad6b25bf9107a1a2167ce6f/07cd8bcd938662e7de6e4cc324914328f10eaf0e,gumtree_partial_lazy,1706409,1706409,1378386,0,0.03531962,0.066657639,0.461252472,0.003436611,0.237371947,1.839613665
07cd8bcd938662e7de6e4cc324914328f10eaf0e/9db22922d53956096528548128e826afb401f413,java_gumtree,1706409,1706409,1378386,0,0,1.464487136,0,0.236729783,0,18.749640197
07cd8bcd938662e7de6e4cc324914328f10eaf0e/9db22922d53956096528548128e826afb401f413,gumtree_lazy,1706409,1706409,1378386,0,0.032051216,0.048286692,0,0.001687532,0.748201425,1.882042191
07cd8bcd938662e7de6e4cc324914328f10eaf0e/9db22922d53956096528548128e826afb401f413,gumtree_not_lazy,1706409,1706409,1378386,0,0.604267718,0.323529454,0,0.003680921,0.233436552,2.199995654
07cd8bcd938662e7de6e4cc324914328f10eaf0e/9db22922d53956096528548128e826afb401f413,gumtree_partial_lazy,1706409,1706409,1378386,0,0.047761969,0.066647602,0.653543667,0.00188997,0.213488124,1.850958657
9db22922d53956096528548128e826afb401f413/c7bac9dba96269c655669007b3021a4d5232130f,gumtree_lazy,1706409,1706409,1378383,7,0.03883507,0.051895866,0,0.003751563,0.750829553,1.846112074
9db22922d53956096528548128e826afb401f413/c7bac9dba96269c655669007b3021a4d5232130f,gumtree_not_lazy,1706409,1706409,1378383,7,0.701399751,0.637472515,0,0.003333341,0.240857438,2.010133697
9db22922d53956096528548128e826afb401f413/c7bac9dba96269c655669007b3021a4d5232130f,gumtree_partial_lazy,1706409,1706409,1378383,7,0.030974598,0.049457314,0.505285359,0.00289138,0.266260474,2.040604251
c7bac9dba96269c655669007b3021a4d5232130f/734011d311c3f2f0ba5cc1e106955eb1345698d7,gumtree_lazy,1706409,1706409,1378386,0,0.033570771,0.049615649,0,0.001664689,0.622497398,1.689116824
c7bac9dba96269c655669007b3021a4d5232130f/734011d311c3f2f0ba5cc1e106955eb1345698d7,gumtree_not_lazy,1706409,1706409,1378386,0,0.59321488,0.317140543,0,0.00204704,0.228742578,1.699273733
c7bac9dba96269c655669007b3021a4d5232130f/734011d311c3f2f0ba5cc1e106955eb1345698d7,gumtree_partial_lazy,1706409,1706409,1378386,0,0.03321506,0.051246257,0.417836131,0.001906708,0.210670237,1.631816552
734011d311c3f2f0ba5cc1e106955eb1345698d7/5f89c62a43c5ded48606d182e38a3a5231d1e549,java_gumtree,1706409,1706141,1378109,342,0,1.6900826439999999,0,11.379856288,0,18.43295384
734011d311c3f2f0ba5cc1e106955eb1345698d7/5f89c62a43c5ded48606d182e38a3a5231d1e549,gumtree_lazy,1706409,1706141,1378109,342,0.033173169,0.049101639,0,3.607160743,0.596669086,2.020047829
734011d311c3f2f0ba5cc1e106955eb1345698d7/5f89c62a43c5ded48606d182e38a3a5231d1e549,gumtree_not_lazy,1706409,1706141,1378109,342,0.597149747,1.650825388,0,3.583878813,0.244198401,1.959115028
734011d311c3f2f0ba5cc1e106955eb1345698d7/5f89c62a43c5ded48606d182e38a3a5231d1e549,gumtree_partial_lazy,1706409,1706141,1378109,342,0.034960604,0.054784931,0.423893841,3.181746915,0.214897743,1.731933918
5f89c62a43c5ded48606d182e38a3a5231d1e549/a35520dd3765bba2752bf35d4c281dcc95373894,gumtree_lazy,1706141,1706141,1378155,9,0.03174126,0.047351099,0,0.312104357,0.578091359,1.610932163
5f89c62a43c5ded48606d182e38a3a5231d1e549/a35520dd3765bba2752bf35d4c281dcc95373894,gumtree_not_lazy,1706141,1706141,1378155,9,0.613026225,0.657188679,0,0.23376992,0.22167691,1.825809021
5f89c62a43c5ded48606d182e38a3a5231d1e549/a35520dd3765bba2752bf35d4c281dcc95373894,gumtree_partial_lazy,1706141,1706141,1378155,9,0.031237658,0.053782766,0.454112518,0.259323793,0.215875007,1.73418487
a35520dd3765bba2752bf35d4c281dcc95373894/77ff6cb642fe5740c7786a25c9023f8a79a80fee,gumtree_lazy,1706141,1706141,1378155,7,0.029986989,0.046670999,0,0.0031666,0.653717258,1.6242146750000002
a35520dd3765bba2752bf35d4c281dcc95373894/77ff6cb642fe5740c7786a25c9023f8a79a80fee,gumtree_not_lazy,1706141,1706141,1378155,7,0.5860721,0.617375772,0,0.002901604,0.212291761,1.653748211
a35520dd3765bba2752bf35d4c281dcc95373894/77ff6cb642fe5740c7786a25c9023f8a79a80fee,gumtree_partial_lazy,1706141,1706141,1378155,7,0.031477607,0.047018051,0.415045371,0.002836989,0.206986198,1.6365079
77ff6cb642fe5740c7786a25c9023f8a79a80fee/16d76e579a989cbc569a1761ed12a848ec98f4a9,gumtree_lazy,1706141,1706141,1378155,7,0.031629555,0.054173804,0,0.003523415,0.732811546,1.699159133
77ff6cb642fe5740c7786a25c9023f8a79a80fee/16d76e579a989cbc569a1761ed12a848ec98f4a9,gumtree_not_lazy,1706141,1706141,1378155,7,0.636691726,0.610260688,0,0.002911693,0.23878469,1.850399725
77ff6cb642fe5740c7786a25c9023f8a79a80fee/16d76e579a989cbc569a1761ed12a848ec98f4a9,gumtree_partial_lazy,1706141,1706141,1378155,7,0.030125069,0.046981177,0.43093234,0.003028641,0.22542067,1.753341541
16d76e579a989cbc569a1761ed12a848ec98f4a9/29dcc78ecb2fe090526bbe947b8e00b21774a5f3,gumtree_lazy,1706141,1706141,1378158,0,0.031852902,0.049421833,0,0.001671557,0.636650633,1.696873551
16d76e579a989cbc569a1761ed12a848ec98f4a9/29dcc78ecb2fe090526bbe947b8e00b21774a5f3,gumtree_not_lazy,1706141,1706141,1378158,0,0.688662537,0.362589332,0,0.001890099,0.333599144,1.8070119340000002
16d76e579a989cbc569a1761ed12a848ec98f4a9/29dcc78ecb2fe090526bbe947b8e00b21774a5f3,gumtree_partial_lazy,1706141,1706141,1378158,0,0.031995706,0.048733742,0.417449308,0.001893172,0.210158213,1.593047773
29dcc78ecb2fe090526bbe947b8e00b21774a5f3/29f535765b9e83a2d39aa6df71d73cfff790d651,java_gumtree,1706141,1706141,1378155,16,0,1.675795723,0,4.736413614,0,20.230958126
29dcc78ecb2fe090526bbe947b8e00b21774a5f3/29f535765b9e83a2d39aa6df71d73cfff790d651,gumtree_lazy,1706141,1706141,1378155,16,0.031714955,0.05963733,0,4.565311809,0.567762214,2.108456002
29dcc78ecb2fe090526bbe947b8e00b21774a5f3/29f535765b9e83a2d39aa6df71d73cfff790d651,gumtree_not_lazy,1706141,1706141,1378155,16,0.609520971,0.850780819,0,4.097881542,0.245132081,1.741503179
29dcc78ecb2fe090526bbe947b8e00b21774a5f3/29f535765b9e83a2d39aa6df71d73cfff790d651,gumtree_partial_lazy,1706141,1706141,1378155,16,0.028431737,0.07929637,0.448780661,3.788203572,0.257408543,1.706974947
29f535765b9e83a2d39aa6df71d73cfff790d651/10ebe0c7cb557af9b8566eb34ffe9f9cec63a03d,java_gumtree,1706141,1706141,1378155,16,0,2.129784822,0,4.811319906,0,19.452682471
29f535765b9e83a2d39aa6df71d73cfff790d651/10ebe0c7cb557af9b8566eb34ffe9f9cec63a03d,gumtree_lazy,1706141,1706141,1378155,16,0.037715027,0.054821242,0,4.638062025,0.520848816,1.7167793
29f535765b9e83a2d39aa6df71d73cfff790d651/10ebe0c7cb557af9b8566eb34ffe9f9cec63a03d,gumtree_not_lazy,1706141,1706141,1378155,16,0.682435277,0.909296816,0,4.404331586,0.243724578,1.891148807
29f535765b9e83a2d39aa6df71d73cfff790d651/10ebe0c7cb557af9b8566eb34ffe9f9cec63a03d,gumtree_partial_lazy,1706141,1706141,1378155,16,0.035632805,0.057619128,0.440328627,4.001085004,0.255279974,1.877784722
10ebe0c7cb557af9b8566eb34ffe9f9cec63a03d/6abaf07ad1b75817bd3af1ad75ad7bb70aa64e1b,gumtree_lazy,1706141,1706141,1378158,0,0.034623795,0.049807708,0,0.001671447,0.650068559,1.766557124
10ebe0c7cb557af9b8566eb34ffe9f9cec63a03d/6abaf07ad1b75817bd3af1ad75ad7bb70aa64e1b,gumtree_not_lazy,1706141,1706141,1378158,0,0.669236475,0.339196181,0,0.002213063,0.240423669,1.885816696
10ebe0c7cb557af9b8566eb34ffe9f9cec63a03d/6abaf07ad1b75817bd3af1ad75ad7bb70aa64e1b,gumtree_partial_lazy,1706141,1706141,1378158,0,0.033542258,0.050201251,0.430067571,0.001910671,0.209794883,1.629909136
6abaf07ad1b75817bd3af1ad75ad7bb70aa64e1b/733bbd304e8574e5f991f5cfee79ddfd64bea0b0,gumtree_lazy,1706141,1706141,1378158,0,0.035869907,0.05293552,0,0.001937606,0.663639459,1.625274021
6abaf07ad1b75817bd3af1ad75ad7bb70aa64e1b/733bbd304e8574e5f991f5cfee79ddfd64bea0b0,gumtree_not_lazy,1706141,1706141,1378158,0,0.841382795,0.391694949,0,0.002483889,0.233633301,1.7293068790000001
6abaf07ad1b75817bd3af1ad75ad7bb70aa64e1b/733bbd304e8574e5f991f5cfee79ddfd64bea0b0,gumtree_partial_lazy,1706141,1706141,1378158,0,0.033543536,0.054217183,0.42186171,0.001997686,0.221067242,1.7676204709999999
733bbd304e8574e5f991f5cfee79ddfd64bea0b0/c8c5180cbd086f99290a2103ae361fcefda14027,gumtree_lazy,1706141,1706141,1378158,0,0.037084395,0.053149747,0,0.001839352,0.620349731,1.8497993849999999
733bbd304e8574e5f991f5cfee79ddfd64bea0b0/c8c5180cbd086f99290a2103ae361fcefda14027,gumtree_not_lazy,1706141,1706141,1378158,0,0.593314067,0.30015092,0,0.001878007,0.218160443,1.846710806
733bbd304e8574e5f991f5cfee79ddfd64bea0b0/c8c5180cbd086f99290a2103ae361fcefda14027,gumtree_partial_lazy,1706141,1706141,1378158,0,0.027668993,0.050826202,0.443635054,0.002027102,0.202998542,1.655383371
c8c5180cbd086f99290a2103ae361fcefda14027/3b123f25e55dc14e307918bf781320c9cb10ea9a,java_gumtree,1706141,1706141,1378155,7,0,1.771446378,0,1.991225394,0,18.810139882
c8c5180cbd086f99290a2103ae361fcefda14027/3b123f25e55dc14e307918bf781320c9cb10ea9a,gumtree_lazy,1706141,1706141,1378155,7,0.031905273,0.046882915,0,1.55944253,0.615381024,1.661583746
c8c5180cbd086f99290a2103ae361fcefda14027/3b123f25e55dc14e307918bf781320c9cb10ea9a,gumtree_not_lazy,1706141,1706141,1378155,7,0.572274109,0.557961973,0,1.5897254379999999,0.201241255,1.5459464170000001
c8c5180cbd086f99290a2103ae361fcefda14027/3b123f25e55dc14e307918bf781320c9cb10ea9a,gumtree_partial_lazy,1706141,1706141,1378155,7,0.028162451,0.047133219,0.403027384,1.5428862030000001,0.196048763,1.565310977
3b123f25e55dc14e307918bf781320c9cb10ea9a/910c4b71020aebbbcedee711b8b81f690736a2c1,gumtree_lazy,1706141,1706141,1378158,0,0.032999462,0.051824778,0,0.001778464,0.782137934,1.821010564
3b123f25e55dc14e307918bf781320c9cb10ea9a/910c4b71020aebbbcedee711b8b81f690736a2c1,gumtree_not_lazy,1706141,1706141,1378158,0,0.579756907,0.319088627,0,0.00205219,0.219126131,1.6305517090000001
3b123f25e55dc14e307918bf781320c9cb10ea9a/910c4b71020aebbbcedee711b8b81f690736a2c1,gumtree_partial_lazy,1706141,1706141,1378158,0,0.031485011,0.04876127,0.414002338,0.002068188,0.206901583,1.7062630030000001
910c4b71020aebbbcedee711b8b81f690736a2c1/691f97cb1e92c1b3642508c9a03cae9446005493,gumtree_lazy,1706141,1706141,1378158,0,0.02853593,0.05326478,0,0.002536711,0.774567507,1.783361346
910c4b71020aebbbcedee711b8b81f690736a2c1/691f97cb1e92c1b3642508c9a03cae9446005493,gumtree_not_lazy,1706141,1706141,1378158,0,0.717616577,0.34451067,0,0.002001306,0.255633074,1.9299724139999999
910c4b71020aebbbcedee711b8b81f690736a2c1/691f97cb1e92c1b3642508c9a03cae9446005493,gumtree_partial_lazy,1706141,1706141,1378158,0,0.026626584,0.050791326,0.422821125,0.001882523,0.236704464,1.703097826
691f97cb1e92c1b3642508c9a03cae9446005493/21eeb61d1e8a149194f5b48e322b3adf3c3619b6,gumtree_lazy,1706141,1706141,1378158,0,0.031360488,0.048172158,0,0.001673384,0.625142741,1.656010507
691f97cb1e92c1b3642508c9a03cae9446005493/21eeb61d1e8a149194f5b48e322b3adf3c3619b6,gumtree_not_lazy,1706141,1706141,1378158,0,0.64006101,0.314264162,0,0.001874845,0.230587893,1.626366395
691f97cb1e92c1b3642508c9a03cae9446005493/21eeb61d1e8a149194f5b48e322b3adf3c3619b6,gumtree_partial_lazy,1706141,1706141,1378158,0,0.027735836,0.04831307,0.407841103,0.0020059,0.210383018,1.526543709
21eeb61d1e8a149194f5b48e322b3adf3c3619b6/0b892c233f9217abbef4706a5ceefeaf33edf894,java_gumtree,1706141,1706306,1378155,166,0,1.6432238479999999,0,5.480450885,0,19.80475585
21eeb61d1e8a149194f5b48e322b3adf3c3619b6/0b892c233f9217abbef4706a5ceefeaf33edf894,gumtree_lazy,1706141,1706306,1378155,166,0.038733083,0.05782851,0,0.970716724,0.608421472,1.735233364
21eeb61d1e8a149194f5b48e322b3adf3c3619b6/0b892c233f9217abbef4706a5ceefeaf33edf894,gumtree_not_lazy,1706141,1706306,1378155,166,0.631979477,1.2047486219999999,0,1.006872438,0.266294437,1.983762356
21eeb61d1e8a149194f5b48e322b3adf3c3619b6/0b892c233f9217abbef4706a5ceefeaf33edf894,gumtree_partial_lazy,1706141,1706306,1378155,166,0.030658865,0.053968501,0.426105027,0.822130941,0.224217829,1.8199686069999998
0b892c233f9217abbef4706a5ceefeaf33edf894/9b9536fb54258ce64e64127906d2e178347cee4f,java_gumtree,1706306,1706064,1378109,200,0,1.817268801,0,5.269189972,0,19.930511425
0b892c233f9217abbef4706a5ceefeaf33edf894/9b9536fb54258ce64e64127906d2e178347cee4f,gumtree_lazy,1706306,1706064,1378109,200,0.032901958,0.049177925,0,0.923278561,0.700527056,1.713807556
0b892c233f9217abbef4706a5ceefeaf33edf894/9b9536fb54258ce64e64127906d2e178347cee4f,gumtree_not_lazy,1706306,1706064,1378109,200,0.619336467,1.099305381,0,0.712301597,0.237635148,1.7214383610000001
0b892c233f9217abbef4706a5ceefeaf33edf894/9b9536fb54258ce64e64127906d2e178347cee4f,gumtree_partial_lazy,1706306,1706064,1378109,200,0.033712272,0.04888603,0.45205392,0.699884517,0.300545877,1.880878992
9b9536fb54258ce64e64127906d2e178347cee4f/03cb6a8f639ff09e95f5b08b5bdac77f9d8ce174,gumtree_lazy,1706064,1706064,1378112,0,0.030015944,0.054505217,0,0.001666946,0.626899904,1.6760776320000002
9b9536fb54258ce64e64127906d2e178347cee4f/03cb6a8f639ff09e95f5b08b5bdac77f9d8ce174,gumtree_not_lazy,1706064,1706064,1378112,0,0.604881268,0.320234686,0,0.002275255,0.223140313,1.6302821490000001
9b9536fb54258ce64e64127906d2e178347cee4f/03cb6a8f639ff09e95f5b08b5bdac77f9d8ce174,gumtree_partial_lazy,1706064,1706064,1378112,0,0.026235367,0.046680163,0.410358891,0.002066562,0.221527518,1.6761125080000001
03cb6a8f639ff09e95f5b08b5bdac77f9d8ce174/64d69e7f1ed3a992c4c6283a1ca8be6be13ddd84,gumtree_lazy,1706064,1705409,1377551,578,0.034138476,0.049669676,0,0.679830675,0.615296678,1.772806851
03cb6a8f639ff09e95f5b08b5bdac77f9d8ce174/64d69e7f1ed3a992c4c6283a1ca8be6be13ddd84,gumtree_not_lazy,1706064,1705409,1377551,578,0.674929925,1.371049049,0,0.599750746,0.283407927,1.7251126879999998
03cb6a8f639ff09e95f5b08b5bdac77f9d8ce174/64d69e7f1ed3a992c4c6283a1ca8be6be13ddd84,gumtree_partial_lazy,1706064,1705409,1377551,578,0.028296617,0.052306286,0.497199468,0.606704206,0.229854745,1.829827593
64d69e7f1ed3a992c4c6283a1ca8be6be13ddd84/78dbb1854a1e073111ed9548f382f593cbfc1bde,gumtree_lazy,1705409,1705409,1377561,0,0.032101283,0.051039911,0,0.001673937,0.650426507,1.816625471
