input,kind,src_s,dst_s,mappings,actions,prepare_topdown_t,topdown_t,prepare_bottomup_t,bottomup_t,prepare_gen_t,gen_t
be6713661c120c222c17026e62401191bdc4035c/a203cc9f5e211defc70f84750af5b680756ccb00,gumtree_lazy,2558245,2558245,2012093,0,0.048801285,0.077767122,0,0.002624066,1.095004676,2.736738657
be6713661c120c222c17026e62401191bdc4035c/a203cc9f5e211defc70f84750af5b680756ccb00,gumtree_not_lazy,2558245,2558245,2012093,0,0.984789438,0.635079849,0,0.004204785,0.416205155,2.9018673440000002
be6713661c120c222c17026e62401191bdc4035c/a203cc9f5e211defc70f84750af5b680756ccb00,gumtree_partial_lazy,2558245,2558245,2012093,0,0.051479278,0.071419281,0.727651315,0.002750337,0.369915168,2.755670755
a203cc9f5e211defc70f84750af5b680756ccb00/170f2cd2d0b60f0e4a507c773b9c3c1396ebad9b,gumtree_lazy,2558245,2558245,2012090,7,0.049453072,0.073581671,0,0.005869416,1.098120935,2.741152716
a203cc9f5e211defc70f84750af5b680756ccb00/170f2cd2d0b60f0e4a507c773b9c3c1396ebad9b,gumtree_not_lazy,2558245,2558245,2012090,7,0.992774015,1.043820097,0,0.004791023,0.440596233,2.924463186
a203cc9f5e211defc70f84750af5b680756ccb00/170f2cd2d0b60f0e4a507c773b9c3c1396ebad9b,gumtree_partial_lazy,2558245,2558245,2012090,7,0.050309747,0.071552043,0.794276557,0.004512676,0.410333869,2.933730769
170f2cd2d0b60f0e4a507c773b9c3c1396ebad9b/51e7142d5705c10833e0959fdf2534a32b0e7d86,gumtree_lazy,2558245,2558245,2012093,0,0.049453348,0.072463289,0,0.002473214,1.354934469,3.118995588
170f2cd2d0b60f0e4a507c773b9c3c1396ebad9b/51e7142d5705c10833e0959fdf2534a32b0e7d86,gumtree_not_lazy,2558245,2558245,2012093,0,1.015712444,0.598646777,0,0.003396859,0.473751478,3.159442728
170f2cd2d0b60f0e4a507c773b9c3c1396ebad9b/51e7142d5705c10833e0959fdf2534a32b0e7d86,gumtree_partial_lazy,2558245,2558245,2012093,0,0.058155107,0.088854631,0.77039952,0.002743632,0.450022373,3.16691395
51e7142d5705c10833e0959fdf2534a32b0e7d86/09f203d1a6f75568dc566b2f3fcb7ee49b96cb7b,gumtree_lazy,2558245,2558339,2011996,264,0.058042619,0.079458458,0,0.713626879,0.89356175,2.836389614
51e7142d5705c10833e0959fdf2534a32b0e7d86/09f203d1a6f75568dc566b2f3fcb7ee49b96cb7b,gumtree_not_lazy,2558245,2558339,2011996,264,1.140900213,2.558125644,0,0.447443696,0.439663672,3.132658231
51e7142d5705c10833e0959fdf2534a32b0e7d86/09f203d1a6f75568dc566b2f3fcb7ee49b96cb7b,gumtree_partial_lazy,2558245,2558339,2011996,264,0.049868752,0.073134653,0.769189357,0.433119562,0.421988285,2.893593376
09f203d1a6f75568dc566b2f3fcb7ee49b96cb7b/0f25bf3bf6a77bc934f2f19b794eb5725c6f502b,gumtree_lazy,2558339,2558339,2012163,0,0.047719067,0.08892466,0,0.002454451,1.2470473420000001,3.205626929
09f203d1a6f75568dc566b2f3fcb7ee49b96cb7b/0f25bf3bf6a77bc934f2f19b794eb5725c6f502b,gumtree_not_lazy,2558339,2558339,2012163,0,0.983335571,0.582458155,0,0.006296204,0.419235305,3.029644146
09f203d1a6f75568dc566b2f3fcb7ee49b96cb7b/0f25bf3bf6a77bc934f2f19b794eb5725c6f502b,gumtree_partial_lazy,2558339,2558339,2012163,0,0.058900497,0.080072364,0.837391738,0.003209107,0.443174238,2.867321362
0f25bf3bf6a77bc934f2f19b794eb5725c6f502b/bcb84723a2086294042cc80a2d1afb564db3658b,gumtree_lazy,2558339,2558339,2012163,0,0.052971242,0.084474526,0,0.002443464,1.16834389,3.079809974
0f25bf3bf6a77bc934f2f19b794eb5725c6f502b/bcb84723a2086294042cc80a2d1afb564db3658b,gumtree_not_lazy,2558339,2558339,2012163,0,1.017708592,0.621229182,0,0.003020438,0.426093233,2.78200255
0f25bf3bf6a77bc934f2f19b794eb5725c6f502b/bcb84723a2086294042cc80a2d1afb564db3658b,gumtree_partial_lazy,2558339,2558339,2012163,0,0.05280704,0.075043573,0.805800196,0.00275471,0.401335911,2.93368436
bcb84723a2086294042cc80a2d1afb564db3658b/f0e343f3b3b48b3cadc35718cb4c8667eda872a4,gumtree_lazy,2558339,2558339,2012163,0,0.054208979,0.079739339,0,0.002557645,1.138946746,2.831710021
bcb84723a2086294042cc80a2d1afb564db3658b/f0e343f3b3b48b3cadc35718cb4c8667eda872a4,gumtree_not_lazy,2558339,2558339,2012163,0,1.148076495,0.561318705,0,0.003002473,0.401883075,2.996122202
bcb84723a2086294042cc80a2d1afb564db3658b/f0e343f3b3b48b3cadc35718cb4c8667eda872a4,gumtree_partial_lazy,2558339,2558339,2012163,0,0.053724764,0.07208652,0.739763976,0.002813318,0.377115367,3.01921977
f0e343f3b3b48b3cadc35718cb4c8667eda872a4/bc85adeaa01480aafd1dae9a73070bdfc1c78655,gumtree_lazy,2558339,2559633,2012160,1003,0.049592456,0.070022432,0,0.607924739,0.925675702,3.034625275
f0e343f3b3b48b3cadc35718cb4c8667eda872a4/bc85adeaa01480aafd1dae9a73070bdfc1c78655,gumtree_not_lazy,2558339,2559633,2012160,1003,1.073990784,2.5475541980000003,0,0.384435942,0.402217384,2.949069826
f0e343f3b3b48b3cadc35718cb4c8667eda872a4/bc85adeaa01480aafd1dae9a73070bdfc1c78655,gumtree_partial_lazy,2558339,2559633,2012160,1003,0.050616328,0.073704077,0.740523533,0.372370832,0.401665453,2.77402395
bc85adeaa01480aafd1dae9a73070bdfc1c78655/d54945e98b9393a9400a17144f721bc5c40f2fe1,gumtree_lazy,2559633,2559633,2013160,0,0.050094753,0.076869672,0,0.002507213,1.199986195,3.008685367
bc85adeaa01480aafd1dae9a73070bdfc1c78655/d54945e98b9393a9400a17144f721bc5c40f2fe1,gumtree_not_lazy,2559633,2559633,2013160,0,1.003516083,0.589850938,0,0.002735295,0.388291005,3.016412952
bc85adeaa01480aafd1dae9a73070bdfc1c78655/d54945e98b9393a9400a17144f721bc5c40f2fe1,gumtree_partial_lazy,2559633,2559633,2013160,0,0.07574924,0.073471832,0.752681105,0.002749063,0.431000861,3.255220836
