input,kind,src_s,dst_s,mappings,actions,prepare_topdown_t,topdown_t,prepare_bottomup_t,bottomup_t,prepare_gen_t,gen_t
c2b846750dd2131d65aa25c8cf66bf3649b248f9/701263610a72725c9d32b4022f1d51b1344890d1,java_gumtree,4350188,4350210,3378655,99,0,6.443303966,0,16.246342514,0,145.949756958
c2b846750dd2131d65aa25c8cf66bf3649b248f9/701263610a72725c9d32b4022f1d51b1344890d1,gumtree_lazy,4350188,4350210,3378655,99,0.081850068,0.336174306,0,14.549947112,1.369323527,6.228548705
c2b846750dd2131d65aa25c8cf66bf3649b248f9/701263610a72725c9d32b4022f1d51b1344890d1,gumtree_not_lazy,4350188,4350210,3378655,99,1.486646964,2.5071671589999998,0,12.950106148,0.589328628,4.941332054
c2b846750dd2131d65aa25c8cf66bf3649b248f9/701263610a72725c9d32b4022f1d51b1344890d1,gumtree_partial_lazy,4350188,4350210,3378655,99,0.082004722,0.312858239,1.156474485,13.430402948,0.604933291,4.9731385790000004
701263610a72725c9d32b4022f1d51b1344890d1/1ecc053e70d57a8da70bf23bf5293b2072337b09,java_gumtree,4350210,4350188,3378655,99,0,6.354129829,0,15.838297535,0,139.751381997
701263610a72725c9d32b4022f1d51b1344890d1/1ecc053e70d57a8da70bf23bf5293b2072337b09,gumtree_lazy,4350210,4350188,3378655,99,0.082821666,0.333988008,0,14.486545277,1.330584782,5.656740012
701263610a72725c9d32b4022f1d51b1344890d1/1ecc053e70d57a8da70bf23bf5293b2072337b09,gumtree_not_lazy,4350210,4350188,3378655,99,1.566993696,2.5411189690000002,0,14.238322639,0.697995569,5.422499857
701263610a72725c9d32b4022f1d51b1344890d1/1ecc053e70d57a8da70bf23bf5293b2072337b09,gumtree_partial_lazy,4350210,4350188,3378655,99,0.08146321,0.312136059,1.189904813,13.782029465,0.748810788,5.144548785
1ecc053e70d57a8da70bf23bf5293b2072337b09/cf8b7170505c2329b34ff1f8c0b76977a4d7c2c2,gumtree_lazy,4350188,4350097,3378586,93,0.097195428,0.117208307,0,0.939328209,1.81738248,5.466522334
1ecc053e70d57a8da70bf23bf5293b2072337b09/cf8b7170505c2329b34ff1f8c0b76977a4d7c2c2,gumtree_not_lazy,4350188,4350097,3378586,93,1.916682982,2.190180486,0,0.833186403,0.649081265,5.223463014
