input,kind,src_s,dst_s,mappings,actions,prepare_topdown_t,topdown_t,prepare_bottomup_t,bottomup_t,prepare_gen_t,gen_t
5ac8332061fbbd4f11d5f280ff12b65fe7308540/fa82421cbe3933609253180368235f4a84930780,java_gumtree,10080434,10058666,8148882,20444,0,22.445250806,0,264.287299729,0,652.255082533
5ac8332061fbbd4f11d5f280ff12b65fe7308540/fa82421cbe3933609253180368235f4a84930780,gumtree_lazy,10080434,10058666,8148882,20444,0.210307495,3.528768176,0,83.003180774,4.181376828,13.774315464
5ac8332061fbbd4f11d5f280ff12b65fe7308540/fa82421cbe3933609253180368235f4a84930780,gumtree_not_lazy,10080434,10058666,8148882,20444,4.015251683,14.661358017,0,86.425826879,1.88035003,12.101109454
5ac8332061fbbd4f11d5f280ff12b65fe7308540/fa82421cbe3933609253180368235f4a84930780,gumtree_partial_lazy,10080434,10058666,8148882,20444,0.196442241,3.395931939,3.011752236,80.557277862,1.626129561,10.645369889
fa82421cbe3933609253180368235f4a84930780/c0896f980fc42ef2adb519ffe9668b29dfd8941c,java_gumtree,10058666,10080392,8148828,20493,0,26.284198806,0,233.505979327,0,648.034647832
fa82421cbe3933609253180368235f4a84930780/c0896f980fc42ef2adb519ffe9668b29dfd8941c,gumtree_lazy,10058666,10080392,8148828,20493,0.203317892,3.618201554,0,88.1117769,3.576150507,13.307202003
fa82421cbe3933609253180368235f4a84930780/c0896f980fc42ef2adb519ffe9668b29dfd8941c,gumtree_not_lazy,10058666,10080392,8148828,20493,4.351067446,15.63362623,0,87.452861836,1.739064066,12.781308533
fa82421cbe3933609253180368235f4a84930780/c0896f980fc42ef2adb519ffe9668b29dfd8941c,gumtree_partial_lazy,10058666,10080392,8148828,20493,0.199724839,3.725306568,3.2727167010000002,84.295553078,1.515932345,11.24201678
c0896f980fc42ef2adb519ffe9668b29dfd8941c/241376f4c6687bc4205a7f0b0727e15a0e67e652,gumtree_lazy,10080392,10078293,8165807,2082,0.279410111,0.378747169,0,6.698083635,3.487831723,11.606856575
c0896f980fc42ef2adb519ffe9668b29dfd8941c/241376f4c6687bc4205a7f0b0727e15a0e67e652,gumtree_not_lazy,10080392,10078293,8165807,2082,4.067144248,7.9116241590000005,0,5.464723966,1.681833142,11.700703799
c0896f980fc42ef2adb519ffe9668b29dfd8941c/241376f4c6687bc4205a7f0b0727e15a0e67e652,gumtree_partial_lazy,10080392,10078293,8165807,2082,0.199251964,0.369431082,3.058870133,5.096254861,1.6802165150000001,12.012693804
241376f4c6687bc4205a7f0b0727e15a0e67e652/eeef694798417998ad912d4cbb2113fd9b59e4ee,gumtree_lazy,10078293,10080388,8165801,2092,0.199016119,0.39125433,0,12.817458229,3.179515393,11.423983598
241376f4c6687bc4205a7f0b0727e15a0e67e652/eeef694798417998ad912d4cbb2113fd9b59e4ee,gumtree_not_lazy,10078293,10080388,8165801,2092,4.25274008,8.487255069,0,11.412894217,1.571820288,11.449285094
241376f4c6687bc4205a7f0b0727e15a0e67e652/eeef694798417998ad912d4cbb2113fd9b59e4ee,gumtree_partial_lazy,10078293,10080388,8165801,2092,0.200792502,0.381197282,2.99324019,11.122851709,1.7084194369999999,11.808440432
eeef694798417998ad912d4cbb2113fd9b59e4ee/383bd0a367efcef5b224549937927a28b30bcca0,gumtree_lazy,10080388,10075546,8163492,4494,0.202025049,0.561232596,0,13.745619993,3.445707266,13.303290929
eeef694798417998ad912d4cbb2113fd9b59e4ee/383bd0a367efcef5b224549937927a28b30bcca0,gumtree_not_lazy,10080388,10075546,8163492,4494,3.902029035,8.581464212,0,12.091143438,1.735059653,14.659818218
eeef694798417998ad912d4cbb2113fd9b59e4ee/383bd0a367efcef5b224549937927a28b30bcca0,gumtree_partial_lazy,10080388,10075546,8163492,4494,0.232743042,0.670715603,3.791308549,12.847850628,2.121815426,14.872394906
383bd0a367efcef5b224549937927a28b30bcca0/efe06cb8a9dfd06208a08ce71c957a813dac7665,gumtree_lazy,10075546,10080388,8163492,4495,0.2157772,0.517672507,0,12.048657331,3.5570705670000002,12.910066329
383bd0a367efcef5b224549937927a28b30bcca0/efe06cb8a9dfd06208a08ce71c957a813dac7665,gumtree_not_lazy,10075546,10080388,8163492,4495,4.268853172,8.719199647,0,10.867035568,1.836468237,11.866509851
383bd0a367efcef5b224549937927a28b30bcca0/efe06cb8a9dfd06208a08ce71c957a813dac7665,gumtree_partial_lazy,10075546,10080388,8163492,4495,0.199452852,0.505960661,2.975766833,11.045275415,1.740134411,12.706002921
