input,kind,src_s,dst_s,mappings,actions,prepare_topdown_t,topdown_t,prepare_bottomup_t,bottomup_t,prepare_gen_t,gen_t
38a9d4701730e674c9646173dbffc1173623cf24/db3c1da10d448113bbfd29a69b1d4ad77eda5fe6,gumtree_lazy,1333390,1333186,1097454,184,0.02535969,0.038343817,0,0.489995731,0.345227863,1.3133517399999999
38a9d4701730e674c9646173dbffc1173623cf24/db3c1da10d448113bbfd29a69b1d4ad77eda5fe6,gumtree_not_lazy,1333390,1333186,1097454,184,0.552037724,1.201655862,0,0.331751266,0.174534944,1.386184182
38a9d4701730e674c9646173dbffc1173623cf24/db3c1da10d448113bbfd29a69b1d4ad77eda5fe6,gumtree_partial_lazy,1333390,1333186,1097454,184,0.026417654,0.038462192,0.370531083,0.351339317,0.228969416,1.317691944
db3c1da10d448113bbfd29a69b1d4ad77eda5fe6/9059ff5827b615475764ee2b7d72875058e169f0,java_gumtree,1333186,1324598,1088114,12364,0,6.21333895,0,111.907116405,0,13.246562441
db3c1da10d448113bbfd29a69b1d4ad77eda5fe6/9059ff5827b615475764ee2b7d72875058e169f0,gumtree_lazy,1333186,1324598,1088114,12364,0.022513287,2.563692594,0,41.356172986,0.395978663,1.378577108
db3c1da10d448113bbfd29a69b1d4ad77eda5fe6/9059ff5827b615475764ee2b7d72875058e169f0,gumtree_not_lazy,1333186,1324598,1088114,12364,0.523664937,4.353791648,0,41.013221845,0.178522136,1.36031103
db3c1da10d448113bbfd29a69b1d4ad77eda5fe6/9059ff5827b615475764ee2b7d72875058e169f0,gumtree_partial_lazy,1333186,1324598,1088114,12364,0.026176964,2.446813273,0.329850437,41.84960087,0.189105814,1.398564467
9059ff5827b615475764ee2b7d72875058e169f0/2b386ce02bfd68319d75c4aa7b5559055337497c,java_gumtree,1324598,1325141,1090409,638,0,1.658822093,0,11.323695237,0,11.63853372
9059ff5827b615475764ee2b7d72875058e169f0/2b386ce02bfd68319d75c4aa7b5559055337497c,gumtree_lazy,1324598,1325141,1090409,638,0.028123831,0.073839838,0,10.289494102,0.457261784,1.635678771
9059ff5827b615475764ee2b7d72875058e169f0/2b386ce02bfd68319d75c4aa7b5559055337497c,gumtree_not_lazy,1324598,1325141,1090409,638,0.612078804,1.022777783,0,10.909249616,0.200251588,1.741711309
9059ff5827b615475764ee2b7d72875058e169f0/2b386ce02bfd68319d75c4aa7b5559055337497c,gumtree_partial_lazy,1324598,1325141,1090409,638,0.02716361,0.084792214,0.407043887,11.419970375,0.20882669,1.539570952
2b386ce02bfd68319d75c4aa7b5559055337497c/6d9decddceaffd2f10a26cc3d818c6bac4e94ba2,java_gumtree,1325141,1325117,1090897,46,0,2.112025428,0,13.383348719,0,12.013525857
2b386ce02bfd68319d75c4aa7b5559055337497c/6d9decddceaffd2f10a26cc3d818c6bac4e94ba2,gumtree_lazy,1325141,1325117,1090897,46,0.026110701,0.038293689,0,3.175291231,0.445826867,1.458126954
2b386ce02bfd68319d75c4aa7b5559055337497c/6d9decddceaffd2f10a26cc3d818c6bac4e94ba2,gumtree_not_lazy,1325141,1325117,1090897,46,0.536067316,1.508037124,0,2.955222827,0.193593956,2.178176949
2b386ce02bfd68319d75c4aa7b5559055337497c/6d9decddceaffd2f10a26cc3d818c6bac4e94ba2,gumtree_partial_lazy,1325141,1325117,1090897,46,0.03292836,0.048418967,0.474293901,3.278438788,0.209827806,1.377306263
6d9decddceaffd2f10a26cc3d818c6bac4e94ba2/f3478b187d7fc48c44ecf9c3b93f3a70a8f3b021,java_gumtree,1325117,1323058,1088647,2987,0,3.541825695,0,46.221723292,0,11.310857297
6d9decddceaffd2f10a26cc3d818c6bac4e94ba2/f3478b187d7fc48c44ecf9c3b93f3a70a8f3b021,gumtree_lazy,1325117,1323058,1088647,2987,0.026353998,0.736852338,0,25.462444994,0.436901422,1.415714396
6d9decddceaffd2f10a26cc3d818c6bac4e94ba2/f3478b187d7fc48c44ecf9c3b93f3a70a8f3b021,gumtree_not_lazy,1325117,1323058,1088647,2987,0.620588118,2.61672367,0,23.967467419,0.219194632,1.385201769
6d9decddceaffd2f10a26cc3d818c6bac4e94ba2/f3478b187d7fc48c44ecf9c3b93f3a70a8f3b021,gumtree_partial_lazy,1325117,1323058,1088647,2987,0.022382385,0.663741996,0.374930239,23.20092716,0.211880017,1.4876329240000001
f3478b187d7fc48c44ecf9c3b93f3a70a8f3b021/e38f25e28b033eaf3439c519c3c7c1ccef845117,java_gumtree,1323058,1322992,1089071,75,0,1.3152237580000001,0,8.421293234,0,11.137018863
f3478b187d7fc48c44ecf9c3b93f3a70a8f3b021/e38f25e28b033eaf3439c519c3c7c1ccef845117,gumtree_lazy,1323058,1322992,1089071,75,0.024779592,0.042424613,0,7.5236596030000005,0.432415418,1.29778882
f3478b187d7fc48c44ecf9c3b93f3a70a8f3b021/e38f25e28b033eaf3439c519c3c7c1ccef845117,gumtree_not_lazy,1323058,1322992,1089071,75,0.525579536,0.761736156,0,7.375674931,0.192513366,1.5510462820000002
f3478b187d7fc48c44ecf9c3b93f3a70a8f3b021/e38f25e28b033eaf3439c519c3c7c1ccef845117,gumtree_partial_lazy,1323058,1322992,1089071,75,0.025312361,0.04034906,0.376724278,7.15921179,0.194732075,1.522924235
e38f25e28b033eaf3439c519c3c7c1ccef845117/9386375492328c633f98b057b77ecf15e30dbd58,java_gumtree,1322992,1322986,1089070,10,0,1.22907874,0,3.747767628,0,10.643019661
e38f25e28b033eaf3439c519c3c7c1ccef845117/9386375492328c633f98b057b77ecf15e30dbd58,gumtree_lazy,1322992,1322986,1089070,10,0.024058877,0.03910232,0,1.65549747,0.387519112,1.437396242
e38f25e28b033eaf3439c519c3c7c1ccef845117/9386375492328c633f98b057b77ecf15e30dbd58,gumtree_not_lazy,1322992,1322986,1089070,10,0.508317874,0.826414062,0,1.485616576,0.230250493,1.432165617
e38f25e28b033eaf3439c519c3c7c1ccef845117/9386375492328c633f98b057b77ecf15e30dbd58,gumtree_partial_lazy,1322992,1322986,1089070,10,0.024847583,0.040603076,0.402532813,1.500657238,0.197446556,1.4663863560000001
9386375492328c633f98b057b77ecf15e30dbd58/f4c401529c10e66319d1e317c01df7e58b8d4988,java_gumtree,1322986,1322986,1089073,0,0,1.438337436,0,0.229208552,0,11.620836637
9386375492328c633f98b057b77ecf15e30dbd58/f4c401529c10e66319d1e317c01df7e58b8d4988,gumtree_lazy,1322986,1322986,1089073,0,0.026814338,0.040935366,0,0.001470929,0.557378654,1.479977949
9386375492328c633f98b057b77ecf15e30dbd58/f4c401529c10e66319d1e317c01df7e58b8d4988,gumtree_not_lazy,1322986,1322986,1089073,0,0.496827319,0.256387548,0,0.001560421,0.189900308,1.324633057
9386375492328c633f98b057b77ecf15e30dbd58/f4c401529c10e66319d1e317c01df7e58b8d4988,gumtree_partial_lazy,1322986,1322986,1089073,0,0.021089056,0.038534628,0.348281475,0.001494537,0.192158665,1.322433497
f4c401529c10e66319d1e317c01df7e58b8d4988/2c8f754c206ec9c674ec2fee0089a248bddf825f,java_gumtree,1322986,1322986,1089073,0,0,1.774523219,0,0.257234711,0,12.040411728
f4c401529c10e66319d1e317c01df7e58b8d4988/2c8f754c206ec9c674ec2fee0089a248bddf825f,gumtree_lazy,1322986,1322986,1089073,0,0.027453996,0.039152434,0,0.001329796,0.581944008,1.490664663
