input,kind,src_s,dst_s,mappings,actions,prepare_topdown_t,topdown_t,prepare_bottomup_t,bottomup_t,prepare_gen_t,gen_t
2b0e15874aaf5502c9d6e36b0b81fc6bc14a8531/d8b223e379fd1446911ba9f2891fc208b96f2bd5,java_gumtree,184191,174598,130177,16854,0,6.918209393,0,68.60998463,0,0.843877343
2b0e15874aaf5502c9d6e36b0b81fc6bc14a8531/d8b223e379fd1446911ba9f2891fc208b96f2bd5,gumtree_lazy,184191,174598,130177,16854,0.00231097,6.297275557,0,76.212186432,0.033277098,0.191364594
2b0e15874aaf5502c9d6e36b0b81fc6bc14a8531/d8b223e379fd1446911ba9f2891fc208b96f2bd5,gumtree_not_lazy,184191,174598,130177,16854,0.059445409,5.482056958,0,75.980138074,0.021323803,0.194891286
2b0e15874aaf5502c9d6e36b0b81fc6bc14a8531/d8b223e379fd1446911ba9f2891fc208b96f2bd5,gumtree_partial_lazy,184191,174598,130177,16854,0.002362263,6.536230137,0.065792532,81.131194166,0.031393809,0.195087122
d8b223e379fd1446911ba9f2891fc208b96f2bd5/045f502fa915bf1749deddabcd534f74c9dfd1af,java_gumtree,174598,184191,130173,16918,0,7.255828797,0,73.970394807,0,0.96890419
d8b223e379fd1446911ba9f2891fc208b96f2bd5/045f502fa915bf1749deddabcd534f74c9dfd1af,gumtree_lazy,174598,184191,130173,16918,0.001839045,5.428626805,0,71.739252746,0.038524629,0.232053131
d8b223e379fd1446911ba9f2891fc208b96f2bd5/045f502fa915bf1749deddabcd534f74c9dfd1af,gumtree_not_lazy,174598,184191,130173,16918,0.094511611,6.189392519,0,77.055711042,0.022567822,0.197344359
d8b223e379fd1446911ba9f2891fc208b96f2bd5/045f502fa915bf1749deddabcd534f74c9dfd1af,gumtree_partial_lazy,174598,184191,130173,16918,0.002097313,6.242828477,0.061654423,71.835541612,0.020934641,0.192533974
045f502fa915bf1749deddabcd534f74c9dfd1af/a188a3ed734e3d551d0404854e7795d74534c0a6,java_gumtree,184191,184191,141840,0,0,0.251392901,0,0.032851616,0,0.918586431
045f502fa915bf1749deddabcd534f74c9dfd1af/a188a3ed734e3d551d0404854e7795d74534c0a6,gumtree_lazy,184191,184191,141840,0,0.003054544,0.004553432,0,0.000178877,0.069021091,0.14289437
045f502fa915bf1749deddabcd534f74c9dfd1af/a188a3ed734e3d551d0404854e7795d74534c0a6,gumtree_not_lazy,184191,184191,141840,0,0.064209153,0.032075396,0,0.000200064,0.018794512,0.142948608
045f502fa915bf1749deddabcd534f74c9dfd1af/a188a3ed734e3d551d0404854e7795d74534c0a6,gumtree_partial_lazy,184191,184191,141840,0,0.001992265,0.004513181,0.047148616,0.000212665,0.019259503,0.14085631
a188a3ed734e3d551d0404854e7795d74534c0a6/23182d44680e2cab0869fd8db4b53ceeb2f807eb,java_gumtree,184191,184191,141837,10,0,0.287047087,0,1.874036549,0,0.821678136
a188a3ed734e3d551d0404854e7795d74534c0a6/23182d44680e2cab0869fd8db4b53ceeb2f807eb,gumtree_lazy,184191,184191,141837,10,0.002681203,0.004947396,0,2.259246225,0.078978575,0.184191489
a188a3ed734e3d551d0404854e7795d74534c0a6/23182d44680e2cab0869fd8db4b53ceeb2f807eb,gumtree_not_lazy,184191,184191,141837,10,0.085864525,0.079784501,0,2.686734509,0.020324525,0.136185906
a188a3ed734e3d551d0404854e7795d74534c0a6/23182d44680e2cab0869fd8db4b53ceeb2f807eb,gumtree_partial_lazy,184191,184191,141837,10,0.001938192,0.00379997,0.044949615,1.9074851069999998,0.020660984,0.145436767
23182d44680e2cab0869fd8db4b53ceeb2f807eb/aa0de34dc6d99af14fdd6a46666dd6977004e133,java_gumtree,184191,184206,141838,17,0,0.288008895,0,0.158969149,0,1.122462398
23182d44680e2cab0869fd8db4b53ceeb2f807eb/aa0de34dc6d99af14fdd6a46666dd6977004e133,gumtree_lazy,184191,184206,141838,17,0.003268218,0.004533331,0,0.026385366,0.071267379,0.15459995
23182d44680e2cab0869fd8db4b53ceeb2f807eb/aa0de34dc6d99af14fdd6a46666dd6977004e133,gumtree_not_lazy,184191,184206,141838,17,0.06248175,0.062325554,0,0.02508157,0.022002738,0.159227179
23182d44680e2cab0869fd8db4b53ceeb2f807eb/aa0de34dc6d99af14fdd6a46666dd6977004e133,gumtree_partial_lazy,184191,184206,141838,17,0.003220051,0.004735021,0.051411178,0.027894966,0.022572194,0.159417001
aa0de34dc6d99af14fdd6a46666dd6977004e133/5c4fe1d48c434b8a1f79d63c342864aa66e934ba,java_gumtree,184206,184206,141850,22,0,0.452213186,0,4.144369929,0,1.033916752
aa0de34dc6d99af14fdd6a46666dd6977004e133/5c4fe1d48c434b8a1f79d63c342864aa66e934ba,gumtree_lazy,184206,184206,141850,22,0.002364499,0.031974183,0,4.675065518,0.045187535,0.160866938
aa0de34dc6d99af14fdd6a46666dd6977004e133/5c4fe1d48c434b8a1f79d63c342864aa66e934ba,gumtree_not_lazy,184206,184206,141850,22,0.073298579,0.132714924,0,4.462326366,0.023369378,0.199063036
aa0de34dc6d99af14fdd6a46666dd6977004e133/5c4fe1d48c434b8a1f79d63c342864aa66e934ba,gumtree_partial_lazy,184206,184206,141850,22,0.003004246,0.029294655,0.050601036,4.743658082,0.024413441,0.171574435
5c4fe1d48c434b8a1f79d63c342864aa66e934ba/90f3f1ea0770e2b0d7fa5587ecacc34e02f6b335,java_gumtree,184206,184206,141853,0,0,0.326681585,0,0.064069458,0,0.879903393
5c4fe1d48c434b8a1f79d63c342864aa66e934ba/90f3f1ea0770e2b0d7fa5587ecacc34e02f6b335,gumtree_lazy,184206,184206,141853,0,0.00199105,0.003605766,0,0.000196304,0.068124385,0.148228619
5c4fe1d48c434b8a1f79d63c342864aa66e934ba/90f3f1ea0770e2b0d7fa5587ecacc34e02f6b335,gumtree_not_lazy,184206,184206,141853,0,0.070204606,0.035585102,0,0.000234386,0.021493497,0.150993172
5c4fe1d48c434b8a1f79d63c342864aa66e934ba/90f3f1ea0770e2b0d7fa5587ecacc34e02f6b335,gumtree_partial_lazy,184206,184206,141853,0,0.002020312,0.003514476,0.045666843,0.000226196,0.019112436,0.142496886
90f3f1ea0770e2b0d7fa5587ecacc34e02f6b335/5fcbb283a323e2c5be9653b399475b6f582907ee,java_gumtree,184206,184206,141853,0,0,0.256033939,0,0.036902846,0,0.871840391
90f3f1ea0770e2b0d7fa5587ecacc34e02f6b335/5fcbb283a323e2c5be9653b399475b6f582907ee,gumtree_lazy,184206,184206,141853,0,0.004569252,0.006094466,0,0.000244634,0.08824021,0.207660806
90f3f1ea0770e2b0d7fa5587ecacc34e02f6b335/5fcbb283a323e2c5be9653b399475b6f582907ee,gumtree_not_lazy,184206,184206,141853,0,0.079093937,0.039614348,0,0.000243354,0.02343863,0.180928506
90f3f1ea0770e2b0d7fa5587ecacc34e02f6b335/5fcbb283a323e2c5be9653b399475b6f582907ee,gumtree_partial_lazy,184206,184206,141853,0,0.003877437,0.005426599,0.055512804,0.000251733,0.023967705,0.217633615
5fcbb283a323e2c5be9653b399475b6f582907ee/956acb06d62ac33f975f312819b929bcdfbc70fa,java_gumtree,184206,193334,141788,7370,0,0.527216288,0,3.4798259,0,0.877813375
5fcbb283a323e2c5be9653b399475b6f582907ee/956acb06d62ac33f975f312819b929bcdfbc70fa,gumtree_lazy,184206,193334,141788,7370,0.002153726,0.092218668,0,4.181272326,0.054010931,0.200521852
5fcbb283a323e2c5be9653b399475b6f582907ee/956acb06d62ac33f975f312819b929bcdfbc70fa,gumtree_not_lazy,184206,193334,141788,7370,0.078171115,0.166845391,0,4.195499676,0.023109183,0.178125147
5fcbb283a323e2c5be9653b399475b6f582907ee/956acb06d62ac33f975f312819b929bcdfbc70fa,gumtree_partial_lazy,184206,193334,141788,7370,0.003252722,0.10062545,0.077107701,4.076771925,0.024977932,0.175088512
956acb06d62ac33f975f312819b929bcdfbc70fa/6df6053c24fe0920a594fd0e63738181756d4432,java_gumtree,193334,193334,149062,0,0,0.25844779,0,0.036633306,0,0.884926025
956acb06d62ac33f975f312819b929bcdfbc70fa/6df6053c24fe0920a594fd0e63738181756d4432,gumtree_lazy,193334,193334,149062,0,0.003259065,0.004582967,0,0.000187914,0.06992234,0.157099476
956acb06d62ac33f975f312819b929bcdfbc70fa/6df6053c24fe0920a594fd0e63738181756d4432,gumtree_not_lazy,193334,193334,149062,0,0.073296263,0.034636033,0,0.000270097,0.023492622,0.145188676
956acb06d62ac33f975f312819b929bcdfbc70fa/6df6053c24fe0920a594fd0e63738181756d4432,gumtree_partial_lazy,193334,193334,149062,0,0.002054319,0.004510317,0.048558714,0.000222762,0.020016094,0.152979253
