input,gt_tool,hast_tool,src_s,dst_s,gt_m,hast_m,missing_mappings,additional_mappings,gt_c,hast_c,gt_src_heap,gt_dst_heap,hast_src_heap,hast_dst_heap,not_lazy_m,not_lazy_c,partial_lazy_m,partial_lazy_c
c661d2d24892ce8a09a783ca3ba82eda90a66a85/989728d5ea93c8a278104fd9722ba536ed1d93cf,java_gumtree,gumtree_lazy,615730,615720,-1,481332,-1,-1,36,-1,-1,-1,82273200,17592,481332,36,481332,36
989728d5ea93c8a278104fd9722ba536ed1d93cf/cb36bdfe21cb6819033c5ca7cae231b26fc3d1f7,java_gumtree,gumtree_lazy,615720,615720,481342,481342,0,0,0,0,18446744073665036128,18446744073621737912,17592,16104,481342,0,481342,0
cb36bdfe21cb6819033c5ca7cae231b26fc3d1f7/2157ca3c0d34c7b131e9ce60b7d00145900e8d72,java_gumtree,gumtree_lazy,615720,615720,481342,481342,0,0,0,0,18446744073665036128,18446744073621737912,16104,3072,481342,0,481342,0
2157ca3c0d34c7b131e9ce60b7d00145900e8d72/ff1fd1c95551c86e61ab9e193d048d90a87e1886,java_gumtree,gumtree_lazy,615720,615945,481286,481286,0,0,332,332,18446744073665036128,18446744073621719848,3072,77848,481286,332,481286,332
ff1fd1c95551c86e61ab9e193d048d90a87e1886/923201270aac262f7bb420f82590f0c7f6f1f353,java_gumtree,gumtree_lazy,615945,615945,481543,481543,0,0,0,0,18446744073665018128,18446744073621701912,77848,4760,481543,0,481543,0
923201270aac262f7bb420f82590f0c7f6f1f353/9cee219896ae9a66bfce78cd520aad3461ec407b,java_gumtree,gumtree_lazy,615945,615945,481536,481536,0,0,16,16,18446744073665018128,18446744073621701768,4760,-5392,481536,16,481536,16
9cee219896ae9a66bfce78cd520aad3461ec407b/23d1edee6e6f945aa913f55bf8aaf4682e9072e4,java_gumtree,gumtree_lazy,615945,615945,481543,481543,0,0,0,0,18446744073665018128,18446744073621701912,-5392,10032,481543,0,481543,0
23d1edee6e6f945aa913f55bf8aaf4682e9072e4/f4ba958911f5dde386a33c717434cc6b218cbf6b,java_gumtree,gumtree_lazy,615945,615978,481522,481524,0,2,67,63,18446744073665018128,18446744073621699752,10032,3680,481522,67,481522,67
f4ba958911f5dde386a33c717434cc6b218cbf6b/6f855ef2cc193282b12db66615b06d24febc9d8a,java_gumtree,gumtree_lazy,615978,616039,481538,481538,0,0,122,122,18446744073665016032,18446744073621693712,3680,54240,481538,122,481538,122
6f855ef2cc193282b12db66615b06d24febc9d8a/6f0fded18cecbebf223182d930d186e2910dc65f,java_gumtree,gumtree_lazy,616039,615712,481369,481369,0,0,246,246,18446744073665012088,18446744073621710920,54240,264,481369,246,481369,246
6f0fded18cecbebf223182d930d186e2910dc65f/5fc2508bd266525388ac7fe60ee02586f645f2af,java_gumtree,gumtree_lazy,615712,615712,481369,481369,0,0,9,9,18446744073665034304,18446744073621733088,264,11088,481369,9,481369,9
5fc2508bd266525388ac7fe60ee02586f645f2af/d9aa3fed6dc3f064da88e8bdfd00fca4b2327ee8,java_gumtree,gumtree_lazy,615712,615712,481369,481369,0,0,11,11,18446744073665034304,18446744073621733040,11088,2912,481369,11,481369,11
d9aa3fed6dc3f064da88e8bdfd00fca4b2327ee8/931ce392fdc6bf675bbc3997917079c9ce3c9cb2,java_gumtree,gumtree_lazy,615712,615712,481352,481352,0,0,43,43,18446744073665034304,18446744073621733064,2912,103456,481352,43,481352,43
