input,gt_tool,hast_tool,src_s,dst_s,gt_m,hast_m,missing_mappings,additional_mappings,gt_c,hast_c,gt_src_heap,gt_dst_heap,hast_src_heap,hast_dst_heap,not_lazy_m,not_lazy_c,partial_lazy_m,partial_lazy_c
e831b464837ae5d2afac9841559420aeaef6c52b/1874ed2e3e931345f7a00f8261b3d4de9137ce12,java_gumtree,gumtree_lazy,2952493,2952493,-1,2363475,-1,-1,5,-1,-1,-1,319856912,23152,2363475,5,2363475,5
1874ed2e3e931345f7a00f8261b3d4de9137ce12/7c72487c5bd986b290ff6c5bff05843b6f490674,java_gumtree,gumtree_lazy,2952493,2952493,-1,2363475,-1,-1,5,-1,-1,-1,23152,8144,2363475,5,2363475,5
7c72487c5bd986b290ff6c5bff05843b6f490674/091168afcac1b532df12a063cc8bbcd0819665bb,java_gumtree,gumtree_lazy,2952493,2952318,-1,2363271,-1,-1,260,-1,-1,-1,8144,33824,2363271,260,2363271,260
091168afcac1b532df12a063cc8bbcd0819665bb/2f6bc17d31eb72f080c56fed0adb998480ef7e86,java_gumtree,gumtree_lazy,2952318,2952317,-1,2363313,-1,-1,21,-1,-1,-1,33824,24728,2363313,21,2363313,21
2f6bc17d31eb72f080c56fed0adb998480ef7e86/a0ec9f3b5f5101738c6c688a68641081e5c06202,java_gumtree,gumtree_lazy,2952317,2952301,2363286,2363286,0,0,67,67,18446744073493653136,18446744073281228032,24728,17312,2363286,67,2363286,67
a0ec9f3b5f5101738c6c688a68641081e5c06202/3d7266f13aa0cce7bf8ab0cef5e5e501ee355d33,java_gumtree,gumtree_lazy,2952301,2952356,2363300,2363300,0,0,71,71,18446744073493653472,18446744073281224472,17312,15632,2363300,71,2363300,71
3d7266f13aa0cce7bf8ab0cef5e5e501ee355d33/c2dfbc9e38a591388cff960aef5c6bb97a2d0eac,java_gumtree,gumtree_lazy,2952356,2952319,-1,2363308,-1,-1,67,-1,-1,-1,15632,10728,2363308,67,2363308,67
c2dfbc9e38a591388cff960aef5c6bb97a2d0eac/3654e8fb0820d4a70d8f48af35e316913d836476,java_gumtree,gumtree_lazy,2952319,2951937,-1,2362965,-1,-1,425,-1,-1,-1,10728,62784,2362965,425,2362965,425
3654e8fb0820d4a70d8f48af35e316913d836476/35a87a62d02bba620328b0945b29ec17bbc4393e,java_gumtree,gumtree_lazy,2951937,2951919,-1,2362952,-1,-1,134,-1,-1,-1,62784,33168,2362952,134,2362952,134
35a87a62d02bba620328b0945b29ec17bbc4393e/49926845c0016454f1bd9ea50651bddceb701935,java_gumtree,gumtree_lazy,2951919,2951672,-1,2362761,-1,-1,289,-1,-1,-1,33168,42464,2362761,289,2362761,289
49926845c0016454f1bd9ea50651bddceb701935/7827ca8d04bf5eae757e474afdb5cd5757f43b1a,java_gumtree,gumtree_lazy,2951672,2951672,-1,2362796,-1,-1,5,-1,-1,-1,42464,11840,2362796,5,2362796,5
7827ca8d04bf5eae757e474afdb5cd5757f43b1a/df5b0af7c76c84983671adf4b63a6a8faadcb926,java_gumtree,gumtree_lazy,2951672,2951672,-1,2362798,-1,-1,0,-1,-1,-1,11840,3136,2362798,0,2362798,0
df5b0af7c76c84983671adf4b63a6a8faadcb926/e4b4306818d57c604c38f19cd03e2075019760ca,java_gumtree,gumtree_lazy,2951672,2951416,-1,2362580,-1,-1,221,-1,-1,-1,3136,14808,2362580,221,2362580,221
e4b4306818d57c604c38f19cd03e2075019760ca/3469d7c731632b56391ee6d4c2d1271c20b7a38e,java_gumtree,gumtree_lazy,2951416,2951416,-1,2362581,-1,-1,0,-1,-1,-1,14808,3936,2362581,0,2362581,0
3469d7c731632b56391ee6d4c2d1271c20b7a38e/0bac2faae2d5eafbe2f42a76ce06f510aff5392a,java_gumtree,gumtree_lazy,2951416,2951110,2362314,2362314,0,0,320,320,18446744073493721760,18446744073281382848,3936,48968,2362314,320,2362314,320
0bac2faae2d5eafbe2f42a76ce06f510aff5392a/d5f465cef9db744409464ba617e0628956c36281,java_gumtree,gumtree_lazy,2951110,2951110,2362346,2362346,0,0,11,11,18446744073493742528,18446744073281403568,48968,8832,2362346,11,2362346,11
d5f465cef9db744409464ba617e0628956c36281/6f116fd8b15341923b142a8df94476570f9a24cb,java_gumtree,gumtree_lazy,2951110,2951095,-1,2362334,-1,-1,17,-1,-1,-1,8832,19616,2362334,17,2362334,17
6f116fd8b15341923b142a8df94476570f9a24cb/62154c5927621bc24782e30fa28bfa78e84e90b7,java_gumtree,gumtree_lazy,2951095,2951095,-1,2362327,-1,-1,17,-1,-1,-1,19616,18624,2362327,17,2362327,17
62154c5927621bc24782e30fa28bfa78e84e90b7/9ed4ed4a5141e873f0dc9146514b2a72010d814f,java_gumtree,gumtree_lazy,2951095,2949377,2359116,2359116,0,0,5623,5623,18446744073493743696,18446744073281523408,18624,634288,2359116,5623,2359116,5623
9ed4ed4a5141e873f0dc9146514b2a72010d814f/225c2089a1f1b96209e99af7523d068dc2f4bba7,java_gumtree,gumtree_lazy,2949377,2949403,-1,2361001,-1,-1,25,-1,-1,-1,634288,11432,2361001,25,2361001,25
