input,gt_tool,hast_tool,src_s,dst_s,gt_m,hast_m,missing_mappings,additional_mappings,gt_c,hast_c,gt_src_heap,gt_dst_heap,hast_src_heap,hast_dst_heap,not_lazy_m,not_lazy_c,partial_lazy_m,partial_lazy_c
b30a7120f901b4a367b8a9839a8b8ba62457fbdf/6ec853ce614e1184876be90d195e1180ca3ab6c8,java_gumtree,gumtree_lazy,19320,19320,16916,16916,0,0,0,0,18446744073707901472,18446744073706384624,1027592,3072,16916,0,16916,0
6ec853ce614e1184876be90d195e1180ca3ab6c8/2a268346329c3ce17ad1269c5c0206ddd2747a17,java_gumtree,gumtree_lazy,19320,19320,16916,16916,0,0,0,0,18446744073707901472,18446744073706384624,3072,0,16916,0,16916,0
2a268346329c3ce17ad1269c5c0206ddd2747a17/4d323b2b117a5906ab16074c8c88b4ff162b1b82,java_gumtree,gumtree_lazy,19320,19320,16916,16916,0,0,0,0,18446744073707901472,18446744073706384624,0,-720,16916,0,16916,0
4d323b2b117a5906ab16074c8c88b4ff162b1b82/fd8f5615ab66fd7adb1b882d6ab4ade708e4c5be,java_gumtree,gumtree_lazy,19320,19320,16916,16916,0,0,0,0,18446744073707901472,18446744073706384624,-720,15456,16916,0,16916,0
fd8f5615ab66fd7adb1b882d6ab4ade708e4c5be/0d4eb3bc01252001344d3578007e823210b36243,java_gumtree,gumtree_lazy,19320,19320,16916,16916,0,0,0,0,18446744073707901472,18446744073706384624,15456,-1344,16916,0,16916,0
0d4eb3bc01252001344d3578007e823210b36243/efcba8a60aec69fbc2fe9d1427d80cf9aab4bd0d,java_gumtree,gumtree_lazy,19320,19320,16916,16916,0,0,0,0,18446744073707901472,18446744073706384624,-1344,0,16916,0,16916,0
efcba8a60aec69fbc2fe9d1427d80cf9aab4bd0d/53fa691f6dda9619b5d4e02b19f2f9b9f2903803,java_gumtree,gumtree_lazy,19320,19162,16778,16778,0,0,144,144,18446744073707901472,18446744073706396536,0,-25392,16778,144,16778,144
53fa691f6dda9619b5d4e02b19f2f9b9f2903803/6ad621e76d6dec9f00804c53cbeaa3c9c5854d59,java_gumtree,gumtree_lazy,19162,19162,16782,16782,0,0,0,0,18446744073707914408,18446744073706409560,-25392,6144,16782,0,16782,0
6ad621e76d6dec9f00804c53cbeaa3c9c5854d59/7e04a00131a3a88888752e3548f3c5140b996c85,java_gumtree,gumtree_lazy,19162,19162,16782,16782,0,0,0,0,18446744073707914408,18446744073706409560,6144,-32,16782,0,16782,0
7e04a00131a3a88888752e3548f3c5140b996c85/df55981b5d5cc46e67fcb19d13847b424632405f,java_gumtree,gumtree_lazy,19162,19162,16782,16782,0,0,0,0,18446744073707914408,18446744073706409560,-32,15360,16782,0,16782,0
df55981b5d5cc46e67fcb19d13847b424632405f/4cbc6f10822fd44225ab042473cd3a08ea46b6ce,java_gumtree,gumtree_lazy,19162,19162,16782,16782,0,0,0,0,18446744073707914408,18446744073706409560,15360,0,16782,0,16782,0
4cbc6f10822fd44225ab042473cd3a08ea46b6ce/91d09d9282bab509f9510d50a22708c99600f872,java_gumtree,gumtree_lazy,19162,19162,16782,16782,0,0,0,0,18446744073707914408,18446744073706409560,0,-432,16782,0,16782,0
91d09d9282bab509f9510d50a22708c99600f872/5708344667f932e4acf70864ca85dfd32a71b05a,java_gumtree,gumtree_lazy,19162,19162,16782,16782,0,0,0,0,18446744073707914408,18446744073706409560,-432,0,16782,0,16782,0
5708344667f932e4acf70864ca85dfd32a71b05a/1bc1bd24dfe5dc1bd4ea246934c6eb8a8e3e577a,java_gumtree,gumtree_lazy,19162,19162,16782,16782,0,0,0,0,18446744073707914408,18446744073706409560,0,0,16782,0,16782,0
1bc1bd24dfe5dc1bd4ea246934c6eb8a8e3e577a/6c8a2e1658c86e0aed72b0f618814d25aec2d836,java_gumtree,gumtree_lazy,19162,19162,16782,16782,0,0,0,0,18446744073707914408,18446744073706409560,0,0,16782,0,16782,0
6c8a2e1658c86e0aed72b0f618814d25aec2d836/ce42394bbddc8c65395cfa7ff7a199a5bcd4ee0e,java_gumtree,gumtree_lazy,19162,19162,16782,16782,0,0,0,0,18446744073707914408,18446744073706409560,0,0,16782,0,16782,0
ce42394bbddc8c65395cfa7ff7a199a5bcd4ee0e/7b37db9a62ff489a6b3a683f1888fb2fa0fcba06,java_gumtree,gumtree_lazy,19162,19162,16782,16782,0,0,0,0,18446744073707914408,18446744073706409560,0,15136,16782,0,16782,0
7b37db9a62ff489a6b3a683f1888fb2fa0fcba06/edfcb30297f6b89d3af0be0afb98b394137ec950,java_gumtree,gumtree_lazy,19162,19162,16782,16782,0,0,0,0,18446744073707914408,18446744073706409560,15136,-2528,16782,0,16782,0
edfcb30297f6b89d3af0be0afb98b394137ec950/e3fc49e53990e63a3dbc37d84a2821e23a23b2fd,java_gumtree,gumtree_lazy,19162,19162,16782,16782,0,0,0,0,18446744073707914408,18446744073706409560,-2528,-1120,16782,0,16782,0
e3fc49e53990e63a3dbc37d84a2821e23a23b2fd/a0dba15e5e700e12f474cd5fad12f728c8d1107f,java_gumtree,gumtree_lazy,19162,19162,16782,16782,0,0,0,0,18446744073707914408,18446744073706409560,-1120,0,16782,0,16782,0
a0dba15e5e700e12f474cd5fad12f728c8d1107f/75a3d4dd360112c762200e7807b519853e0ee0b0,java_gumtree,gumtree_lazy,19162,19162,16782,16782,0,0,0,0,18446744073707914408,18446744073706409560,0,1600,16782,0,16782,0
75a3d4dd360112c762200e7807b519853e0ee0b0/aa4523514135bd75cd389566ffc0b691dd7a0d0f,java_gumtree,gumtree_lazy,19162,19162,16782,16782,0,0,0,0,18446744073707914328,18446744073706409480,1600,13824,16782,0,16782,0
aa4523514135bd75cd389566ffc0b691dd7a0d0f/a183b59ace3dc778db40c763666c0aaf61c81f77,java_gumtree,gumtree_lazy,19162,19162,16782,16782,0,0,0,0,18446744073707914408,18446744073706409560,13824,-4224,16782,0,16782,0
a183b59ace3dc778db40c763666c0aaf61c81f77/bbe7ad5d438c13b324110393b53edacbd0655c22,java_gumtree,gumtree_lazy,19162,19162,16782,16782,0,0,0,0,18446744073707914408,18446744073706409560,-4224,0,16782,0,16782,0
bbe7ad5d438c13b324110393b53edacbd0655c22/5784b7fb8ab90a50005b1f4475963a80bb1ef543,java_gumtree,gumtree_lazy,19162,19162,16782,16782,0,0,0,0,18446744073707914408,18446744073706409560,0,0,16782,0,16782,0
5784b7fb8ab90a50005b1f4475963a80bb1ef543/ad32f6f6ff26d1750645ccc22be569ed2f92a39d,java_gumtree,gumtree_lazy,19162,19162,16782,16782,0,0,0,0,18446744073707914408,18446744073706409560,0,0,16782,0,16782,0
ad32f6f6ff26d1750645ccc22be569ed2f92a39d/5f781850803106eda0d2ef062765409eeeee7753,java_gumtree,gumtree_lazy,19162,19162,16782,16782,0,0,0,0,18446744073707914408,18446744073706409560,0,0,16782,0,16782,0
5f781850803106eda0d2ef062765409eeeee7753/ceee251339806a7c06274708c93ae15cd2c2f05c,java_gumtree,gumtree_lazy,19162,19162,16782,16782,0,0,0,0,18446744073707914408,18446744073706409560,0,13568,16782,0,16782,0
ceee251339806a7c06274708c93ae15cd2c2f05c/a9c3d3ac68223c83a98022eb88bbcf0f14a66863,java_gumtree,gumtree_lazy,19162,19162,16782,16782,0,0,0,0,18446744073707914408,18446744073706409560,13568,0,16782,0,16782,0
a9c3d3ac68223c83a98022eb88bbcf0f14a66863/a7f6b089d71b853728e0885334f6dafd2e51be25,java_gumtree,gumtree_lazy,19162,19162,16782,16782,0,0,0,0,18446744073707914408,18446744073706409560,0,0,16782,0,16782,0
a7f6b089d71b853728e0885334f6dafd2e51be25/24c1b8567069887373846fe8a4c218614b71cfc1,java_gumtree,gumtree_lazy,19162,19162,16782,16782,0,0,0,0,18446744073707914408,18446744073706409560,0,0,16782,0,16782,0
24c1b8567069887373846fe8a4c218614b71cfc1/4ddae0d488bc9e20d5f8295c269bcd4545337f58,java_gumtree,gumtree_lazy,19162,19162,16782,16782,0,0,0,0,18446744073707914408,18446744073706409560,0,0,16782,0,16782,0
4ddae0d488bc9e20d5f8295c269bcd4545337f58/b0673d8c7d3c14c3623b9c6fbcc5ee00010230f3,java_gumtree,gumtree_lazy,19162,19162,16782,16782,0,0,0,0,18446744073707914408,18446744073706409560,0,15360,16782,0,16782,0
b0673d8c7d3c14c3623b9c6fbcc5ee00010230f3/0333746706e3a3e01635626a807b0efbfbce31db,java_gumtree,gumtree_lazy,19162,19162,16782,16782,0,0,0,0,18446744073707914408,18446744073706409560,15360,-1600,16782,0,16782,0
0333746706e3a3e01635626a807b0efbfbce31db/0ef6688750d6432e42830dbe5b522cf8c8182790,java_gumtree,gumtree_lazy,19162,19162,16782,16782,0,0,0,0,18446744073707914408,18446744073706409560,-1600,0,16782,0,16782,0
0ef6688750d6432e42830dbe5b522cf8c8182790/aedb0efb151c0c27a2d4f88a91018e25d589039d,java_gumtree,gumtree_lazy,19162,19162,16782,16782,0,0,0,0,18446744073707914408,18446744073706409560,0,-8,16782,0,16782,0
aedb0efb151c0c27a2d4f88a91018e25d589039d/fa7be172245b05edcd3b3ef3a2b7db2659ecea9e,java_gumtree,gumtree_lazy,19162,19162,16782,16782,0,0,0,0,18446744073707914408,18446744073706409560,-8,0,16782,0,16782,0
fa7be172245b05edcd3b3ef3a2b7db2659ecea9e/44df85a82900867ce4785b0ffced8db20c7e1968,java_gumtree,gumtree_lazy,19162,19162,16782,16782,0,0,0,0,18446744073707914408,18446744073706409560,0,15840,16782,0,16782,0
44df85a82900867ce4785b0ffced8db20c7e1968/ac11adc359943ff2ae897ec4093c67b990ded3a6,java_gumtree,gumtree_lazy,19162,19162,16782,16782,0,0,0,0,18446744073707914408,18446744073706409560,15840,-128,16782,0,16782,0
ac11adc359943ff2ae897ec4093c67b990ded3a6/1962106f6f6d1b86bcb23200ba5e80b65e04ae8f,java_gumtree,gumtree_lazy,19162,19162,16782,16782,0,0,0,0,18446744073707914408,18446744073706409560,-128,15360,16782,0,16782,0
