input,gt_tool,hast_tool,src_s,dst_s,gt_m,hast_m,missing_mappings,additional_mappings,gt_c,hast_c,gt_src_heap,gt_dst_heap,hast_src_heap,hast_dst_heap,not_lazy_m,not_lazy_c,partial_lazy_m,partial_lazy_c
3cb5ce818e476d5b0b504b1833c7d33be80e9ca4/fdf25c4b112ff0e78d4b2ca0c7ce8fba91aaa61d,java_gumtree,gumtree_lazy,647563,642289,491018,491018,0,0,4641,4641,18446744073663389472,18446744073619049576,74578392,107168,491018,4641,491018,4641
fdf25c4b112ff0e78d4b2ca0c7ce8fba91aaa61d/e037d5dca014b369ac9fa6f3ad89691a0f3170f5,java_gumtree,gumtree_lazy,642289,642289,491202,491202,0,0,3,3,18446744073663768040,18446744073619429552,107168,27536,491202,3,491202,3
e037d5dca014b369ac9fa6f3ad89691a0f3170f5/c5b123b88961eaef9326eb084fbb10aca65b52ad,java_gumtree,gumtree_lazy,642289,642289,491202,491202,0,0,4,4,18446744073663767992,18446744073619429488,27536,1264,491202,4,491202,4
c5b123b88961eaef9326eb084fbb10aca65b52ad/21117bae1af265bffac713364a36140606b62124,java_gumtree,gumtree_lazy,642289,642289,491202,491202,0,0,4,4,18446744073663768232,18446744073619429736,1264,1440,491202,4,491202,4
21117bae1af265bffac713364a36140606b62124/b4e6b565caa34e7d5985f9774a817eaac79d4558,java_gumtree,gumtree_lazy,642289,647563,491018,491018,0,0,4641,4641,18446744073663767992,18446744073619049296,1440,0,491018,4641,491018,4641
b4e6b565caa34e7d5985f9774a817eaac79d4558/2b65ea1e9401d948ba929724a2711c9ea89a87f5,java_gumtree,gumtree_lazy,647563,642289,491018,491018,0,0,4641,4641,18446744073663389472,18446744073619049576,0,352,491018,4641,491018,4641
2b65ea1e9401d948ba929724a2711c9ea89a87f5/f3f1f781ba9c9157dddb453ae469d053b1eef46b,java_gumtree,gumtree_lazy,642289,641481,490551,490551,0,0,656,656,18446744073663768040,18446744073619487896,352,8096,490551,656,490551,656
f3f1f781ba9c9157dddb453ae469d053b1eef46b/8f64b15553e7de54b207773f4228739f93827c48,java_gumtree,gumtree_lazy,641481,646749,490366,490366,0,0,4645,4645,18446744073663827264,18446744073619167008,8096,37712,490366,4645,490366,4645
8f64b15553e7de54b207773f4228739f93827c48/be2854d5c69be9f1fe52f3acd427768ba3df5f9b,java_gumtree,gumtree_lazy,646749,646749,494661,494661,0,0,7,7,18446744073663449240,18446744073618799800,37712,12768,494661,7,494661,7
be2854d5c69be9f1fe52f3acd427768ba3df5f9b/d4d97a6ab8c69ca6fd779eac63fa1da5a68afa6d,java_gumtree,gumtree_lazy,646749,641475,490366,490366,0,0,4640,4640,18446744073663449240,18446744073619167784,12768,33600,490366,4640,490366,4640
d4d97a6ab8c69ca6fd779eac63fa1da5a68afa6d/706bc22ef9f30f5715238015fbd0c7d6c430d57c,java_gumtree,gumtree_lazy,641475,646931,490366,490366,0,0,4796,4796,18446744073663827808,18446744073619154000,33600,-14736,490366,4796,490366,4796
706bc22ef9f30f5715238015fbd0c7d6c430d57c/456b20fa70737eba334ce3a7cc372466d49920ea,java_gumtree,gumtree_lazy,646931,641657,490525,490525,0,0,4626,4626,18446744073663435456,18446744073619140184,-14736,28560,490525,4626,490525,4626
456b20fa70737eba334ce3a7cc372466d49920ea/c5aa1e18c71507fbd080567cde14332d684e8e5a,java_gumtree,gumtree_lazy,641657,641336,490416,490416,0,0,328,328,18446744073663813928,18446744073619541960,28560,32904,490416,328,490416,328
c5aa1e18c71507fbd080567cde14332d684e8e5a/93c755591c30855149a9174f2fc8b1ad4da53401,java_gumtree,gumtree_lazy,641336,646219,489979,489979,0,0,4944,4944,18446744073663836304,18446744073619208864,32904,22392,489979,4944,489979,4944
93c755591c30855149a9174f2fc8b1ad4da53401/0501e21b75f74e432af49ed51783426a13963ecb,java_gumtree,gumtree_lazy,646219,646231,494279,494279,0,0,16,16,18446744073663484128,18446744073618867400,22392,12976,494279,16,494279,16
0501e21b75f74e432af49ed51783426a13963ecb/143eecedfb37bacfb33c1fb58f24bfdee67edf78,java_gumtree,gumtree_lazy,646231,640945,489990,489990,0,0,4636,4636,18446744073663483240,18446744073619235152,12976,40416,489990,4636,489990,4636
143eecedfb37bacfb33c1fb58f24bfdee67edf78/3740a938231cb6871de0f83c627a002c12e4b260,java_gumtree,gumtree_lazy,640945,640945,490169,490169,0,0,0,0,18446744073663862600,18446744073619616064,40416,15152,490169,0,490169,0
3740a938231cb6871de0f83c627a002c12e4b260/9633143afff8469751b7799bfb1cebd9c8768d93,java_gumtree,gumtree_lazy,640945,645893,489820,489820,0,0,4736,4736,18446744073663862600,18446744073619258648,15152,-5464,489820,4736,489820,4736
9633143afff8469751b7799bfb1cebd9c8768d93/e655e46e61d20340924128b2bcdf9466600d1aea,java_gumtree,gumtree_lazy,645893,645893,494028,494028,0,0,7,7,18446744073663507456,18446744073618913616,-5464,13552,494028,7,494028,7
e655e46e61d20340924128b2bcdf9466600d1aea/6f810ea795410a999e035387f4fdff819c45f10e,java_gumtree,gumtree_lazy,645893,645422,-1,493655,-1,-1,379,-1,-1,-1,13552,9280,493655,379,493655,379
6f810ea795410a999e035387f4fdff819c45f10e/cfb8d2728336442229a60778c8fd752d5e7f08dd,java_gumtree,gumtree_lazy,645422,645270,493454,493454,0,0,464,464,18446744073663544048,18446744073618992744,9280,45224,493454,464,493454,464
cfb8d2728336442229a60778c8fd752d5e7f08dd/8bed4d83620424264f3339d5d9c808f7279d97a5,java_gumtree,gumtree_lazy,645270,645266,493559,493559,0,0,14,14,18446744073663552640,18446744073619000632,45224,74720,493559,14,493559,14
8bed4d83620424264f3339d5d9c808f7279d97a5/e302dd8afbf2cdc61d8c9d8db17ff70fd9922f82,java_gumtree,gumtree_lazy,645266,641181,490210,490210,0,0,3491,3491,18446744073663553952,18446744073619291720,74720,1480,490210,3491,490210,3491
e302dd8afbf2cdc61d8c9d8db17ff70fd9922f82/18b46344384fd87a287da6b4a921a4b6a65de3f9,java_gumtree,gumtree_lazy,641181,640607,489863,489863,0,0,525,525,18446744073663845960,18446744073619622616,1480,11560,489863,525,489863,525
18b46344384fd87a287da6b4a921a4b6a65de3f9/8da987092cd19d3f12d948b49e1e014217ba0d1e,java_gumtree,gumtree_lazy,640607,640607,489908,489908,0,0,0,0,18446744073663886816,18446744073619663776,11560,96,489908,0,489908,0
8da987092cd19d3f12d948b49e1e014217ba0d1e/b4708aa1686de72bb9adad9d0c6636e28562d32f,java_gumtree,gumtree_lazy,640607,640607,489908,489908,0,0,0,0,18446744073663887064,18446744073619664008,96,6936,489908,0,489908,0
b4708aa1686de72bb9adad9d0c6636e28562d32f/2510349474ccdcdb0b131afb0214f075c7b78279,java_gumtree,gumtree_lazy,640607,652236,450916,450916,0,0,96634,96634,18446744073663886816,18446744073618366712,6936,9575792,450916,96634,450916,96634
2510349474ccdcdb0b131afb0214f075c7b78279/c802e34fdf178ad455958963a8dfdf858000f2be,java_gumtree,gumtree_lazy,652236,641181,451221,451221,0,0,96697,96697,18446744073663056344,18446744073618327488,9575792,2560,451221,96697,451221,96697
c802e34fdf178ad455958963a8dfdf858000f2be/ee417e1e2a2525ad80ab68a1498714342b712e35,java_gumtree,gumtree_lazy,641181,640607,489863,489863,0,0,525,525,18446744073663845712,18446744073619622616,2560,0,489863,525,489863,525
ee417e1e2a2525ad80ab68a1498714342b712e35/add76dac5d6fa1cb13b7b26f1dec5195a1bcddee,java_gumtree,gumtree_lazy,640607,640607,489907,489907,0,0,3,3,18446744073663887064,18446744073619663728,0,18080,489907,3,489907,3
add76dac5d6fa1cb13b7b26f1dec5195a1bcddee/d3904cbf679d70baacbd62f2784044686788acc3,java_gumtree,gumtree_lazy,640607,640607,489907,489907,0,0,4,4,18446744073663887016,18446744073619663896,18080,224,489907,4,489907,4
d3904cbf679d70baacbd62f2784044686788acc3/8a38191d91b39eb77187416eadae0e6a025374ed,java_gumtree,gumtree_lazy,640607,640607,489907,489907,0,0,4,4,18446744073663886760,18446744073619663664,224,-10496,489907,4,489907,4
8a38191d91b39eb77187416eadae0e6a025374ed/60507f7cc8d0d44d51b5cb40b6d5b094808a3f89,java_gumtree,gumtree_lazy,640607,640607,489907,489907,0,0,3,3,18446744073663886768,18446744073619663728,-10496,-5760,489907,3,489907,3
60507f7cc8d0d44d51b5cb40b6d5b094808a3f89/5622783243b4af15455a3d6479d5f175a66bc01d,java_gumtree,gumtree_lazy,640607,625481,475507,475507,0,0,17749,17749,18446744073663886816,18446744073620654136,-5760,793672,475507,17749,475507,17749
5622783243b4af15455a3d6479d5f175a66bc01d/36faebcd32f6007cc553dd248b518e68da4ecc7c,java_gumtree,gumtree_lazy,625481,625481,478324,478324,0,0,4,4,18446744073664999560,18446744073621819704,793672,16304,478324,4,478324,4
36faebcd32f6007cc553dd248b518e68da4ecc7c/344e758ba30b176dd47fd60a237428feb0136099,java_gumtree,gumtree_lazy,625481,625481,478324,478324,0,0,4,4,18446744073664999304,18446744073621819704,16304,-13568,478324,4,478324,4
344e758ba30b176dd47fd60a237428feb0136099/4465e7a383b4ca33f9a011e1444d67d7f58fca1c,java_gumtree,gumtree_lazy,625481,641181,475465,475465,0,0,18259,18259,18446744073664999560,18446744073620613328,-13568,0,475465,18259,475465,18259
4465e7a383b4ca33f9a011e1444d67d7f58fca1c/4dbffe741d2a8d53b442dd16c5916f313a669d05,java_gumtree,gumtree_lazy,641181,641181,490341,490341,0,0,0,0,18446744073663845712,18446744073619583680,0,0,490341,0,490341,0
4dbffe741d2a8d53b442dd16c5916f313a669d05/f45d03502f4252378f33a388445f7307c3ddf539,java_gumtree,gumtree_lazy,641181,641181,490341,490341,0,0,0,0,18446744073663845712,18446744073619583680,0,0,490341,0,490341,0
f45d03502f4252378f33a388445f7307c3ddf539/f9f568a7d845a0fa6b32f0c2c60d70bbe3e2b650,java_gumtree,gumtree_lazy,641181,640607,-1,489863,-1,-1,523,-1,-1,-1,0,0,489863,523,489863,523
f9f568a7d845a0fa6b32f0c2c60d70bbe3e2b650/0fbb52961c5092d7d1f8e8f620b719f9eff48fcd,java_gumtree,gumtree_lazy,640607,640607,489907,489907,0,0,4,4,18446744073663887064,18446744073619663656,0,0,489907,4,489907,4
