input,gt_tool,hast_tool,src_s,dst_s,gt_m,hast_m,missing_mappings,additional_mappings,gt_c,hast_c,gt_src_heap,gt_dst_heap,hast_src_heap,hast_dst_heap,not_lazy_m,not_lazy_c,partial_lazy_m,partial_lazy_c
046bf8be251189452ad6b25bf9107a1a2167ce6f/07cd8bcd938662e7de6e4cc324914328f10eaf0e,java_gumtree,gumtree_lazy,1706409,1706409,-1,1378386,-1,-1,0,-1,-1,-1,161755736,3312,1378386,0,1378386,0
07cd8bcd938662e7de6e4cc324914328f10eaf0e/9db22922d53956096528548128e826afb401f413,java_gumtree,gumtree_lazy,1706409,1706409,1378386,1378386,0,0,0,0,18446744073583523472,18446744073459599000,3312,2608,1378386,0,1378386,0
9db22922d53956096528548128e826afb401f413/c7bac9dba96269c655669007b3021a4d5232130f,java_gumtree,gumtree_lazy,1706409,1706409,-1,1378383,-1,-1,7,-1,-1,-1,2608,7904,1378383,7,1378383,7
c7bac9dba96269c655669007b3021a4d5232130f/734011d311c3f2f0ba5cc1e106955eb1345698d7,java_gumtree,gumtree_lazy,1706409,1706409,-1,1378386,-1,-1,0,-1,-1,-1,7904,3072,1378386,0,1378386,0
734011d311c3f2f0ba5cc1e106955eb1345698d7/5f89c62a43c5ded48606d182e38a3a5231d1e549,java_gumtree,gumtree_lazy,1706409,1706141,1378109,1378109,0,0,342,342,18446744073583523472,18446744073459619528,3072,18008,1378109,342,1378109,342
5f89c62a43c5ded48606d182e38a3a5231d1e549/a35520dd3765bba2752bf35d4c281dcc95373894,java_gumtree,gumtree_lazy,1706141,1706141,-1,1378155,-1,-1,9,-1,-1,-1,18008,18752,1378155,9,1378155,9
a35520dd3765bba2752bf35d4c281dcc95373894/77ff6cb642fe5740c7786a25c9023f8a79a80fee,java_gumtree,gumtree_lazy,1706141,1706141,-1,1378155,-1,-1,7,-1,-1,-1,18752,3376,1378155,7,1378155,7
77ff6cb642fe5740c7786a25c9023f8a79a80fee/16d76e579a989cbc569a1761ed12a848ec98f4a9,java_gumtree,gumtree_lazy,1706141,1706141,-1,1378155,-1,-1,7,-1,-1,-1,3376,-2432,1378155,7,1378155,7
16d76e579a989cbc569a1761ed12a848ec98f4a9/29dcc78ecb2fe090526bbe947b8e00b21774a5f3,java_gumtree,gumtree_lazy,1706141,1706141,-1,1378158,-1,-1,0,-1,-1,-1,-2432,1664,1378158,0,1378158,0
29dcc78ecb2fe090526bbe947b8e00b21774a5f3/29f535765b9e83a2d39aa6df71d73cfff790d651,java_gumtree,gumtree_lazy,1706141,1706141,1378155,1378155,0,0,16,16,18446744073583544328,18446744073459640272,1664,45760,1378155,16,1378155,16
29f535765b9e83a2d39aa6df71d73cfff790d651/10ebe0c7cb557af9b8566eb34ffe9f9cec63a03d,java_gumtree,gumtree_lazy,1706141,1706141,1378155,1378155,0,0,16,16,18446744073583544272,18446744073459639792,45760,97632,1378155,16,1378155,16
10ebe0c7cb557af9b8566eb34ffe9f9cec63a03d/6abaf07ad1b75817bd3af1ad75ad7bb70aa64e1b,java_gumtree,gumtree_lazy,1706141,1706141,-1,1378158,-1,-1,0,-1,-1,-1,97632,13568,1378158,0,1378158,0
6abaf07ad1b75817bd3af1ad75ad7bb70aa64e1b/733bbd304e8574e5f991f5cfee79ddfd64bea0b0,java_gumtree,gumtree_lazy,1706141,1706141,-1,1378158,-1,-1,0,-1,-1,-1,13568,0,1378158,0,1378158,0
733bbd304e8574e5f991f5cfee79ddfd64bea0b0/c8c5180cbd086f99290a2103ae361fcefda14027,java_gumtree,gumtree_lazy,1706141,1706141,-1,1378158,-1,-1,0,-1,-1,-1,0,0,1378158,0,1378158,0
c8c5180cbd086f99290a2103ae361fcefda14027/3b123f25e55dc14e307918bf781320c9cb10ea9a,java_gumtree,gumtree_lazy,1706141,1706141,1378155,1378155,0,0,7,7,18446744073583544328,18446744073459640336,0,-1384,1378155,7,1378155,7
3b123f25e55dc14e307918bf781320c9cb10ea9a/910c4b71020aebbbcedee711b8b81f690736a2c1,java_gumtree,gumtree_lazy,1706141,1706141,-1,1378158,-1,-1,0,-1,-1,-1,-1384,3072,1378158,0,1378158,0
910c4b71020aebbbcedee711b8b81f690736a2c1/691f97cb1e92c1b3642508c9a03cae9446005493,java_gumtree,gumtree_lazy,1706141,1706141,-1,1378158,-1,-1,0,-1,-1,-1,3072,768,1378158,0,1378158,0
691f97cb1e92c1b3642508c9a03cae9446005493/21eeb61d1e8a149194f5b48e322b3adf3c3619b6,java_gumtree,gumtree_lazy,1706141,1706141,-1,1378158,-1,-1,0,-1,-1,-1,768,0,1378158,0,1378158,0
21eeb61d1e8a149194f5b48e322b3adf3c3619b6/0b892c233f9217abbef4706a5ceefeaf33edf894,java_gumtree,gumtree_lazy,1706141,1706306,1378155,1378155,0,0,166,166,18446744073583544280,18446744073459627088,0,-2992,1378155,166,1378155,166
0b892c233f9217abbef4706a5ceefeaf33edf894/9b9536fb54258ce64e64127906d2e178347cee4f,java_gumtree,gumtree_lazy,1706306,1706064,1378109,1378109,0,0,200,200,18446744073583531040,18446744073459630672,-2992,16664,1378109,200,1378109,200
9b9536fb54258ce64e64127906d2e178347cee4f/03cb6a8f639ff09e95f5b08b5bdac77f9d8ce174,java_gumtree,gumtree_lazy,1706064,1706064,-1,1378112,-1,-1,0,-1,-1,-1,16664,4480,1378112,0,1378112,0
03cb6a8f639ff09e95f5b08b5bdac77f9d8ce174/64d69e7f1ed3a992c4c6283a1ca8be6be13ddd84,java_gumtree,gumtree_lazy,1706064,1705409,-1,1377551,-1,-1,578,-1,-1,-1,4480,31248,1377551,578,1377551,578
64d69e7f1ed3a992c4c6283a1ca8be6be13ddd84/78dbb1854a1e073111ed9548f382f593cbfc1bde,java_gumtree,gumtree_lazy,1705409,1705409,-1,1377561,-1,-1,0,-1,-1,-1,31248,6880,1377561,0,1377561,0
78dbb1854a1e073111ed9548f382f593cbfc1bde/1c804eafe1e69b5c4ff1e2c20de386e285b5bef8,java_gumtree,gumtree_lazy,1705409,1705409,-1,1377561,-1,-1,0,-1,-1,-1,6880,0,1377561,0,1377561,0
1c804eafe1e69b5c4ff1e2c20de386e285b5bef8/79e4b5173de93d581fafddcafa863ae9d5bde56f,java_gumtree,gumtree_lazy,1705409,1705409,-1,1377561,-1,-1,0,-1,-1,-1,0,0,1377561,0,1377561,0
79e4b5173de93d581fafddcafa863ae9d5bde56f/333177bbd943fb78dbaa4dade7250f38d5fe67fe,java_gumtree,gumtree_lazy,1705409,1705409,-1,1377561,-1,-1,0,-1,-1,-1,0,0,1377561,0,1377561,0
333177bbd943fb78dbaa4dade7250f38d5fe67fe/c9987c9410a693b601c0d4a220d5e5a8d206561f,java_gumtree,gumtree_lazy,1705409,1704734,1376226,1376231,0,5,2277,2267,18446744073583598840,18446744073459785120,0,120952,1376226,2277,1376226,2277
c9987c9410a693b601c0d4a220d5e5a8d206561f/ff4a3f4ea4313514795ff90b02b7d39d08fa87e7,java_gumtree,gumtree_lazy,1704734,1704734,-1,1377075,-1,-1,0,-1,-1,-1,120952,3008,1377075,0,1377075,0
ff4a3f4ea4313514795ff90b02b7d39d08fa87e7/ae6c34e98ec8c03eee9a5ea11bda9b4a43f57098,java_gumtree,gumtree_lazy,1704734,1705409,1376222,1376227,0,5,2285,2275,18446744073583643040,18446744073459785144,3008,2560,1376222,2285,1376222,2285
ae6c34e98ec8c03eee9a5ea11bda9b4a43f57098/04d0cb226040a035e08d8be4677e74863d8f18de,java_gumtree,gumtree_lazy,1705409,1705409,-1,1377558,-1,-1,7,-1,-1,-1,2560,20224,1377558,7,1377558,7
04d0cb226040a035e08d8be4677e74863d8f18de/3cef56ea97e470dd1fb6a9e57b6ad6627cb9d847,java_gumtree,gumtree_lazy,1705409,1704734,1376226,1376231,0,5,2278,2268,18446744073583598840,18446744073459785072,20224,0,1376226,2278,1376226,2278
3cef56ea97e470dd1fb6a9e57b6ad6627cb9d847/1940a8eedeace328218ec67c7c6a4e6e108aed7b,java_gumtree,gumtree_lazy,1704734,1704734,-1,1377075,-1,-1,0,-1,-1,-1,0,0,1377075,0,1377075,0
1940a8eedeace328218ec67c7c6a4e6e108aed7b/01b490d613df98f8b3e7035fe173239d47337be3,java_gumtree,gumtree_lazy,1704734,1704734,-1,1377075,-1,-1,0,-1,-1,-1,0,0,1377075,0,1377075,0
01b490d613df98f8b3e7035fe173239d47337be3/7d998e9004c32778367e2e7dfb490844091af6fa,java_gumtree,gumtree_lazy,1704734,1704734,-1,1377072,-1,-1,7,-1,-1,-1,0,0,1377072,7,1377072,7
7d998e9004c32778367e2e7dfb490844091af6fa/e690687cea5efec23f6cda2ed64f7f5d648b744a,java_gumtree,gumtree_lazy,1704734,1704734,-1,1377075,-1,-1,0,-1,-1,-1,0,1536,1377075,0,1377075,0
e690687cea5efec23f6cda2ed64f7f5d648b744a/356413f45048878b92d18913dc4e52897f410838,java_gumtree,gumtree_lazy,1704734,1704734,-1,1377075,-1,-1,0,-1,-1,-1,1536,0,1377075,0,1377075,0
356413f45048878b92d18913dc4e52897f410838/23e4c6ace81d37db67737965412f654d921166b9,java_gumtree,gumtree_lazy,1704734,1704734,-1,1377075,-1,-1,0,-1,-1,-1,0,0,1377075,0,1377075,0
23e4c6ace81d37db67737965412f654d921166b9/44bc3e698438dbf087e280d3baed3d469ddc88fd,java_gumtree,gumtree_lazy,1704734,1704734,-1,1377075,-1,-1,0,-1,-1,-1,0,0,1377075,0,1377075,0
44bc3e698438dbf087e280d3baed3d469ddc88fd/53f3945adbbfc5744355e0276153715ea7c1c716,java_gumtree,gumtree_lazy,1704734,1704734,-1,1377075,-1,-1,0,-1,-1,-1,0,0,1377075,0,1377075,0
53f3945adbbfc5744355e0276153715ea7c1c716/893da8a955e0b5cab95692a367afb04baa083069,java_gumtree,gumtree_lazy,1704734,1704775,1377072,1377072,0,0,37,37,18446744073583643040,18446744073459833456,0,32960,1377072,37,1377072,37
893da8a955e0b5cab95692a367afb04baa083069/db1d0b4a5e8d3033ba8f370f279ec9740c5dbcda,java_gumtree,gumtree_lazy,1704775,1704734,1377072,1377072,0,0,37,37,18446744073583640248,18446744073459833936,32960,-5824,1377072,37,1377072,37
db1d0b4a5e8d3033ba8f370f279ec9740c5dbcda/7ff697de82ebda687513c0811a4c221824307572,java_gumtree,gumtree_lazy,1704734,1704734,-1,1377072,-1,-1,7,-1,-1,-1,-5824,3824,1377072,7,1377072,7
7ff697de82ebda687513c0811a4c221824307572/3c81424c4b7fde7b97a5e426388c47dc55d39dd1,java_gumtree,gumtree_lazy,1704734,1704735,1377072,1377072,0,0,15,15,18446744073583643040,18446744073459836672,3824,3152,1377072,15,1377072,15
3c81424c4b7fde7b97a5e426388c47dc55d39dd1/c4960747621f60c7ebc4e3c181be0130da6b77c9,java_gumtree,gumtree_lazy,1704735,1704735,-1,1377075,-1,-1,0,-1,-1,-1,3152,192,1377075,0,1377075,0
c4960747621f60c7ebc4e3c181be0130da6b77c9/b9c16d2fe7317d85cb78beba628c0f429ef0bc0d,java_gumtree,gumtree_lazy,1704735,1704735,-1,1377072,-1,-1,7,-1,-1,-1,192,-5400,1377072,7,1377072,7
b9c16d2fe7317d85cb78beba628c0f429ef0bc0d/01662056c9b3d1c4b368a365faf54ba079690e7a,java_gumtree,gumtree_lazy,1704735,1704735,1377075,1377075,0,0,0,0,18446744073583643040,18446744073459836728,-5400,0,1377075,0,1377075,0
01662056c9b3d1c4b368a365faf54ba079690e7a/85efa48ab77246337e1e2a01b1398a0a156ea076,java_gumtree,gumtree_lazy,1704735,1704735,-1,1377072,-1,-1,7,-1,-1,-1,0,-1616,1377072,7,1377072,7
85efa48ab77246337e1e2a01b1398a0a156ea076/604062383de772919205a533db24a3bf16f52cf0,java_gumtree,gumtree_lazy,1704735,1704735,-1,1377075,-1,-1,0,-1,-1,-1,-1616,0,1377075,0,1377075,0
604062383de772919205a533db24a3bf16f52cf0/b4e277319b02497ae2f35b1aa4db3378b20e262f,java_gumtree,gumtree_lazy,1704735,1704735,-1,1377072,-1,-1,7,-1,-1,-1,0,5552,1377072,7,1377072,7
b4e277319b02497ae2f35b1aa4db3378b20e262f/404e920e6ea6f589aaf278b9000190a0c7877062,java_gumtree,gumtree_lazy,1704735,1704735,1377072,1377072,0,0,7,7,18446744073583643040,18446744073459836288,5552,3296,1377072,7,1377072,7
404e920e6ea6f589aaf278b9000190a0c7877062/8b0cf88c3c5e983afc058c790cb5f5a9410aeacb,java_gumtree,gumtree_lazy,1704735,1704735,-1,1377075,-1,-1,0,-1,-1,-1,3296,7680,1377075,0,1377075,0
8b0cf88c3c5e983afc058c790cb5f5a9410aeacb/99dda43bf632f864b328a1435c1f6a71487d13bc,java_gumtree,gumtree_lazy,1704735,1704735,-1,1377072,-1,-1,7,-1,-1,-1,7680,37400,1377072,7,1377072,7
99dda43bf632f864b328a1435c1f6a71487d13bc/e0eb8f80097ff5f5f111bb763e33c4e4194c0639,java_gumtree,gumtree_lazy,1704735,1704521,-1,1376884,-1,-1,206,-1,-1,-1,37400,37520,1376884,206,1376884,206
e0eb8f80097ff5f5f111bb763e33c4e4194c0639/660e2e93dd7953c710007ee3b33f1f474193b346,java_gumtree,gumtree_lazy,1704521,1704521,-1,1376894,-1,-1,7,-1,-1,-1,37520,8624,1376894,7,1376894,7
660e2e93dd7953c710007ee3b33f1f474193b346/bf16eb203e42b2b6275bdf8408aeb65aa8fc37b4,java_gumtree,gumtree_lazy,1704521,1704521,-1,1376894,-1,-1,7,-1,-1,-1,8624,7392,1376894,7,1376894,7
bf16eb203e42b2b6275bdf8408aeb65aa8fc37b4/c918d8cf0e34479eb2effd296ca3c22c07f6f9b0,java_gumtree,gumtree_lazy,1704521,1704521,-1,1376897,-1,-1,0,-1,-1,-1,7392,0,1376897,0,1376897,0
c918d8cf0e34479eb2effd296ca3c22c07f6f9b0/f9efb63db87f31825db2d6006052c92f53898d60,java_gumtree,gumtree_lazy,1704521,1704169,1376568,1376568,0,0,377,377,18446744073583659312,18446744073459894704,0,-5688,1376568,377,1376568,377
f9efb63db87f31825db2d6006052c92f53898d60/441864f1579118bbdf008e6fa350038f2f6d8924,java_gumtree,gumtree_lazy,1704169,1704169,-1,1376602,-1,-1,7,-1,-1,-1,-5688,54592,1376602,7,1376602,7
441864f1579118bbdf008e6fa350038f2f6d8924/c1982c784fbbf7719ddd423b5eee456e259b4420,java_gumtree,gumtree_lazy,1704169,1704169,-1,1376605,-1,-1,0,-1,-1,-1,54592,0,1376605,0,1376605,0
c1982c784fbbf7719ddd423b5eee456e259b4420/a835c1c3dc3f2a2fa76b11ab05cb9180c270d1a0,java_gumtree,gumtree_lazy,1704169,1703524,1376072,1376072,0,0,562,562,18446744073583685560,18446744073459968512,0,55824,1376072,562,1376072,562
a835c1c3dc3f2a2fa76b11ab05cb9180c270d1a0/a6744e0ccc65710bbf970bbdb428629bc0b30958,java_gumtree,gumtree_lazy,1703524,1703558,-1,1376073,-1,-1,25,-1,-1,-1,55824,-6944,1376073,25,1376073,25
a6744e0ccc65710bbf970bbdb428629bc0b30958/a2e3fef0e1d3368fec3a05788ba0dbd5221c1653,java_gumtree,gumtree_lazy,1703558,1703558,-1,1376091,-1,-1,7,-1,-1,-1,-6944,-11440,1376091,7,1376091,7
a2e3fef0e1d3368fec3a05788ba0dbd5221c1653/8c7a5f775fab82268eed3087fe31efe1b5207fbb,java_gumtree,gumtree_lazy,1703558,1703558,-1,1376091,-1,-1,7,-1,-1,-1,-11440,4936,1376091,7,1376091,7
8c7a5f775fab82268eed3087fe31efe1b5207fbb/1a5f3a524657ddedd7a6401609df728f19e22d8c,java_gumtree,gumtree_lazy,1703558,1703524,1376073,1376073,0,0,25,25,18446744073583732416,18446744073460015208,4936,-688,1376073,25,1376073,25
1a5f3a524657ddedd7a6401609df728f19e22d8c/b23b0e44da8d1a99e5eb283ff838c752d3bc2e21,java_gumtree,gumtree_lazy,1703524,1703558,-1,1376073,-1,-1,25,-1,-1,-1,-688,3072,1376073,25,1376073,25
b23b0e44da8d1a99e5eb283ff838c752d3bc2e21/6b77dbd4264e99deb79ac34a60a8df5bba4c5772,java_gumtree,gumtree_lazy,1703558,1703118,1375683,1375683,0,0,497,497,18446744073583732416,18446744073460046640,3072,22744,1375683,497,1375683,497
6b77dbd4264e99deb79ac34a60a8df5bba4c5772/9af1bd4a8d8c747a8f14d578a2779af90256ce6a,java_gumtree,gumtree_lazy,1703118,1703364,1375663,1375663,0,0,383,383,18446744073583767136,18446744073460063048,22744,52272,1375663,383,1375663,383
9af1bd4a8d8c747a8f14d578a2779af90256ce6a/eae3bf3b0a6ca55d2037499e2ab387a30aad81c7,java_gumtree,gumtree_lazy,1703364,1703245,-1,1375698,-1,-1,369,-1,-1,-1,52272,50416,1375698,369,1375698,369
eae3bf3b0a6ca55d2037499e2ab387a30aad81c7/bb8166d125d31b821a8acae3ef1458417fd60934,java_gumtree,gumtree_lazy,1703245,1703245,-1,1375827,-1,-1,7,-1,-1,-1,50416,7744,1375827,7,1375827,7
bb8166d125d31b821a8acae3ef1458417fd60934/54a6c4a7d68820eded6bbc13be3377f0dc1383b3,java_gumtree,gumtree_lazy,1703245,1703231,-1,1375804,-1,-1,42,-1,-1,-1,7744,-7176,1375804,42,1375804,42
54a6c4a7d68820eded6bbc13be3377f0dc1383b3/6924078997cbb213a61b43ddb7e5f17cc25fcafc,java_gumtree,gumtree_lazy,1703231,1703354,1375814,1375814,0,0,110,110,18446744073583759800,18446744073460057072,-7176,6440,1375814,110,1375814,110
6924078997cbb213a61b43ddb7e5f17cc25fcafc/bfaf955c0ae98b66044ddef22158c4657268aae6,java_gumtree,gumtree_lazy,1703354,1702918,-1,1375550,-1,-1,386,-1,-1,-1,6440,32344,1375550,386,1375550,386
bfaf955c0ae98b66044ddef22158c4657268aae6/281620e9994e8ebb353f7b2362611f5013b41f01,java_gumtree,gumtree_lazy,1702918,1703037,-1,1375432,-1,-1,370,-1,-1,-1,32344,33616,1375432,370,1375432,370
281620e9994e8ebb353f7b2362611f5013b41f01/ea24346ae9f0180b70246b4c241b5ad0fd270070,java_gumtree,gumtree_lazy,1703037,1702918,-1,1375432,-1,-1,369,-1,-1,-1,33616,24,1375432,369,1375432,369
ea24346ae9f0180b70246b4c241b5ad0fd270070/36a51bb061b53144c45724ba8d7aa3c78e990815,java_gumtree,gumtree_lazy,1702918,1702918,-1,1375561,-1,-1,7,-1,-1,-1,24,8584,1375561,7,1375561,7
36a51bb061b53144c45724ba8d7aa3c78e990815/3ea65d7a62ca6814b7c6b7a73474d2deafb73559,java_gumtree,gumtree_lazy,1702918,1702918,-1,1375561,-1,-1,7,-1,-1,-1,8584,-2240,1375561,7,1375561,7
3ea65d7a62ca6814b7c6b7a73474d2deafb73559/7a8e79baceea65147fed656efddd293b01d2b6d3,java_gumtree,gumtree_lazy,1702918,1702918,-1,1375561,-1,-1,7,-1,-1,-1,-2240,768,1375561,7,1375561,7
7a8e79baceea65147fed656efddd293b01d2b6d3/8700d9f3d4987437817b6b98e59995e9f2002c88,java_gumtree,gumtree_lazy,1702918,1702918,1375561,1375561,0,0,16,16,18446744073583783264,18446744073460112824,768,11504,1375561,16,1375561,16
8700d9f3d4987437817b6b98e59995e9f2002c88/a7f9caa3344e883ea77f0b1bc81e21976841a9cf,java_gumtree,gumtree_lazy,1702918,1702918,1375561,1375561,0,0,16,16,18446744073583783208,18446744073460112824,11504,76504,1375561,16,1375561,16
