input,gt_tool,hast_tool,src_s,dst_s,gt_m,hast_m,missing_mappings,additional_mappings,gt_c,hast_c,gt_src_heap,gt_dst_heap,hast_src_heap,hast_dst_heap,not_lazy_m,not_lazy_c,partial_lazy_m,partial_lazy_c
ebfc8945a5dd77b617f4667647ed4b740323acc8/5be42b2cfeb5c1dde1ee5b4e7a0fb476083ad568,java_gumtree,gumtree_lazy,2838375,2838375,-1,2218461,-1,-1,0,-1,-1,-1,308809904,15936,2218461,0,2218461,0
5be42b2cfeb5c1dde1ee5b4e7a0fb476083ad568/fb836829414ffb2eba183fd7a9fbbc0b3fae8721,java_gumtree,gumtree_lazy,2838375,2838040,2218203,2218203,0,0,265,265,18446744073505399160,18446744073305961832,15936,-14760,2218203,265,2218203,265
fb836829414ffb2eba183fd7a9fbbc0b3fae8721/9fb2f4b033889f4c358c6f5420b036678e10f8cd,java_gumtree,gumtree_lazy,2838040,2838040,-1,2218208,-1,-1,0,-1,-1,-1,-14760,2432,2218208,0,2218208,0
9fb2f4b033889f4c358c6f5420b036678e10f8cd/dfc215713abbd211e60a81074f177f49bbd9e406,java_gumtree,gumtree_lazy,2838040,2838040,-1,2218208,-1,-1,0,-1,-1,-1,2432,1536,2218208,0,2218208,0
dfc215713abbd211e60a81074f177f49bbd9e406/7f0e350fe8aba6b5eaa33ff2bcb6e682955b0ad9,java_gumtree,gumtree_lazy,2838040,2836075,2216342,2216342,0,0,2119,2119,18446744073505422088,18446744073306133888,1536,53712,2216342,2119,2216342,2119
7f0e350fe8aba6b5eaa33ff2bcb6e682955b0ad9/cfb118e40484faa549a975d912473b4f739a8206,java_gumtree,gumtree_lazy,2836075,2835640,-1,2216121,-1,-1,508,-1,-1,-1,53712,54400,2216121,508,2216121,508
cfb118e40484faa549a975d912473b4f739a8206/5fc1e4957d9ba622d83bcf29c0aa3c54c34e19bf,java_gumtree,gumtree_lazy,2835640,2835640,-1,2216183,-1,-1,0,-1,-1,-1,54400,1536,2216183,0,2216183,0
5fc1e4957d9ba622d83bcf29c0aa3c54c34e19bf/9f45ac2f71af5403fffb48828fa43b5807922476,java_gumtree,gumtree_lazy,2835640,2835558,-1,2216103,-1,-1,126,-1,-1,-1,1536,13624,2216103,126,2216103,126
9f45ac2f71af5403fffb48828fa43b5807922476/4e593a41fcbc07f13965cd96b5cb13ec2573380e,java_gumtree,gumtree_lazy,2835558,2835558,-1,2216130,-1,-1,0,-1,-1,-1,13624,4704,2216130,0,2216130,0
4e593a41fcbc07f13965cd96b5cb13ec2573380e/69898dc632335875882ac90111ff02c747d14673,java_gumtree,gumtree_lazy,2835558,2835558,-1,2216130,-1,-1,0,-1,-1,-1,4704,1536,2216130,0,2216130,0
69898dc632335875882ac90111ff02c747d14673/d262274585735d36bc39d11475005d2021a095f9,java_gumtree,gumtree_lazy,2835558,2835602,-1,2216121,-1,-1,57,-1,-1,-1,1536,10032,2216121,57,2216121,57
d262274585735d36bc39d11475005d2021a095f9/209dc1362e7232a5a46df813119634453486c001,java_gumtree,gumtree_lazy,2835602,2835587,-1,2216153,-1,-1,20,-1,-1,-1,10032,-2352,2216153,20,2216153,20
209dc1362e7232a5a46df813119634453486c001/02128be2330f73a00ecb66bf48bf7740f269a5ce,java_gumtree,gumtree_lazy,2835587,2835587,-1,2216157,-1,-1,0,-1,-1,-1,-2352,3120,2216157,0,2216157,0
