input,gt_tool,hast_tool,src_s,dst_s,gt_m,hast_m,missing_mappings,additional_mappings,gt_c,hast_c,gt_src_heap,gt_dst_heap,hast_src_heap,hast_dst_heap,not_lazy_m,not_lazy_c,partial_lazy_m,partial_lazy_c
be2b7f890d98af20eb0753650b6605a68a97ac05/c99028b9fb67158edc9f202ff8a178c9465430ba,java_gumtree,gumtree_lazy,1239966,1239579,931466,931466,0,0,506,506,18446744073624109696,18446744073540567120,149242504,-8024,931466,506,931466,506
c99028b9fb67158edc9f202ff8a178c9465430ba/bdb35f2deb01148eb56edc49f1c21ee0ffd6d694,java_gumtree,gumtree_lazy,1239579,1238403,930705,930705,0,0,888,888,18446744073624133952,18446744073540668888,-8024,-2136,930705,888,930705,888
bdb35f2deb01148eb56edc49f1c21ee0ffd6d694/d14bb3b8d34723cadd139bc4e5c3e3efdfbf68b8,java_gumtree,gumtree_lazy,1238403,1237221,929770,929770,0,0,989,989,18446744073624212624,18446744073540829704,-2136,32592,929770,989,929770,989
d14bb3b8d34723cadd139bc4e5c3e3efdfbf68b8/896c707d324330d7d4ad92674187923945efcda9,java_gumtree,gumtree_lazy,1237221,1237221,929794,929794,0,0,33,33,18446744073624295656,18446744073540912688,32592,7872,929794,33,929794,33
896c707d324330d7d4ad92674187923945efcda9/d92538b80f302fc40530468efe7ca7bf63b7ba52,java_gumtree,gumtree_lazy,1237221,1237406,928904,928904,0,0,2064,2064,18446744073624295656,18446744073540907552,7872,131192,928904,2064,928904,2064
d92538b80f302fc40530468efe7ca7bf63b7ba52/e85ff889b333b82da20b988fbb42bdbfdb814545,java_gumtree,gumtree_lazy,1237406,1237434,929861,929861,0,0,28,28,18446744073624291416,18446744073540902008,131192,10800,929861,28,929861,28
e85ff889b333b82da20b988fbb42bdbfdb814545/31193cbf0c93205a63c8c7b372b09200f60e69f4,java_gumtree,gumtree_lazy,1237434,1237434,929877,929877,0,0,15,15,18446744073624289640,18446744073540900032,10800,22344,929877,15,929877,15
31193cbf0c93205a63c8c7b372b09200f60e69f4/7c79e634ce2f11b2601d463655fae82c13b8e677,java_gumtree,gumtree_lazy,1237434,1237389,929833,929833,0,0,66,66,18446744073624289592,18446744073540903520,22344,25064,929833,66,929833,66
7c79e634ce2f11b2601d463655fae82c13b8e677/97c1e4b4aa73f5851801fdf5e17f013dd46a6b3e,java_gumtree,gumtree_lazy,1237389,1237389,929843,929843,0,0,0,0,18446744073624293376,18446744073540907752,25064,2320,929843,0,929843,0
97c1e4b4aa73f5851801fdf5e17f013dd46a6b3e/b3d5c12c7ac4301aef5a1b768e8b65c7cb54b0bb,java_gumtree,gumtree_lazy,1237389,1237485,-1,929821,-1,-1,113,-1,-1,-1,2320,5864,929821,113,929821,113
b3d5c12c7ac4301aef5a1b768e8b65c7cb54b0bb/8e5676c84a782d51c4156be059b6ce9a3dc3e1e1,java_gumtree,gumtree_lazy,1237485,1237108,929589,929589,0,0,358,358,18446744073624286872,18446744073540921240,5864,41208,929589,358,929589,358
8e5676c84a782d51c4156be059b6ce9a3dc3e1e1/e8c35ae4ab91270b4403b95468254f0978f1c0ca,java_gumtree,gumtree_lazy,1237108,1236538,929055,929055,0,0,736,736,18446744073624313880,18446744073540985672,41208,88888,929055,736,929055,736
