input,gt_tool,hast_tool,src_s,dst_s,gt_m,hast_m,missing_mappings,additional_mappings,gt_c,hast_c,gt_src_heap,gt_dst_heap,hast_src_heap,hast_dst_heap,not_lazy_m,not_lazy_c,partial_lazy_m,partial_lazy_c
38a9d4701730e674c9646173dbffc1173623cf24/db3c1da10d448113bbfd29a69b1d4ad77eda5fe6,java_gumtree,gumtree_lazy,1333390,1333186,-1,1097454,-1,-1,184,-1,-1,-1,147810144,45320,1097454,184,1097454,184
db3c1da10d448113bbfd29a69b1d4ad77eda5fe6/9059ff5827b615475764ee2b7d72875058e169f0,java_gumtree,gumtree_lazy,1333186,1324598,1088114,1088114,0,0,12364,12364,18446744073609375352,18446744073511276032,45320,652744,1088114,12364,1088114,12364
9059ff5827b615475764ee2b7d72875058e169f0/2b386ce02bfd68319d75c4aa7b5559055337497c,java_gumtree,gumtree_lazy,1324598,1325141,1090409,1090409,0,0,638,638,18446744073610006224,18446744073511870088,652744,243544,1090409,638,1090409,638
2b386ce02bfd68319d75c4aa7b5559055337497c/6d9decddceaffd2f10a26cc3d818c6bac4e94ba2,java_gumtree,gumtree_lazy,1325141,1325117,1090897,1090897,0,0,46,46,18446744073609965920,18446744073511831296,243544,20024,1090897,46,1090897,46
6d9decddceaffd2f10a26cc3d818c6bac4e94ba2/f3478b187d7fc48c44ecf9c3b93f3a70a8f3b021,java_gumtree,gumtree_lazy,1325117,1323058,1088647,1088647,0,0,2987,2987,18446744073609967424,18446744073511990568,20024,342432,1088647,2987,1088647,2987
f3478b187d7fc48c44ecf9c3b93f3a70a8f3b021/e38f25e28b033eaf3439c519c3c7c1ccef845117,java_gumtree,gumtree_lazy,1323058,1322992,1089071,1089071,0,0,75,75,18446744073610132600,18446744073512164080,342432,33304,1089071,75,1089071,75
e38f25e28b033eaf3439c519c3c7c1ccef845117/9386375492328c633f98b057b77ecf15e30dbd58,java_gumtree,gumtree_lazy,1322992,1322986,1089070,1089070,0,0,10,10,18446744073610138032,18446744073512169832,33304,206720,1089070,10,1089070,10
9386375492328c633f98b057b77ecf15e30dbd58/f4c401529c10e66319d1e317c01df7e58b8d4988,java_gumtree,gumtree_lazy,1322986,1322986,1089073,1089073,0,0,0,0,18446744073610138432,18446744073512170176,206720,3648,1089073,0,1089073,0
f4c401529c10e66319d1e317c01df7e58b8d4988/2c8f754c206ec9c674ec2fee0089a248bddf825f,java_gumtree,gumtree_lazy,1322986,1322986,1089073,1089073,0,0,0,0,18446744073610138432,18446744073512170104,3648,4896,1089073,0,1089073,0
2c8f754c206ec9c674ec2fee0089a248bddf825f/c4b813fc16a56f3c4dceabe85fa5e2816c1f7a11,java_gumtree,gumtree_lazy,1322986,1322986,1089073,1089073,0,0,0,0,18446744073610138432,18446744073512170584,4896,0,1089073,0,1089073,0
c4b813fc16a56f3c4dceabe85fa5e2816c1f7a11/ea154b20c36fddf52adda656c4ffb8bceef8ebdb,java_gumtree,gumtree_lazy,1322986,1322986,1089073,1089073,0,0,0,0,18446744073610138360,18446744073512170104,0,0,1089073,0,1089073,0
