input,gt_tool,hast_tool,src_s,dst_s,gt_m,hast_m,missing_mappings,additional_mappings,gt_c,hast_c,gt_src_heap,gt_dst_heap,hast_src_heap,hast_dst_heap,not_lazy_m,not_lazy_c,partial_lazy_m,partial_lazy_c
885f4733c413bdbb110946361247fbbd19f6bba9/33091980ab325bcd001fad93129d74f0189c08e9,java_gumtree,gumtree_lazy,1294823,1294823,1023586,1023586,0,0,0,0,18446744073615292120,18446744073523467416,162445040,24288,1023586,0,1023586,0
33091980ab325bcd001fad93129d74f0189c08e9/31d31608c3fee7ef84c515e3d152ec58c48ad6d9,java_gumtree,gumtree_lazy,1294823,1294823,-1,1023586,-1,-1,0,-1,-1,-1,24288,384,1023586,0,1023586,0
31d31608c3fee7ef84c515e3d152ec58c48ad6d9/22cd0c2f4b2c2b48027454cf99391ab976623375,java_gumtree,gumtree_lazy,1294823,1294823,1023586,1023586,0,0,0,0,18446744073615292120,18446744073523466840,384,0,1023586,0,1023586,0
22cd0c2f4b2c2b48027454cf99391ab976623375/04586a9a3bb80c1601244a291a5fe0a8fa24b97b,java_gumtree,gumtree_lazy,1294823,1294823,1023586,1023586,0,0,0,0,18446744073615292120,18446744073523466840,0,0,1023586,0,1023586,0
04586a9a3bb80c1601244a291a5fe0a8fa24b97b/4274fb8806c25519cac829d00b01132fe08c0cac,java_gumtree,gumtree_lazy,1294823,1294823,1023586,1023586,0,0,0,0,18446744073615292120,18446744073523466784,0,0,1023586,0,1023586,0
4274fb8806c25519cac829d00b01132fe08c0cac/320f88d54440e05228a90ef5663991e28ae07c95,java_gumtree,gumtree_lazy,1294823,1294822,1023575,1023575,0,0,21,21,18446744073615292120,18446744073523466856,0,25040,1023575,21,1023575,21
320f88d54440e05228a90ef5663991e28ae07c95/5d763eb63b67d4fee5972559ddfe0ff3e0e8e210,java_gumtree,gumtree_lazy,1294822,1294822,1023585,1023585,0,0,0,0,18446744073615292248,18446744073523466984,25040,21760,1023585,0,1023585,0
5d763eb63b67d4fee5972559ddfe0ff3e0e8e210/78700d939c42404ce6bd420094e13a258875949b,java_gumtree,gumtree_lazy,1294822,1294822,1023585,1023585,0,0,0,0,18446744073615292248,18446744073523467616,21760,400,1023585,0,1023585,0
78700d939c42404ce6bd420094e13a258875949b/e549c6fd22ac0d5a6df0d817212637c532b9a681,java_gumtree,gumtree_lazy,1294822,1294822,1023585,1023585,0,0,0,0,18446744073615292248,18446744073523467040,400,0,1023585,0,1023585,0
e549c6fd22ac0d5a6df0d817212637c532b9a681/0085bfc8aca11de872f129804269973d4a33cd39,java_gumtree,gumtree_lazy,1294822,1294822,-1,1023585,-1,-1,0,-1,-1,-1,0,0,1023585,0,1023585,0
0085bfc8aca11de872f129804269973d4a33cd39/c0c1f35cd9279bc1a7a50119be72a297162a9b55,java_gumtree,gumtree_lazy,1294822,1294822,1023585,1023585,0,0,0,0,18446744073615292248,18446744073523467040,0,0,1023585,0,1023585,0
c0c1f35cd9279bc1a7a50119be72a297162a9b55/e0c9604f0c4adf03346343994b8b24424a8a1c1a,java_gumtree,gumtree_lazy,1294822,1294822,1023585,1023585,0,0,0,0,18446744073615292248,18446744073523466912,0,0,1023585,0,1023585,0
e0c9604f0c4adf03346343994b8b24424a8a1c1a/43c63337f98097b046b70fcfb4fae44a3295b513,java_gumtree,gumtree_lazy,1294822,1294822,1023585,1023585,0,0,0,0,18446744073615292248,18446744073523467616,0,96,1023585,0,1023585,0
43c63337f98097b046b70fcfb4fae44a3295b513/7ec3a5730bd864089c22e19e823d87b107688378,java_gumtree,gumtree_lazy,1294822,1294822,1023585,1023585,0,0,0,0,18446744073615292248,18446744073523467040,96,16560,1023585,0,1023585,0
7ec3a5730bd864089c22e19e823d87b107688378/98fbbcdac5defebec81626dd1dbd5522a2fd910b,java_gumtree,gumtree_lazy,1294822,1294822,-1,1023585,-1,-1,0,-1,-1,-1,16560,12288,1023585,0,1023585,0
98fbbcdac5defebec81626dd1dbd5522a2fd910b/30fc0ba2307dcb71de1ebf785b96b4e5f05d96bd,java_gumtree,gumtree_lazy,1294822,1294822,-1,1023585,-1,-1,0,-1,-1,-1,12288,0,1023585,0,1023585,0
30fc0ba2307dcb71de1ebf785b96b4e5f05d96bd/ee74bd0d4e3d97b33aa57fe523ab4f5537125f68,java_gumtree,gumtree_lazy,1294822,1294822,1023585,1023585,0,0,0,0,18446744073615292248,18446744073523466984,0,1536,1023585,0,1023585,0
