input,kind,src_s,dst_s,mappings,actions,prepare_topdown_t,topdown_t,prepare_bottomup_t,bottomup_t,prepare_gen_t,gen_t
5ac8332061fbbd4f11d5f280ff12b65fe7308540/fa82421cbe3933609253180368235f4a84930780,java_gumtree,10080434,10058666,8148882,-1,0,19.462998084,0,216.224104008,0,0.000009704
5ac8332061fbbd4f11d5f280ff12b65fe7308540/fa82421cbe3933609253180368235f4a84930780,gumtree_lazy,10080434,10058666,8148882,20444,0.181791211,3.02409413,0,71.981092286,3.927730633,10.310968566
5ac8332061fbbd4f11d5f280ff12b65fe7308540/fa82421cbe3933609253180368235f4a84930780,gumtree_not_lazy,10080434,10058666,8148882,20444,3.494929866,11.872447764,0,70.573006272,1.410063652,9.859175669
5ac8332061fbbd4f11d5f280ff12b65fe7308540/fa82421cbe3933609253180368235f4a84930780,gumtree_partial_lazy,10080434,10058666,8148882,20444,0.188695223,3.122164662,2.550198369,70.303527114,1.433401109,9.874273252
fa82421cbe3933609253180368235f4a84930780/c0896f980fc42ef2adb519ffe9668b29dfd8941c,java_gumtree,10058666,10080392,8148828,-1,0,19.224753369,0,191.08609693,0,0.000009765
fa82421cbe3933609253180368235f4a84930780/c0896f980fc42ef2adb519ffe9668b29dfd8941c,gumtree_lazy,10058666,10080392,8148828,20493,0.19094898,3.435662376,0,77.86346203,2.78717428,9.676902576
fa82421cbe3933609253180368235f4a84930780/c0896f980fc42ef2adb519ffe9668b29dfd8941c,gumtree_not_lazy,10058666,10080392,8148828,20493,3.345934665,12.976427435,0,75.30387264,1.336112339,9.562901971
fa82421cbe3933609253180368235f4a84930780/c0896f980fc42ef2adb519ffe9668b29dfd8941c,gumtree_partial_lazy,10058666,10080392,8148828,20493,0.179609689,3.164149281,2.457304834,74.698177105,1.499839319,10.565863578
c0896f980fc42ef2adb519ffe9668b29dfd8941c/241376f4c6687bc4205a7f0b0727e15a0e67e652,java_gumtree,10080392,10078293,8165807,-1,0,10.484230941,0,48.408347791,0,0.000010492
c0896f980fc42ef2adb519ffe9668b29dfd8941c/241376f4c6687bc4205a7f0b0727e15a0e67e652,gumtree_lazy,10080392,10078293,8165807,2082,0.189315196,0.331581291,0,5.685694701,2.8191952110000003,9.76472698
c0896f980fc42ef2adb519ffe9668b29dfd8941c/241376f4c6687bc4205a7f0b0727e15a0e67e652,gumtree_not_lazy,10080392,10078293,8165807,2082,3.412242966,6.165181831,0,4.520229494,1.395744833,9.839625004
c0896f980fc42ef2adb519ffe9668b29dfd8941c/241376f4c6687bc4205a7f0b0727e15a0e67e652,gumtree_partial_lazy,10080392,10078293,8165807,2082,0.186986388,0.329194068,2.661178477,4.723184344,1.49177604,10.057769656
241376f4c6687bc4205a7f0b0727e15a0e67e652/eeef694798417998ad912d4cbb2113fd9b59e4ee,java_gumtree,10078293,10080388,8165801,-1,0,10.634452715,0,45.7611709,0,0.000009769
241376f4c6687bc4205a7f0b0727e15a0e67e652/eeef694798417998ad912d4cbb2113fd9b59e4ee,gumtree_lazy,10078293,10080388,8165801,2092,0.194015299,0.37903606,0,10.933903017,2.784360204,9.842431633
241376f4c6687bc4205a7f0b0727e15a0e67e652/eeef694798417998ad912d4cbb2113fd9b59e4ee,gumtree_not_lazy,10078293,10080388,8165801,2092,3.380816403,6.138306431,0,9.519279078,1.345118598,9.44308377
241376f4c6687bc4205a7f0b0727e15a0e67e652/eeef694798417998ad912d4cbb2113fd9b59e4ee,gumtree_partial_lazy,10078293,10080388,8165801,2092,0.182146814,0.326009569,2.470658167,9.494004619,1.360275634,9.757543176
eeef694798417998ad912d4cbb2113fd9b59e4ee/383bd0a367efcef5b224549937927a28b30bcca0,java_gumtree,10080388,10075546,8163492,-1,0,12.617725971,0,79.71172482,0,0.000025956
eeef694798417998ad912d4cbb2113fd9b59e4ee/383bd0a367efcef5b224549937927a28b30bcca0,gumtree_lazy,10080388,10075546,8163492,4494,0.180574912,0.429985857,0,10.439937153,2.750483856,9.543125587
eeef694798417998ad912d4cbb2113fd9b59e4ee/383bd0a367efcef5b224549937927a28b30bcca0,gumtree_not_lazy,10080388,10075546,8163492,4494,3.502832567,6.432415361,0,9.133341696,1.373582726,9.557432102
eeef694798417998ad912d4cbb2113fd9b59e4ee/383bd0a367efcef5b224549937927a28b30bcca0,gumtree_partial_lazy,10080388,10075546,8163492,4494,0.182113615,0.424146024,2.480574977,9.578870776,1.418725147,9.810460229
383bd0a367efcef5b224549937927a28b30bcca0/efe06cb8a9dfd06208a08ce71c957a813dac7665,java_gumtree,10075546,10080388,8163492,-1,0,11.388374431999999,0,58.460935316,0,0.000011753
383bd0a367efcef5b224549937927a28b30bcca0/efe06cb8a9dfd06208a08ce71c957a813dac7665,gumtree_lazy,10075546,10080388,8163492,4495,0.182768167,0.449240491,0,10.820540756,3.028829265,10.744368228
383bd0a367efcef5b224549937927a28b30bcca0/efe06cb8a9dfd06208a08ce71c957a813dac7665,gumtree_not_lazy,10075546,10080388,8163492,4495,3.410974061,6.676657135,0,9.610180289,1.578449371,11.014856354
383bd0a367efcef5b224549937927a28b30bcca0/efe06cb8a9dfd06208a08ce71c957a813dac7665,gumtree_partial_lazy,10075546,10080388,8163492,4495,0.188805258,0.444652914,2.611424379,9.028965127,1.411845248,9.78115101
efe06cb8a9dfd06208a08ce71c957a813dac7665/b0fe5489f13ea16248aef0849e53f2844aab0eb5,java_gumtree,10080388,10050944,8141754,-1,0,63.939794516,0,431.549269101,0,0.000011597
efe06cb8a9dfd06208a08ce71c957a813dac7665/b0fe5489f13ea16248aef0849e53f2844aab0eb5,gumtree_lazy,10080388,10050944,8141754,28220,0.186349252,32.289742208,0,249.373453127,2.912415279,9.989337236
efe06cb8a9dfd06208a08ce71c957a813dac7665/b0fe5489f13ea16248aef0849e53f2844aab0eb5,gumtree_not_lazy,10080388,10050944,8141754,28220,3.395127213,39.819835489,0,239.596416105,1.387906786,9.817467585
efe06cb8a9dfd06208a08ce71c957a813dac7665/b0fe5489f13ea16248aef0849e53f2844aab0eb5,gumtree_partial_lazy,10080388,10050944,8141754,28220,0.180630262,30.251523168,2.470984841,239.758318415,1.368172021,9.756855585
b0fe5489f13ea16248aef0849e53f2844aab0eb5/ff4e5b7392e8e4cca74270f767fe3e99e6c95a6e,java_gumtree,10050944,10080448,8141750,-1,0,62.164317435,0,378.780732982,0,0.000010395
b0fe5489f13ea16248aef0849e53f2844aab0eb5/ff4e5b7392e8e4cca74270f767fe3e99e6c95a6e,gumtree_lazy,10050944,10080448,8141750,28233,0.181266214,30.858367053,0,244.454384048,2.778642511,9.806311504
b0fe5489f13ea16248aef0849e53f2844aab0eb5/ff4e5b7392e8e4cca74270f767fe3e99e6c95a6e,gumtree_not_lazy,10050944,10080448,8141750,28233,3.80591196,41.029311277,0,245.193878109,1.471088682,10.234380265
b0fe5489f13ea16248aef0849e53f2844aab0eb5/ff4e5b7392e8e4cca74270f767fe3e99e6c95a6e,gumtree_partial_lazy,10050944,10080448,8141750,28233,0.19319791,30.987707939,2.5784050819999997,241.662082149,1.4032218699999999,9.679335882
ff4e5b7392e8e4cca74270f767fe3e99e6c95a6e/b4e37fea2e18885fc38c43140675b0c880da19e2,java_gumtree,10080448,10059307,8149431,-1,0,19.233713039,0,194.358716799,0,0.000010954
ff4e5b7392e8e4cca74270f767fe3e99e6c95a6e/b4e37fea2e18885fc38c43140675b0c880da19e2,gumtree_lazy,10080448,10059307,8149431,19842,0.180562559,2.941275384,0,65.263560343,2.795615399,9.670056324
ff4e5b7392e8e4cca74270f767fe3e99e6c95a6e/b4e37fea2e18885fc38c43140675b0c880da19e2,gumtree_not_lazy,10080448,10059307,8149431,19842,3.425841597,11.645255877,0,64.292372741,1.347363947,9.48124247
ff4e5b7392e8e4cca74270f767fe3e99e6c95a6e/b4e37fea2e18885fc38c43140675b0c880da19e2,gumtree_partial_lazy,10080448,10059307,8149431,19842,0.179430515,2.826937803,2.470345154,62.743876417,1.367367119,9.964806013
b4e37fea2e18885fc38c43140675b0c880da19e2/381cad1d788d63ea439a501259a06858fbb92ba4,java_gumtree,10059307,10079765,8149123,-1,0,22.330643658,0,209.154929395,0,0.000010728
b4e37fea2e18885fc38c43140675b0c880da19e2/381cad1d788d63ea439a501259a06858fbb92ba4,gumtree_lazy,10059307,10079765,8149123,19934,0.189571916,3.141896394,0,66.750572658,2.9237235630000002,9.882230026
b4e37fea2e18885fc38c43140675b0c880da19e2/381cad1d788d63ea439a501259a06858fbb92ba4,gumtree_not_lazy,10059307,10079765,8149123,19934,3.354438217,11.304111401,0,65.026912356,1.388073096,9.921226552
