input,gt_tool,hast_tool,src_s,dst_s,gt_m,hast_m,missing_mappings,additional_mappings,gt_c,hast_c,gt_src_heap,gt_dst_heap,hast_src_heap,hast_dst_heap,not_lazy_m,not_lazy_c,partial_lazy_m,partial_lazy_c
c2b846750dd2131d65aa25c8cf66bf3649b248f9/701263610a72725c9d32b4022f1d51b1344890d1,java_gumtree,gumtree_lazy,4350188,4350210,3378655,3378655,0,0,-1,99,18446744073399470008,18446744073095379768,394513872,107568,3378655,99,3378655,99
701263610a72725c9d32b4022f1d51b1344890d1/1ecc053e70d57a8da70bf23bf5293b2072337b09,java_gumtree,gumtree_lazy,4350210,4350188,3378655,3378655,0,0,-1,99,18446744073399467992,18446744073095380064,107568,97856,3378655,99,3378655,99
1ecc053e70d57a8da70bf23bf5293b2072337b09/cf8b7170505c2329b34ff1f8c0b76977a4d7c2c2,java_gumtree,gumtree_lazy,4350188,4350097,3378586,3378586,0,0,-1,93,18446744073399470304,18446744073095388720,97856,44536,3378586,93,3378586,93
cf8b7170505c2329b34ff1f8c0b76977a4d7c2c2/a9cac5ee0b921deaa51758f038f9316ca821616a,java_gumtree,gumtree_lazy,4350097,4349494,3378084,3378084,0,0,-1,544,18446744073399477168,18446744073095438704,44536,9824,3378084,544,3378084,544
a9cac5ee0b921deaa51758f038f9316ca821616a/005a6a4e7b3632d6719640eac621690d3268fd1f,java_gumtree,gumtree_lazy,4349494,4349366,3377651,3377651,0,0,-1,830,18446744073399520984,18446744073095491944,9824,55160,3377651,830,3377651,830
005a6a4e7b3632d6719640eac621690d3268fd1f/5e23212172a761c416ec682c55f462852c381e92,java_gumtree,gumtree_lazy,4349366,4348808,3377536,3377536,0,0,-1,477,18446744073399531360,18446744073095542312,55160,35480,3377536,477,3377536,477
5e23212172a761c416ec682c55f462852c381e92/960121db545f2d8aec7a87da8c54a9645fde266c,java_gumtree,gumtree_lazy,4348808,4348804,3377526,3377526,0,0,-1,59,18446744073399570480,18446744073095581704,35480,9632,3377526,59,3377526,59
960121db545f2d8aec7a87da8c54a9645fde266c/afbf8d26b17548896b55d4edbcdcc4f8bb625a7d,java_gumtree,gumtree_lazy,4348804,4347480,3376391,3376391,0,0,-1,1337,18446744073399570272,18446744073095672504,9632,83816,3376391,1337,3376391,1337
afbf8d26b17548896b55d4edbcdcc4f8bb625a7d/34ae67a5b1fb1f119c1ed509f576c205d1e7fd78,java_gumtree,gumtree_lazy,4347480,4347532,3376495,3376495,0,0,-1,170,18446744073399661512,18446744073095759112,83816,18664,3376495,170,3376495,170
34ae67a5b1fb1f119c1ed509f576c205d1e7fd78/19d74affb0bc88118d64737df10569ac41ae1804,java_gumtree,gumtree_lazy,4347532,4347532,3376589,3376589,0,0,-1,9,18446744073399658008,18446744073095755448,18664,15072,3376589,9,3376589,9
19d74affb0bc88118d64737df10569ac41ae1804/d88e0bf3ff2cd6e9506ccb749b53bbeadb09555e,java_gumtree,gumtree_lazy,4347532,4347532,3376580,3376580,0,0,-1,29,18446744073399657528,18446744073095755536,15072,-4368,3376580,29,3376580,29
d88e0bf3ff2cd6e9506ccb749b53bbeadb09555e/d7d6166fe5100b1955dd2d7ab83782e28da7f352,java_gumtree,gumtree_lazy,4347532,4347532,3376593,3376593,0,0,-1,0,18446744073399658008,18446744073095755496,-4368,10784,3376593,0,3376593,0
d7d6166fe5100b1955dd2d7ab83782e28da7f352/d9ed098eb744c828a823d4722c65280130962ede,java_gumtree,gumtree_lazy,4347532,4343338,3373269,3373269,0,0,-1,3343,18446744073399657712,18446744073096052592,10784,106384,3373269,3343,3373269,3343
d9ed098eb744c828a823d4722c65280130962ede/f235b37c281977b5428dacb32cc44072c9a441e5,java_gumtree,gumtree_lazy,4343338,4342755,3372709,3372709,0,0,-1,698,18446744073399958568,18446744073096394544,106384,47440,3372709,698,3372709,698
f235b37c281977b5428dacb32cc44072c9a441e5/6a4dafc9e72c71cad544cb74688b37e83a46ccca,java_gumtree,gumtree_lazy,4342755,4342755,3372818,3372818,0,0,-1,9,18446744073400000176,18446744073096436600,47440,18624,3372818,9,3372818,9
6a4dafc9e72c71cad544cb74688b37e83a46ccca/06db4dc2c11aeee727225dc48b273af670300759,java_gumtree,gumtree_lazy,4342755,4342682,3372763,3372763,0,0,-1,64,18446744073400000952,18446744073096441416,18624,4280,3372763,64,3372763,64
06db4dc2c11aeee727225dc48b273af670300759/7773044031613bc96990e434c36c484002693c30,java_gumtree,gumtree_lazy,4342682,4342682,3372668,3372668,0,0,-1,203,18446744073400004960,18446744073096443688,4280,79832,3372668,203,3372668,203
7773044031613bc96990e434c36c484002693c30/04c4c5213502efa7251eb4dad13454657f539d4c,java_gumtree,gumtree_lazy,4342682,4342684,3372754,3372754,0,0,-1,31,18446744073400005416,18446744073096445944,79832,20848,3372754,31,3372754,31
04c4c5213502efa7251eb4dad13454657f539d4c/12e84a6fa558aa8ef9775a2a29e11ad87cf49cba,java_gumtree,gumtree_lazy,4342684,4341203,3371492,3371492,0,0,-1,1369,18446744073400005336,18446744073096554528,20848,51488,3371492,1369,3371492,1369
12e84a6fa558aa8ef9775a2a29e11ad87cf49cba/0fae15828ec430d9a3a981d779b93d9089275b86,java_gumtree,gumtree_lazy,4341203,4340822,3371125,3371125,0,0,-1,593,18446744073400115168,18446744073096691376,51488,42416,3371125,593,3371125,593
0fae15828ec430d9a3a981d779b93d9089275b86/ec68df49169cb0fdd4d7b783e531105bf45f743e,java_gumtree,gumtree_lazy,4340822,4339059,3369684,3369684,0,0,-1,1720,18446744073400141504,18446744073096850064,42416,43472,3369684,1720,3369684,1720
ec68df49169cb0fdd4d7b783e531105bf45f743e/8df70b59abf84c34fe1f69dd8a00f64da545d6f4,java_gumtree,gumtree_lazy,4339059,4339003,3369717,3369717,0,0,-1,115,18446744073400273960,18446744073096985320,43472,15608,3369717,115,3369717,115
8df70b59abf84c34fe1f69dd8a00f64da545d6f4/00905d64c817b87aa37dee1c2bc3292b874b47a6,java_gumtree,gumtree_lazy,4339003,4337833,3368679,3368679,0,0,-1,1139,18446744073400277152,18446744073097081688,15608,45648,3368679,1139,3368679,1139
00905d64c817b87aa37dee1c2bc3292b874b47a6/481969ee18f3f463c92f99dac5dd40f1c6eb1ad2,java_gumtree,gumtree_lazy,4337833,4337838,3368624,3368624,0,0,-1,197,18446744073400369736,18446744073097169256,45648,6456,3368624,197,3368624,197
481969ee18f3f463c92f99dac5dd40f1c6eb1ad2/86004b7303621784f7ec8850323d9a707f17f9f8,java_gumtree,gumtree_lazy,4337838,4337684,3368576,3368576,0,0,-1,155,18446744073400369736,18446744073097185536,6456,18552,3368576,155,3368576,155
86004b7303621784f7ec8850323d9a707f17f9f8/40382fb1af275e931a765c5001f4b6bd8061991e,java_gumtree,gumtree_lazy,4337684,4337431,3368320,3368320,0,0,-1,357,18446744073400383064,18446744073097215512,18552,43320,3368320,357,3368320,357
40382fb1af275e931a765c5001f4b6bd8061991e/5cda0444187c6f7c54b03a97b1956c44a2f24ccc,java_gumtree,gumtree_lazy,4337431,4337420,3368385,3368385,0,0,-1,18,18446744073400399632,18446744073097233656,43320,7192,3368385,18,3368385,18
5cda0444187c6f7c54b03a97b1956c44a2f24ccc/824a0b803431c58bd8dfe25a30413d7ff9759e8f,java_gumtree,gumtree_lazy,4337420,4337420,3368389,3368389,0,0,-1,0,18446744073400400576,18446744073097234600,7192,6240,3368389,0,3368389,0
824a0b803431c58bd8dfe25a30413d7ff9759e8f/30855c71c843db6d3d0c769d2547b948f61500a2,java_gumtree,gumtree_lazy,4337420,4337360,3368328,3368328,0,0,-1,103,18446744073400401056,18446744073097238040,6240,12712,3368328,103,3368328,103
30855c71c843db6d3d0c769d2547b948f61500a2/fb70176224dd3304670d68461ce6a76358b0f94c,java_gumtree,gumtree_lazy,4337360,4337373,3368319,3368319,0,0,-1,76,18446744073400404528,18446744073097241128,12712,71200,3368319,76,3368319,76
