input,kind,src_s,dst_s,mappings,actions,prepare_topdown_t,topdown_t,prepare_bottomup_t,bottomup_t,prepare_gen_t,gen_t
56e12a0c0e0e69ea70863011b4f4ca3305e0542b+ebfc8945a5dd77b617f4667647ed4b740323acc8+885f4733c413bdbb110946361247fbbd19f6bba9+f79ea208b1a42d0ee9e921dcfb3694221a2037ed+be6713661c120c222c17026e62401191bdc4035c+e831b464837ae5d2afac9841559420aeaef6c52b+38a9d4701730e674c9646173dbffc1173623cf24+d67338a140bf1b744d95a514b82824bba5b16105+85417f68e1eb6d90d46e145229e390cf55a4a554+c2b846750dd2131d65aa25c8cf66bf3649b248f9+f56b5d895f97f4cc3bd787c600a3ee67ba56d4db+c661d2d24892ce8a09a783ca3ba82eda90a66a85+b30a7120f901b4a367b8a9839a8b8ba62457fbdf+d5e97fe4d6baf43a5576cbd1700c22b788dba01e+3cb5ce818e476d5b0b504b1833c7d33be80e9ca4+2b0e15874aaf5502c9d6e36b0b81fc6bc14a8531/3acf94ce97e6f4af9eb7b69a9b9f94d4a6d5a164+5be42b2cfeb5c1dde1ee5b4e7a0fb476083ad568+33091980ab325bcd001fad93129d74f0189c08e9+463bb7d096d7ce0568302a75b67808b6be78daae+a203cc9f5e211defc70f84750af5b680756ccb00+1874ed2e3e931345f7a00f8261b3d4de9137ce12+db3c1da10d448113bbfd29a69b1d4ad77eda5fe6+995132de7af5fb539f63e0de3bfc1d22aeeead95+f481dae03021bca4667a6c038451aa1482dca9b2+701263610a72725c9d32b4022f1d51b1344890d1+7bd661dc4c9d4b1ecf4c9caf85386829bcd5e147+989728d5ea93c8a278104fd9722ba536ed1d93cf+6ec853ce614e1184876be90d195e1180ca3ab6c8+b69ede7154d44538a4a66824c34f7ba143deef25+fdf25c4b112ff0e78d4b2ca0c7ce8fba91aaa61d+d8b223e379fd1446911ba9f2891fc208b96f2bd5,gumtree_lazy,65861898,65846197,52069921,22840,1.254941237,14.016161798,0,131.995826475,23.578299217,77.839689714
56e12a0c0e0e69ea70863011b4f4ca3305e0542b+ebfc8945a5dd77b617f4667647ed4b740323acc8+885f4733c413bdbb110946361247fbbd19f6bba9+f79ea208b1a42d0ee9e921dcfb3694221a2037ed+be6713661c120c222c17026e62401191bdc4035c+e831b464837ae5d2afac9841559420aeaef6c52b+38a9d4701730e674c9646173dbffc1173623cf24+d67338a140bf1b744d95a514b82824bba5b16105+85417f68e1eb6d90d46e145229e390cf55a4a554+c2b846750dd2131d65aa25c8cf66bf3649b248f9+f56b5d895f97f4cc3bd787c600a3ee67ba56d4db+c661d2d24892ce8a09a783ca3ba82eda90a66a85+b30a7120f901b4a367b8a9839a8b8ba62457fbdf+d5e97fe4d6baf43a5576cbd1700c22b788dba01e+3cb5ce818e476d5b0b504b1833c7d33be80e9ca4+2b0e15874aaf5502c9d6e36b0b81fc6bc14a8531/3acf94ce97e6f4af9eb7b69a9b9f94d4a6d5a164+5be42b2cfeb5c1dde1ee5b4e7a0fb476083ad568+33091980ab325bcd001fad93129d74f0189c08e9+463bb7d096d7ce0568302a75b67808b6be78daae+a203cc9f5e211defc70f84750af5b680756ccb00+1874ed2e3e931345f7a00f8261b3d4de9137ce12+db3c1da10d448113bbfd29a69b1d4ad77eda5fe6+995132de7af5fb539f63e0de3bfc1d22aeeead95+f481dae03021bca4667a6c038451aa1482dca9b2+701263610a72725c9d32b4022f1d51b1344890d1+7bd661dc4c9d4b1ecf4c9caf85386829bcd5e147+989728d5ea93c8a278104fd9722ba536ed1d93cf+6ec853ce614e1184876be90d195e1180ca3ab6c8+b69ede7154d44538a4a66824c34f7ba143deef25+fdf25c4b112ff0e78d4b2ca0c7ce8fba91aaa61d+d8b223e379fd1446911ba9f2891fc208b96f2bd5,gumtree_not_lazy,65861898,65846197,52069921,22840,31.111361763,69.167117196,0,117.349586523,11.836937905,78.15675212
56e12a0c0e0e69ea70863011b4f4ca3305e0542b+ebfc8945a5dd77b617f4667647ed4b740323acc8+885f4733c413bdbb110946361247fbbd19f6bba9+f79ea208b1a42d0ee9e921dcfb3694221a2037ed+be6713661c120c222c17026e62401191bdc4035c+e831b464837ae5d2afac9841559420aeaef6c52b+38a9d4701730e674c9646173dbffc1173623cf24+d67338a140bf1b744d95a514b82824bba5b16105+85417f68e1eb6d90d46e145229e390cf55a4a554+c2b846750dd2131d65aa25c8cf66bf3649b248f9+f56b5d895f97f4cc3bd787c600a3ee67ba56d4db+c661d2d24892ce8a09a783ca3ba82eda90a66a85+b30a7120f901b4a367b8a9839a8b8ba62457fbdf+d5e97fe4d6baf43a5576cbd1700c22b788dba01e+3cb5ce818e476d5b0b504b1833c7d33be80e9ca4+2b0e15874aaf5502c9d6e36b0b81fc6bc14a8531/3acf94ce97e6f4af9eb7b69a9b9f94d4a6d5a164+5be42b2cfeb5c1dde1ee5b4e7a0fb476083ad568+33091980ab325bcd001fad93129d74f0189c08e9+463bb7d096d7ce0568302a75b67808b6be78daae+a203cc9f5e211defc70f84750af5b680756ccb00+1874ed2e3e931345f7a00f8261b3d4de9137ce12+db3c1da10d448113bbfd29a69b1d4ad77eda5fe6+995132de7af5fb539f63e0de3bfc1d22aeeead95+f481dae03021bca4667a6c038451aa1482dca9b2+701263610a72725c9d32b4022f1d51b1344890d1+7bd661dc4c9d4b1ecf4c9caf85386829bcd5e147+989728d5ea93c8a278104fd9722ba536ed1d93cf+6ec853ce614e1184876be90d195e1180ca3ab6c8+b69ede7154d44538a4a66824c34f7ba143deef25+fdf25c4b112ff0e78d4b2ca0c7ce8fba91aaa61d+d8b223e379fd1446911ba9f2891fc208b96f2bd5,gumtree_partial_lazy,65861898,65846197,52069921,22840,1.230796221,13.732857384999999,20.012081151,119.043913672,11.175633203,77.419162466
3acf94ce97e6f4af9eb7b69a9b9f94d4a6d5a164+5be42b2cfeb5c1dde1ee5b4e7a0fb476083ad568+33091980ab325bcd001fad93129d74f0189c08e9+463bb7d096d7ce0568302a75b67808b6be78daae+a203cc9f5e211defc70f84750af5b680756ccb00+1874ed2e3e931345f7a00f8261b3d4de9137ce12+db3c1da10d448113bbfd29a69b1d4ad77eda5fe6+995132de7af5fb539f63e0de3bfc1d22aeeead95+f481dae03021bca4667a6c038451aa1482dca9b2+701263610a72725c9d32b4022f1d51b1344890d1+7bd661dc4c9d4b1ecf4c9caf85386829bcd5e147+989728d5ea93c8a278104fd9722ba536ed1d93cf+6ec853ce614e1184876be90d195e1180ca3ab6c8+b69ede7154d44538a4a66824c34f7ba143deef25+fdf25c4b112ff0e78d4b2ca0c7ce8fba91aaa61d+d8b223e379fd1446911ba9f2891fc208b96f2bd5/07ab4c7629c46933b46df72f287200986b20bcfc+fb836829414ffb2eba183fd7a9fbbc0b3fae8721+31d31608c3fee7ef84c515e3d152ec58c48ad6d9+b2b1424582f973457e15f4eeba35cd3c0c0ed2b6+170f2cd2d0b60f0e4a507c773b9c3c1396ebad9b+7c72487c5bd986b290ff6c5bff05843b6f490674+9059ff5827b615475764ee2b7d72875058e169f0+8d006224d209c981c563ef6625bc6f617d40684a+4622dbfb0d17551b1fc2765a0bb638ee59fb65bb+1ecc053e70d57a8da70bf23bf5293b2072337b09+9c9e855d23519caa7d846fb1d309bf22e7ca10f5+cb36bdfe21cb6819033c5ca7cae231b26fc3d1f7+2a268346329c3ce17ad1269c5c0206ddd2747a17+37650ced81964efe7a9ea45bf505af96b8035d53+e037d5dca014b369ac9fa6f3ad89691a0f3170f5+045f502fa915bf1749deddabcd534f74c9dfd1af,gumtree_lazy,65846197,65846615,52060767,29531,1.227702938,18.917623258,0,156.963114157,22.67023087,83.434003459
3acf94ce97e6f4af9eb7b69a9b9f94d4a6d5a164+5be42b2cfeb5c1dde1ee5b4e7a0fb476083ad568+33091980ab325bcd001fad93129d74f0189c08e9+463bb7d096d7ce0568302a75b67808b6be78daae+a203cc9f5e211defc70f84750af5b680756ccb00+1874ed2e3e931345f7a00f8261b3d4de9137ce12+db3c1da10d448113bbfd29a69b1d4ad77eda5fe6+995132de7af5fb539f63e0de3bfc1d22aeeead95+f481dae03021bca4667a6c038451aa1482dca9b2+701263610a72725c9d32b4022f1d51b1344890d1+7bd661dc4c9d4b1ecf4c9caf85386829bcd5e147+989728d5ea93c8a278104fd9722ba536ed1d93cf+6ec853ce614e1184876be90d195e1180ca3ab6c8+b69ede7154d44538a4a66824c34f7ba143deef25+fdf25c4b112ff0e78d4b2ca0c7ce8fba91aaa61d+d8b223e379fd1446911ba9f2891fc208b96f2bd5/07ab4c7629c46933b46df72f287200986b20bcfc+fb836829414ffb2eba183fd7a9fbbc0b3fae8721+31d31608c3fee7ef84c515e3d152ec58c48ad6d9+b2b1424582f973457e15f4eeba35cd3c0c0ed2b6+170f2cd2d0b60f0e4a507c773b9c3c1396ebad9b+7c72487c5bd986b290ff6c5bff05843b6f490674+9059ff5827b615475764ee2b7d72875058e169f0+8d006224d209c981c563ef6625bc6f617d40684a+4622dbfb0d17551b1fc2765a0bb638ee59fb65bb+1ecc053e70d57a8da70bf23bf5293b2072337b09+9c9e855d23519caa7d846fb1d309bf22e7ca10f5+cb36bdfe21cb6819033c5ca7cae231b26fc3d1f7+2a268346329c3ce17ad1269c5c0206ddd2747a17+37650ced81964efe7a9ea45bf505af96b8035d53+e037d5dca014b369ac9fa6f3ad89691a0f3170f5+045f502fa915bf1749deddabcd534f74c9dfd1af,gumtree_not_lazy,65846197,65846615,52060767,29531,27.139121184,80.114010645,0,149.768378634,11.470939385,80.482171164
3acf94ce97e6f4af9eb7b69a9b9f94d4a6d5a164+5be42b2cfeb5c1dde1ee5b4e7a0fb476083ad568+33091980ab325bcd001fad93129d74f0189c08e9+463bb7d096d7ce0568302a75b67808b6be78daae+a203cc9f5e211defc70f84750af5b680756ccb00+1874ed2e3e931345f7a00f8261b3d4de9137ce12+db3c1da10d448113bbfd29a69b1d4ad77eda5fe6+995132de7af5fb539f63e0de3bfc1d22aeeead95+f481dae03021bca4667a6c038451aa1482dca9b2+701263610a72725c9d32b4022f1d51b1344890d1+7bd661dc4c9d4b1ecf4c9caf85386829bcd5e147+989728d5ea93c8a278104fd9722ba536ed1d93cf+6ec853ce614e1184876be90d195e1180ca3ab6c8+b69ede7154d44538a4a66824c34f7ba143deef25+fdf25c4b112ff0e78d4b2ca0c7ce8fba91aaa61d+d8b223e379fd1446911ba9f2891fc208b96f2bd5/07ab4c7629c46933b46df72f287200986b20bcfc+fb836829414ffb2eba183fd7a9fbbc0b3fae8721+31d31608c3fee7ef84c515e3d152ec58c48ad6d9+b2b1424582f973457e15f4eeba35cd3c0c0ed2b6+170f2cd2d0b60f0e4a507c773b9c3c1396ebad9b+7c72487c5bd986b290ff6c5bff05843b6f490674+9059ff5827b615475764ee2b7d72875058e169f0+8d006224d209c981c563ef6625bc6f617d40684a+4622dbfb0d17551b1fc2765a0bb638ee59fb65bb+1ecc053e70d57a8da70bf23bf5293b2072337b09+9c9e855d23519caa7d846fb1d309bf22e7ca10f5+cb36bdfe21cb6819033c5ca7cae231b26fc3d1f7+2a268346329c3ce17ad1269c5c0206ddd2747a17+37650ced81964efe7a9ea45bf505af96b8035d53+e037d5dca014b369ac9fa6f3ad89691a0f3170f5+045f502fa915bf1749deddabcd534f74c9dfd1af,gumtree_partial_lazy,65846197,65846615,52060767,29531,1.264232498,18.711718055,19.219791079,150.990150983,12.494435236,79.874152238
07ab4c7629c46933b46df72f287200986b20bcfc+fb836829414ffb2eba183fd7a9fbbc0b3fae8721+31d31608c3fee7ef84c515e3d152ec58c48ad6d9+b2b1424582f973457e15f4eeba35cd3c0c0ed2b6+170f2cd2d0b60f0e4a507c773b9c3c1396ebad9b+7c72487c5bd986b290ff6c5bff05843b6f490674+9059ff5827b615475764ee2b7d72875058e169f0+8d006224d209c981c563ef6625bc6f617d40684a+4622dbfb0d17551b1fc2765a0bb638ee59fb65bb+1ecc053e70d57a8da70bf23bf5293b2072337b09+9c9e855d23519caa7d846fb1d309bf22e7ca10f5+cb36bdfe21cb6819033c5ca7cae231b26fc3d1f7+2a268346329c3ce17ad1269c5c0206ddd2747a17+37650ced81964efe7a9ea45bf505af96b8035d53+e037d5dca014b369ac9fa6f3ad89691a0f3170f5+045f502fa915bf1749deddabcd534f74c9dfd1af/394224589ec67a221b516c85514e917ff9579c6c+9fb2f4b033889f4c358c6f5420b036678e10f8cd+22cd0c2f4b2c2b48027454cf99391ab976623375+774c751a9ee026c6d7e4b0ca44dac6ad526de557+51e7142d5705c10833e0959fdf2534a32b0e7d86+091168afcac1b532df12a063cc8bbcd0819665bb+2b386ce02bfd68319d75c4aa7b5559055337497c+ad2e3afd9df1a2fa140caca5752d782e904eb0c5+ba4357a0863ae42a77c514758c917870a5d2d74b+cf8b7170505c2329b34ff1f8c0b76977a4d7c2c2+a73bf2506b0855eece996bd290c9382b5ffbd0a9+2157ca3c0d34c7b131e9ce60b7d00145900e8d72+4d323b2b117a5906ab16074c8c88b4ff162b1b82+bfde9102be77654861c8025eab08fc8568ce41dd+c5b123b88961eaef9326eb084fbb10aca65b52ad+a188a3ed734e3d551d0404854e7795d74534c0a6,gumtree_lazy,65846615,65851985,52073524,6497,1.326757478,2.671083907,0,44.026630662,24.965518702,99.971459934
07ab4c7629c46933b46df72f287200986b20bcfc+fb836829414ffb2eba183fd7a9fbbc0b3fae8721+31d31608c3fee7ef84c515e3d152ec58c48ad6d9+b2b1424582f973457e15f4eeba35cd3c0c0ed2b6+170f2cd2d0b60f0e4a507c773b9c3c1396ebad9b+7c72487c5bd986b290ff6c5bff05843b6f490674+9059ff5827b615475764ee2b7d72875058e169f0+8d006224d209c981c563ef6625bc6f617d40684a+4622dbfb0d17551b1fc2765a0bb638ee59fb65bb+1ecc053e70d57a8da70bf23bf5293b2072337b09+9c9e855d23519caa7d846fb1d309bf22e7ca10f5+cb36bdfe21cb6819033c5ca7cae231b26fc3d1f7+2a268346329c3ce17ad1269c5c0206ddd2747a17+37650ced81964efe7a9ea45bf505af96b8035d53+e037d5dca014b369ac9fa6f3ad89691a0f3170f5+045f502fa915bf1749deddabcd534f74c9dfd1af/394224589ec67a221b516c85514e917ff9579c6c+9fb2f4b033889f4c358c6f5420b036678e10f8cd+22cd0c2f4b2c2b48027454cf99391ab976623375+774c751a9ee026c6d7e4b0ca44dac6ad526de557+51e7142d5705c10833e0959fdf2534a32b0e7d86+091168afcac1b532df12a063cc8bbcd0819665bb+2b386ce02bfd68319d75c4aa7b5559055337497c+ad2e3afd9df1a2fa140caca5752d782e904eb0c5+ba4357a0863ae42a77c514758c917870a5d2d74b+cf8b7170505c2329b34ff1f8c0b76977a4d7c2c2+a73bf2506b0855eece996bd290c9382b5ffbd0a9+2157ca3c0d34c7b131e9ce60b7d00145900e8d72+4d323b2b117a5906ab16074c8c88b4ff162b1b82+bfde9102be77654861c8025eab08fc8568ce41dd+c5b123b88961eaef9326eb084fbb10aca65b52ad+a188a3ed734e3d551d0404854e7795d74534c0a6,gumtree_not_lazy,65846615,65851985,52073524,6497,27.675781999,61.20166875,0,31.451325256,12.19889589,84.034689657
07ab4c7629c46933b46df72f287200986b20bcfc+fb836829414ffb2eba183fd7a9fbbc0b3fae8721+31d31608c3fee7ef84c515e3d152ec58c48ad6d9+b2b1424582f973457e15f4eeba35cd3c0c0ed2b6+170f2cd2d0b60f0e4a507c773b9c3c1396ebad9b+7c72487c5bd986b290ff6c5bff05843b6f490674+9059ff5827b615475764ee2b7d72875058e169f0+8d006224d209c981c563ef6625bc6f617d40684a+4622dbfb0d17551b1fc2765a0bb638ee59fb65bb+1ecc053e70d57a8da70bf23bf5293b2072337b09+9c9e855d23519caa7d846fb1d309bf22e7ca10f5+cb36bdfe21cb6819033c5ca7cae231b26fc3d1f7+2a268346329c3ce17ad1269c5c0206ddd2747a17+37650ced81964efe7a9ea45bf505af96b8035d53+e037d5dca014b369ac9fa6f3ad89691a0f3170f5+045f502fa915bf1749deddabcd534f74c9dfd1af/394224589ec67a221b516c85514e917ff9579c6c+9fb2f4b033889f4c358c6f5420b036678e10f8cd+22cd0c2f4b2c2b48027454cf99391ab976623375+774c751a9ee026c6d7e4b0ca44dac6ad526de557+51e7142d5705c10833e0959fdf2534a32b0e7d86+091168afcac1b532df12a063cc8bbcd0819665bb+2b386ce02bfd68319d75c4aa7b5559055337497c+ad2e3afd9df1a2fa140caca5752d782e904eb0c5+ba4357a0863ae42a77c514758c917870a5d2d74b+cf8b7170505c2329b34ff1f8c0b76977a4d7c2c2+a73bf2506b0855eece996bd290c9382b5ffbd0a9+2157ca3c0d34c7b131e9ce60b7d00145900e8d72+4d323b2b117a5906ab16074c8c88b4ff162b1b82+bfde9102be77654861c8025eab08fc8568ce41dd+c5b123b88961eaef9326eb084fbb10aca65b52ad+a188a3ed734e3d551d0404854e7795d74534c0a6,gumtree_partial_lazy,65846615,65851985,52073524,6497,1.2749226249999999,2.69670263,25.756860257,34.206581118,13.162263373,88.246716334
394224589ec67a221b516c85514e917ff9579c6c+9fb2f4b033889f4c358c6f5420b036678e10f8cd+22cd0c2f4b2c2b48027454cf99391ab976623375+774c751a9ee026c6d7e4b0ca44dac6ad526de557+51e7142d5705c10833e0959fdf2534a32b0e7d86+091168afcac1b532df12a063cc8bbcd0819665bb+2b386ce02bfd68319d75c4aa7b5559055337497c+ad2e3afd9df1a2fa140caca5752d782e904eb0c5+ba4357a0863ae42a77c514758c917870a5d2d74b+cf8b7170505c2329b34ff1f8c0b76977a4d7c2c2+a73bf2506b0855eece996bd290c9382b5ffbd0a9+2157ca3c0d34c7b131e9ce60b7d00145900e8d72+4d323b2b117a5906ab16074c8c88b4ff162b1b82+bfde9102be77654861c8025eab08fc8568ce41dd+c5b123b88961eaef9326eb084fbb10aca65b52ad+a188a3ed734e3d551d0404854e7795d74534c0a6/a50d726f5f9ced0f3cd7c5c391236301889c96bb+dfc215713abbd211e60a81074f177f49bbd9e406+04586a9a3bb80c1601244a291a5fe0a8fa24b97b+49c75804c5a8964afa1aa3c6e6463bb792de4457+09f203d1a6f75568dc566b2f3fcb7ee49b96cb7b+2f6bc17d31eb72f080c56fed0adb998480ef7e86+6d9decddceaffd2f10a26cc3d818c6bac4e94ba2+2560af03f913ae11bee936067404774f78fb5f13+0922bde84dfa8cc4d90f8223dfa7cb631dd06059+a9cac5ee0b921deaa51758f038f9316ca821616a+514d42123309d69ff7b4b691cb56d1660e75edfb+ff1fd1c95551c86e61ab9e193d048d90a87e1886+fd8f5615ab66fd7adb1b882d6ab4ade708e4c5be+5412fbf6d4b59836df6ad9118f230812c8a50f1c+21117bae1af265bffac713364a36140606b62124+23182d44680e2cab0869fd8db4b53ceeb2f807eb,gumtree_lazy,65851985,65852226,52078039,1821,1.263574123,2.592066034,0,31.99409531,23.747784751,87.901607279
