input,kind,src_s,dst_s,mappings,actions,prepare_topdown_t,topdown_t,prepare_bottomup_t,bottomup_t,prepare_gen_t,gen_t
c661d2d24892ce8a09a783ca3ba82eda90a66a85+2b0e15874aaf5502c9d6e36b0b81fc6bc14a8531/989728d5ea93c8a278104fd9722ba536ed1d93cf+d8b223e379fd1446911ba9f2891fc208b96f2bd5,java_gumtree,799921,790318,611510,16890,0,6.741902562,0,64.904588317,0,5.057922737
c661d2d24892ce8a09a783ca3ba82eda90a66a85+2b0e15874aaf5502c9d6e36b0b81fc6bc14a8531/989728d5ea93c8a278104fd9722ba536ed1d93cf+d8b223e379fd1446911ba9f2891fc208b96f2bd5,gumtree_lazy,799921,790318,611510,16890,0.011482482,6.045462695,0,66.501598819,0.17887885,0.717706631
c661d2d24892ce8a09a783ca3ba82eda90a66a85+2b0e15874aaf5502c9d6e36b0b81fc6bc14a8531/989728d5ea93c8a278104fd9722ba536ed1d93cf+d8b223e379fd1446911ba9f2891fc208b96f2bd5,gumtree_not_lazy,799921,790318,611510,16890,0.274906088,7.182232578,0,63.875542941,0.08560063,0.696758548
c661d2d24892ce8a09a783ca3ba82eda90a66a85+2b0e15874aaf5502c9d6e36b0b81fc6bc14a8531/989728d5ea93c8a278104fd9722ba536ed1d93cf+d8b223e379fd1446911ba9f2891fc208b96f2bd5,gumtree_partial_lazy,799921,790318,611510,16890,0.009381451,5.53501481,0.188049688,66.509580581,0.096399673,0.822594948
989728d5ea93c8a278104fd9722ba536ed1d93cf+d8b223e379fd1446911ba9f2891fc208b96f2bd5/cb36bdfe21cb6819033c5ca7cae231b26fc3d1f7+045f502fa915bf1749deddabcd534f74c9dfd1af,java_gumtree,790318,799911,611516,16918,0,7.492147617,0,64.620751839,0,5.341886293
989728d5ea93c8a278104fd9722ba536ed1d93cf+d8b223e379fd1446911ba9f2891fc208b96f2bd5/cb36bdfe21cb6819033c5ca7cae231b26fc3d1f7+045f502fa915bf1749deddabcd534f74c9dfd1af,gumtree_lazy,790318,799911,611516,16918,0.011284259,5.711740652,0,66.320611263,0.273532567,0.820855035
989728d5ea93c8a278104fd9722ba536ed1d93cf+d8b223e379fd1446911ba9f2891fc208b96f2bd5/cb36bdfe21cb6819033c5ca7cae231b26fc3d1f7+045f502fa915bf1749deddabcd534f74c9dfd1af,gumtree_not_lazy,790318,799911,611516,16918,0.280620058,6.3287726939999995,0,67.972215575,0.134270483,0.923541298
989728d5ea93c8a278104fd9722ba536ed1d93cf+d8b223e379fd1446911ba9f2891fc208b96f2bd5/cb36bdfe21cb6819033c5ca7cae231b26fc3d1f7+045f502fa915bf1749deddabcd534f74c9dfd1af,gumtree_partial_lazy,790318,799911,611516,16918,0.011223065,5.67014149,0.202394202,67.641891662,0.089991569,0.738727883
cb36bdfe21cb6819033c5ca7cae231b26fc3d1f7+045f502fa915bf1749deddabcd534f74c9dfd1af/2157ca3c0d34c7b131e9ce60b7d00145900e8d72+a188a3ed734e3d551d0404854e7795d74534c0a6,java_gumtree,799911,799911,623183,0,0,0.755328733,0,0.106371512,0,5.230248651
cb36bdfe21cb6819033c5ca7cae231b26fc3d1f7+045f502fa915bf1749deddabcd534f74c9dfd1af/2157ca3c0d34c7b131e9ce60b7d00145900e8d72+a188a3ed734e3d551d0404854e7795d74534c0a6,gumtree_lazy,799911,799911,623183,0,0.011411783,0.02108984,0,0.000577983,0.282372612,0.703409962
