input,kind,src_s,dst_s,mappings,actions,prepare_topdown_t,topdown_t,prepare_bottomup_t,bottomup_t,prepare_gen_t,gen_t
be2b7f890d98af20eb0753650b6605a68a97ac05+f79ea208b1a42d0ee9e921dcfb3694221a2037ed+be6713661c120c222c17026e62401191bdc4035c/c99028b9fb67158edc9f202ff8a178c9465430ba+463bb7d096d7ce0568302a75b67808b6be78daae+a203cc9f5e211defc70f84750af5b680756ccb00,java_gumtree,4158645,4158258,3224987,515,0,4.440213535,0,7.73715928,0,105.337415123
be2b7f890d98af20eb0753650b6605a68a97ac05+f79ea208b1a42d0ee9e921dcfb3694221a2037ed+be6713661c120c222c17026e62401191bdc4035c/c99028b9fb67158edc9f202ff8a178c9465430ba+463bb7d096d7ce0568302a75b67808b6be78daae+a203cc9f5e211defc70f84750af5b680756ccb00,gumtree_lazy,4158645,4158258,3224987,515,0.077056155,0.123465109,0,2.341865291,1.5348269239999999,3.765430025
be2b7f890d98af20eb0753650b6605a68a97ac05+f79ea208b1a42d0ee9e921dcfb3694221a2037ed+be6713661c120c222c17026e62401191bdc4035c/c99028b9fb67158edc9f202ff8a178c9465430ba+463bb7d096d7ce0568302a75b67808b6be78daae+a203cc9f5e211defc70f84750af5b680756ccb00,gumtree_not_lazy,4158645,4158258,3224987,515,1.569181232,2.263153898,0,2.208362588,0.684434632,4.25969023
be2b7f890d98af20eb0753650b6605a68a97ac05+f79ea208b1a42d0ee9e921dcfb3694221a2037ed+be6713661c120c222c17026e62401191bdc4035c/c99028b9fb67158edc9f202ff8a178c9465430ba+463bb7d096d7ce0568302a75b67808b6be78daae+a203cc9f5e211defc70f84750af5b680756ccb00,gumtree_partial_lazy,4158645,4158258,3224987,515,0.075612148,0.116599806,1.400297291,2.149300063,0.717695213,4.347278905
c99028b9fb67158edc9f202ff8a178c9465430ba+463bb7d096d7ce0568302a75b67808b6be78daae+a203cc9f5e211defc70f84750af5b680756ccb00/bdb35f2deb01148eb56edc49f1c21ee0ffd6d694+b2b1424582f973457e15f4eeba35cd3c0c0ed2b6+170f2cd2d0b60f0e4a507c773b9c3c1396ebad9b,java_gumtree,4158258,4157082,3224226,898,0,8.349492513,0,9.784536244,0,105.615804602
c99028b9fb67158edc9f202ff8a178c9465430ba+463bb7d096d7ce0568302a75b67808b6be78daae+a203cc9f5e211defc70f84750af5b680756ccb00/bdb35f2deb01148eb56edc49f1c21ee0ffd6d694+b2b1424582f973457e15f4eeba35cd3c0c0ed2b6+170f2cd2d0b60f0e4a507c773b9c3c1396ebad9b,gumtree_lazy,4158258,4157082,3224226,898,0.077021605,0.12964095,0,3.61766045,1.3000804910000001,4.594455227
c99028b9fb67158edc9f202ff8a178c9465430ba+463bb7d096d7ce0568302a75b67808b6be78daae+a203cc9f5e211defc70f84750af5b680756ccb00/bdb35f2deb01148eb56edc49f1c21ee0ffd6d694+b2b1424582f973457e15f4eeba35cd3c0c0ed2b6+170f2cd2d0b60f0e4a507c773b9c3c1396ebad9b,gumtree_not_lazy,4158258,4157082,3224226,898,1.62070281,2.859829011,0,2.931933847,0.63389079,4.185463904
c99028b9fb67158edc9f202ff8a178c9465430ba+463bb7d096d7ce0568302a75b67808b6be78daae+a203cc9f5e211defc70f84750af5b680756ccb00/bdb35f2deb01148eb56edc49f1c21ee0ffd6d694+b2b1424582f973457e15f4eeba35cd3c0c0ed2b6+170f2cd2d0b60f0e4a507c773b9c3c1396ebad9b,gumtree_partial_lazy,4158258,4157082,3224226,898,0.077162532,0.129568572,1.160235253,2.932083076,0.592946563,4.124447004
bdb35f2deb01148eb56edc49f1c21ee0ffd6d694+b2b1424582f973457e15f4eeba35cd3c0c0ed2b6+170f2cd2d0b60f0e4a507c773b9c3c1396ebad9b/d14bb3b8d34723cadd139bc4e5c3e3efdfbf68b8+774c751a9ee026c6d7e4b0ca44dac6ad526de557+51e7142d5705c10833e0959fdf2534a32b0e7d86,java_gumtree,4157082,4161689,3223442,5320,0,4.6058005170000005,0,14.871255714,0,107.394812103
bdb35f2deb01148eb56edc49f1c21ee0ffd6d694+b2b1424582f973457e15f4eeba35cd3c0c0ed2b6+170f2cd2d0b60f0e4a507c773b9c3c1396ebad9b/d14bb3b8d34723cadd139bc4e5c3e3efdfbf68b8+774c751a9ee026c6d7e4b0ca44dac6ad526de557+51e7142d5705c10833e0959fdf2534a32b0e7d86,gumtree_lazy,4157082,4161689,3223442,5320,0.078202274,0.17695908,0,2.8172544200000003,1.506830619,4.148595056
