input,kind,src_s,dst_s,mappings,actions,prepare_topdown_t,topdown_t,prepare_bottomup_t,bottomup_t,prepare_gen_t,gen_t
be2b7f890d98af20eb0753650b6605a68a97ac05+f79ea208b1a42d0ee9e921dcfb3694221a2037ed+be6713661c120c222c17026e62401191bdc4035c+38a9d4701730e674c9646173dbffc1173623cf24+c661d2d24892ce8a09a783ca3ba82eda90a66a85+b30a7120f901b4a367b8a9839a8b8ba62457fbdf+2b0e15874aaf5502c9d6e36b0b81fc6bc14a8531/c99028b9fb67158edc9f202ff8a178c9465430ba+463bb7d096d7ce0568302a75b67808b6be78daae+a203cc9f5e211defc70f84750af5b680756ccb00+db3c1da10d448113bbfd29a69b1d4ad77eda5fe6+989728d5ea93c8a278104fd9722ba536ed1d93cf+6ec853ce614e1184876be90d195e1180ca3ab6c8+d8b223e379fd1446911ba9f2891fc208b96f2bd5,java_gumtree,6311276,6301082,4950888,17551,0,17.587995026,0,94.250356766,0,212.467686639
be2b7f890d98af20eb0753650b6605a68a97ac05+f79ea208b1a42d0ee9e921dcfb3694221a2037ed+be6713661c120c222c17026e62401191bdc4035c+38a9d4701730e674c9646173dbffc1173623cf24+c661d2d24892ce8a09a783ca3ba82eda90a66a85+b30a7120f901b4a367b8a9839a8b8ba62457fbdf+2b0e15874aaf5502c9d6e36b0b81fc6bc14a8531/c99028b9fb67158edc9f202ff8a178c9465430ba+463bb7d096d7ce0568302a75b67808b6be78daae+a203cc9f5e211defc70f84750af5b680756ccb00+db3c1da10d448113bbfd29a69b1d4ad77eda5fe6+989728d5ea93c8a278104fd9722ba536ed1d93cf+6ec853ce614e1184876be90d195e1180ca3ab6c8+d8b223e379fd1446911ba9f2891fc208b96f2bd5,gumtree_lazy,6311276,6301082,4950888,17551,0.117810109,6.299366345,0,69.728356973,2.34017331,7.09918177
be2b7f890d98af20eb0753650b6605a68a97ac05+f79ea208b1a42d0ee9e921dcfb3694221a2037ed+be6713661c120c222c17026e62401191bdc4035c+38a9d4701730e674c9646173dbffc1173623cf24+c661d2d24892ce8a09a783ca3ba82eda90a66a85+b30a7120f901b4a367b8a9839a8b8ba62457fbdf+2b0e15874aaf5502c9d6e36b0b81fc6bc14a8531/c99028b9fb67158edc9f202ff8a178c9465430ba+463bb7d096d7ce0568302a75b67808b6be78daae+a203cc9f5e211defc70f84750af5b680756ccb00+db3c1da10d448113bbfd29a69b1d4ad77eda5fe6+989728d5ea93c8a278104fd9722ba536ed1d93cf+6ec853ce614e1184876be90d195e1180ca3ab6c8+d8b223e379fd1446911ba9f2891fc208b96f2bd5,gumtree_not_lazy,6311276,6301082,4950888,17551,2.286388587,11.133093529,0,69.895119782,1.033699557,7.07168572
be2b7f890d98af20eb0753650b6605a68a97ac05+f79ea208b1a42d0ee9e921dcfb3694221a2037ed+be6713661c120c222c17026e62401191bdc4035c+38a9d4701730e674c9646173dbffc1173623cf24+c661d2d24892ce8a09a783ca3ba82eda90a66a85+b30a7120f901b4a367b8a9839a8b8ba62457fbdf+2b0e15874aaf5502c9d6e36b0b81fc6bc14a8531/c99028b9fb67158edc9f202ff8a178c9465430ba+463bb7d096d7ce0568302a75b67808b6be78daae+a203cc9f5e211defc70f84750af5b680756ccb00+db3c1da10d448113bbfd29a69b1d4ad77eda5fe6+989728d5ea93c8a278104fd9722ba536ed1d93cf+6ec853ce614e1184876be90d195e1180ca3ab6c8+d8b223e379fd1446911ba9f2891fc208b96f2bd5,gumtree_partial_lazy,6311276,6301082,4950888,17551,0.118121262,6.666809528,1.924123043,71.452616814,0.958819611,6.55519627
c99028b9fb67158edc9f202ff8a178c9465430ba+463bb7d096d7ce0568302a75b67808b6be78daae+a203cc9f5e211defc70f84750af5b680756ccb00+db3c1da10d448113bbfd29a69b1d4ad77eda5fe6+989728d5ea93c8a278104fd9722ba536ed1d93cf+6ec853ce614e1184876be90d195e1180ca3ab6c8+d8b223e379fd1446911ba9f2891fc208b96f2bd5/bdb35f2deb01148eb56edc49f1c21ee0ffd6d694+b2b1424582f973457e15f4eeba35cd3c0c0ed2b6+170f2cd2d0b60f0e4a507c773b9c3c1396ebad9b+9059ff5827b615475764ee2b7d72875058e169f0+cb36bdfe21cb6819033c5ca7cae231b26fc3d1f7+2a268346329c3ce17ad1269c5c0206ddd2747a17+045f502fa915bf1749deddabcd534f74c9dfd1af,java_gumtree,6301082,6300911,4941192,29491,0,28.230349297,0,247.392477551,0,205.067418909
c99028b9fb67158edc9f202ff8a178c9465430ba+463bb7d096d7ce0568302a75b67808b6be78daae+a203cc9f5e211defc70f84750af5b680756ccb00+db3c1da10d448113bbfd29a69b1d4ad77eda5fe6+989728d5ea93c8a278104fd9722ba536ed1d93cf+6ec853ce614e1184876be90d195e1180ca3ab6c8+d8b223e379fd1446911ba9f2891fc208b96f2bd5/bdb35f2deb01148eb56edc49f1c21ee0ffd6d694+b2b1424582f973457e15f4eeba35cd3c0c0ed2b6+170f2cd2d0b60f0e4a507c773b9c3c1396ebad9b+9059ff5827b615475764ee2b7d72875058e169f0+cb36bdfe21cb6819033c5ca7cae231b26fc3d1f7+2a268346329c3ce17ad1269c5c0206ddd2747a17+045f502fa915bf1749deddabcd534f74c9dfd1af,gumtree_lazy,6301082,6300911,4941192,29491,0.127762829,15.482155869,0,115.609837954,2.079045484,7.175386577
c99028b9fb67158edc9f202ff8a178c9465430ba+463bb7d096d7ce0568302a75b67808b6be78daae+a203cc9f5e211defc70f84750af5b680756ccb00+db3c1da10d448113bbfd29a69b1d4ad77eda5fe6+989728d5ea93c8a278104fd9722ba536ed1d93cf+6ec853ce614e1184876be90d195e1180ca3ab6c8+d8b223e379fd1446911ba9f2891fc208b96f2bd5/bdb35f2deb01148eb56edc49f1c21ee0ffd6d694+b2b1424582f973457e15f4eeba35cd3c0c0ed2b6+170f2cd2d0b60f0e4a507c773b9c3c1396ebad9b+9059ff5827b615475764ee2b7d72875058e169f0+cb36bdfe21cb6819033c5ca7cae231b26fc3d1f7+2a268346329c3ce17ad1269c5c0206ddd2747a17+045f502fa915bf1749deddabcd534f74c9dfd1af,gumtree_not_lazy,6301082,6300911,4941192,29491,2.425117381,20.604797106,0,114.780238833,1.021125657,6.764760042
c99028b9fb67158edc9f202ff8a178c9465430ba+463bb7d096d7ce0568302a75b67808b6be78daae+a203cc9f5e211defc70f84750af5b680756ccb00+db3c1da10d448113bbfd29a69b1d4ad77eda5fe6+989728d5ea93c8a278104fd9722ba536ed1d93cf+6ec853ce614e1184876be90d195e1180ca3ab6c8+d8b223e379fd1446911ba9f2891fc208b96f2bd5/bdb35f2deb01148eb56edc49f1c21ee0ffd6d694+b2b1424582f973457e15f4eeba35cd3c0c0ed2b6+170f2cd2d0b60f0e4a507c773b9c3c1396ebad9b+9059ff5827b615475764ee2b7d72875058e169f0+cb36bdfe21cb6819033c5ca7cae231b26fc3d1f7+2a268346329c3ce17ad1269c5c0206ddd2747a17+045f502fa915bf1749deddabcd534f74c9dfd1af,gumtree_partial_lazy,6301082,6300911,4941192,29491,0.117313729,15.143420267,1.717375023,113.353353901,1.033028516,6.751283021
bdb35f2deb01148eb56edc49f1c21ee0ffd6d694+b2b1424582f973457e15f4eeba35cd3c0c0ed2b6+170f2cd2d0b60f0e4a507c773b9c3c1396ebad9b+9059ff5827b615475764ee2b7d72875058e169f0+cb36bdfe21cb6819033c5ca7cae231b26fc3d1f7+2a268346329c3ce17ad1269c5c0206ddd2747a17+045f502fa915bf1749deddabcd534f74c9dfd1af/d14bb3b8d34723cadd139bc4e5c3e3efdfbf68b8+774c751a9ee026c6d7e4b0ca44dac6ad526de557+51e7142d5705c10833e0959fdf2534a32b0e7d86+2b386ce02bfd68319d75c4aa7b5559055337497c+2157ca3c0d34c7b131e9ce60b7d00145900e8d72+4d323b2b117a5906ab16074c8c88b4ff162b1b82+a188a3ed734e3d551d0404854e7795d74534c0a6,java_gumtree,6300911,6306061,4953991,5886,0,8.033453929,0,38.100502805,0,202.443234478
bdb35f2deb01148eb56edc49f1c21ee0ffd6d694+b2b1424582f973457e15f4eeba35cd3c0c0ed2b6+170f2cd2d0b60f0e4a507c773b9c3c1396ebad9b+9059ff5827b615475764ee2b7d72875058e169f0+cb36bdfe21cb6819033c5ca7cae231b26fc3d1f7+2a268346329c3ce17ad1269c5c0206ddd2747a17+045f502fa915bf1749deddabcd534f74c9dfd1af/d14bb3b8d34723cadd139bc4e5c3e3efdfbf68b8+774c751a9ee026c6d7e4b0ca44dac6ad526de557+51e7142d5705c10833e0959fdf2534a32b0e7d86+2b386ce02bfd68319d75c4aa7b5559055337497c+2157ca3c0d34c7b131e9ce60b7d00145900e8d72+4d323b2b117a5906ab16074c8c88b4ff162b1b82+a188a3ed734e3d551d0404854e7795d74534c0a6,gumtree_lazy,6300911,6306061,4953991,5886,0.116511024,0.306514114,0,12.694805699,2.513874477,7.613640786
