input,kind,src_s,dst_s,mappings,actions,prepare_topdown_t,topdown_t,prepare_bottomup_t,bottomup_t,prepare_gen_t,gen_t
38a9d4701730e674c9646173dbffc1173623cf24+b30a7120f901b4a367b8a9839a8b8ba62457fbdf/db3c1da10d448113bbfd29a69b1d4ad77eda5fe6+6ec853ce614e1184876be90d195e1180ca3ab6c8,java_gumtree,1352710,1352506,1114371,184,0,1.684269714,0,10.971695361,0,10.427658538
38a9d4701730e674c9646173dbffc1173623cf24+b30a7120f901b4a367b8a9839a8b8ba62457fbdf/db3c1da10d448113bbfd29a69b1d4ad77eda5fe6+6ec853ce614e1184876be90d195e1180ca3ab6c8,gumtree_lazy,1352710,1352506,1114371,184,0.026590638,0.038711069,0,0.566982789,0.349784717,1.209046104
38a9d4701730e674c9646173dbffc1173623cf24+b30a7120f901b4a367b8a9839a8b8ba62457fbdf/db3c1da10d448113bbfd29a69b1d4ad77eda5fe6+6ec853ce614e1184876be90d195e1180ca3ab6c8,gumtree_not_lazy,1352710,1352506,1114371,184,0.501377168,1.251888853,0,0.392025831,0.169036372,1.254149296
38a9d4701730e674c9646173dbffc1173623cf24+b30a7120f901b4a367b8a9839a8b8ba62457fbdf/db3c1da10d448113bbfd29a69b1d4ad77eda5fe6+6ec853ce614e1184876be90d195e1180ca3ab6c8,gumtree_partial_lazy,1352710,1352506,1114371,184,0.022213396,0.038852793,0.345817611,0.397438565,0.166187984,1.256709881
db3c1da10d448113bbfd29a69b1d4ad77eda5fe6+6ec853ce614e1184876be90d195e1180ca3ab6c8/9059ff5827b615475764ee2b7d72875058e169f0+2a268346329c3ce17ad1269c5c0206ddd2747a17,java_gumtree,1352506,1343918,1105031,12364,0,5.219318215,0,92.655448267,0,9.702468250999999
db3c1da10d448113bbfd29a69b1d4ad77eda5fe6+6ec853ce614e1184876be90d195e1180ca3ab6c8/9059ff5827b615475764ee2b7d72875058e169f0+2a268346329c3ce17ad1269c5c0206ddd2747a17,gumtree_lazy,1352506,1343918,1105031,12364,0.023897119,2.6088561500000003,0,40.677220743,0.354592495,1.271207406
db3c1da10d448113bbfd29a69b1d4ad77eda5fe6+6ec853ce614e1184876be90d195e1180ca3ab6c8/9059ff5827b615475764ee2b7d72875058e169f0+2a268346329c3ce17ad1269c5c0206ddd2747a17,gumtree_not_lazy,1352506,1343918,1105031,12364,0.51422289,4.634919339,0,40.694558446,0.152574947,1.200839013
db3c1da10d448113bbfd29a69b1d4ad77eda5fe6+6ec853ce614e1184876be90d195e1180ca3ab6c8/9059ff5827b615475764ee2b7d72875058e169f0+2a268346329c3ce17ad1269c5c0206ddd2747a17,gumtree_partial_lazy,1352506,1343918,1105031,12364,0.024885355,2.596748566,0.332900306,39.905353396,0.154431887,1.302430864
9059ff5827b615475764ee2b7d72875058e169f0+2a268346329c3ce17ad1269c5c0206ddd2747a17/2b386ce02bfd68319d75c4aa7b5559055337497c+4d323b2b117a5906ab16074c8c88b4ff162b1b82,java_gumtree,1343918,1344461,1107326,638,0,1.3598153640000001,0,11.049152029,0,10.401752604
9059ff5827b615475764ee2b7d72875058e169f0+2a268346329c3ce17ad1269c5c0206ddd2747a17/2b386ce02bfd68319d75c4aa7b5559055337497c+4d323b2b117a5906ab16074c8c88b4ff162b1b82,gumtree_lazy,1343918,1344461,1107326,638,0.023532259,0.075487179,0,9.401957486,0.324129292,1.160448941
