input,kind,src_s,dst_s,mappings,actions,prepare_topdown_t,topdown_t,prepare_bottomup_t,bottomup_t,prepare_gen_t,gen_t
885f4733c413bdbb110946361247fbbd19f6bba9+c2b846750dd2131d65aa25c8cf66bf3649b248f9+f56b5d895f97f4cc3bd787c600a3ee67ba56d4db/33091980ab325bcd001fad93129d74f0189c08e9+701263610a72725c9d32b4022f1d51b1344890d1+7bd661dc4c9d4b1ecf4c9caf85386829bcd5e147,gumtree_lazy,8069182,8069204,6251370,100,0.17037525,0.497821852,0,14.5540599,2.5872042349999997,9.765480701
885f4733c413bdbb110946361247fbbd19f6bba9+c2b846750dd2131d65aa25c8cf66bf3649b248f9+f56b5d895f97f4cc3bd787c600a3ee67ba56d4db/33091980ab325bcd001fad93129d74f0189c08e9+701263610a72725c9d32b4022f1d51b1344890d1+7bd661dc4c9d4b1ecf4c9caf85386829bcd5e147,gumtree_not_lazy,8069182,8069204,6251370,100,2.766174201,4.855899354,0,13.466027359,1.1356023020000001,9.304363641
885f4733c413bdbb110946361247fbbd19f6bba9+c2b846750dd2131d65aa25c8cf66bf3649b248f9+f56b5d895f97f4cc3bd787c600a3ee67ba56d4db/33091980ab325bcd001fad93129d74f0189c08e9+701263610a72725c9d32b4022f1d51b1344890d1+7bd661dc4c9d4b1ecf4c9caf85386829bcd5e147,gumtree_partial_lazy,8069182,8069204,6251370,100,0.146602198,0.458565648,2.162356228,13.842922762,1.228128497,11.602590121
33091980ab325bcd001fad93129d74f0189c08e9+701263610a72725c9d32b4022f1d51b1344890d1+7bd661dc4c9d4b1ecf4c9caf85386829bcd5e147/31d31608c3fee7ef84c515e3d152ec58c48ad6d9+1ecc053e70d57a8da70bf23bf5293b2072337b09+9c9e855d23519caa7d846fb1d309bf22e7ca10f5,gumtree_lazy,8069204,8069182,6251370,100,0.149206869,0.480983471,0,15.135140269,2.64342893,9.790956656
33091980ab325bcd001fad93129d74f0189c08e9+701263610a72725c9d32b4022f1d51b1344890d1+7bd661dc4c9d4b1ecf4c9caf85386829bcd5e147/31d31608c3fee7ef84c515e3d152ec58c48ad6d9+1ecc053e70d57a8da70bf23bf5293b2072337b09+9c9e855d23519caa7d846fb1d309bf22e7ca10f5,gumtree_not_lazy,8069204,8069182,6251370,100,3.053215374,5.589554604,0,13.970945317,1.242471387,9.497515545
33091980ab325bcd001fad93129d74f0189c08e9+701263610a72725c9d32b4022f1d51b1344890d1+7bd661dc4c9d4b1ecf4c9caf85386829bcd5e147/31d31608c3fee7ef84c515e3d152ec58c48ad6d9+1ecc053e70d57a8da70bf23bf5293b2072337b09+9c9e855d23519caa7d846fb1d309bf22e7ca10f5,gumtree_partial_lazy,8069204,8069182,6251370,100,0.14639904,0.460438857,2.261871522,14.397348535,1.411733779,10.38231562
31d31608c3fee7ef84c515e3d152ec58c48ad6d9+1ecc053e70d57a8da70bf23bf5293b2072337b09+9c9e855d23519caa7d846fb1d309bf22e7ca10f5/22cd0c2f4b2c2b48027454cf99391ab976623375+cf8b7170505c2329b34ff1f8c0b76977a4d7c2c2+a73bf2506b0855eece996bd290c9382b5ffbd0a9,gumtree_lazy,8069182,8068477,6250799,616,0.166664611,0.242883127,0,2.829144184,2.389775208,9.706391635
31d31608c3fee7ef84c515e3d152ec58c48ad6d9+1ecc053e70d57a8da70bf23bf5293b2072337b09+9c9e855d23519caa7d846fb1d309bf22e7ca10f5/22cd0c2f4b2c2b48027454cf99391ab976623375+cf8b7170505c2329b34ff1f8c0b76977a4d7c2c2+a73bf2506b0855eece996bd290c9382b5ffbd0a9,gumtree_not_lazy,8069182,8068477,6250799,616,2.999342498,7.232679001,0,2.013341475,1.144732377,9.074571284
31d31608c3fee7ef84c515e3d152ec58c48ad6d9+1ecc053e70d57a8da70bf23bf5293b2072337b09+9c9e855d23519caa7d846fb1d309bf22e7ca10f5/22cd0c2f4b2c2b48027454cf99391ab976623375+cf8b7170505c2329b34ff1f8c0b76977a4d7c2c2+a73bf2506b0855eece996bd290c9382b5ffbd0a9,gumtree_partial_lazy,8069182,8068477,6250799,616,0.152424818,0.223557755,2.158216457,2.099229242,1.162740385,9.460335043
22cd0c2f4b2c2b48027454cf99391ab976623375+cf8b7170505c2329b34ff1f8c0b76977a4d7c2c2+a73bf2506b0855eece996bd290c9382b5ffbd0a9/04586a9a3bb80c1601244a291a5fe0a8fa24b97b+a9cac5ee0b921deaa51758f038f9316ca821616a+514d42123309d69ff7b4b691cb56d1660e75edfb,gumtree_lazy,8068477,8068488,6250329,1017,0.187698048,0.40254931,0,3.230089709,2.99781996,12.039733783
