input,kind,src_s,dst_s,mappings,actions,prepare_topdown_t,topdown_t,prepare_bottomup_t,bottomup_t,prepare_gen_t,gen_t
56e12a0c0e0e69ea70863011b4f4ca3305e0542b+ebfc8945a5dd77b617f4667647ed4b740323acc8/3acf94ce97e6f4af9eb7b69a9b9f94d4a6d5a164+5be42b2cfeb5c1dde1ee5b4e7a0fb476083ad568,gumtree_lazy,4846191,4846318,3848003,329,0.091030611,0.139477207,0,1.183841777,1.6037094,4.554619206
56e12a0c0e0e69ea70863011b4f4ca3305e0542b+ebfc8945a5dd77b617f4667647ed4b740323acc8/3acf94ce97e6f4af9eb7b69a9b9f94d4a6d5a164+5be42b2cfeb5c1dde1ee5b4e7a0fb476083ad568,gumtree_not_lazy,4846191,4846318,3848003,329,1.675774329,2.851861652,0,0.930438167,0.638863356,4.482669458
56e12a0c0e0e69ea70863011b4f4ca3305e0542b+ebfc8945a5dd77b617f4667647ed4b740323acc8/3acf94ce97e6f4af9eb7b69a9b9f94d4a6d5a164+5be42b2cfeb5c1dde1ee5b4e7a0fb476083ad568,gumtree_partial_lazy,4846191,4846318,3848003,329,0.089246299,0.138017212,1.223946988,0.939596403,0.642149597,4.485729593
3acf94ce97e6f4af9eb7b69a9b9f94d4a6d5a164+5be42b2cfeb5c1dde1ee5b4e7a0fb476083ad568/07ab4c7629c46933b46df72f287200986b20bcfc+fb836829414ffb2eba183fd7a9fbbc0b3fae8721,java_gumtree,4846318,4845983,3847949,272,0,4.641766745,0,26.156329681,0,137.488023526
3acf94ce97e6f4af9eb7b69a9b9f94d4a6d5a164+5be42b2cfeb5c1dde1ee5b4e7a0fb476083ad568/07ab4c7629c46933b46df72f287200986b20bcfc+fb836829414ffb2eba183fd7a9fbbc0b3fae8721,gumtree_lazy,4846318,4845983,3847949,272,0.090036874,0.131598356,0,5.663289989,1.2355595400000001,4.450817388
3acf94ce97e6f4af9eb7b69a9b9f94d4a6d5a164+5be42b2cfeb5c1dde1ee5b4e7a0fb476083ad568/07ab4c7629c46933b46df72f287200986b20bcfc+fb836829414ffb2eba183fd7a9fbbc0b3fae8721,gumtree_not_lazy,4846318,4845983,3847949,272,1.853488099,4.930623335,0,5.419463248,0.752472133,5.536864642
3acf94ce97e6f4af9eb7b69a9b9f94d4a6d5a164+5be42b2cfeb5c1dde1ee5b4e7a0fb476083ad568/07ab4c7629c46933b46df72f287200986b20bcfc+fb836829414ffb2eba183fd7a9fbbc0b3fae8721,gumtree_partial_lazy,4846318,4845983,3847949,272,0.091561659,0.135739728,1.413081546,5.43750205,0.679864825,4.426922619
07ab4c7629c46933b46df72f287200986b20bcfc+fb836829414ffb2eba183fd7a9fbbc0b3fae8721/394224589ec67a221b516c85514e917ff9579c6c+9fb2f4b033889f4c358c6f5420b036678e10f8cd,java_gumtree,4845983,4845983,3847953,12,0,4.34909414,0,5.668515134,0,136.677150788
07ab4c7629c46933b46df72f287200986b20bcfc+fb836829414ffb2eba183fd7a9fbbc0b3fae8721/394224589ec67a221b516c85514e917ff9579c6c+9fb2f4b033889f4c358c6f5420b036678e10f8cd,gumtree_lazy,4845983,4845983,3847953,12,0.092074187,0.165756155,0,3.530802272,1.577589017,4.673086765
07ab4c7629c46933b46df72f287200986b20bcfc+fb836829414ffb2eba183fd7a9fbbc0b3fae8721/394224589ec67a221b516c85514e917ff9579c6c+9fb2f4b033889f4c358c6f5420b036678e10f8cd,gumtree_not_lazy,4845983,4845983,3847953,12,1.654639041,1.997795375,0,3.064871837,0.618984866,4.511107534
07ab4c7629c46933b46df72f287200986b20bcfc+fb836829414ffb2eba183fd7a9fbbc0b3fae8721/394224589ec67a221b516c85514e917ff9579c6c+9fb2f4b033889f4c358c6f5420b036678e10f8cd,gumtree_partial_lazy,4845983,4845983,3847953,12,0.087979795,0.135846096,1.246941777,3.21037507,0.67707203,4.482401136
394224589ec67a221b516c85514e917ff9579c6c+9fb2f4b033889f4c358c6f5420b036678e10f8cd/a50d726f5f9ced0f3cd7c5c391236301889c96bb+dfc215713abbd211e60a81074f177f49bbd9e406,gumtree_lazy,4845983,4845983,3847957,0,0.091143164,0.138049387,0,0.003592148,1.9177625680000001,4.8539234570000005
394224589ec67a221b516c85514e917ff9579c6c+9fb2f4b033889f4c358c6f5420b036678e10f8cd/a50d726f5f9ced0f3cd7c5c391236301889c96bb+dfc215713abbd211e60a81074f177f49bbd9e406,gumtree_not_lazy,4845983,4845983,3847957,0,1.690440654,0.924264302,0,0.006878667,0.65394451,4.556449048
394224589ec67a221b516c85514e917ff9579c6c+9fb2f4b033889f4c358c6f5420b036678e10f8cd/a50d726f5f9ced0f3cd7c5c391236301889c96bb+dfc215713abbd211e60a81074f177f49bbd9e406,gumtree_partial_lazy,4845983,4845983,3847957,0,0.091330014,0.136892254,1.246953427,0.006884351,0.641064263,4.508329245
a50d726f5f9ced0f3cd7c5c391236301889c96bb+dfc215713abbd211e60a81074f177f49bbd9e406/2d3a55131e0243e2f640ee041f29154b1112ddf3+7f0e350fe8aba6b5eaa33ff2bcb6e682955b0ad9,java_gumtree,4845983,4844018,3846091,2119,0,5.332467533,0,10.958443415,0,137.941115163
a50d726f5f9ced0f3cd7c5c391236301889c96bb+dfc215713abbd211e60a81074f177f49bbd9e406/2d3a55131e0243e2f640ee041f29154b1112ddf3+7f0e350fe8aba6b5eaa33ff2bcb6e682955b0ad9,gumtree_lazy,4845983,4844018,3846091,2119,0.089824845,0.168991093,0,4.771325548,1.616894162,5.097209539
a50d726f5f9ced0f3cd7c5c391236301889c96bb+dfc215713abbd211e60a81074f177f49bbd9e406/2d3a55131e0243e2f640ee041f29154b1112ddf3+7f0e350fe8aba6b5eaa33ff2bcb6e682955b0ad9,gumtree_not_lazy,4845983,4844018,3846091,2119,1.893390588,3.007977776,0,4.537844066,0.827675805,5.354847144
a50d726f5f9ced0f3cd7c5c391236301889c96bb+dfc215713abbd211e60a81074f177f49bbd9e406/2d3a55131e0243e2f640ee041f29154b1112ddf3+7f0e350fe8aba6b5eaa33ff2bcb6e682955b0ad9,gumtree_partial_lazy,4845983,4844018,3846091,2119,0.090489704,0.157269477,1.33958933,4.504499752,0.709998977,4.976578322
2d3a55131e0243e2f640ee041f29154b1112ddf3+7f0e350fe8aba6b5eaa33ff2bcb6e682955b0ad9/af8bd289784a21f2191d145bcc711c335dff574c+cfb118e40484faa549a975d912473b4f739a8206,gumtree_lazy,4844018,4843583,3845870,508,0.09290127,0.150083618,0,0.90500014,1.5735200740000002,4.759391477
