input,gt_tool,hast_tool,src_s,dst_s,gt_m,hast_m,missing_mappings,additional_mappings,gt_c,hast_c,gt_src_heap,gt_dst_heap,hast_src_heap,hast_dst_heap,not_lazy_m,not_lazy_c,partial_lazy_m,partial_lazy_c
c661d2d24892ce8a09a783ca3ba82eda90a66a85+2b0e15874aaf5502c9d6e36b0b81fc6bc14a8531/989728d5ea93c8a278104fd9722ba536ed1d93cf+d8b223e379fd1446911ba9f2891fc208b96f2bd5,java_gumtree,gumtree_lazy,799921,790318,611510,611510,0,0,16890,16890,18446744073651886312,18446744073596490288,94897056,1907808,611510,16890,611510,16890
989728d5ea93c8a278104fd9722ba536ed1d93cf+d8b223e379fd1446911ba9f2891fc208b96f2bd5/cb36bdfe21cb6819033c5ca7cae231b26fc3d1f7+045f502fa915bf1749deddabcd534f74c9dfd1af,java_gumtree,gumtree_lazy,790318,799911,611516,611516,0,0,16918,16918,18446744073652581944,18446744073596490992,1907808,22984,611516,16918,611516,16918
cb36bdfe21cb6819033c5ca7cae231b26fc3d1f7+045f502fa915bf1749deddabcd534f74c9dfd1af/2157ca3c0d34c7b131e9ce60b7d00145900e8d72+a188a3ed734e3d551d0404854e7795d74534c0a6,java_gumtree,gumtree_lazy,799911,799911,623183,623183,0,0,0,0,18446744073651887016,18446744073595863296,22984,0,623183,0,623183,0
2157ca3c0d34c7b131e9ce60b7d00145900e8d72+a188a3ed734e3d551d0404854e7795d74534c0a6/ff1fd1c95551c86e61ab9e193d048d90a87e1886+23182d44680e2cab0869fd8db4b53ceeb2f807eb,java_gumtree,gumtree_lazy,799911,800136,623124,623124,0,0,342,342,18446744073651887016,18446744073595845184,0,88896,623124,342,623124,342
ff1fd1c95551c86e61ab9e193d048d90a87e1886+23182d44680e2cab0869fd8db4b53ceeb2f807eb/923201270aac262f7bb420f82590f0c7f6f1f353+aa0de34dc6d99af14fdd6a46666dd6977004e133,java_gumtree,gumtree_lazy,800136,800151,623382,623382,0,0,17,17,18446744073651868968,18446744073595826088,88896,17456,623382,17,623382,17
923201270aac262f7bb420f82590f0c7f6f1f353+aa0de34dc6d99af14fdd6a46666dd6977004e133/9cee219896ae9a66bfce78cd520aad3461ec407b+5c4fe1d48c434b8a1f79d63c342864aa66e934ba,java_gumtree,gumtree_lazy,800151,800151,623387,623387,0,0,38,38,18446744073651867808,18446744073595824784,17456,22696,623387,38,623387,38
9cee219896ae9a66bfce78cd520aad3461ec407b+5c4fe1d48c434b8a1f79d63c342864aa66e934ba/23d1edee6e6f945aa913f55bf8aaf4682e9072e4+90f3f1ea0770e2b0d7fa5587ecacc34e02f6b335,java_gumtree,gumtree_lazy,800151,800151,623397,623397,0,0,0,0,18446744073651867800,18446744073595824992,22696,15360,623397,0,623397,0
23d1edee6e6f945aa913f55bf8aaf4682e9072e4+90f3f1ea0770e2b0d7fa5587ecacc34e02f6b335/f4ba958911f5dde386a33c717434cc6b218cbf6b+5fcbb283a323e2c5be9653b399475b6f582907ee,java_gumtree,gumtree_lazy,800151,800184,623376,623378,0,2,67,63,18446744073651867872,18446744073595822832,15360,2144,623376,67,623376,67
f4ba958911f5dde386a33c717434cc6b218cbf6b+5fcbb283a323e2c5be9653b399475b6f582907ee/6f855ef2cc193282b12db66615b06d24febc9d8a+956acb06d62ac33f975f312819b929bcdfbc70fa,java_gumtree,gumtree_lazy,800184,809373,623330,623330,0,0,7486,7486,18446744073651865776,18446744073595164896,2144,157488,623330,7486,623330,7486
6f855ef2cc193282b12db66615b06d24febc9d8a+956acb06d62ac33f975f312819b929bcdfbc70fa/6f0fded18cecbebf223182d930d186e2910dc65f+6df6053c24fe0920a594fd0e63738181756d4432,java_gumtree,gumtree_lazy,809373,809046,630432,630432,0,0,246,246,18446744073651210296,18446744073594535536,157488,3112,630432,246,630432,246
6f0fded18cecbebf223182d930d186e2910dc65f+6df6053c24fe0920a594fd0e63738181756d4432/5fc2508bd266525388ac7fe60ee02586f645f2af+74ccf20fab1a35243ae41c2f56f2167e86afbd0c,java_gumtree,gumtree_lazy,809046,809012,630397,630397,0,0,52,52,18446744073651232512,18446744073594560200,3112,12584,630397,52,630397,52
5fc2508bd266525388ac7fe60ee02586f645f2af+74ccf20fab1a35243ae41c2f56f2167e86afbd0c/d9aa3fed6dc3f064da88e8bdfd00fca4b2327ee8+8806a45ede9504903cf871c3d25e07c916f54f62,java_gumtree,gumtree_lazy,809012,809012,630405,630405,0,0,11,11,18446744073651235184,18446744073594562824,12584,9440,630405,11,630405,11
d9aa3fed6dc3f064da88e8bdfd00fca4b2327ee8+8806a45ede9504903cf871c3d25e07c916f54f62/931ce392fdc6bf675bbc3997917079c9ce3c9cb2+2287768293c3f34e51a0f5c066e6540549569c09,java_gumtree,gumtree_lazy,809012,809012,630387,630387,0,0,46,46,18446744073651235136,18446744073594562752,9440,109912,630387,46,630387,46
931ce392fdc6bf675bbc3997917079c9ce3c9cb2+2287768293c3f34e51a0f5c066e6540549569c09/e7c1e014e56a1d05342f0a681beee7d01fa895df+bef80280e6b973f6abaf45749ccd0259834ba8f4,java_gumtree,gumtree_lazy,809012,809012,630401,630401,0,0,20,20,18446744073651235136,18446744073594562680,109912,15088,630401,20,630401,20
e7c1e014e56a1d05342f0a681beee7d01fa895df+bef80280e6b973f6abaf45749ccd0259834ba8f4/851c2948e5761f7ff893c750033e6558358f6f2a+c1282ba08c3b4fc7f4fb9973fdafcd6956e27040,java_gumtree,gumtree_lazy,809012,809012,630409,630409,0,0,0,0,18446744073651235136,18446744073594562872,15088,20696,630409,0,630409,0
851c2948e5761f7ff893c750033e6558358f6f2a+c1282ba08c3b4fc7f4fb9973fdafcd6956e27040/f8a4cd57231c5c6cb6a1dbba228274376db1ee33+81a0568d680a97e11cc9a767b7ea6ae1182f7526,java_gumtree,gumtree_lazy,809012,807348,629068,629068,0,0,1372,1372,18446744073651235136,18446744073594681640,20696,20016,629068,1372,629068,1372
f8a4cd57231c5c6cb6a1dbba228274376db1ee33+81a0568d680a97e11cc9a767b7ea6ae1182f7526/8dd155f425fceec4ce339a4613388fb74e7453d7+f04cf16b6664304f7e8e1a7a2b1a309a6e82e100,java_gumtree,gumtree_lazy,807348,807348,629090,629090,0,0,0,0,18446744073651355576,18446744073594802176,20016,16880,629090,0,629090,0
8dd155f425fceec4ce339a4613388fb74e7453d7+f04cf16b6664304f7e8e1a7a2b1a309a6e82e100/5a98510635ae1f8850e9b0aca9d866c5a953fc07+c69570fc511680331c4a764e4a9a8f28c19a00f4,java_gumtree,gumtree_lazy,807348,807246,629012,629012,0,0,94,94,18446744073651355576,18446744073594808432,16880,-21272,629012,94,629012,94
5a98510635ae1f8850e9b0aca9d866c5a953fc07+c69570fc511680331c4a764e4a9a8f28c19a00f4/d2003177fe153be1c7f5aed1274cac04994a7761+85541d5669ad0e8849c189961a9d0c1b3878f340,java_gumtree,gumtree_lazy,807246,806282,628132,628132,0,0,1004,1004,18446744073651362232,18446744073594888344,-21272,116984,628132,1004,628132,1004
d2003177fe153be1c7f5aed1274cac04994a7761+85541d5669ad0e8849c189961a9d0c1b3878f340/bbb508251029b1b7ca3de00ead8000a0002eb756+483538176765283c91bcdad7959711f552f1af8d,java_gumtree,gumtree_lazy,806282,805536,627533,627533,0,0,765,765,18446744073651436416,18446744073595016784,116984,-22984,627533,765,627533,765
bbb508251029b1b7ca3de00ead8000a0002eb756+483538176765283c91bcdad7959711f552f1af8d/a7ec3a89ee14d9a5accef57eabf790c62031b1e3+c9c5492ded2caf7ceab0f395df032bfb818382a5,java_gumtree,gumtree_lazy,805536,805503,627568,627568,0,0,37,37,18446744073651491576,18446744073595074536,-22984,9280,627568,37,627568,37
a7ec3a89ee14d9a5accef57eabf790c62031b1e3+c9c5492ded2caf7ceab0f395df032bfb818382a5/94d36066044b4a22b76893d2275fff0d23e4fa83+510cc99e3713d878db3ce37c44315707332a9146,java_gumtree,gumtree_lazy,805503,805318,627403,627403,0,0,182,182,18446744073651494320,18446744073595091280,9280,-34048,627403,182,627403,182
94d36066044b4a22b76893d2275fff0d23e4fa83+510cc99e3713d878db3ce37c44315707332a9146/b93ada7c4fb72a9203cc79f26a6734c26702f256+a20a22299da69f4888fb82d0cfa41d15a909ed8e,java_gumtree,gumtree_lazy,805318,805318,627415,627415,0,0,0,0,18446744073651508480,18446744073595105488,-34048,28688,627415,0,627415,0
b93ada7c4fb72a9203cc79f26a6734c26702f256+a20a22299da69f4888fb82d0cfa41d15a909ed8e/d41b254e37b68794fc2299b90d9f09ac6cc9e900+2d6b6344f03785f00d1df14026474e5fb28bcf99,java_gumtree,gumtree_lazy,805318,805280,627382,627382,0,0,39,39,18446744073651508480,18446744073595107936,28688,-27152,627382,39,627382,39
d41b254e37b68794fc2299b90d9f09ac6cc9e900+2d6b6344f03785f00d1df14026474e5fb28bcf99/edb4d25bdf8516adb9cc4196ba834c815f489ebc+16ab482cab7e8fdc6468ce7da425f10660bf4057,java_gumtree,gumtree_lazy,805280,805275,627372,627372,0,0,41,41,18446744073651511008,18446744073595110616,-27152,38648,627372,41,627372,41
edb4d25bdf8516adb9cc4196ba834c815f489ebc+16ab482cab7e8fdc6468ce7da425f10660bf4057/8b726bae8f3f52f43f40f5ffc66a51727070abbe+39a07b9ce452cd615d5454a04a852660ec6d9f69,java_gumtree,gumtree_lazy,805275,805246,627361,627361,0,0,27,27,18446744073651511408,18446744073595112984,38648,18488,627361,27,627361,27
8b726bae8f3f52f43f40f5ffc66a51727070abbe+39a07b9ce452cd615d5454a04a852660ec6d9f69/caea6c50835639aeb31f6cbff672508aae662d26+10bd70ca75de5066008738bd10a270655acf263e,java_gumtree,gumtree_lazy,805246,805130,627190,627190,0,0,312,312,18446744073651513528,18446744073595122736,18488,12200,627190,312,627190,312
caea6c50835639aeb31f6cbff672508aae662d26+10bd70ca75de5066008738bd10a270655acf263e/665021a6cb2a156d3ee59fb3ed1824b7cc485bda+66e9c2555fc0b0cac18ac5820cc438429515ac2c,java_gumtree,gumtree_lazy,805130,805130,627256,627256,0,0,52,52,18446744073651521656,18446744073595131312,12200,121784,627256,52,627256,52
665021a6cb2a156d3ee59fb3ed1824b7cc485bda+66e9c2555fc0b0cac18ac5820cc438429515ac2c/6f67f6ad0e3e4d90ac15f795e47e06eb3c613292+28528094b94038fcd24cdc7fc4accf2190229de6,java_gumtree,gumtree_lazy,805130,805130,627270,627270,0,0,22,22,18446744073651521664,18446744073595131408,121784,92512,627270,22,627270,22
6f67f6ad0e3e4d90ac15f795e47e06eb3c613292+28528094b94038fcd24cdc7fc4accf2190229de6/a5f1b6be9792dde4780d68900213bdd1f8b9c064+6abaf6897bb3044ab57838404d7422ab7c7aced9,java_gumtree,gumtree_lazy,805130,805130,627267,627267,0,0,15,15,18446744073651521656,18446744073595131320,92512,-30768,627267,15,627267,15
a5f1b6be9792dde4780d68900213bdd1f8b9c064+6abaf6897bb3044ab57838404d7422ab7c7aced9/308a66aae2427206a03086d5272b7d3f9530e06d+39cf0fc837134ec0942ef2f2c8befa49bf067f67,java_gumtree,gumtree_lazy,805130,805242,627236,627236,0,0,158,158,18446744073651521720,18446744073595124656,-30768,10840,627236,158,627236,158
308a66aae2427206a03086d5272b7d3f9530e06d+39cf0fc837134ec0942ef2f2c8befa49bf067f67/6a770f02d4ba40da4e643feae52929ed6fe7673c+0e04efdbf6c6a67245ef3fe34328330473a07bf5,java_gumtree,gumtree_lazy,805242,805242,627344,627344,0,0,14,14,18446744073651515968,18446744073595113832,10840,30568,627344,14,627344,14
6a770f02d4ba40da4e643feae52929ed6fe7673c+0e04efdbf6c6a67245ef3fe34328330473a07bf5/2ce2efc82a9e1399d81a5bad8b54206e5a463247+0d4167abe7e5bfe164eb37d9defd51bf739d6b8c,java_gumtree,gumtree_lazy,805242,797431,621140,621140,0,0,6219,6219,18446744073651516128,18446744073595672880,30568,22392,621140,6219,621140,6219
2ce2efc82a9e1399d81a5bad8b54206e5a463247+0d4167abe7e5bfe164eb37d9defd51bf739d6b8c/95ffa3a9a7255ae33a86019f8550583c2bc53a31+60e70fbc83aebd2dc41c6b30386dce27445e9220,java_gumtree,gumtree_lazy,797431,797401,621096,621096,0,0,82,82,18446744073652073360,18446744073596233264,22392,76712,621096,82,621096,82
95ffa3a9a7255ae33a86019f8550583c2bc53a31+60e70fbc83aebd2dc41c6b30386dce27445e9220/98fff9d31c4e0733e8ca8e4d33b7fa73864b41ec+9e4a358634ca9f01a4e84f88b463680ec85c130a,java_gumtree,gumtree_lazy,797401,796925,620658,620658,0,0,539,539,18446744073652076808,18446744073596268216,76712,28600,620658,539,620658,539
98fff9d31c4e0733e8ca8e4d33b7fa73864b41ec+9e4a358634ca9f01a4e84f88b463680ec85c130a/5a644b94b824eacc0ace572b607c3b92513506bc+34547b2f325def790f166d06adab87c7ae06a8f9,java_gumtree,gumtree_lazy,796925,796925,620732,620732,0,0,0,0,18446744073652112976,18446744073596309272,28600,12080,620732,0,620732,0
5a644b94b824eacc0ace572b607c3b92513506bc+34547b2f325def790f166d06adab87c7ae06a8f9/1bbba85dc29c11e995978b2fb10d8e5bfc72ded3+ea47492d7a3107e3268cf857656eee82c37b6326,java_gumtree,gumtree_lazy,796925,796925,620732,620732,0,0,0,0,18446744073652112976,18446744073596309272,12080,3872,620732,0,620732,0
1bbba85dc29c11e995978b2fb10d8e5bfc72ded3+ea47492d7a3107e3268cf857656eee82c37b6326/eae5d0a470a5ae91eb73b1a3aff5e3082714826e+f6076c140980109c020e69500ded1b6fcb71b927,java_gumtree,gumtree_lazy,796925,796944,620728,620728,0,0,24,24,18446744073652112976,18446744073596307912,3872,-48080,620728,24,620728,24
