input,gt_tool,hast_tool,src_s,dst_s,gt_m,hast_m,missing_mappings,additional_mappings,gt_c,hast_c,gt_src_heap,gt_dst_heap,hast_src_heap,hast_dst_heap,not_lazy_m,not_lazy_c,partial_lazy_m,partial_lazy_c
be2b7f890d98af20eb0753650b6605a68a97ac05+f79ea208b1a42d0ee9e921dcfb3694221a2037ed+be6713661c120c222c17026e62401191bdc4035c/c99028b9fb67158edc9f202ff8a178c9465430ba+463bb7d096d7ce0568302a75b67808b6be78daae+a203cc9f5e211defc70f84750af5b680756ccb00,java_gumtree,gumtree_lazy,4158645,4158258,3224987,3224987,0,0,515,515,18446744073412133536,18446744073122747344,493093096,33608,3224987,515,3224987,515
c99028b9fb67158edc9f202ff8a178c9465430ba+463bb7d096d7ce0568302a75b67808b6be78daae+a203cc9f5e211defc70f84750af5b680756ccb00/bdb35f2deb01148eb56edc49f1c21ee0ffd6d694+b2b1424582f973457e15f4eeba35cd3c0c0ed2b6+170f2cd2d0b60f0e4a507c773b9c3c1396ebad9b,java_gumtree,gumtree_lazy,4158258,4157082,3224226,3224226,0,0,898,898,18446744073412157792,18446744073122849568,33608,-14872,3224226,898,3224226,898
bdb35f2deb01148eb56edc49f1c21ee0ffd6d694+b2b1424582f973457e15f4eeba35cd3c0c0ed2b6+170f2cd2d0b60f0e4a507c773b9c3c1396ebad9b/d14bb3b8d34723cadd139bc4e5c3e3efdfbf68b8+774c751a9ee026c6d7e4b0ca44dac6ad526de557+51e7142d5705c10833e0959fdf2534a32b0e7d86,java_gumtree,gumtree_lazy,4157082,4161689,3223442,3223442,0,0,5320,5320,18446744073412236536,18446744073122585104,-14872,449056,3223442,5320,3223442,5320
d14bb3b8d34723cadd139bc4e5c3e3efdfbf68b8+774c751a9ee026c6d7e4b0ca44dac6ad526de557+51e7142d5705c10833e0959fdf2534a32b0e7d86/896c707d324330d7d4ad92674187923945efcda9+49c75804c5a8964afa1aa3c6e6463bb792de4457+09f203d1a6f75568dc566b2f3fcb7ee49b96cb7b,java_gumtree,gumtree_lazy,4161689,4161783,-1,3227807,-1,-1,-1,300,-1,-1,449056,23352,3227807,300,3227807,300
896c707d324330d7d4ad92674187923945efcda9+49c75804c5a8964afa1aa3c6e6463bb792de4457+09f203d1a6f75568dc566b2f3fcb7ee49b96cb7b/d92538b80f302fc40530468efe7ca7bf63b7ba52+bab0f5a1f7040389eb8fe0cb417ba1854e33dbd0+0f25bf3bf6a77bc934f2f19b794eb5725c6f502b,java_gumtree,gumtree_lazy,4161783,4161968,3227084,3227084,0,0,2067,2067,18446744073411888560,18446744073122236088,23352,177056,3227084,2067,3227084,2067
d92538b80f302fc40530468efe7ca7bf63b7ba52+bab0f5a1f7040389eb8fe0cb417ba1854e33dbd0+0f25bf3bf6a77bc934f2f19b794eb5725c6f502b/e85ff889b333b82da20b988fbb42bdbfdb814545+d7f824119cd68f986fd5ed8a501007e6862f5081+bcb84723a2086294042cc80a2d1afb564db3658b,java_gumtree,gumtree_lazy,4161968,4161996,3228041,3228041,0,0,31,31,18446744073411884736,18446744073122230496,177056,56064,3228041,31,3228041,31
e85ff889b333b82da20b988fbb42bdbfdb814545+d7f824119cd68f986fd5ed8a501007e6862f5081+bcb84723a2086294042cc80a2d1afb564db3658b/31193cbf0c93205a63c8c7b372b09200f60e69f4+ba5f8f9e539c57874af260efda4eacf296e9ffa4+f0e343f3b3b48b3cadc35718cb4c8667eda872a4,java_gumtree,gumtree_lazy,4161996,4161996,-1,3228058,-1,-1,-1,15,-1,-1,56064,45928,3228058,15,3228058,15
31193cbf0c93205a63c8c7b372b09200f60e69f4+ba5f8f9e539c57874af260efda4eacf296e9ffa4+f0e343f3b3b48b3cadc35718cb4c8667eda872a4/7c79e634ce2f11b2601d463655fae82c13b8e677+91256532788aeee39d67087936be9bb458022c7a+bc85adeaa01480aafd1dae9a73070bdfc1c78655,java_gumtree,gumtree_lazy,4161996,4163245,-1,3228013,-1,-1,-1,1067,-1,-1,45928,27800,3228013,1067,3228013,1067
7c79e634ce2f11b2601d463655fae82c13b8e677+91256532788aeee39d67087936be9bb458022c7a+bc85adeaa01480aafd1dae9a73070bdfc1c78655/97c1e4b4aa73f5851801fdf5e17f013dd46a6b3e+81bb6d1dec28ca135382e29e3eccffcc957726be+d54945e98b9393a9400a17144f721bc5c40f2fe1,java_gumtree,gumtree_lazy,4163245,4163245,-1,3229017,-1,-1,-1,9,-1,-1,27800,2632,3229017,9,3229017,9
97c1e4b4aa73f5851801fdf5e17f013dd46a6b3e+81bb6d1dec28ca135382e29e3eccffcc957726be+d54945e98b9393a9400a17144f721bc5c40f2fe1/b3d5c12c7ac4301aef5a1b768e8b65c7cb54b0bb+b5343ba96ce0e24c77e7be0efdb111f6fdf999ec+fe8213b22bdd2341e658fe31682b8912de4c1b72,java_gumtree,gumtree_lazy,4163245,4163341,-1,3228999,-1,-1,-1,113,-1,-1,2632,63584,3228999,113,3228999,113
b3d5c12c7ac4301aef5a1b768e8b65c7cb54b0bb+b5343ba96ce0e24c77e7be0efdb111f6fdf999ec+fe8213b22bdd2341e658fe31682b8912de4c1b72/8e5676c84a782d51c4156be059b6ce9a3dc3e1e1+7ee3e2787f45f5453b61a9af6c659993b4eba6d5+6685c2a1742f7257eb8e542f4a99386582a29bda,java_gumtree,gumtree_lazy,4163341,4162625,3228489,3228489,0,0,648,648,18446744073411787880,18446744073122092176,63584,50520,3228489,648,3228489,648
8e5676c84a782d51c4156be059b6ce9a3dc3e1e1+7ee3e2787f45f5453b61a9af6c659993b4eba6d5+6685c2a1742f7257eb8e542f4a99386582a29bda/e8c35ae4ab91270b4403b95468254f0978f1c0ca+49ddab9eeb6cbac686711deca6001d40e8d8500d+84a8d494e32a39084e17de599a82fc7efca045d5,java_gumtree,gumtree_lazy,4162625,4161939,3227864,3227864,0,0,856,856,18446744073411840096,18446744073122188848,50520,111256,3227864,856,3227864,856
e8c35ae4ab91270b4403b95468254f0978f1c0ca+49ddab9eeb6cbac686711deca6001d40e8d8500d+84a8d494e32a39084e17de599a82fc7efca045d5/48fc4c9937ff873d61063258af805f6d0a1c1c20+d19e9fe0af6d335948547416e9685498405a8a9d+7ea7de949d36343db746b83a5f0b84734b706e8f,java_gumtree,gumtree_lazy,4161939,4161717,3227558,3227558,0,0,776,776,18446744073411887152,18446744073122250936,111256,8120816,3227558,776,3227558,776
