input,gt_tool,hast_tool,src_s,dst_s,gt_m,hast_m,missing_mappings,additional_mappings,gt_c,hast_c,gt_src_heap,gt_dst_heap,hast_src_heap,hast_dst_heap,not_lazy_m,not_lazy_c,partial_lazy_m,partial_lazy_c
be2b7f890d98af20eb0753650b6605a68a97ac05+f79ea208b1a42d0ee9e921dcfb3694221a2037ed+be6713661c120c222c17026e62401191bdc4035c+38a9d4701730e674c9646173dbffc1173623cf24+c661d2d24892ce8a09a783ca3ba82eda90a66a85+b30a7120f901b4a367b8a9839a8b8ba62457fbdf+2b0e15874aaf5502c9d6e36b0b81fc6bc14a8531/c99028b9fb67158edc9f202ff8a178c9465430ba+463bb7d096d7ce0568302a75b67808b6be78daae+a203cc9f5e211defc70f84750af5b680756ccb00+db3c1da10d448113bbfd29a69b1d4ad77eda5fe6+989728d5ea93c8a278104fd9722ba536ed1d93cf+6ec853ce614e1184876be90d195e1180ca3ab6c8+d8b223e379fd1446911ba9f2891fc208b96f2bd5,java_gumtree,gumtree_lazy,6311276,6301082,4950888,4950888,0,0,17551,17551,18446744073253240120,18446744072808219640,610970080,1938440,4950888,17551,4950888,17551
c99028b9fb67158edc9f202ff8a178c9465430ba+463bb7d096d7ce0568302a75b67808b6be78daae+a203cc9f5e211defc70f84750af5b680756ccb00+db3c1da10d448113bbfd29a69b1d4ad77eda5fe6+989728d5ea93c8a278104fd9722ba536ed1d93cf+6ec853ce614e1184876be90d195e1180ca3ab6c8+d8b223e379fd1446911ba9f2891fc208b96f2bd5/bdb35f2deb01148eb56edc49f1c21ee0ffd6d694+b2b1424582f973457e15f4eeba35cd3c0c0ed2b6+170f2cd2d0b60f0e4a507c773b9c3c1396ebad9b+9059ff5827b615475764ee2b7d72875058e169f0+cb36bdfe21cb6819033c5ca7cae231b26fc3d1f7+2a268346329c3ce17ad1269c5c0206ddd2747a17+045f502fa915bf1749deddabcd534f74c9dfd1af,java_gumtree,gumtree_lazy,6301082,6300911,4941192,4941192,0,0,29491,29491,18446744073253973992,18446744072808961848,1938440,675896,4941192,29491,4941192,29491
bdb35f2deb01148eb56edc49f1c21ee0ffd6d694+b2b1424582f973457e15f4eeba35cd3c0c0ed2b6+170f2cd2d0b60f0e4a507c773b9c3c1396ebad9b+9059ff5827b615475764ee2b7d72875058e169f0+cb36bdfe21cb6819033c5ca7cae231b26fc3d1f7+2a268346329c3ce17ad1269c5c0206ddd2747a17+045f502fa915bf1749deddabcd534f74c9dfd1af/d14bb3b8d34723cadd139bc4e5c3e3efdfbf68b8+774c751a9ee026c6d7e4b0ca44dac6ad526de557+51e7142d5705c10833e0959fdf2534a32b0e7d86+2b386ce02bfd68319d75c4aa7b5559055337497c+2157ca3c0d34c7b131e9ce60b7d00145900e8d72+4d323b2b117a5906ab16074c8c88b4ff162b1b82+a188a3ed734e3d551d0404854e7795d74534c0a6,java_gumtree,gumtree_lazy,6300911,6306061,4953991,4953991,0,0,5886,5886,18446744073253989592,18446744072808663408,675896,563824,4953991,5886,4953991,5886
d14bb3b8d34723cadd139bc4e5c3e3efdfbf68b8+774c751a9ee026c6d7e4b0ca44dac6ad526de557+51e7142d5705c10833e0959fdf2534a32b0e7d86+2b386ce02bfd68319d75c4aa7b5559055337497c+2157ca3c0d34c7b131e9ce60b7d00145900e8d72+4d323b2b117a5906ab16074c8c88b4ff162b1b82+a188a3ed734e3d551d0404854e7795d74534c0a6/896c707d324330d7d4ad92674187923945efcda9+49c75804c5a8964afa1aa3c6e6463bb792de4457+09f203d1a6f75568dc566b2f3fcb7ee49b96cb7b+6d9decddceaffd2f10a26cc3d818c6bac4e94ba2+ff1fd1c95551c86e61ab9e193d048d90a87e1886+fd8f5615ab66fd7adb1b882d6ab4ade708e4c5be+23182d44680e2cab0869fd8db4b53ceeb2f807eb,java_gumtree,gumtree_lazy,6306061,6306356,4958746,4958746,0,0,683,683,18446744073253607984,18446744072808268432,563824,101728,4958746,683,4958746,683
896c707d324330d7d4ad92674187923945efcda9+49c75804c5a8964afa1aa3c6e6463bb792de4457+09f203d1a6f75568dc566b2f3fcb7ee49b96cb7b+6d9decddceaffd2f10a26cc3d818c6bac4e94ba2+ff1fd1c95551c86e61ab9e193d048d90a87e1886+fd8f5615ab66fd7adb1b882d6ab4ade708e4c5be+23182d44680e2cab0869fd8db4b53ceeb2f807eb/d92538b80f302fc40530468efe7ca7bf63b7ba52+bab0f5a1f7040389eb8fe0cb417ba1854e33dbd0+0f25bf3bf6a77bc934f2f19b794eb5725c6f502b+f3478b187d7fc48c44ecf9c3b93f3a70a8f3b021+923201270aac262f7bb420f82590f0c7f6f1f353+0d4eb3bc01252001344d3578007e823210b36243+aa0de34dc6d99af14fdd6a46666dd6977004e133,java_gumtree,gumtree_lazy,6306356,6304497,4956042,4956042,0,0,5045,5045,18446744073253585152,18446744072808397976,101728,558968,4956042,5045,4956042,5045
d92538b80f302fc40530468efe7ca7bf63b7ba52+bab0f5a1f7040389eb8fe0cb417ba1854e33dbd0+0f25bf3bf6a77bc934f2f19b794eb5725c6f502b+f3478b187d7fc48c44ecf9c3b93f3a70a8f3b021+923201270aac262f7bb420f82590f0c7f6f1f353+0d4eb3bc01252001344d3578007e823210b36243+aa0de34dc6d99af14fdd6a46666dd6977004e133/e85ff889b333b82da20b988fbb42bdbfdb814545+d7f824119cd68f986fd5ed8a501007e6862f5081+bcb84723a2086294042cc80a2d1afb564db3658b+e38f25e28b033eaf3439c519c3c7c1ccef845117+9cee219896ae9a66bfce78cd520aad3461ec407b+efcba8a60aec69fbc2fe9d1427d80cf9aab4bd0d+5c4fe1d48c434b8a1f79d63c342864aa66e934ba,java_gumtree,gumtree_lazy,6304497,6304459,4957414,4957414,0,0,144,144,18446744073253745360,18446744072808564376,558968,142832,4957414,144,4957414,144
e85ff889b333b82da20b988fbb42bdbfdb814545+d7f824119cd68f986fd5ed8a501007e6862f5081+bcb84723a2086294042cc80a2d1afb564db3658b+e38f25e28b033eaf3439c519c3c7c1ccef845117+9cee219896ae9a66bfce78cd520aad3461ec407b+efcba8a60aec69fbc2fe9d1427d80cf9aab4bd0d+5c4fe1d48c434b8a1f79d63c342864aa66e934ba/31193cbf0c93205a63c8c7b372b09200f60e69f4+ba5f8f9e539c57874af260efda4eacf296e9ffa4+f0e343f3b3b48b3cadc35718cb4c8667eda872a4+9386375492328c633f98b057b77ecf15e30dbd58+23d1edee6e6f945aa913f55bf8aaf4682e9072e4+53fa691f6dda9619b5d4e02b19f2f9b9f2903803+90f3f1ea0770e2b0d7fa5587ecacc34e02f6b335,java_gumtree,gumtree_lazy,6304459,6304295,4957302,4957302,0,0,169,169,18446744073253749176,18446744072808580944,142832,63584,4957302,169,4957302,169
31193cbf0c93205a63c8c7b372b09200f60e69f4+ba5f8f9e539c57874af260efda4eacf296e9ffa4+f0e343f3b3b48b3cadc35718cb4c8667eda872a4+9386375492328c633f98b057b77ecf15e30dbd58+23d1edee6e6f945aa913f55bf8aaf4682e9072e4+53fa691f6dda9619b5d4e02b19f2f9b9f2903803+90f3f1ea0770e2b0d7fa5587ecacc34e02f6b335/7c79e634ce2f11b2601d463655fae82c13b8e677+91256532788aeee39d67087936be9bb458022c7a+bc85adeaa01480aafd1dae9a73070bdfc1c78655+f4c401529c10e66319d1e317c01df7e58b8d4988+f4ba958911f5dde386a33c717434cc6b218cbf6b+6ad621e76d6dec9f00804c53cbeaa3c9c5854d59+5fcbb283a323e2c5be9653b399475b6f582907ee,java_gumtree,gumtree_lazy,6304295,6305577,4957243,4957245,0,2,1134,1130,18446744073253762440,18446744072808503968,63584,88848,4957243,1134,4957243,1134
7c79e634ce2f11b2601d463655fae82c13b8e677+91256532788aeee39d67087936be9bb458022c7a+bc85adeaa01480aafd1dae9a73070bdfc1c78655+f4c401529c10e66319d1e317c01df7e58b8d4988+f4ba958911f5dde386a33c717434cc6b218cbf6b+6ad621e76d6dec9f00804c53cbeaa3c9c5854d59+5fcbb283a323e2c5be9653b399475b6f582907ee/97c1e4b4aa73f5851801fdf5e17f013dd46a6b3e+81bb6d1dec28ca135382e29e3eccffcc957726be+d54945e98b9393a9400a17144f721bc5c40f2fe1+2c8f754c206ec9c674ec2fee0089a248bddf825f+6f855ef2cc193282b12db66615b06d24febc9d8a+7e04a00131a3a88888752e3548f3c5140b996c85+956acb06d62ac33f975f312819b929bcdfbc70fa,java_gumtree,gumtree_lazy,6305577,6314766,4958201,4958201,0,0,7495,7495,18446744073253672176,18446744072807760280,88848,180560,4958201,7495,4958201,7495
97c1e4b4aa73f5851801fdf5e17f013dd46a6b3e+81bb6d1dec28ca135382e29e3eccffcc957726be+d54945e98b9393a9400a17144f721bc5c40f2fe1+2c8f754c206ec9c674ec2fee0089a248bddf825f+6f855ef2cc193282b12db66615b06d24febc9d8a+7e04a00131a3a88888752e3548f3c5140b996c85+956acb06d62ac33f975f312819b929bcdfbc70fa/b3d5c12c7ac4301aef5a1b768e8b65c7cb54b0bb+b5343ba96ce0e24c77e7be0efdb111f6fdf999ec+fe8213b22bdd2341e658fe31682b8912de4c1b72+c4b813fc16a56f3c4dceabe85fa5e2816c1f7a11+6f0fded18cecbebf223182d930d186e2910dc65f+df55981b5d5cc46e67fcb19d13847b424632405f+6df6053c24fe0920a594fd0e63738181756d4432,java_gumtree,gumtree_lazy,6314766,6314535,4965290,4965290,0,0,351,351,18446744073253016280,18446744072807124240,180560,113848,4965290,351,4965290,351
