input,gt_tool,hast_tool,src_s,dst_s,gt_m,hast_m,missing_mappings,additional_mappings,gt_c,hast_c,gt_src_heap,gt_dst_heap,hast_src_heap,hast_dst_heap,not_lazy_m,not_lazy_c,partial_lazy_m,partial_lazy_c
38a9d4701730e674c9646173dbffc1173623cf24+b30a7120f901b4a367b8a9839a8b8ba62457fbdf/db3c1da10d448113bbfd29a69b1d4ad77eda5fe6+6ec853ce614e1184876be90d195e1180ca3ab6c8,java_gumtree,gumtree_lazy,1352710,1352506,1114371,1114371,0,0,184,184,18446744073607808824,18446744073507568152,148551848,56136,1114371,184,1114371,184
db3c1da10d448113bbfd29a69b1d4ad77eda5fe6+6ec853ce614e1184876be90d195e1180ca3ab6c8/9059ff5827b615475764ee2b7d72875058e169f0+2a268346329c3ce17ad1269c5c0206ddd2747a17,java_gumtree,gumtree_lazy,1352506,1343918,1105031,1105031,0,0,12364,12364,18446744073607823864,18446744073508207264,56136,653960,1105031,12364,1105031,12364
9059ff5827b615475764ee2b7d72875058e169f0+2a268346329c3ce17ad1269c5c0206ddd2747a17/2b386ce02bfd68319d75c4aa7b5559055337497c+4d323b2b117a5906ab16074c8c88b4ff162b1b82,java_gumtree,gumtree_lazy,1343918,1344461,1107326,1107326,0,0,638,638,18446744073608454664,18446744073508801648,653960,243608,1107326,638,1107326,638
2b386ce02bfd68319d75c4aa7b5559055337497c+4d323b2b117a5906ab16074c8c88b4ff162b1b82/6d9decddceaffd2f10a26cc3d818c6bac4e94ba2+fd8f5615ab66fd7adb1b882d6ab4ade708e4c5be,java_gumtree,gumtree_lazy,1344461,1344437,1107814,1107814,0,0,46,46,18446744073608414360,18446744073508762304,243608,21752,1107814,46,1107814,46
6d9decddceaffd2f10a26cc3d818c6bac4e94ba2+fd8f5615ab66fd7adb1b882d6ab4ade708e4c5be/f3478b187d7fc48c44ecf9c3b93f3a70a8f3b021+0d4eb3bc01252001344d3578007e823210b36243,java_gumtree,gumtree_lazy,1344437,1342378,1105564,1105564,0,0,2987,2987,18446744073608415864,18446744073508922760,21752,343968,1105564,2987,1105564,2987
f3478b187d7fc48c44ecf9c3b93f3a70a8f3b021+0d4eb3bc01252001344d3578007e823210b36243/e38f25e28b033eaf3439c519c3c7c1ccef845117+efcba8a60aec69fbc2fe9d1427d80cf9aab4bd0d,java_gumtree,gumtree_lazy,1342378,1342312,1105988,1105988,0,0,75,75,18446744073608581040,18446744073509095608,343968,33304,1105988,75,1105988,75
e38f25e28b033eaf3439c519c3c7c1ccef845117+efcba8a60aec69fbc2fe9d1427d80cf9aab4bd0d/9386375492328c633f98b057b77ecf15e30dbd58+53fa691f6dda9619b5d4e02b19f2f9b9f2903803,java_gumtree,gumtree_lazy,1342312,1342148,1105849,1105849,0,0,154,154,18446744073608586400,18446744073509113880,33304,183368,1105849,154,1105849,154
9386375492328c633f98b057b77ecf15e30dbd58+53fa691f6dda9619b5d4e02b19f2f9b9f2903803/f4c401529c10e66319d1e317c01df7e58b8d4988+6ad621e76d6dec9f00804c53cbeaa3c9c5854d59,java_gumtree,gumtree_lazy,1342148,1342148,1105856,1105856,0,0,0,0,18446744073608599808,18446744073509126752,183368,39888,1105856,0,1105856,0
f4c401529c10e66319d1e317c01df7e58b8d4988+6ad621e76d6dec9f00804c53cbeaa3c9c5854d59/2c8f754c206ec9c674ec2fee0089a248bddf825f+7e04a00131a3a88888752e3548f3c5140b996c85,java_gumtree,gumtree_lazy,1342148,1342148,1105856,1105856,0,0,0,0,18446744073608599808,18446744073509126752,39888,5216,1105856,0,1105856,0
2c8f754c206ec9c674ec2fee0089a248bddf825f+7e04a00131a3a88888752e3548f3c5140b996c85/c4b813fc16a56f3c4dceabe85fa5e2816c1f7a11+df55981b5d5cc46e67fcb19d13847b424632405f,java_gumtree,gumtree_lazy,1342148,1342148,1105856,1105856,0,0,0,0,18446744073608599808,18446744073509126752,5216,5888,1105856,0,1105856,0
