input,gt_tool,hast_tool,src_s,dst_s,gt_m,hast_m,missing_mappings,additional_mappings,gt_c,hast_c,gt_src_heap,gt_dst_heap,hast_src_heap,hast_dst_heap,not_lazy_m,not_lazy_c,partial_lazy_m,partial_lazy_c
885f4733c413bdbb110946361247fbbd19f6bba9+c2b846750dd2131d65aa25c8cf66bf3649b248f9+f56b5d895f97f4cc3bd787c600a3ee67ba56d4db/33091980ab325bcd001fad93129d74f0189c08e9+701263610a72725c9d32b4022f1d51b1344890d1+7bd661dc4c9d4b1ecf4c9caf85386829bcd5e147,java_gumtree,gumtree_lazy,8069182,8069204,-1,6251370,-1,-1,-1,100,-1,-1,790261960,154352,6251370,100,6251370,100
33091980ab325bcd001fad93129d74f0189c08e9+701263610a72725c9d32b4022f1d51b1344890d1+7bd661dc4c9d4b1ecf4c9caf85386829bcd5e147/31d31608c3fee7ef84c515e3d152ec58c48ad6d9+1ecc053e70d57a8da70bf23bf5293b2072337b09+9c9e855d23519caa7d846fb1d309bf22e7ca10f5,java_gumtree,gumtree_lazy,8069204,8069182,-1,6251370,-1,-1,-1,100,-1,-1,154352,92456,6251370,100,6251370,100
31d31608c3fee7ef84c515e3d152ec58c48ad6d9+1ecc053e70d57a8da70bf23bf5293b2072337b09+9c9e855d23519caa7d846fb1d309bf22e7ca10f5/22cd0c2f4b2c2b48027454cf99391ab976623375+cf8b7170505c2329b34ff1f8c0b76977a4d7c2c2+a73bf2506b0855eece996bd290c9382b5ffbd0a9,java_gumtree,gumtree_lazy,8069182,8068477,-1,6250799,-1,-1,-1,616,-1,-1,92456,37576,6250799,616,6250799,616
22cd0c2f4b2c2b48027454cf99391ab976623375+cf8b7170505c2329b34ff1f8c0b76977a4d7c2c2+a73bf2506b0855eece996bd290c9382b5ffbd0a9/04586a9a3bb80c1601244a291a5fe0a8fa24b97b+a9cac5ee0b921deaa51758f038f9316ca821616a+514d42123309d69ff7b4b691cb56d1660e75edfb,java_gumtree,gumtree_lazy,8068477,8068488,-1,6250329,-1,-1,-1,1017,-1,-1,37576,146296,6250329,1017,6250329,1017
04586a9a3bb80c1601244a291a5fe0a8fa24b97b+a9cac5ee0b921deaa51758f038f9316ca821616a+514d42123309d69ff7b4b691cb56d1660e75edfb/4274fb8806c25519cac829d00b01132fe08c0cac+005a6a4e7b3632d6719640eac621690d3268fd1f+39bc3cb12a982d0225521e6f1d10bd01bd9a2575,java_gumtree,gumtree_lazy,8068488,8067924,-1,6250013,-1,-1,-1,1193,-1,-1,146296,57328,6250013,1193,6250013,1193
4274fb8806c25519cac829d00b01132fe08c0cac+005a6a4e7b3632d6719640eac621690d3268fd1f+39bc3cb12a982d0225521e6f1d10bd01bd9a2575/320f88d54440e05228a90ef5663991e28ae07c95+5e23212172a761c416ec682c55f462852c381e92+aa71e753d8473830da9f5ff9460ebdf4b4e0ee5b,java_gumtree,gumtree_lazy,8067924,8067623,-1,6249773,-1,-1,-1,964,-1,-1,57328,62768,6249773,964,6249773,964
320f88d54440e05228a90ef5663991e28ae07c95+5e23212172a761c416ec682c55f462852c381e92+aa71e753d8473830da9f5ff9460ebdf4b4e0ee5b/5d763eb63b67d4fee5972559ddfe0ff3e0e8e210+960121db545f2d8aec7a87da8c54a9645fde266c+e14b1e4a2c8d55ccc6b7d3c57dd172b4176988d2,java_gumtree,gumtree_lazy,8067623,8067183,-1,6249749,-1,-1,-1,422,-1,-1,62768,27848,6249749,422,6249749,422
5d763eb63b67d4fee5972559ddfe0ff3e0e8e210+960121db545f2d8aec7a87da8c54a9645fde266c+e14b1e4a2c8d55ccc6b7d3c57dd172b4176988d2/78700d939c42404ce6bd420094e13a258875949b+afbf8d26b17548896b55d4edbcdcc4f8bb625a7d+6841ca79104f6b78179e44b56ae9a033b8131c70,java_gumtree,gumtree_lazy,8067183,8065859,-1,6248623,-1,-1,-1,1337,-1,-1,27848,90960,6248623,1337,6248623,1337
78700d939c42404ce6bd420094e13a258875949b+afbf8d26b17548896b55d4edbcdcc4f8bb625a7d+6841ca79104f6b78179e44b56ae9a033b8131c70/e549c6fd22ac0d5a6df0d817212637c532b9a681+34ae67a5b1fb1f119c1ed509f576c205d1e7fd78+6460f65759694488446a51e79f74c742290fc13e,java_gumtree,gumtree_lazy,8065859,8065912,-1,6248709,-1,-1,-1,207,-1,-1,90960,40960,6248709,207,6248709,207
e549c6fd22ac0d5a6df0d817212637c532b9a681+34ae67a5b1fb1f119c1ed509f576c205d1e7fd78+6460f65759694488446a51e79f74c742290fc13e/0085bfc8aca11de872f129804269973d4a33cd39+19d74affb0bc88118d64737df10569ac41ae1804+9130f8e78ed0d8bdf4b56058ae540c50f0b413ce,java_gumtree,gumtree_lazy,8065912,8065912,-1,6248822,-1,-1,-1,10,-1,-1,40960,29816,6248822,10,6248822,10
0085bfc8aca11de872f129804269973d4a33cd39+19d74affb0bc88118d64737df10569ac41ae1804+9130f8e78ed0d8bdf4b56058ae540c50f0b413ce/c0c1f35cd9279bc1a7a50119be72a297162a9b55+d88e0bf3ff2cd6e9506ccb749b53bbeadb09555e+f33474b4c618ee86cde67d5f589e447409183837,java_gumtree,gumtree_lazy,8065912,8065901,-1,6248798,-1,-1,-1,49,-1,-1,29816,-2248,6248798,49,6248798,49
c0c1f35cd9279bc1a7a50119be72a297162a9b55+d88e0bf3ff2cd6e9506ccb749b53bbeadb09555e+f33474b4c618ee86cde67d5f589e447409183837/e0c9604f0c4adf03346343994b8b24424a8a1c1a+d7d6166fe5100b1955dd2d7ab83782e28da7f352+b1b7a681989c5f7fd86d6c618c9fb5e806ccb99f,java_gumtree,gumtree_lazy,8065901,8065618,-1,6248569,-1,-1,-1,278,-1,-1,-2248,23816,6248569,278,6248569,278
