input,gt_tool,hast_tool,src_s,dst_s,gt_m,hast_m,missing_mappings,additional_mappings,gt_c,hast_c,gt_src_heap,gt_dst_heap,hast_src_heap,hast_dst_heap,not_lazy_m,not_lazy_c,partial_lazy_m,partial_lazy_c
56e12a0c0e0e69ea70863011b4f4ca3305e0542b+ebfc8945a5dd77b617f4667647ed4b740323acc8/3acf94ce97e6f4af9eb7b69a9b9f94d4a6d5a164+5be42b2cfeb5c1dde1ee5b4e7a0fb476083ad568,java_gumtree,gumtree_lazy,4846191,4846318,-1,3848003,-1,-1,-1,329,-1,-1,585731104,66696,3848003,329,3848003,329
3acf94ce97e6f4af9eb7b69a9b9f94d4a6d5a164+5be42b2cfeb5c1dde1ee5b4e7a0fb476083ad568/07ab4c7629c46933b46df72f287200986b20bcfc+fb836829414ffb2eba183fd7a9fbbc0b3fae8721,java_gumtree,gumtree_lazy,4846318,4845983,3847949,3847949,0,0,272,272,18446744073355447224,18446744073008994560,66696,-138200,3847949,272,3847949,272
07ab4c7629c46933b46df72f287200986b20bcfc+fb836829414ffb2eba183fd7a9fbbc0b3fae8721/394224589ec67a221b516c85514e917ff9579c6c+9fb2f4b033889f4c358c6f5420b036678e10f8cd,java_gumtree,gumtree_lazy,4845983,4845983,3847953,3847953,0,0,12,12,18446744073355470632,18446744073009017976,-138200,4320,3847953,12,3847953,12
394224589ec67a221b516c85514e917ff9579c6c+9fb2f4b033889f4c358c6f5420b036678e10f8cd/a50d726f5f9ced0f3cd7c5c391236301889c96bb+dfc215713abbd211e60a81074f177f49bbd9e406,java_gumtree,gumtree_lazy,4845983,4845983,-1,3847957,-1,-1,-1,0,-1,-1,4320,3648,3847957,0,3847957,0
a50d726f5f9ced0f3cd7c5c391236301889c96bb+dfc215713abbd211e60a81074f177f49bbd9e406/2d3a55131e0243e2f640ee041f29154b1112ddf3+7f0e350fe8aba6b5eaa33ff2bcb6e682955b0ad9,java_gumtree,gumtree_lazy,4845983,4844018,3846091,3846091,0,0,2119,2119,18446744073355470152,18446744073009165824,3648,73152,3846091,2119,3846091,2119
2d3a55131e0243e2f640ee041f29154b1112ddf3+7f0e350fe8aba6b5eaa33ff2bcb6e682955b0ad9/af8bd289784a21f2191d145bcc711c335dff574c+cfb118e40484faa549a975d912473b4f739a8206,java_gumtree,gumtree_lazy,4844018,4843583,-1,3845870,-1,-1,-1,508,-1,-1,73152,35464,3845870,508,3845870,508
af8bd289784a21f2191d145bcc711c335dff574c+cfb118e40484faa549a975d912473b4f739a8206/32104823d5399cf07c36c7c2ae944c10e6d7a04b+5fc1e4957d9ba622d83bcf29c0aa3c54c34e19bf,java_gumtree,gumtree_lazy,4843583,4843689,-1,3845911,-1,-1,-1,130,-1,-1,35464,18360,3845911,130,3845911,130
32104823d5399cf07c36c7c2ae944c10e6d7a04b+5fc1e4957d9ba622d83bcf29c0aa3c54c34e19bf/5e15569517f6a87802cd5ed5c261b77e623f44e5+9f45ac2f71af5403fffb48828fa43b5807922476,java_gumtree,gumtree_lazy,4843689,4843681,-1,3845731,-1,-1,-1,659,-1,-1,18360,81560,3845731,659,3845731,659
5e15569517f6a87802cd5ed5c261b77e623f44e5+9f45ac2f71af5403fffb48828fa43b5807922476/5f3ac8704b789b23792e6b1bdd1e06f22dbcbe2a+4e593a41fcbc07f13965cd96b5cb13ec2573380e,java_gumtree,gumtree_lazy,4843681,4843692,-1,3846021,-1,-1,-1,18,-1,-1,81560,10760,3846021,18,3846021,18
5f3ac8704b789b23792e6b1bdd1e06f22dbcbe2a+4e593a41fcbc07f13965cd96b5cb13ec2573380e/d36a0e99f95435df5aad222770667dd472c6cf49+69898dc632335875882ac90111ff02c747d14673,java_gumtree,gumtree_lazy,4843692,4843681,3846021,3846021,0,0,16,16,18446744073355645664,18446744073009365648,10760,-13504,3846021,16,3846021,16
d36a0e99f95435df5aad222770667dd472c6cf49+69898dc632335875882ac90111ff02c747d14673/9dfca3bf8bbada63f55eb5abc6643398c3358661+d262274585735d36bc39d11475005d2021a095f9,java_gumtree,gumtree_lazy,4843681,4843746,3845977,3845977,0,0,154,154,18446744073355647008,18446744073009361840,-13504,35464,3845977,154,3845977,154
9dfca3bf8bbada63f55eb5abc6643398c3358661+d262274585735d36bc39d11475005d2021a095f9/398dcc366de592fe310c63538c62a47f2c3f881d+209dc1362e7232a5a46df813119634453486c001,java_gumtree,gumtree_lazy,4843746,4843781,-1,3846034,-1,-1,-1,132,-1,-1,35464,37584,3846034,132,3846034,132
398dcc366de592fe310c63538c62a47f2c3f881d+209dc1362e7232a5a46df813119634453486c001/9a43cd93c55db19ba09fcdb294a4b1f499b20fa2+02128be2330f73a00ecb66bf48bf7740f269a5ce,java_gumtree,gumtree_lazy,4843781,4843781,3846103,3846103,0,0,13,13,18446744073355639128,18446744073009351752,37584,19512,3846103,13,3846103,13
9a43cd93c55db19ba09fcdb294a4b1f499b20fa2+02128be2330f73a00ecb66bf48bf7740f269a5ce/97c9d0782431e53ee72fddcb444b2d892d6618b0+5eaeb95760b9d4460288fde9c7af3f2cf98765ae,java_gumtree,gumtree_lazy,4843781,4840477,3843428,3843428,0,0,2746,2746,18446744073355639176,18446744073009588352,19512,53136,3843428,2746,3843428,2746
97c9d0782431e53ee72fddcb444b2d892d6618b0+5eaeb95760b9d4460288fde9c7af3f2cf98765ae/f01fd63a57dfee548a4eddb6cad455b6a852c3e1+6586c5b15d0bb09e46a50ca672759efc3bced5c0,java_gumtree,gumtree_lazy,4840477,4840185,3843144,3843144,0,0,470,470,18446744073355878144,18446744073009845856,53136,72176,3843144,470,3843144,470
f01fd63a57dfee548a4eddb6cad455b6a852c3e1+6586c5b15d0bb09e46a50ca672759efc3bced5c0/fbc22dd3d6eee0fd6b94457e9b595ddc0857f217+c4936b20ac85f2c182278394d6c81500ee275df9,java_gumtree,gumtree_lazy,4840185,4840185,3843226,3843226,0,0,38,38,18446744073355899912,18446744073009868616,72176,64192,3843226,38,3843226,38
fbc22dd3d6eee0fd6b94457e9b595ddc0857f217+c4936b20ac85f2c182278394d6c81500ee275df9/ff9171045302c7de72b9fcff167cef615c642dba+396ec807aa277047c5119ce60fcc14bee7b9ffcc,java_gumtree,gumtree_lazy,4840185,4839776,-1,3842918,-1,-1,-1,350,-1,-1,64192,26976,3842918,350,3842918,350
