input,src_s,dst_s,src_heap,dst_heap,src_t,dst_t,mappings,diff_t,changes
7bd661dc4c9d4b1ecf4c9caf85386829bcd5e147/f56b5d895f97f4cc3bd787c600a3ee67ba56d4db,2424171,2424171,22760,283744840,54036022,3737997704,1849128,3.9383501549999997,1
9c9e855d23519caa7d846fb1d309bf22e7ca10f5/7bd661dc4c9d4b1ecf4c9caf85386829bcd5e147,2424171,2424171,-13952,0,52102444,29399,1849128,4.012256888,1
a73bf2506b0855eece996bd290c9382b5ffbd0a9/9c9e855d23519caa7d846fb1d309bf22e7ca10f5,2423557,2424171,-8536,0,33133116,117373,1848626,4.728953477,523
e14b1e4a2c8d55ccc6b7d3c57dd172b4176988d2/a73bf2506b0855eece996bd290c9382b5ffbd0a9,2423557,2423557,-35304,0,54395330,26933,1848646,3.72690728,1
6841ca79104f6b78179e44b56ae9a033b8131c70/e14b1e4a2c8d55ccc6b7d3c57dd172b4176988d2,2423557,2423557,0,0,3666,24581,1848646,3.7367351609999995,0
6460f65759694488446a51e79f74c742290fc13e/6841ca79104f6b78179e44b56ae9a033b8131c70,2423558,2423557,-68160,0,60424315,28731,1848628,4.102121167,37
9130f8e78ed0d8bdf4b56058ae540c50f0b413ce/6460f65759694488446a51e79f74c742290fc13e,2423558,2423558,7552,0,51640009,30233,1848647,3.7913316740000003,1
f33474b4c618ee86cde67d5f589e447409183837/9130f8e78ed0d8bdf4b56058ae540c50f0b413ce,2423547,2423558,-52464,0,6101598,26719,1848632,3.9760580730000004,20
b1b7a681989c5f7fd86d6c618c9fb5e806ccb99f/f33474b4c618ee86cde67d5f589e447409183837,2423264,2423547,-58136,0,95198032,29760,1848390,4.017355073,278
869746101f6dd73b70d8a9c2b6dc59de4352519e/b1b7a681989c5f7fd86d6c618c9fb5e806ccb99f,2423468,2423264,-46336,768,57663993,29768,1848390,4.031341537,219
93d8c01e907fe35a8ff0eb5fe1c3b279d2f30282/869746101f6dd73b70d8a9c2b6dc59de4352519e,2422972,2423468,-56544,768,65824514,28851,1848171,7.859900403,441
3d3becde325ef26299ca914f0dc7961ea1f1c612/93d8c01e907fe35a8ff0eb5fe1c3b279d2f30282,2420122,2422972,784072,768,262727921,27907,1846141,14.208591735999999,2807
