input,src_s,dst_s,src_heap,dst_heap,src_t,dst_t,mappings,diff_t,changes
db3c1da10d448113bbfd29a69b1d4ad77eda5fe6/38a9d4701730e674c9646173dbffc1173623cf24,1333186,1333390,45320,147899624,4576807,2409848254,1097454,2.32084494,184
9059ff5827b615475764ee2b7d72875058e169f0/db3c1da10d448113bbfd29a69b1d4ad77eda5fe6,1324598,1333186,623088,2688,171148449,34039,1088125,45.956910397,12350
2b386ce02bfd68319d75c4aa7b5559055337497c/9059ff5827b615475764ee2b7d72875058e169f0,1325141,1324598,222760,2304,15651816,48621,1090409,11.331364297,625
6d9decddceaffd2f10a26cc3d818c6bac4e94ba2/2b386ce02bfd68319d75c4aa7b5559055337497c,1325117,1325141,-14080,2688,11233370,45875,1090897,4.723307011999999,46
f3478b187d7fc48c44ecf9c3b93f3a70a8f3b021/6d9decddceaffd2f10a26cc3d818c6bac4e94ba2,1323058,1325117,305048,2304,78198984,42966,1088649,24.34784958,2979
e38f25e28b033eaf3439c519c3c7c1ccef845117/f3478b187d7fc48c44ecf9c3b93f3a70a8f3b021,1322992,1323058,-18504,2688,61081066,57542,1089071,8.644226663000001,75
9386375492328c633f98b057b77ecf15e30dbd58/e38f25e28b033eaf3439c519c3c7c1ccef845117,1322986,1322992,156248,2688,2423263,47454,1089070,3.447323235,10
f4c401529c10e66319d1e317c01df7e58b8d4988/9386375492328c633f98b057b77ecf15e30dbd58,1322986,1322986,2304,2688,70833,51813,1089073,2.053489178,0
2c8f754c206ec9c674ec2fee0089a248bddf825f/f4c401529c10e66319d1e317c01df7e58b8d4988,1322986,1322986,16384,2304,311500,49026,1089073,1.9204190589999999,0
c4b813fc16a56f3c4dceabe85fa5e2816c1f7a11/2c8f754c206ec9c674ec2fee0089a248bddf825f,1322986,1322986,9472,2304,233635,56373,1089073,2.246770837,0
ea154b20c36fddf52adda656c4ffb8bceef8ebdb/c4b813fc16a56f3c4dceabe85fa5e2816c1f7a11,1322986,1322986,2816,2304,20954,46920,1089073,1.9172052350000002,0
bb7a6ad9a7b98c5f5026ab74fb4659d3d36a8382/ea154b20c36fddf52adda656c4ffb8bceef8ebdb,1322985,1322986,-896,2304,54013,60302,1089070,2.12826883,5
0e7b25d9863fea2bb71dea48b4d52e6a0cad7e15/bb7a6ad9a7b98c5f5026ab74fb4659d3d36a8382,1322985,1322985,6656,2688,65931,47689,1089072,1.958761422,0
118ba3b56908ae71e64b0f8466c49891d9ad4dcc/0e7b25d9863fea2bb71dea48b4d52e6a0cad7e15,1322985,1322985,5120,2688,96663,35734,1089069,1.921867826,6
1133f3ad600fa07440c0e4af3dcd784b1bd6b2f0/118ba3b56908ae71e64b0f8466c49891d9ad4dcc,1322977,1322985,11424,2688,59961321,39337,1089050,3.705285612,40
91413a753c08f1dc2338f9b368314a1ff65b860a/1133f3ad600fa07440c0e4af3dcd784b1bd6b2f0,1322977,1322977,3200,2688,88818,62247,1089065,1.879872147,0
4e750e69fbe34a9d6e87b4db7dda955a335736db/91413a753c08f1dc2338f9b368314a1ff65b860a,1322977,1322977,146512,2688,392734822,38572,1089057,13.711225985,103
de978e18df79d6f65f6720bfb6145936463443c1/4e750e69fbe34a9d6e87b4db7dda955a335736db,1322977,1322977,6912,2688,185983,39908,1089065,1.8733946590000001,0
3be0c80870fd42352ac6995ca865c9f8df95c6b6/de978e18df79d6f65f6720bfb6145936463443c1,1322977,1322977,6912,2688,179165,41293,1089065,1.848500041,0
0d3c20b48fedebe71a87b72f787ad0e17df0b408/3be0c80870fd42352ac6995ca865c9f8df95c6b6,1322977,1322977,0,2688,9052,38621,1089065,1.804514206,0
c66111c0d26093f32be3977275448182b469f98b/0d3c20b48fedebe71a87b72f787ad0e17df0b408,1322977,1322977,6912,2688,226149,52427,1089065,2.008168479,0
34a4553e23530e8255efe6f5a0adff9e69555d64/c66111c0d26093f32be3977275448182b469f98b,1322977,1322977,11904,2688,131038,46518,1089065,1.859473551,0
2db93e198152b8a5f66e0ddd70b61e4420765830/34a4553e23530e8255efe6f5a0adff9e69555d64,1322977,1322977,-32424,2688,139821493,40077,1089058,2.949842054,19
7b6f50b62be485a4c989034352a2c5fc54f36820/2db93e198152b8a5f66e0ddd70b61e4420765830,1322977,1322977,2816,2688,38154,51081,1089065,2.049430316,0
f280c6c384272f247f61caee6d7564934d34037c/7b6f50b62be485a4c989034352a2c5fc54f36820,1322977,1322977,2816,2688,20671,45181,1089065,1.86410274,0
a06feae1a6768c02f5777f5456d970760a497f86/f280c6c384272f247f61caee6d7564934d34037c,1322977,1322977,-20256,2688,23799246,64147,1089061,1.872819661,9
1ca53a12ed93ada216ba138736d5fb2596cddbcc/a06feae1a6768c02f5777f5456d970760a497f86,1322977,1322977,11648,2688,113778,40505,1089065,1.819569381,0
59b33f44fa0b0416ce8bdc523a4dc89d79af5a27/1ca53a12ed93ada216ba138736d5fb2596cddbcc,1322977,1322977,17536,2688,278406,39715,1089065,1.877159086,0
78a41443e48af2f6342bc3dfefe37dfe8ee2f6cd/59b33f44fa0b0416ce8bdc523a4dc89d79af5a27,1322977,1322977,4352,2688,25705,39006,1089065,1.871208948,0
