input,src_s,dst_s,src_heap,dst_heap,src_t,dst_t,mappings,diff_t,changes
f481dae03021bca4667a6c038451aa1482dca9b2/85417f68e1eb6d90d46e145229e390cf55a4a554,9389,9389,19112,817608,18862027,61010569,8319,0.5583992029999999,11
4622dbfb0d17551b1fc2765a0bb638ee59fb65bb/f481dae03021bca4667a6c038451aa1482dca9b2,9176,9389,7024,0,18075144,54104,8130,1.512960875,197
ba4357a0863ae42a77c514758c917870a5d2d74b/4622dbfb0d17551b1fc2765a0bb638ee59fb65bb,9308,9176,34112,0,12090132,54793,8130,1.065276088,128
0922bde84dfa8cc4d90f8223dfa7cb631dd06059/ba4357a0863ae42a77c514758c917870a5d2d74b,9308,9308,12928,0,2636983,53909,8254,0.013609558,0
9514be9723d7b4471b28391a5bbc9729f170926a/0922bde84dfa8cc4d90f8223dfa7cb631dd06059,9308,9308,768,3072,127504,39557,8254,0.013875694000000001,0
ad540a86ec169b58213a81f46fddee5d2cdc50ff/9514be9723d7b4471b28391a5bbc9729f170926a,9308,9308,26016,0,2863839,55134,8254,0.014021366,0
9cc3607cedc912d585e56c6ab04a1b2189a33c95/ad540a86ec169b58213a81f46fddee5d2cdc50ff,9308,9308,22944,0,540515,54301,8254,0.013917831,0
32ad3ed3e9ea0a04f1edbc5ca0154891f891c1c5/9cc3607cedc912d585e56c6ab04a1b2189a33c95,9307,9308,7968,0,618918,53101,8251,0.013699666999999999,5
c6267330a9e9c5b0d152a5950ba547fad5ab3ab2/32ad3ed3e9ea0a04f1edbc5ca0154891f891c1c5,9307,9307,11520,0,460788,52938,8253,0.014102414,0
75650533156812c8063d4271b06eea0d2f4d9d10/c6267330a9e9c5b0d152a5950ba547fad5ab3ab2,9318,9307,-27008,0,13761663,51769,8250,0.19607618999999998,16
5d97c9a81ab01cc57f4981b0e472a77c8ea429ac/75650533156812c8063d4271b06eea0d2f4d9d10,9320,9318,25776,0,2892124,55722,8257,0.059414671,16
b83fe492720dff146bb308b17aa27be8ab68d7bc/5d97c9a81ab01cc57f4981b0e472a77c8ea429ac,9320,9320,16128,0,905015,53295,8265,0.015629409,0
b4dd8aa981e27f0fd7929c84e06a9e078ceb4aac/b83fe492720dff146bb308b17aa27be8ab68d7bc,9320,9320,-78144,0,1930763,52588,8260,0.058573113,10
a28ffb4ecd060264a1ddefd47fb115674903ff48/b4dd8aa981e27f0fd7929c84e06a9e078ceb4aac,9313,9320,-31232,0,264769,54400,8255,0.041859201,13
91f8d32783a1b2fabf1d93e32657017387acb4cc/a28ffb4ecd060264a1ddefd47fb115674903ff48,9333,9313,-26208,3840,14345231,55567,8233,0.26603549299999996,69
