input,src_s,dst_s,src_heap,dst_heap,src_t,dst_t,mappings,diff_t,changes
6ec853ce614e1184876be90d195e1180ca3ab6c8/b30a7120f901b4a367b8a9839a8b8ba62457fbdf,19320,19320,3072,1105824,123411,162668291,16916,0.017393489999999998,0
2a268346329c3ce17ad1269c5c0206ddd2747a17/6ec853ce614e1184876be90d195e1180ca3ab6c8,19320,19320,48128,4608,267992,38273,16916,0.016796321,0
4d323b2b117a5906ab16074c8c88b4ff162b1b82/2a268346329c3ce17ad1269c5c0206ddd2747a17,19320,19320,49664,4608,417025,34850,16916,0.018305465,0
fd8f5615ab66fd7adb1b882d6ab4ade708e4c5be/4d323b2b117a5906ab16074c8c88b4ff162b1b82,19320,19320,54656,1152,1024134,35591,16916,0.016286614999999997,0
0d4eb3bc01252001344d3578007e823210b36243/fd8f5615ab66fd7adb1b882d6ab4ade708e4c5be,19320,19320,46208,4224,344301,33098,16916,0.016118117,0
efcba8a60aec69fbc2fe9d1427d80cf9aab4bd0d/0d4eb3bc01252001344d3578007e823210b36243,19320,19320,128,4224,396373,35878,16916,0.017010686,0
53fa691f6dda9619b5d4e02b19f2f9b9f2903803/efcba8a60aec69fbc2fe9d1427d80cf9aab4bd0d,19162,19320,13968,2688,56039012,39969,16778,2.33986833,144
6ad621e76d6dec9f00804c53cbeaa3c9c5854d59/53fa691f6dda9619b5d4e02b19f2f9b9f2903803,19162,19162,51072,2688,568595,47432,16782,0.031156509000000002,0
7e04a00131a3a88888752e3548f3c5140b996c85/6ad621e76d6dec9f00804c53cbeaa3c9c5854d59,19162,19162,52352,4224,399793,38317,16782,0.016604711,0
df55981b5d5cc46e67fcb19d13847b424632405f/7e04a00131a3a88888752e3548f3c5140b996c85,19162,19162,17728,4224,248328,36592,16782,0.016520806,0
4cbc6f10822fd44225ab042473cd3a08ea46b6ce/df55981b5d5cc46e67fcb19d13847b424632405f,19162,19162,1472,4224,34282,49708,16782,0.028272574999999998,0
91d09d9282bab509f9510d50a22708c99600f872/4cbc6f10822fd44225ab042473cd3a08ea46b6ce,19162,19162,11264,5376,211749,36951,16782,0.016675203,0
5708344667f932e4acf70864ca85dfd32a71b05a/91d09d9282bab509f9510d50a22708c99600f872,19162,19162,8192,4608,134331,42090,16782,0.016658422000000003,0
1bc1bd24dfe5dc1bd4ea246934c6eb8a8e3e577a/5708344667f932e4acf70864ca85dfd32a71b05a,19162,19162,1472,4608,473743,231432,16782,0.021284401,0
6c8a2e1658c86e0aed72b0f618814d25aec2d836/1bc1bd24dfe5dc1bd4ea246934c6eb8a8e3e577a,19162,19162,11392,4608,649391,33769,16782,0.023949529,0
ce42394bbddc8c65395cfa7ff7a199a5bcd4ee0e/6c8a2e1658c86e0aed72b0f618814d25aec2d836,19162,19162,26176,4992,326425,36983,16782,0.017625819,0
7b37db9a62ff489a6b3a683f1888fb2fa0fcba06/ce42394bbddc8c65395cfa7ff7a199a5bcd4ee0e,19162,19162,29248,4992,278275,37231,16782,0.017172081999999998,0
edfcb30297f6b89d3af0be0afb98b394137ec950/7b37db9a62ff489a6b3a683f1888fb2fa0fcba06,19162,19162,50816,3456,434927,36665,16782,0.017330456,0
