input,src_s,dst_s,src_heap,dst_heap,src_t,dst_t,mappings,diff_t,changes
07cd8bcd938662e7de6e4cc324914328f10eaf0e/046bf8be251189452ad6b25bf9107a1a2167ce6f,1706409,1706409,3312,161834000,17473,2863051928,1378386,2.255683889,0
9db22922d53956096528548128e826afb401f413/07cd8bcd938662e7de6e4cc324914328f10eaf0e,1706409,1706409,1280,5376,31707,36354,1378386,2.261646968,0
c7bac9dba96269c655669007b3021a4d5232130f/9db22922d53956096528548128e826afb401f413,1706409,1706409,-4360,5376,59226655,34841,1378383,2.296838364,7
734011d311c3f2f0ba5cc1e106955eb1345698d7/c7bac9dba96269c655669007b3021a4d5232130f,1706409,1706409,0,5376,7588,35932,1378386,2.462427405,0
5f89c62a43c5ded48606d182e38a3a5231d1e549/734011d311c3f2f0ba5cc1e106955eb1345698d7,1706141,1706409,-9872,5376,8445924,35667,1378109,5.542562068,342
a35520dd3765bba2752bf35d4c281dcc95373894/5f89c62a43c5ded48606d182e38a3a5231d1e549,1706141,1706141,-7424,1856,127988214,78844,1378155,2.858621285,9
77ff6cb642fe5740c7786a25c9023f8a79a80fee/a35520dd3765bba2752bf35d4c281dcc95373894,1706141,1706141,-16320,5376,59643352,43350,1378155,2.383486742,7
16d76e579a989cbc569a1761ed12a848ec98f4a9/77ff6cb642fe5740c7786a25c9023f8a79a80fee,1706141,1706141,-30280,5376,76669202,57090,1378155,2.8362345120000003,7
29dcc78ecb2fe090526bbe947b8e00b21774a5f3/16d76e579a989cbc569a1761ed12a848ec98f4a9,1706141,1706141,0,5376,10027,44586,1378158,2.621199436,0
29f535765b9e83a2d39aa6df71d73cfff790d651/29dcc78ecb2fe090526bbe947b8e00b21774a5f3,1706141,1706141,-4944,5376,170727836,43381,1378155,6.170749042,16
10ebe0c7cb557af9b8566eb34ffe9f9cec63a03d/29f535765b9e83a2d39aa6df71d73cfff790d651,1706141,1706141,43600,5376,169189571,35787,1378155,6.262534234,16
6abaf07ad1b75817bd3af1ad75ad7bb70aa64e1b/10ebe0c7cb557af9b8566eb34ffe9f9cec63a03d,1706141,1706141,0,5376,8847,46285,1378158,2.602066787,0
733bbd304e8574e5f991f5cfee79ddfd64bea0b0/6abaf07ad1b75817bd3af1ad75ad7bb70aa64e1b,1706141,1706141,0,5376,10128,47039,1378158,2.4436682320000003,0
c8c5180cbd086f99290a2103ae361fcefda14027/733bbd304e8574e5f991f5cfee79ddfd64bea0b0,1706141,1706141,0,5376,9004,54492,1378158,2.619264803,0
3b123f25e55dc14e307918bf781320c9cb10ea9a/c8c5180cbd086f99290a2103ae361fcefda14027,1706141,1706141,-5696,5376,19051774,45526,1378155,4.063301604,7
910c4b71020aebbbcedee711b8b81f690736a2c1/3b123f25e55dc14e307918bf781320c9cb10ea9a,1706141,1706141,0,1696,11943,765598,1378158,2.780277893,0
691f97cb1e92c1b3642508c9a03cae9446005493/910c4b71020aebbbcedee711b8b81f690736a2c1,1706141,1706141,1280,5376,72672,56626,1378158,2.608472597,0
21eeb61d1e8a149194f5b48e322b3adf3c3619b6/691f97cb1e92c1b3642508c9a03cae9446005493,1706141,1706141,0,5376,8824,45637,1378158,2.742670833,0
0b892c233f9217abbef4706a5ceefeaf33edf894/21eeb61d1e8a149194f5b48e322b3adf3c3619b6,1706306,1706141,-18344,5376,2654257,49250,1378155,3.2810100199999996,166
9b9536fb54258ce64e64127906d2e178347cee4f/0b892c233f9217abbef4706a5ceefeaf33edf894,1706064,1706306,-45888,5376,1924466,40106,1378109,3.091253278,200
03cb6a8f639ff09e95f5b08b5bdac77f9d8ce174/9b9536fb54258ce64e64127906d2e178347cee4f,1706064,1706064,0,5376,8432,48580,1378112,2.756515364,0
78dbb1854a1e073111ed9548f382f593cbfc1bde/03cb6a8f639ff09e95f5b08b5bdac77f9d8ce174,1705409,1706064,-9472,5376,4843629,45214,1377551,3.097394233,578
1c804eafe1e69b5c4ff1e2c20de386e285b5bef8/78dbb1854a1e073111ed9548f382f593cbfc1bde,1705409,1705409,0,5376,8728,51627,1377561,2.586103589,0
79e4b5173de93d581fafddcafa863ae9d5bde56f/1c804eafe1e69b5c4ff1e2c20de386e285b5bef8,1705409,1705409,1280,5376,48143,51946,1377561,2.549956772,0
333177bbd943fb78dbaa4dade7250f38d5fe67fe/79e4b5173de93d581fafddcafa863ae9d5bde56f,1705409,1705409,1536,5376,9719,48162,1377561,2.415060058,0
c9987c9410a693b601c0d4a220d5e5a8d206561f/333177bbd943fb78dbaa4dade7250f38d5fe67fe,1704734,1705409,79008,5376,19687780,37764,1376227,7.17023133,2275
