input,src_s,dst_s,src_heap,dst_heap,src_t,dst_t,mappings,diff_t,changes
33091980ab325bcd001fad93129d74f0189c08e9/885f4733c413bdbb110946361247fbbd19f6bba9,1294823,1294823,24288,162523272,181278,3206261938,1023586,1.7982417659999999,0
31d31608c3fee7ef84c515e3d152ec58c48ad6d9/33091980ab325bcd001fad93129d74f0189c08e9,1294823,1294823,9216,4608,156060,50999,1023586,1.8021632250000001,0
22cd0c2f4b2c2b48027454cf99391ab976623375/31d31608c3fee7ef84c515e3d152ec58c48ad6d9,1294823,1294823,1280,4608,49798,51043,1023586,1.8241398229999999,0
04586a9a3bb80c1601244a291a5fe0a8fa24b97b/22cd0c2f4b2c2b48027454cf99391ab976623375,1294823,1294823,20480,4608,272969,52200,1023586,1.7775619669999998,0
4274fb8806c25519cac829d00b01132fe08c0cac/04586a9a3bb80c1601244a291a5fe0a8fa24b97b,1294823,1294823,18944,4608,779443,51072,1023586,1.786054466,0
320f88d54440e05228a90ef5663991e28ae07c95/4274fb8806c25519cac829d00b01132fe08c0cac,1294822,1294823,25320,4608,798835,50062,1023575,1.911739927,21
5d763eb63b67d4fee5972559ddfe0ff3e0e8e210/320f88d54440e05228a90ef5663991e28ae07c95,1294822,1294822,7552,4608,1035055,56043,1023585,1.819270473,0
78700d939c42404ce6bd420094e13a258875949b/5d763eb63b67d4fee5972559ddfe0ff3e0e8e210,1294822,1294822,12288,4608,176570,51380,1023585,1.833916471,0
e549c6fd22ac0d5a6df0d817212637c532b9a681/78700d939c42404ce6bd420094e13a258875949b,1294822,1294822,21248,4608,491446,64247,1023585,2.002735571,0
0085bfc8aca11de872f129804269973d4a33cd39/e549c6fd22ac0d5a6df0d817212637c532b9a681,1294822,1294822,12288,4608,193806,106945,1023585,1.8319633510000002,0
c0c1f35cd9279bc1a7a50119be72a297162a9b55/0085bfc8aca11de872f129804269973d4a33cd39,1294822,1294822,26624,4608,1276545,52215,1023585,1.8166251789999999,0
