 commit commit_after size_before size_after time_before time_after diff_t diff_size
 3f9629cb12c74d5e1dc85e094971c050ef91e3e6 5938727f9ffc0fee9eee5bead0d4459d310af22d 433252 433252 10334216413 16481461577 8247771716 0
 07ad30b465f0fb3f0265695b5432f633ecef26fd 3f9629cb12c74d5e1dc85e094971c050ef91e3e6 433252 433252 9912003762 10334216413 7853655622 0
 a02ecad6cfd1d37bc019ed5687400957dbeca034 07ad30b465f0fb3f0265695b5432f633ecef26fd 433252 433252 9627783401 9912003762 7573422563 0
 85ce7025f3dc560e5bf1a74d402330290288ba7e a02ecad6cfd1d37bc019ed5687400957dbeca034 433252 433252 10430537643 9627783401 7385023033 0
 b645b94db13c98be4635f660292d82331b8118bd 85ce7025f3dc560e5bf1a74d402330290288ba7e 433212 433252 9326413221 10430537643 9707696895 50
 afa5f5765785c14f6edee7844aa5e6dea49ed061 b645b94db13c98be4635f660292d82331b8118bd 433037 433212 9940353015 9326413221 10518897434 203
 f4a7182b45a11069088b32c27c7a68ae4dc824c6 afa5f5765785c14f6edee7844aa5e6dea49ed061 433037 433037 10550800238 9940353015 7236535041 0
 010ee5b6ac9b14cd23f8263b651971dd9b42f7ff f4a7182b45a11069088b32c27c7a68ae4dc824c6 433037 433037 10525880753 10550800238 7039503963 0
 0f765c1babf6aee0858173303c74cb2b20c23b93 010ee5b6ac9b14cd23f8263b651971dd9b42f7ff 433129 433037 10102046610 10525880753 9834270795 381
 commit commit_after size_before size_after time_before time_after diff_t diff_size
 3f9629cb12c74d5e1dc85e094971c050ef91e3e6 5938727f9ffc0fee9eee5bead0d4459d310af22d 433252 433252 11414559847 15762786777 8664673476 0
 07ad30b465f0fb3f0265695b5432f633ecef26fd 3f9629cb12c74d5e1dc85e094971c050ef91e3e6 433252 433252 9870947415 11414559847 7542088475 0
 a02ecad6cfd1d37bc019ed5687400957dbeca034 07ad30b465f0fb3f0265695b5432f633ecef26fd 433252 433252 9826406486 9870947415 6918549514 0
 85ce7025f3dc560e5bf1a74d402330290288ba7e a02ecad6cfd1d37bc019ed5687400957dbeca034 433252 433252 9708232020 9826406486 7122168328 0
 b645b94db13c98be4635f660292d82331b8118bd 85ce7025f3dc560e5bf1a74d402330290288ba7e 433212 433252 9356571794 9708232020 9546587459 50
 afa5f5765785c14f6edee7844aa5e6dea49ed061 b645b94db13c98be4635f660292d82331b8118bd 433037 433212 9899428201 9356571794 10083196329 203
 f4a7182b45a11069088b32c27c7a68ae4dc824c6 afa5f5765785c14f6edee7844aa5e6dea49ed061 433037 433037 9865026600 9899428201 7312251240 0
 010ee5b6ac9b14cd23f8263b651971dd9b42f7ff f4a7182b45a11069088b32c27c7a68ae4dc824c6 433037 433037 9819803384 9865026600 7137318636 0
 0f765c1babf6aee0858173303c74cb2b20c23b93 010ee5b6ac9b14cd23f8263b651971dd9b42f7ff 433129 433037 10026855310 9819803384 9925220915 381
