input,kind,src_s,dst_s,mappings,actions,prepare_topdown_t,topdown_t,prepare_bottomup_t,bottomup_t,prepare_gen_t,gen_t
a46b20d25f12dfb6af1d89c6bd8e39220cc8c928/0a7dfcc33217a2b3936ae129e7becfbbc0d944f8,java_gumtree,25038643,25038167,19794775,-1,0,26.590511993,0,43.412679183,0,0.000025211
a46b20d25f12dfb6af1d89c6bd8e39220cc8c928/0a7dfcc33217a2b3936ae129e7becfbbc0d944f8,gumtree_lazy,25038643,25038167,19794775,509,0.490162027,0.812999787,0,2.862434395,13.100275234,31.012657891
a46b20d25f12dfb6af1d89c6bd8e39220cc8c928/0a7dfcc33217a2b3936ae129e7becfbbc0d944f8,gumtree_not_lazy,25038643,25038167,19794775,509,9.513180746,14.426240097,0,1.372775265,4.011299139,28.724061191
a46b20d25f12dfb6af1d89c6bd8e39220cc8c928/0a7dfcc33217a2b3936ae129e7becfbbc0d944f8,gumtree_partial_lazy,25038643,25038167,19794775,509,0.474612753,0.700803993,7.5659852690000005,1.624508321,4.340623143,31.799319314
0a7dfcc33217a2b3936ae129e7becfbbc0d944f8/e76616f690a2e2a552a84ce48ec8fd18f56d1b98,java_gumtree,25038167,25038299,19794812,-1,0,28.239895084,0,19.126506624,0,0.000013896
0a7dfcc33217a2b3936ae129e7becfbbc0d944f8/e76616f690a2e2a552a84ce48ec8fd18f56d1b98,gumtree_lazy,25038167,25038299,19794812,199,0.498008391,0.729603613,0,3.997065475,12.380780759,32.102927159
0a7dfcc33217a2b3936ae129e7becfbbc0d944f8/e76616f690a2e2a552a84ce48ec8fd18f56d1b98,gumtree_not_lazy,25038167,25038299,19794812,199,10.318226084,12.771341488000001,0,3.295768121,4.424867647,30.765039721
0a7dfcc33217a2b3936ae129e7becfbbc0d944f8/e76616f690a2e2a552a84ce48ec8fd18f56d1b98,gumtree_partial_lazy,25038167,25038299,19794812,199,0.522693911,0.71162512,8.426001561,3.5090385790000003,4.605800053,30.965007303
e76616f690a2e2a552a84ce48ec8fd18f56d1b98/2fa540dca1104d999772b5b26f58406c40dec3a5,java_gumtree,25038299,25038299,19794970,-1,0,24.929743824,0,4.644279373,0,0.000012789
e76616f690a2e2a552a84ce48ec8fd18f56d1b98/2fa540dca1104d999772b5b26f58406c40dec3a5,gumtree_lazy,25038299,25038299,19794970,0,0.529876242,0.737116618,0,0.024416183,12.824685493,31.02861619
