input,kind,src_s,dst_s,mappings,actions,prepare_topdown_t,topdown_t,prepare_bottomup_t,bottomup_t,prepare_gen_t,gen_t
f79ea208b1a42d0ee9e921dcfb3694221a2037ed/463bb7d096d7ce0568302a75b67808b6be78daae,java_gumtree,360434,360434,281427,9,0,0.442023663,0,0.410988586,0,2.242680113
f79ea208b1a42d0ee9e921dcfb3694221a2037ed/463bb7d096d7ce0568302a75b67808b6be78daae,gumtree_lazy,360434,360434,281427,9,0.004765266,0.010618733,0,0.064712252,0.110980352,0.369871196
f79ea208b1a42d0ee9e921dcfb3694221a2037ed/463bb7d096d7ce0568302a75b67808b6be78daae,gumtree_not_lazy,360434,360434,281427,9,0.16541183,0.212320212,0,0.01890483,0.056374463,0.431620027
f79ea208b1a42d0ee9e921dcfb3694221a2037ed/463bb7d096d7ce0568302a75b67808b6be78daae,gumtree_partial_lazy,360434,360434,281427,9,0.00687847,0.01232297,0.118658727,0.017167773,0.047487886,0.344126565
463bb7d096d7ce0568302a75b67808b6be78daae/b2b1424582f973457e15f4eeba35cd3c0c0ed2b6,java_gumtree,360434,360434,281430,3,0,0.394314699,0,0.37909488,0,2.10345203
463bb7d096d7ce0568302a75b67808b6be78daae/b2b1424582f973457e15f4eeba35cd3c0c0ed2b6,gumtree_lazy,360434,360434,281430,3,0.004128524,0.009452236,0,0.283995623,0.124969919,0.307094657
463bb7d096d7ce0568302a75b67808b6be78daae/b2b1424582f973457e15f4eeba35cd3c0c0ed2b6,gumtree_not_lazy,360434,360434,281430,3,0.13446223,0.119712541,0,0.308235154,0.044781131,0.309328564
463bb7d096d7ce0568302a75b67808b6be78daae/b2b1424582f973457e15f4eeba35cd3c0c0ed2b6,gumtree_partial_lazy,360434,360434,281430,3,0.004656793,0.008807889,0.092628378,0.284705564,0.044413203,0.347344618
b2b1424582f973457e15f4eeba35cd3c0c0ed2b6/774c751a9ee026c6d7e4b0ca44dac6ad526de557,java_gumtree,360434,366223,281430,4588,0,0.425498918,0,1.120253973,0,1.794303472
b2b1424582f973457e15f4eeba35cd3c0c0ed2b6/774c751a9ee026c6d7e4b0ca44dac6ad526de557,gumtree_lazy,360434,366223,281430,4588,0.004922409,0.014019624,0,1.30947343,0.15367533,0.342158614
b2b1424582f973457e15f4eeba35cd3c0c0ed2b6/774c751a9ee026c6d7e4b0ca44dac6ad526de557,gumtree_not_lazy,360434,366223,281430,4588,0.142470924,0.134660151,0,1.405033872,0.048484223,0.305078502
b2b1424582f973457e15f4eeba35cd3c0c0ed2b6/774c751a9ee026c6d7e4b0ca44dac6ad526de557,gumtree_partial_lazy,360434,366223,281430,4588,0.003842771,0.014855618,0.150971383,1.46731911,0.051524734,0.385944486
774c751a9ee026c6d7e4b0ca44dac6ad526de557/49c75804c5a8964afa1aa3c6e6463bb792de4457,java_gumtree,366223,366223,286016,3,0,0.489338147,0,0.385782924,0,1.913531342
774c751a9ee026c6d7e4b0ca44dac6ad526de557/49c75804c5a8964afa1aa3c6e6463bb792de4457,gumtree_lazy,366223,366223,286016,3,0.004742936,0.010229801,0,0.350763164,0.182689487,0.371277269
774c751a9ee026c6d7e4b0ca44dac6ad526de557/49c75804c5a8964afa1aa3c6e6463bb792de4457,gumtree_not_lazy,366223,366223,286016,3,0.130178101,0.121059259,0,0.381736579,0.05733499,0.38718696
774c751a9ee026c6d7e4b0ca44dac6ad526de557/49c75804c5a8964afa1aa3c6e6463bb792de4457,gumtree_partial_lazy,366223,366223,286016,3,0.004191369,0.009247253,0.117860536,0.314883691,0.052584173,0.356288116
49c75804c5a8964afa1aa3c6e6463bb792de4457/bab0f5a1f7040389eb8fe0cb417ba1854e33dbd0,java_gumtree,366223,366223,286016,3,0,0.472432702,0,1.369968154,0,2.002795169
49c75804c5a8964afa1aa3c6e6463bb792de4457/bab0f5a1f7040389eb8fe0cb417ba1854e33dbd0,gumtree_lazy,366223,366223,286016,3,0.003886711,0.007749289,0,1.468990785,0.131784223,0.295635653
49c75804c5a8964afa1aa3c6e6463bb792de4457/bab0f5a1f7040389eb8fe0cb417ba1854e33dbd0,gumtree_not_lazy,366223,366223,286016,3,0.168719926,0.142283783,0,1.663247879,0.050084593,0.346637975
49c75804c5a8964afa1aa3c6e6463bb792de4457/bab0f5a1f7040389eb8fe0cb417ba1854e33dbd0,gumtree_partial_lazy,366223,366223,286016,3,0.004707345,0.009329687,0.105694505,1.7280303240000001,0.041028937,0.315025232
bab0f5a1f7040389eb8fe0cb417ba1854e33dbd0/d7f824119cd68f986fd5ed8a501007e6862f5081,java_gumtree,366223,366223,286016,3,0,0.555887637,0,1.355326403,0,1.870121074
bab0f5a1f7040389eb8fe0cb417ba1854e33dbd0/d7f824119cd68f986fd5ed8a501007e6862f5081,gumtree_lazy,366223,366223,286016,3,0.003893877,0.007758391,0,1.502381263,0.134195372,0.322031622
bab0f5a1f7040389eb8fe0cb417ba1854e33dbd0/d7f824119cd68f986fd5ed8a501007e6862f5081,gumtree_not_lazy,366223,366223,286016,3,0.131254059,0.129283379,0,1.4689394820000001,0.04219841,0.319807957
bab0f5a1f7040389eb8fe0cb417ba1854e33dbd0/d7f824119cd68f986fd5ed8a501007e6862f5081,gumtree_partial_lazy,366223,366223,286016,3,0.006357365,0.00827054,0.099850639,1.600503802,0.042992783,0.31560545
d7f824119cd68f986fd5ed8a501007e6862f5081/ba5f8f9e539c57874af260efda4eacf296e9ffa4,java_gumtree,366223,366223,286017,0,0,0.480710454,0,0.085908681,0,2.072101916
d7f824119cd68f986fd5ed8a501007e6862f5081/ba5f8f9e539c57874af260efda4eacf296e9ffa4,gumtree_lazy,366223,366223,286017,0,0.005793134,0.009915952,0,0.000353593,0.14200914,0.313141394
d7f824119cd68f986fd5ed8a501007e6862f5081/ba5f8f9e539c57874af260efda4eacf296e9ffa4,gumtree_not_lazy,366223,366223,286017,0,0.132430013,0.068400268,0,0.000396748,0.040306343,0.320499054
d7f824119cd68f986fd5ed8a501007e6862f5081/ba5f8f9e539c57874af260efda4eacf296e9ffa4,gumtree_partial_lazy,366223,366223,286017,0,0.003815353,0.009052694,0.095031403,0.00041264,0.041266424,0.425682184
ba5f8f9e539c57874af260efda4eacf296e9ffa4/91256532788aeee39d67087936be9bb458022c7a,java_gumtree,366223,366223,286016,3,0,0.465210209,0,0.716886424,0,2.142250087
ba5f8f9e539c57874af260efda4eacf296e9ffa4/91256532788aeee39d67087936be9bb458022c7a,gumtree_lazy,366223,366223,286016,3,0.004400095,0.009424727,0,0.7625015,0.14717285,0.334461138
ba5f8f9e539c57874af260efda4eacf296e9ffa4/91256532788aeee39d67087936be9bb458022c7a,gumtree_not_lazy,366223,366223,286016,3,0.219664441,0.145878722,0,0.789147644,0.052540472,0.379665163
ba5f8f9e539c57874af260efda4eacf296e9ffa4/91256532788aeee39d67087936be9bb458022c7a,gumtree_partial_lazy,366223,366223,286016,3,0.005177697,0.011269869,0.10940539,0.774966758,0.048429336,0.337830996
91256532788aeee39d67087936be9bb458022c7a/81bb6d1dec28ca135382e29e3eccffcc957726be,java_gumtree,366223,366223,286013,9,0,0.401959266,0,0.275603111,0,1.635872159
91256532788aeee39d67087936be9bb458022c7a/81bb6d1dec28ca135382e29e3eccffcc957726be,gumtree_lazy,366223,366223,286013,9,0.004832683,0.008646027,0,0.053348834,0.088106869,0.278711986
91256532788aeee39d67087936be9bb458022c7a/81bb6d1dec28ca135382e29e3eccffcc957726be,gumtree_not_lazy,366223,366223,286013,9,0.12636227,0.15017015,0,0.015391658,0.034898929,0.341356035
91256532788aeee39d67087936be9bb458022c7a/81bb6d1dec28ca135382e29e3eccffcc957726be,gumtree_partial_lazy,366223,366223,286013,9,0.00419702,0.009506843,0.093067804,0.018128551,0.040591451,0.3182294
81bb6d1dec28ca135382e29e3eccffcc957726be/b5343ba96ce0e24c77e7be0efdb111f6fdf999ec,java_gumtree,366223,366223,286017,0,0,0.377462581,0,0.05726568,0,1.7989502800000001
81bb6d1dec28ca135382e29e3eccffcc957726be/b5343ba96ce0e24c77e7be0efdb111f6fdf999ec,gumtree_lazy,366223,366223,286017,0,0.003813605,0.008804449,0,0.000351423,0.143550828,0.29737354
81bb6d1dec28ca135382e29e3eccffcc957726be/b5343ba96ce0e24c77e7be0efdb111f6fdf999ec,gumtree_not_lazy,366223,366223,286017,0,0.125103995,0.058717333,0,0.000399921,0.037235335,0.291792813
81bb6d1dec28ca135382e29e3eccffcc957726be/b5343ba96ce0e24c77e7be0efdb111f6fdf999ec,gumtree_partial_lazy,366223,366223,286017,0,0.005275417,0.008743628,0.091223177,0.000409971,0.03915259,0.305127141
b5343ba96ce0e24c77e7be0efdb111f6fdf999ec/7ee3e2787f45f5453b61a9af6c659993b4eba6d5,java_gumtree,366223,365884,285738,291,0,0.42014758,0,1.716984037,0,1.624131003
b5343ba96ce0e24c77e7be0efdb111f6fdf999ec/7ee3e2787f45f5453b61a9af6c659993b4eba6d5,gumtree_lazy,366223,365884,285738,291,0.004724871,0.00920725,0,0.115177522,0.087760401,0.285648787
b5343ba96ce0e24c77e7be0efdb111f6fdf999ec/7ee3e2787f45f5453b61a9af6c659993b4eba6d5,gumtree_not_lazy,366223,365884,285738,291,0.118061865,0.319034033,0,0.070767556,0.034997941,0.300813379
b5343ba96ce0e24c77e7be0efdb111f6fdf999ec/7ee3e2787f45f5453b61a9af6c659993b4eba6d5,gumtree_partial_lazy,366223,365884,285738,291,0.004112017,0.009069086,0.088089277,0.070622888,0.034009885,0.273627602
7ee3e2787f45f5453b61a9af6c659993b4eba6d5/49ddab9eeb6cbac686711deca6001d40e8d8500d,java_gumtree,365884,365768,285648,120,0,0.495431475,0,3.238165312,0,1.9143629359999998
7ee3e2787f45f5453b61a9af6c659993b4eba6d5/49ddab9eeb6cbac686711deca6001d40e8d8500d,gumtree_lazy,365884,365768,285648,120,0.004415453,0.00896089,0,2.407019901,0.080606375,0.281023657
7ee3e2787f45f5453b61a9af6c659993b4eba6d5/49ddab9eeb6cbac686711deca6001d40e8d8500d,gumtree_not_lazy,365884,365768,285648,120,0.119192217,0.255233332,0,2.50092873,0.036348428,0.296647671
7ee3e2787f45f5453b61a9af6c659993b4eba6d5/49ddab9eeb6cbac686711deca6001d40e8d8500d,gumtree_partial_lazy,365884,365768,285648,120,0.003940399,0.009412685,0.104945925,2.474371022,0.03501761,0.332141326
49ddab9eeb6cbac686711deca6001d40e8d8500d/d19e9fe0af6d335948547416e9685498405a8a9d,java_gumtree,365768,365546,285197,776,0,2.057870163,0,19.923565438,0,1.799428898
49ddab9eeb6cbac686711deca6001d40e8d8500d/d19e9fe0af6d335948547416e9685498405a8a9d,gumtree_lazy,365768,365546,285197,776,0.006084099,0.310285503,0,21.243348742,0.0901732,0.321455721
49ddab9eeb6cbac686711deca6001d40e8d8500d/d19e9fe0af6d335948547416e9685498405a8a9d,gumtree_not_lazy,365768,365546,285197,776,0.136591412,0.8305236,0,20.570795519,0.039876314,0.288280203
49ddab9eeb6cbac686711deca6001d40e8d8500d/d19e9fe0af6d335948547416e9685498405a8a9d,gumtree_partial_lazy,365768,365546,285197,776,0.003882952,0.27986666,0.08803856,21.18449136,0.047395292,0.317555902
d19e9fe0af6d335948547416e9685498405a8a9d/a0b102c7ff1c47c34d7629ebb6f4ff27837de7f7,java_gumtree,365546,365533,285484,19,0,0.4756751,0,0.370333456,0,1.86408878
d19e9fe0af6d335948547416e9685498405a8a9d/a0b102c7ff1c47c34d7629ebb6f4ff27837de7f7,gumtree_lazy,365546,365533,285484,19,0.004743207,0.009925492,0,0.08544678,0.110305212,0.341286353
d19e9fe0af6d335948547416e9685498405a8a9d/a0b102c7ff1c47c34d7629ebb6f4ff27837de7f7,gumtree_not_lazy,365546,365533,285484,19,0.142737653,0.212788566,0,0.04106226,0.052402523,0.356140811
d19e9fe0af6d335948547416e9685498405a8a9d/a0b102c7ff1c47c34d7629ebb6f4ff27837de7f7,gumtree_partial_lazy,365546,365533,285484,19,0.005709313,0.011351489,0.107445938,0.046986479,0.06077515,0.345123558
a0b102c7ff1c47c34d7629ebb6f4ff27837de7f7/241044d70912a34ec7326b7bf41a83b643d49f14,java_gumtree,365533,365533,285487,3,0,0.418227498,0,1.498699977,0,2.12552968
a0b102c7ff1c47c34d7629ebb6f4ff27837de7f7/241044d70912a34ec7326b7bf41a83b643d49f14,gumtree_lazy,365533,365533,285487,3,0.00395281,0.007445453,0,1.411672678,0.132890344,0.325996525
