input,kind,src_s,dst_s,mappings,actions,prepare_topdown_t,topdown_t,prepare_bottomup_t,bottomup_t,prepare_gen_t,gen_t
c2b846750dd2131d65aa25c8cf66bf3649b248f9/701263610a72725c9d32b4022f1d51b1344890d1,java_gumtree,4350188,4350210,3378655,-1,0,6.263107219,0,14.096090526,0,0.000016761
c2b846750dd2131d65aa25c8cf66bf3649b248f9/701263610a72725c9d32b4022f1d51b1344890d1,gumtree_lazy,4350188,4350210,3378655,99,0.077333811,0.297975591,0,12.817679004,1.078674703,4.353798771
c2b846750dd2131d65aa25c8cf66bf3649b248f9/701263610a72725c9d32b4022f1d51b1344890d1,gumtree_not_lazy,4350188,4350210,3378655,99,1.442332785,2.267967959,0,12.491630454,0.532467392,4.408454633
c2b846750dd2131d65aa25c8cf66bf3649b248f9/701263610a72725c9d32b4022f1d51b1344890d1,gumtree_partial_lazy,4350188,4350210,3378655,99,0.076851419,0.302976032,1.052322008,12.270391281,0.529476822,4.34230163
701263610a72725c9d32b4022f1d51b1344890d1/1ecc053e70d57a8da70bf23bf5293b2072337b09,java_gumtree,4350210,4350188,3378655,-1,0,5.417378876,0,13.002037974,0,0.000013179
701263610a72725c9d32b4022f1d51b1344890d1/1ecc053e70d57a8da70bf23bf5293b2072337b09,gumtree_lazy,4350210,4350188,3378655,99,0.078244069,0.304818052,0,12.862032351,1.08000218,4.417642622
701263610a72725c9d32b4022f1d51b1344890d1/1ecc053e70d57a8da70bf23bf5293b2072337b09,gumtree_not_lazy,4350210,4350188,3378655,99,1.420114518,2.20033054,0,12.381496069,0.539840684,4.441308785
701263610a72725c9d32b4022f1d51b1344890d1/1ecc053e70d57a8da70bf23bf5293b2072337b09,gumtree_partial_lazy,4350210,4350188,3378655,99,0.079396312,0.308517448,1.060828817,12.462269406,0.532572324,4.377622155
1ecc053e70d57a8da70bf23bf5293b2072337b09/cf8b7170505c2329b34ff1f8c0b76977a4d7c2c2,java_gumtree,4350188,4350097,3378586,-1,0,4.293325964,0,3.244264952,0,0.000008017
1ecc053e70d57a8da70bf23bf5293b2072337b09/cf8b7170505c2329b34ff1f8c0b76977a4d7c2c2,gumtree_lazy,4350188,4350097,3378586,93,0.078474469,0.106487434,0,0.759236126,1.491470565,4.382623592
1ecc053e70d57a8da70bf23bf5293b2072337b09/cf8b7170505c2329b34ff1f8c0b76977a4d7c2c2,gumtree_not_lazy,4350188,4350097,3378586,93,1.433041754,1.70588095,0,0.740163272,0.538935794,4.368364599
1ecc053e70d57a8da70bf23bf5293b2072337b09/cf8b7170505c2329b34ff1f8c0b76977a4d7c2c2,gumtree_partial_lazy,4350188,4350097,3378586,93,0.07948571,0.106599463,1.03642623,0.730132194,0.520774496,4.317923854
cf8b7170505c2329b34ff1f8c0b76977a4d7c2c2/a9cac5ee0b921deaa51758f038f9316ca821616a,java_gumtree,4350097,4349494,3378084,-1,0,4.784943055,0,6.575694878,0,0.000014456
cf8b7170505c2329b34ff1f8c0b76977a4d7c2c2/a9cac5ee0b921deaa51758f038f9316ca821616a,gumtree_lazy,4350097,4349494,3378084,544,0.07832806,0.108837486,0,0.560705694,1.503790357,4.756855261
cf8b7170505c2329b34ff1f8c0b76977a4d7c2c2/a9cac5ee0b921deaa51758f038f9316ca821616a,gumtree_not_lazy,4350097,4349494,3378084,544,1.440884473,2.076750658,0,0.501631403,0.527233792,4.423182128
