input,kind,src_s,dst_s,mappings,actions,prepare_topdown_t,topdown_t,prepare_bottomup_t,bottomup_t,prepare_gen_t,gen_t
885f4733c413bdbb110946361247fbbd19f6bba9/33091980ab325bcd001fad93129d74f0189c08e9,java_gumtree,1294823,1294823,1023586,0,0,1.235638187,0,0.140652545,0,9.92006036
885f4733c413bdbb110946361247fbbd19f6bba9/33091980ab325bcd001fad93129d74f0189c08e9,gumtree_lazy,1294823,1294823,1023586,0,0.024296323,0.035867772,0,0.001240713,0.44895611,1.077717309
885f4733c413bdbb110946361247fbbd19f6bba9/33091980ab325bcd001fad93129d74f0189c08e9,gumtree_not_lazy,1294823,1294823,1023586,0,0.427078417,0.224465553,0,0.001401962,0.144159878,1.084976124
885f4733c413bdbb110946361247fbbd19f6bba9/33091980ab325bcd001fad93129d74f0189c08e9,gumtree_partial_lazy,1294823,1294823,1023586,0,0.023077893,0.035906972,0.317003877,0.001427727,0.159889798,1.075622973
33091980ab325bcd001fad93129d74f0189c08e9/31d31608c3fee7ef84c515e3d152ec58c48ad6d9,gumtree_lazy,1294823,1294823,1023586,0,0.023023686,0.035851909,0,0.001213824,0.452233071,1.079819171
33091980ab325bcd001fad93129d74f0189c08e9/31d31608c3fee7ef84c515e3d152ec58c48ad6d9,gumtree_not_lazy,1294823,1294823,1023586,0,0.446943393,0.233528556,0,0.001392435,0.151795203,1.1537787
33091980ab325bcd001fad93129d74f0189c08e9/31d31608c3fee7ef84c515e3d152ec58c48ad6d9,gumtree_partial_lazy,1294823,1294823,1023586,0,0.024455965,0.036705635,0.320684542,0.001399629,0.143676871,1.08660012
31d31608c3fee7ef84c515e3d152ec58c48ad6d9/22cd0c2f4b2c2b48027454cf99391ab976623375,java_gumtree,1294823,1294823,1023586,0,0,1.330747278,0,0.166759021,0,10.594702827999999
31d31608c3fee7ef84c515e3d152ec58c48ad6d9/22cd0c2f4b2c2b48027454cf99391ab976623375,gumtree_lazy,1294823,1294823,1023586,0,0.020554258,0.035888962,0,0.001216635,0.474899688,1.153647054
31d31608c3fee7ef84c515e3d152ec58c48ad6d9/22cd0c2f4b2c2b48027454cf99391ab976623375,gumtree_not_lazy,1294823,1294823,1023586,0,0.476371781,0.236928634,0,0.001370325,0.156621775,1.127184736
31d31608c3fee7ef84c515e3d152ec58c48ad6d9/22cd0c2f4b2c2b48027454cf99391ab976623375,gumtree_partial_lazy,1294823,1294823,1023586,0,0.020871903,0.035866931,0.321548665,0.001401164,0.186331389,1.136366134
22cd0c2f4b2c2b48027454cf99391ab976623375/04586a9a3bb80c1601244a291a5fe0a8fa24b97b,java_gumtree,1294823,1294823,1023586,0,0,1.184881983,0,0.200864838,0,9.604676025
22cd0c2f4b2c2b48027454cf99391ab976623375/04586a9a3bb80c1601244a291a5fe0a8fa24b97b,gumtree_lazy,1294823,1294823,1023586,0,0.021899439,0.036471281,0,0.001211386,0.464543154,1.110776719
22cd0c2f4b2c2b48027454cf99391ab976623375/04586a9a3bb80c1601244a291a5fe0a8fa24b97b,gumtree_not_lazy,1294823,1294823,1023586,0,0.447427276,0.235416366,0,0.001350168,0.162134979,1.181772158
22cd0c2f4b2c2b48027454cf99391ab976623375/04586a9a3bb80c1601244a291a5fe0a8fa24b97b,gumtree_partial_lazy,1294823,1294823,1023586,0,0.023178603,0.03601215,0.324140707,0.001372693,0.16166984,1.128099604
04586a9a3bb80c1601244a291a5fe0a8fa24b97b/4274fb8806c25519cac829d00b01132fe08c0cac,java_gumtree,1294823,1294823,1023586,0,0,1.326723844,0,0.16403609,0,10.209144504
04586a9a3bb80c1601244a291a5fe0a8fa24b97b/4274fb8806c25519cac829d00b01132fe08c0cac,gumtree_lazy,1294823,1294823,1023586,0,0.024010989,0.037634923,0,0.001243648,0.501234543,1.2047415639999999
04586a9a3bb80c1601244a291a5fe0a8fa24b97b/4274fb8806c25519cac829d00b01132fe08c0cac,gumtree_not_lazy,1294823,1294823,1023586,0,0.450950571,0.253304837,0,0.001679988,0.155912682,1.174919985
04586a9a3bb80c1601244a291a5fe0a8fa24b97b/4274fb8806c25519cac829d00b01132fe08c0cac,gumtree_partial_lazy,1294823,1294823,1023586,0,0.019400796,0.036611884,0.322917295,0.001375796,0.148775842,1.122613225
4274fb8806c25519cac829d00b01132fe08c0cac/320f88d54440e05228a90ef5663991e28ae07c95,java_gumtree,1294823,1294822,1023575,21,0,1.251923976,0,1.6142384330000001,0,9.682858061
4274fb8806c25519cac829d00b01132fe08c0cac/320f88d54440e05228a90ef5663991e28ae07c95,gumtree_lazy,1294823,1294822,1023575,21,0.023087219,0.03367764,0,0.123906712,0.50140075,1.221383841
4274fb8806c25519cac829d00b01132fe08c0cac/320f88d54440e05228a90ef5663991e28ae07c95,gumtree_not_lazy,1294823,1294822,1023575,21,0.451601683,0.55695185,0,0.07003605,0.155027682,1.136427292
4274fb8806c25519cac829d00b01132fe08c0cac/320f88d54440e05228a90ef5663991e28ae07c95,gumtree_partial_lazy,1294823,1294822,1023575,21,0.020525949,0.034542246,0.32996753,0.072729015,0.168170133,1.22611511
320f88d54440e05228a90ef5663991e28ae07c95/5d763eb63b67d4fee5972559ddfe0ff3e0e8e210,java_gumtree,1294822,1294822,1023585,0,0,1.226210044,0,0.143776272,0,10.611504058
320f88d54440e05228a90ef5663991e28ae07c95/5d763eb63b67d4fee5972559ddfe0ff3e0e8e210,gumtree_lazy,1294822,1294822,1023585,0,0.021665522,0.03669038,0,0.001237845,0.489020672,1.202608501
320f88d54440e05228a90ef5663991e28ae07c95/5d763eb63b67d4fee5972559ddfe0ff3e0e8e210,gumtree_not_lazy,1294822,1294822,1023585,0,0.442627382,0.239214599,0,0.00139769,0.156998669,1.142042313
320f88d54440e05228a90ef5663991e28ae07c95/5d763eb63b67d4fee5972559ddfe0ff3e0e8e210,gumtree_partial_lazy,1294822,1294822,1023585,0,0.02303737,0.034783385,0.326330776,0.001406612,0.170334396,1.163636154
5d763eb63b67d4fee5972559ddfe0ff3e0e8e210/78700d939c42404ce6bd420094e13a258875949b,java_gumtree,1294822,1294822,1023585,0,0,1.5315420789999998,0,0.243543284,0,10.806347745
5d763eb63b67d4fee5972559ddfe0ff3e0e8e210/78700d939c42404ce6bd420094e13a258875949b,gumtree_lazy,1294822,1294822,1023585,0,0.021159117,0.040108345,0,0.001934394,0.497831019,1.23514774
5d763eb63b67d4fee5972559ddfe0ff3e0e8e210/78700d939c42404ce6bd420094e13a258875949b,gumtree_not_lazy,1294822,1294822,1023585,0,0.450909874,0.250231903,0,0.001377348,0.156484659,1.1935282
5d763eb63b67d4fee5972559ddfe0ff3e0e8e210/78700d939c42404ce6bd420094e13a258875949b,gumtree_partial_lazy,1294822,1294822,1023585,0,0.020525359,0.03594897,0.342765216,0.001404861,0.173268597,1.254627477
78700d939c42404ce6bd420094e13a258875949b/e549c6fd22ac0d5a6df0d817212637c532b9a681,java_gumtree,1294822,1294822,1023585,0,0,1.358339595,0,0.183360162,0,10.448242436
78700d939c42404ce6bd420094e13a258875949b/e549c6fd22ac0d5a6df0d817212637c532b9a681,gumtree_lazy,1294822,1294822,1023585,0,0.019357944,0.035461903,0,0.001247503,0.485066357,1.26172885
78700d939c42404ce6bd420094e13a258875949b/e549c6fd22ac0d5a6df0d817212637c532b9a681,gumtree_not_lazy,1294822,1294822,1023585,0,0.497695568,0.256864603,0,0.00164087,0.253435722,1.197429993
78700d939c42404ce6bd420094e13a258875949b/e549c6fd22ac0d5a6df0d817212637c532b9a681,gumtree_partial_lazy,1294822,1294822,1023585,0,0.019249476,0.035115872,0.325075758,0.001409274,0.170139497,1.117215056
e549c6fd22ac0d5a6df0d817212637c532b9a681/0085bfc8aca11de872f129804269973d4a33cd39,gumtree_lazy,1294822,1294822,1023585,0,0.022072304,0.03533366,0,0.001301703,0.468783995,1.168415775
