input,kind,src_s,dst_s,mappings,actions,prepare_topdown_t,topdown_t,prepare_bottomup_t,bottomup_t,prepare_gen_t,gen_t
d67338a140bf1b744d95a514b82824bba5b16105/995132de7af5fb539f63e0de3bfc1d22aeeead95,java_gumtree,19707929,19707161,15679195,-1,0,23.602430303,0,73.299125719,0,0.00001158
d67338a140bf1b744d95a514b82824bba5b16105/995132de7af5fb539f63e0de3bfc1d22aeeead95,gumtree_lazy,19707929,19707161,15679195,831,0.376148854,0.54173878,0,4.197308661,7.694649089,21.662519812
d67338a140bf1b744d95a514b82824bba5b16105/995132de7af5fb539f63e0de3bfc1d22aeeead95,gumtree_not_lazy,19707929,19707161,15679195,831,7.465980632,14.601661723,0,3.6359946340000002,3.117384886,23.425386228
d67338a140bf1b744d95a514b82824bba5b16105/995132de7af5fb539f63e0de3bfc1d22aeeead95,gumtree_partial_lazy,19707929,19707161,15679195,831,0.381107294,0.543364711,5.508265291,3.632928786,3.010709615,21.805404122
995132de7af5fb539f63e0de3bfc1d22aeeead95/8d006224d209c981c563ef6625bc6f617d40684a,java_gumtree,19707161,19707188,15679195,-1,0,20.188298067,0,49.505878068,0,0.000011828
995132de7af5fb539f63e0de3bfc1d22aeeead95/8d006224d209c981c563ef6625bc6f617d40684a,gumtree_lazy,19707161,19707188,15679195,269,0.377215372,0.523095492,0,2.630929693,8.250228132,23.719689499
995132de7af5fb539f63e0de3bfc1d22aeeead95/8d006224d209c981c563ef6625bc6f617d40684a,gumtree_not_lazy,19707161,19707188,15679195,269,7.628938398,13.585599537,0,2.053539652,3.478132486,24.176092671
995132de7af5fb539f63e0de3bfc1d22aeeead95/8d006224d209c981c563ef6625bc6f617d40684a,gumtree_partial_lazy,19707161,19707188,15679195,269,0.389977336,0.564286567,6.161898856,1.9533752949999998,3.345502514,23.744167781
8d006224d209c981c563ef6625bc6f617d40684a/ad2e3afd9df1a2fa140caca5752d782e904eb0c5,java_gumtree,19707188,19706974,15679103,-1,0,23.018409562,0,43.57006318,0,0.000013978
8d006224d209c981c563ef6625bc6f617d40684a/ad2e3afd9df1a2fa140caca5752d782e904eb0c5,gumtree_lazy,19707188,19706974,15679103,275,0.437230115,0.619042886,0,5.771138736,9.4510345,24.199099738
8d006224d209c981c563ef6625bc6f617d40684a/ad2e3afd9df1a2fa140caca5752d782e904eb0c5,gumtree_not_lazy,19707188,19706974,15679103,275,8.015852,13.524101471,0,4.796531494,3.5234351090000002,23.910484024
8d006224d209c981c563ef6625bc6f617d40684a/ad2e3afd9df1a2fa140caca5752d782e904eb0c5,gumtree_partial_lazy,19707188,19706974,15679103,275,0.419794554,0.556444925,6.10834153,4.825868504,3.617481369,25.050272439
ad2e3afd9df1a2fa140caca5752d782e904eb0c5/2560af03f913ae11bee936067404774f78fb5f13,java_gumtree,19706974,19706954,15679104,-1,0,21.823101641,0,49.052123458,0,0.000011725
