input,kind,src_s,dst_s,mappings,actions,prepare_topdown_t,topdown_t,prepare_bottomup_t,bottomup_t,prepare_gen_t,gen_t
be2b7f890d98af20eb0753650b6605a68a97ac05/c99028b9fb67158edc9f202ff8a178c9465430ba,java_gumtree,1239966,1239579,931466,506,0,1.310529051,0,5.109943331,0,8.810014525
be2b7f890d98af20eb0753650b6605a68a97ac05/c99028b9fb67158edc9f202ff8a178c9465430ba,gumtree_lazy,1239966,1239579,931466,506,0.017663528,0.037745408,0,2.109669182,0.374692418,1.081999815
be2b7f890d98af20eb0753650b6605a68a97ac05/c99028b9fb67158edc9f202ff8a178c9465430ba,gumtree_not_lazy,1239966,1239579,931466,506,0.404073018,0.830687291,0,2.021311217,0.152851399,1.064466783
be2b7f890d98af20eb0753650b6605a68a97ac05/c99028b9fb67158edc9f202ff8a178c9465430ba,gumtree_partial_lazy,1239966,1239579,931466,506,0.022285724,0.037618561,0.291286298,2.055626479,0.151951053,1.023644781
c99028b9fb67158edc9f202ff8a178c9465430ba/bdb35f2deb01148eb56edc49f1c21ee0ffd6d694,java_gumtree,1239579,1238403,930705,888,0,1.138560323,0,5.317984546,0,9.664030928
c99028b9fb67158edc9f202ff8a178c9465430ba/bdb35f2deb01148eb56edc49f1c21ee0ffd6d694,gumtree_lazy,1239579,1238403,930705,888,0.021296544,0.032366949,0,2.384850379,0.37980851,1.044947775
c99028b9fb67158edc9f202ff8a178c9465430ba/bdb35f2deb01148eb56edc49f1c21ee0ffd6d694,gumtree_not_lazy,1239579,1238403,930705,888,0.398615371,0.808153833,0,2.514482713,0.154047325,1.082963925
c99028b9fb67158edc9f202ff8a178c9465430ba/bdb35f2deb01148eb56edc49f1c21ee0ffd6d694,gumtree_partial_lazy,1239579,1238403,930705,888,0.01976759,0.033309839,0.294446169,2.378083907,0.142699697,0.966950493
bdb35f2deb01148eb56edc49f1c21ee0ffd6d694/d14bb3b8d34723cadd139bc4e5c3e3efdfbf68b8,java_gumtree,1238403,1237221,929770,989,0,1.184040094,0,5.562061681,0,8.673191831
bdb35f2deb01148eb56edc49f1c21ee0ffd6d694/d14bb3b8d34723cadd139bc4e5c3e3efdfbf68b8,gumtree_lazy,1238403,1237221,929770,989,0.022324454,0.034304789,0,1.202754288,0.376701845,1.215078165
bdb35f2deb01148eb56edc49f1c21ee0ffd6d694/d14bb3b8d34723cadd139bc4e5c3e3efdfbf68b8,gumtree_not_lazy,1238403,1237221,929770,989,0.407951535,0.903625058,0,1.136769338,0.157386459,1.070900511
bdb35f2deb01148eb56edc49f1c21ee0ffd6d694/d14bb3b8d34723cadd139bc4e5c3e3efdfbf68b8,gumtree_partial_lazy,1238403,1237221,929770,989,0.019987707,0.033494263,0.295923499,1.141494503,0.151219387,1.04484887
d14bb3b8d34723cadd139bc4e5c3e3efdfbf68b8/896c707d324330d7d4ad92674187923945efcda9,java_gumtree,1237221,1237221,929794,33,0,1.368379298,0,0.19954368,0,9.586971611
d14bb3b8d34723cadd139bc4e5c3e3efdfbf68b8/896c707d324330d7d4ad92674187923945efcda9,gumtree_lazy,1237221,1237221,929794,33,0.022456365,0.031726002,0,0.003517514,0.507076088,1.126776061
d14bb3b8d34723cadd139bc4e5c3e3efdfbf68b8/896c707d324330d7d4ad92674187923945efcda9,gumtree_not_lazy,1237221,1237221,929794,33,0.472964081,0.468810201,0,0.002830602,0.178477595,1.128049827
d14bb3b8d34723cadd139bc4e5c3e3efdfbf68b8/896c707d324330d7d4ad92674187923945efcda9,gumtree_partial_lazy,1237221,1237221,929794,33,0.020602857,0.031636599,0.339371759,0.002719744,0.179865095,1.087742708
896c707d324330d7d4ad92674187923945efcda9/d92538b80f302fc40530468efe7ca7bf63b7ba52,java_gumtree,1237221,1237406,928904,2064,0,1.367648905,0,12.292307907,0,9.663779712
896c707d324330d7d4ad92674187923945efcda9/d92538b80f302fc40530468efe7ca7bf63b7ba52,gumtree_lazy,1237221,1237406,928904,2064,0.019903206,0.116530273,0,4.3411934070000004,0.353298893,1.058757448
896c707d324330d7d4ad92674187923945efcda9/d92538b80f302fc40530468efe7ca7bf63b7ba52,gumtree_not_lazy,1237221,1237406,928904,2064,0.447752738,1.059373585,0,4.142029868,0.187095733,1.161380511
896c707d324330d7d4ad92674187923945efcda9/d92538b80f302fc40530468efe7ca7bf63b7ba52,gumtree_partial_lazy,1237221,1237406,928904,2064,0.018983451,0.11521548,0.310676089,4.468085216,0.183065081,1.134050508
d92538b80f302fc40530468efe7ca7bf63b7ba52/e85ff889b333b82da20b988fbb42bdbfdb814545,java_gumtree,1237406,1237434,929861,28,0,1.324796646,0,5.2430368529999996,0,10.293285129
d92538b80f302fc40530468efe7ca7bf63b7ba52/e85ff889b333b82da20b988fbb42bdbfdb814545,gumtree_lazy,1237406,1237434,929861,28,0.020351124,0.031442984,0,1.76117326,0.488365223,1.065190521
d92538b80f302fc40530468efe7ca7bf63b7ba52/e85ff889b333b82da20b988fbb42bdbfdb814545,gumtree_not_lazy,1237406,1237434,929861,28,0.442650429,0.873235125,0,1.8029593259999999,0.16359155,1.068018943
d92538b80f302fc40530468efe7ca7bf63b7ba52/e85ff889b333b82da20b988fbb42bdbfdb814545,gumtree_partial_lazy,1237406,1237434,929861,28,0.01774779,0.030340171,0.311900169,1.7105641729999999,0.16613797,1.095137975
e85ff889b333b82da20b988fbb42bdbfdb814545/31193cbf0c93205a63c8c7b372b09200f60e69f4,java_gumtree,1237434,1237434,929877,15,0,1.326295968,0,0.294298618,0,9.809714355
e85ff889b333b82da20b988fbb42bdbfdb814545/31193cbf0c93205a63c8c7b372b09200f60e69f4,gumtree_lazy,1237434,1237434,929877,15,0.021868608,0.029611309,0,0.038543004,0.461997111,1.09408037
e85ff889b333b82da20b988fbb42bdbfdb814545/31193cbf0c93205a63c8c7b372b09200f60e69f4,gumtree_not_lazy,1237434,1237434,929877,15,0.465396222,0.469780918,0,0.041634403,0.204765866,1.256851373
e85ff889b333b82da20b988fbb42bdbfdb814545/31193cbf0c93205a63c8c7b372b09200f60e69f4,gumtree_partial_lazy,1237434,1237434,929877,15,0.018697079,0.03567981,0.310241244,0.039747898,0.175178555,1.149447758
31193cbf0c93205a63c8c7b372b09200f60e69f4/7c79e634ce2f11b2601d463655fae82c13b8e677,java_gumtree,1237434,1237389,929833,66,0,1.208609564,0,4.784172816,0,9.346611554
31193cbf0c93205a63c8c7b372b09200f60e69f4/7c79e634ce2f11b2601d463655fae82c13b8e677,gumtree_lazy,1237434,1237389,929833,66,0.021930965,0.037289549,0,0.786788074,0.488194156,1.215353616
