input,kind,src_s,dst_s,mappings,actions,prepare_topdown_t,topdown_t,prepare_bottomup_t,bottomup_t,prepare_gen_t,gen_t
f56b5d895f97f4cc3bd787c600a3ee67ba56d4db/7bd661dc4c9d4b1ecf4c9caf85386829bcd5e147,gumtree_lazy,2424171,2424171,1849128,1,0.044739268,0.066698352,0,0.00362684,0.877759033,2.421482958
f56b5d895f97f4cc3bd787c600a3ee67ba56d4db/7bd661dc4c9d4b1ecf4c9caf85386829bcd5e147,gumtree_not_lazy,2424171,2424171,1849128,1,0.828105968,0.869011011,0,0.003016436,0.314193568,2.6629640119999998
f56b5d895f97f4cc3bd787c600a3ee67ba56d4db/7bd661dc4c9d4b1ecf4c9caf85386829bcd5e147,gumtree_partial_lazy,2424171,2424171,1849128,1,0.050698748,0.080023851,0.60051778,0.002948868,0.334366777,2.484602008
7bd661dc4c9d4b1ecf4c9caf85386829bcd5e147/9c9e855d23519caa7d846fb1d309bf22e7ca10f5,gumtree_lazy,2424171,2424171,1849128,1,0.045323605,0.06961099,0,0.004210311,0.920980104,2.718894099
7bd661dc4c9d4b1ecf4c9caf85386829bcd5e147/9c9e855d23519caa7d846fb1d309bf22e7ca10f5,gumtree_not_lazy,2424171,2424171,1849128,1,0.842358788,0.852989769,0,0.00388798,0.325552138,2.796311201
7bd661dc4c9d4b1ecf4c9caf85386829bcd5e147/9c9e855d23519caa7d846fb1d309bf22e7ca10f5,gumtree_partial_lazy,2424171,2424171,1849128,1,0.046285922,0.069874201,0.710671077,0.003857028,0.329441663,2.754515984
9c9e855d23519caa7d846fb1d309bf22e7ca10f5/a73bf2506b0855eece996bd290c9382b5ffbd0a9,gumtree_lazy,2424171,2423557,1848626,523,0.047457336,0.080776933,0,1.299435628,0.664262951,2.998451865
9c9e855d23519caa7d846fb1d309bf22e7ca10f5/a73bf2506b0855eece996bd290c9382b5ffbd0a9,gumtree_not_lazy,2424171,2423557,1848626,523,0.82610733,3.399037257,0,0.873968535,0.321145411,2.715238819
9c9e855d23519caa7d846fb1d309bf22e7ca10f5/a73bf2506b0855eece996bd290c9382b5ffbd0a9,gumtree_partial_lazy,2424171,2423557,1848626,523,0.0451346,0.075019425,0.605096347,0.839589877,0.316433763,2.845244487
a73bf2506b0855eece996bd290c9382b5ffbd0a9/514d42123309d69ff7b4b691cb56d1660e75edfb,gumtree_lazy,2423557,2424171,1848626,524,0.04933622,0.092669537,0,1.370913071,0.749146965,3.297214236
a73bf2506b0855eece996bd290c9382b5ffbd0a9/514d42123309d69ff7b4b691cb56d1660e75edfb,gumtree_not_lazy,2423557,2424171,1848626,524,1.013589858,4.060812643,0,0.966489958,0.37847899,3.245532806
a73bf2506b0855eece996bd290c9382b5ffbd0a9/514d42123309d69ff7b4b691cb56d1660e75edfb,gumtree_partial_lazy,2423557,2424171,1848626,524,0.050298414,0.083501366,0.695040341,1.182619938,0.381234251,3.057951913
514d42123309d69ff7b4b691cb56d1660e75edfb/39bc3cb12a982d0225521e6f1d10bd01bd9a2575,gumtree_lazy,2424171,2423735,1848775,363,0.051997258,0.081911257,0,1.368622995,0.729175922,3.148597413
514d42123309d69ff7b4b691cb56d1660e75edfb/39bc3cb12a982d0225521e6f1d10bd01bd9a2575,gumtree_not_lazy,2424171,2423735,1848775,363,0.956957851,4.134295524,0,1.13381611,0.468519745,3.205782725
514d42123309d69ff7b4b691cb56d1660e75edfb/39bc3cb12a982d0225521e6f1d10bd01bd9a2575,gumtree_partial_lazy,2424171,2423735,1848775,363,0.051458169,0.081698716,0.777649655,1.184056095,0.421086369,3.452032515
39bc3cb12a982d0225521e6f1d10bd01bd9a2575/aa71e753d8473830da9f5ff9460ebdf4b4e0ee5b,gumtree_lazy,2423735,2423993,1848636,507,0.044702709,0.074986573,0,1.157205379,0.658565051,3.142190434
39bc3cb12a982d0225521e6f1d10bd01bd9a2575/aa71e753d8473830da9f5ff9460ebdf4b4e0ee5b,gumtree_not_lazy,2423735,2423993,1848636,507,0.87370392,3.671972432,0,0.86500562,0.318766167,3.202449427
39bc3cb12a982d0225521e6f1d10bd01bd9a2575/aa71e753d8473830da9f5ff9460ebdf4b4e0ee5b,gumtree_partial_lazy,2423735,2423993,1848636,507,0.053204919,0.085922219,0.735021232,0.931268535,0.339364833,2.980489849
aa71e753d8473830da9f5ff9460ebdf4b4e0ee5b/e14b1e4a2c8d55ccc6b7d3c57dd172b4176988d2,gumtree_lazy,2423993,2423557,1848637,363,0.047314339,0.07605298,0,1.249152944,0.667025994,2.847866359
aa71e753d8473830da9f5ff9460ebdf4b4e0ee5b/e14b1e4a2c8d55ccc6b7d3c57dd172b4176988d2,gumtree_not_lazy,2423993,2423557,1848637,363,0.869334359,4.146566247,0,1.02313008,0.372194872,2.845152326
aa71e753d8473830da9f5ff9460ebdf4b4e0ee5b/e14b1e4a2c8d55ccc6b7d3c57dd172b4176988d2,gumtree_partial_lazy,2423993,2423557,1848637,363,0.04513985,0.074270215,0.613783898,0.908193758,0.373602914,2.784604133
e14b1e4a2c8d55ccc6b7d3c57dd172b4176988d2/6841ca79104f6b78179e44b56ae9a033b8131c70,gumtree_lazy,2423557,2423557,1848646,0,0.046026995,0.06950642,0,0.002236839,1.018746759,2.975871689
e14b1e4a2c8d55ccc6b7d3c57dd172b4176988d2/6841ca79104f6b78179e44b56ae9a033b8131c70,gumtree_not_lazy,2423557,2423557,1848646,0,0.902160315,0.487424292,0,0.002597201,0.400594252,2.845481955
e14b1e4a2c8d55ccc6b7d3c57dd172b4176988d2/6841ca79104f6b78179e44b56ae9a033b8131c70,gumtree_partial_lazy,2423557,2423557,1848646,0,0.048488007,0.073068037,0.616229108,0.002513362,0.325512482,2.82246856
6841ca79104f6b78179e44b56ae9a033b8131c70/6460f65759694488446a51e79f74c742290fc13e,gumtree_lazy,2423557,2423558,1848628,37,0.045567632,0.071168399,0,0.668618372,0.667279458,2.739792078
6841ca79104f6b78179e44b56ae9a033b8131c70/6460f65759694488446a51e79f74c742290fc13e,gumtree_not_lazy,2423557,2423558,1848628,37,0.877408882,1.898827933,0,0.340796811,0.330388803,2.931832113
