input,kind,src_s,dst_s,mappings,actions,prepare_topdown_t,topdown_t,prepare_bottomup_t,bottomup_t,prepare_gen_t,gen_t
ebfc8945a5dd77b617f4667647ed4b740323acc8/5be42b2cfeb5c1dde1ee5b4e7a0fb476083ad568,gumtree_lazy,2838375,2838375,2218461,0,0.050928786,0.077319314,0,0.002641412,0.961749277,2.325699205
ebfc8945a5dd77b617f4667647ed4b740323acc8/5be42b2cfeb5c1dde1ee5b4e7a0fb476083ad568,gumtree_not_lazy,2838375,2838375,2218461,0,0.894479692,0.467796338,0,0.002778208,0.315330029,2.3531577390000002
ebfc8945a5dd77b617f4667647ed4b740323acc8/5be42b2cfeb5c1dde1ee5b4e7a0fb476083ad568,gumtree_partial_lazy,2838375,2838375,2218461,0,0.052586297,0.077253051,0.6672753,0.0029187,0.325731218,2.360469723
5be42b2cfeb5c1dde1ee5b4e7a0fb476083ad568/fb836829414ffb2eba183fd7a9fbbc0b3fae8721,java_gumtree,2838375,2838040,2218203,265,0,2.50151708,0,22.054248775,0,41.426816339
5be42b2cfeb5c1dde1ee5b4e7a0fb476083ad568/fb836829414ffb2eba183fd7a9fbbc0b3fae8721,gumtree_lazy,2838375,2838040,2218203,265,0.053227716,0.073405152,0,5.048121461,0.817100356,2.453043654
5be42b2cfeb5c1dde1ee5b4e7a0fb476083ad568/fb836829414ffb2eba183fd7a9fbbc0b3fae8721,gumtree_not_lazy,2838375,2838040,2218203,265,0.93243329,2.572003293,0,5.044595723,0.343544211,2.653055796
5be42b2cfeb5c1dde1ee5b4e7a0fb476083ad568/fb836829414ffb2eba183fd7a9fbbc0b3fae8721,gumtree_partial_lazy,2838375,2838040,2218203,265,0.053409429,0.07480823,0.7090684,5.089429445,0.382964023,2.496706044
fb836829414ffb2eba183fd7a9fbbc0b3fae8721/9fb2f4b033889f4c358c6f5420b036678e10f8cd,gumtree_lazy,2838040,2838040,2218208,0,0.052223226,0.078205264,0,0.002647866,1.042316159,2.522468671
fb836829414ffb2eba183fd7a9fbbc0b3fae8721/9fb2f4b033889f4c358c6f5420b036678e10f8cd,gumtree_not_lazy,2838040,2838040,2218208,0,0.989405687,0.495839227,0,0.002987193,0.339884269,2.659261028
fb836829414ffb2eba183fd7a9fbbc0b3fae8721/9fb2f4b033889f4c358c6f5420b036678e10f8cd,gumtree_partial_lazy,2838040,2838040,2218208,0,0.053511732,0.078675791,0.704385356,0.002985642,0.382873736,2.5924153580000002
9fb2f4b033889f4c358c6f5420b036678e10f8cd/dfc215713abbd211e60a81074f177f49bbd9e406,gumtree_lazy,2838040,2838040,2218208,0,0.05412797,0.081363539,0,0.002685503,1.118972539,2.520793615
9fb2f4b033889f4c358c6f5420b036678e10f8cd/dfc215713abbd211e60a81074f177f49bbd9e406,gumtree_not_lazy,2838040,2838040,2218208,0,0.995476449,0.536781452,0,0.003291503,0.365802276,2.669110397
9fb2f4b033889f4c358c6f5420b036678e10f8cd/dfc215713abbd211e60a81074f177f49bbd9e406,gumtree_partial_lazy,2838040,2838040,2218208,0,0.053666018,0.079268911,0.742378629,0.003171062,0.394910735,2.788477603
dfc215713abbd211e60a81074f177f49bbd9e406/7f0e350fe8aba6b5eaa33ff2bcb6e682955b0ad9,java_gumtree,2838040,2836075,2216342,2119,0,2.971821196,0,6.085476901,0,43.997399379
