input,kind,src_s,dst_s,mappings,actions,prepare_topdown_t,topdown_t,prepare_bottomup_t,bottomup_t,prepare_gen_t,gen_t
ee73f4376aa929d8dce950202fabb8992a77c9fb/61a97da5efdd8a8e028cee7977bbbf42f525c4d8,gumtree_lazy,2041920,2041920,1657509,0,0.040187772,0.059646933,0,0.002001873,0.846751892,1.945657875
ee73f4376aa929d8dce950202fabb8992a77c9fb/61a97da5efdd8a8e028cee7977bbbf42f525c4d8,gumtree_not_lazy,2041920,2041920,1657509,0,0.787424998,0.424359456,0,0.002261825,0.321549035,2.078505289
ee73f4376aa929d8dce950202fabb8992a77c9fb/61a97da5efdd8a8e028cee7977bbbf42f525c4d8,gumtree_partial_lazy,2041920,2041920,1657509,0,0.038110827,0.060619379,0.581128347,0.002518373,0.297800712,2.021875374
61a97da5efdd8a8e028cee7977bbbf42f525c4d8/c07e6804a5fcea43b489870944c8948f5e699c49,gumtree_lazy,2041920,2041920,1657509,0,0.035858724,0.059551465,0,0.002004638,0.955448183,1.984175078
61a97da5efdd8a8e028cee7977bbbf42f525c4d8/c07e6804a5fcea43b489870944c8948f5e699c49,gumtree_not_lazy,2041920,2041920,1657509,0,0.894866558,0.448328841,0,0.002475457,0.313954046,2.196091778
61a97da5efdd8a8e028cee7977bbbf42f525c4d8/c07e6804a5fcea43b489870944c8948f5e699c49,gumtree_partial_lazy,2041920,2041920,1657509,0,0.04047586,0.059185952,0.617071032,0.002277443,0.297383091,2.036411593
c07e6804a5fcea43b489870944c8948f5e699c49/72e73bb13d23b3fd21da7f257d20a698c7eeb10e,gumtree_lazy,2041920,2041920,1657509,0,0.037703847,0.060663368,0,0.001999918,0.876257233,2.001027056
c07e6804a5fcea43b489870944c8948f5e699c49/72e73bb13d23b3fd21da7f257d20a698c7eeb10e,gumtree_not_lazy,2041920,2041920,1657509,0,0.808702124,0.44460954,0,0.00226327,0.334183351,2.154486979
c07e6804a5fcea43b489870944c8948f5e699c49/72e73bb13d23b3fd21da7f257d20a698c7eeb10e,gumtree_partial_lazy,2041920,2041920,1657509,0,0.036038008,0.061922367,0.565807205,0.002273239,0.30693042,1.9842816330000002
72e73bb13d23b3fd21da7f257d20a698c7eeb10e/c7a226484703ea7ccc385590ea433fe6c2e79cd2,gumtree_lazy,2041920,2041920,1657509,0,0.037721816,0.057813771,0,0.002014426,0.834789673,1.960916281
72e73bb13d23b3fd21da7f257d20a698c7eeb10e/c7a226484703ea7ccc385590ea433fe6c2e79cd2,gumtree_not_lazy,2041920,2041920,1657509,0,0.775265354,0.438830182,0,0.003070258,0.302873929,2.049066541
72e73bb13d23b3fd21da7f257d20a698c7eeb10e/c7a226484703ea7ccc385590ea433fe6c2e79cd2,gumtree_partial_lazy,2041920,2041920,1657509,0,0.037777731,0.058451132,0.554786354,0.002273263,0.327307676,1.9873174219999998
c7a226484703ea7ccc385590ea433fe6c2e79cd2/b57e4991649a8382d8cd8bfe55fbbf63a832627d,gumtree_lazy,2041920,2041920,1657506,7,0.041282071,0.060352451,0,0.827600464,0.870765797,2.038031657
c7a226484703ea7ccc385590ea433fe6c2e79cd2/b57e4991649a8382d8cd8bfe55fbbf63a832627d,gumtree_not_lazy,2041920,2041920,1657506,7,0.951761116,0.838024816,0,0.542089386,0.325510038,2.189983378
c7a226484703ea7ccc385590ea433fe6c2e79cd2/b57e4991649a8382d8cd8bfe55fbbf63a832627d,gumtree_partial_lazy,2041920,2041920,1657506,7,0.043482036,0.070175556,0.68133526,0.657026925,0.392228183,2.221806662
b57e4991649a8382d8cd8bfe55fbbf63a832627d/fbb0aadbc53899f05b548430bba60cd681a8bb42,gumtree_lazy,2041920,2041920,1657509,0,0.046468715,0.064560603,0,0.002418923,1.059536117,2.436515244
b57e4991649a8382d8cd8bfe55fbbf63a832627d/fbb0aadbc53899f05b548430bba60cd681a8bb42,gumtree_not_lazy,2041920,2041920,1657509,0,0.900057514,0.50634804,0,0.002639433,0.335001397,2.240158381
b57e4991649a8382d8cd8bfe55fbbf63a832627d/fbb0aadbc53899f05b548430bba60cd681a8bb42,gumtree_partial_lazy,2041920,2041920,1657509,0,0.044741996,0.066663658,0.659480904,0.002633626,0.346280391,2.481470917
fbb0aadbc53899f05b548430bba60cd681a8bb42/3f8c1b4b992f01fabd3decbdc51b454fa04962eb,gumtree_lazy,2041920,2041920,1657506,7,0.041449167,0.061133493,0,0.043517719,0.881410062,1.994829675
fbb0aadbc53899f05b548430bba60cd681a8bb42/3f8c1b4b992f01fabd3decbdc51b454fa04962eb,gumtree_not_lazy,2041920,2041920,1657506,7,0.988522145,0.927518491,0,0.053100243,0.341122069,2.120010269
fbb0aadbc53899f05b548430bba60cd681a8bb42/3f8c1b4b992f01fabd3decbdc51b454fa04962eb,gumtree_partial_lazy,2041920,2041920,1657506,7,0.03975234,0.060327774,0.563444495,0.043338374,0.306497655,2.042671141
3f8c1b4b992f01fabd3decbdc51b454fa04962eb/4d3e52f866742be51669e5e347d6d303138acc8b,gumtree_lazy,2041920,2041704,1657317,209,0.048783721,0.058706539,0,0.992134423,0.724692881,2.263040605
3f8c1b4b992f01fabd3decbdc51b454fa04962eb/4d3e52f866742be51669e5e347d6d303138acc8b,gumtree_not_lazy,2041920,2041704,1657317,209,0.96521181,2.371139518,0,0.607480167,0.316129812,2.124594754
3f8c1b4b992f01fabd3decbdc51b454fa04962eb/4d3e52f866742be51669e5e347d6d303138acc8b,gumtree_partial_lazy,2041920,2041704,1657317,209,0.034348704,0.055437381,0.594467462,0.642069555,0.322151054,2.222604118
4d3e52f866742be51669e5e347d6d303138acc8b/85415910d1c80c0034ca96c840ab2e8dc6ca9f13,gumtree_lazy,2041704,2041704,1657328,7,0.040651864,0.062028961,0,0.488081773,0.923964746,2.001511437
4d3e52f866742be51669e5e347d6d303138acc8b/85415910d1c80c0034ca96c840ab2e8dc6ca9f13,gumtree_not_lazy,2041704,2041704,1657328,7,0.826946523,0.860432326,0,0.513581984,0.322110539,2.171691531
4d3e52f866742be51669e5e347d6d303138acc8b/85415910d1c80c0034ca96c840ab2e8dc6ca9f13,gumtree_partial_lazy,2041704,2041704,1657328,7,0.038375429,0.059596945,0.559781634,0.476684754,0.309444439,2.078092881
85415910d1c80c0034ca96c840ab2e8dc6ca9f13/c17c755b2dc17471df291b8028c650718681bd9a,gumtree_lazy,2041704,2041704,1657328,7,0.040339882,0.058226663,0,0.406544934,0.879548638,2.092326123
85415910d1c80c0034ca96c840ab2e8dc6ca9f13/c17c755b2dc17471df291b8028c650718681bd9a,gumtree_not_lazy,2041704,2041704,1657328,7,0.872411767,0.765238686,0,0.388744462,0.274689295,1.911998164
85415910d1c80c0034ca96c840ab2e8dc6ca9f13/c17c755b2dc17471df291b8028c650718681bd9a,gumtree_partial_lazy,2041704,2041704,1657328,7,0.038078039,0.059472309,0.566990665,0.393905076,0.308401929,2.155834344
c17c755b2dc17471df291b8028c650718681bd9a/2dcc1e82148d884936c03607d0fe84c9eeddcbf0,gumtree_lazy,2041704,2041774,1657299,155,0.040140435,0.066813657,0,1.280086461,0.633516253,2.05936334
c17c755b2dc17471df291b8028c650718681bd9a/2dcc1e82148d884936c03607d0fe84c9eeddcbf0,gumtree_not_lazy,2041704,2041774,1657299,155,0.95458246,1.91313375,0,1.06196396,0.323851608,2.173058244
c17c755b2dc17471df291b8028c650718681bd9a/2dcc1e82148d884936c03607d0fe84c9eeddcbf0,gumtree_partial_lazy,2041704,2041774,1657299,155,0.036392166,0.071011895,0.649506421,1.169633742,0.338041699,1.996069417
2dcc1e82148d884936c03607d0fe84c9eeddcbf0/0da6e330a1e6c71f60c94ecb8ce2c29947aa9c02,java_gumtree,2041774,2041781,1657350,85,0,2.23287688,0,8.913543401,0,27.676516845
2dcc1e82148d884936c03607d0fe84c9eeddcbf0/0da6e330a1e6c71f60c94ecb8ce2c29947aa9c02,gumtree_lazy,2041774,2041781,1657350,85,0.037474627,0.058404734,0,3.171792062,0.734925082,2.282814067
2dcc1e82148d884936c03607d0fe84c9eeddcbf0/0da6e330a1e6c71f60c94ecb8ce2c29947aa9c02,gumtree_not_lazy,2041774,2041781,1657350,85,1.090884645,2.30683654,0,3.01974881,0.345509829,2.258301977
2dcc1e82148d884936c03607d0fe84c9eeddcbf0/0da6e330a1e6c71f60c94ecb8ce2c29947aa9c02,gumtree_partial_lazy,2041774,2041781,1657350,85,0.036280404,0.085729794,0.589915995,2.793954739,0.333431768,2.141934764
0da6e330a1e6c71f60c94ecb8ce2c29947aa9c02/74ee133f4fe25d8606e0775ade577cd8e8b5cbfd,gumtree_lazy,2041781,2041605,1657188,270,0.050588935,0.060991344,0,1.339187725,0.63955355,2.173490899
0da6e330a1e6c71f60c94ecb8ce2c29947aa9c02/74ee133f4fe25d8606e0775ade577cd8e8b5cbfd,gumtree_not_lazy,2041781,2041605,1657188,270,0.767234541,2.241574537,0,1.057108861,0.278168568,2.033974498
0da6e330a1e6c71f60c94ecb8ce2c29947aa9c02/74ee133f4fe25d8606e0775ade577cd8e8b5cbfd,gumtree_partial_lazy,2041781,2041605,1657188,270,0.040827488,0.061509889,0.608475719,1.114711964,0.336292906,2.091424689
74ee133f4fe25d8606e0775ade577cd8e8b5cbfd/76ffd3353a535b0ce6edf0bf961a05236a40d3a1,java_gumtree,2041605,2041308,1656958,343,0,2.234367037,0,4.054859082,0,28.029183257
